DateTime,Site,Q,day,fDOM.QSU,nitrateuM,SpCond.uScm,Turbidity.FNU
2018-05-29T15:00:00Z,MOOS,1588.7535689181532,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T15:30:00Z,MOOS,1591.5431123573799,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T16:00:00Z,MOOS,1594.502386248263,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T16:30:00Z,MOOS,1597.5990747078904,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T17:00:00Z,MOOS,1600.8008618080057,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T17:30:00Z,MOOS,1604.0754316205275,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T18:00:00Z,MOOS,1607.3904682173743,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T18:30:00Z,MOOS,1610.713655670348,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T19:00:00Z,MOOS,1614.0126780513092,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T19:30:00Z,MOOS,1617.2552194321179,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T20:00:00Z,MOOS,1620.4089638846926,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T20:30:00Z,MOOS,1623.4415954808355,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T21:00:00Z,MOOS,1626.320798292465,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T21:30:00Z,MOOS,1629.0142563914414,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T22:00:00Z,MOOS,1631.4896538495668,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T22:30:00Z,MOOS,1633.7146747388178,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T23:00:00Z,MOOS,1635.6570031309966,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-29T23:30:00Z,MOOS,1637.2843230979051,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-30T00:00:00Z,MOOS,1638.5643187115202,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-30T00:30:00Z,MOOS,1639.4646740436438,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-30T01:00:00Z,MOOS,1639.9530731661362,2018-05-29T08:00:00Z,NA,NA,NA,NA
2018-05-30T01:30:00Z,MOOS,1639.997200150916,2018-05-29T08:00:00Z,NA,NA,NA,NA
