"","response_var","site.ID","year","meanHI","meanFI","meanBETA","sdHI","sdFI","sdBETA","CVhi","CVfi","CVbeta","pf","burn","meanfDOM"
"42","SPC","CARI",2018,0.405101250245838,NA,-0.500059424342318,0.303175535972952,NA,0.517291494102627,0.748394471231496,NA,-1.03446004398972,"medium","burned",65.4686355739677
"43","SPC","CARI",2019,0.426902803215039,NA,-1.14065342423012,0.245991943207226,NA,0.702327052951159,0.576224708188002,NA,-0.615723442398984,"medium","burned",55.4116182117389
"44","SPC","CARI",2020,0.449492868701494,NA,0.827247825176308,0.331255675219384,NA,4.72538204907516,0.736954239510681,NA,5.71217222368407,"medium","burned",71.9854854760624
"45","SPC","CARI",2021,0.502282204267294,NA,-0.359223834548392,0.319040842742391,NA,0.249759665202708,0.635182453274037,NA,-0.695275873096507,"medium","burned",59.0428731360608
"46","SPC","FRCH",2018,0.263598531874286,NA,NA,0.447235508826085,NA,NA,1.69665402021047,NA,NA,"medium","unburned",90.5511607866469
"47","SPC","FRCH",2019,0.477271230214947,NA,-0.36974869554457,0.362240597929503,NA,1.29974279027464,0.758982681118998,NA,-3.51520588425704,"medium","unburned",70.6558274006096
"48","SPC","FRCH",2020,0.202413604260561,NA,NA,0.495647034100335,NA,NA,2.44868439505827,NA,NA,"medium","unburned",72.3544541207012
"49","SPC","FRCH",2021,0.565495633294136,NA,-0.112969953868286,0.207463968081742,NA,0.33809435830113,0.366871034658958,NA,-2.99278123717146,"medium","unburned",50.260650274161
"50","SPC","MOOS",2018,0.424151649512746,NA,-0.0945588333175978,0.224660071087731,NA,0.309715063508096,0.529669214644843,NA,-3.27536891733685,"medium","burned",131.099007704311
"51","SPC","MOOS",2019,0.470732468767496,NA,-0.00660483645601307,0.430303344846764,NA,0.785020620248846,0.914114435261738,NA,-118.855421398687,"medium","burned",123.35535570679
"52","SPC","MOOS",2020,-0.207527953330657,-0.0706666666666667,-8.1471802644522,0.365800765687391,0.293708875135453,14.0079864249692,-1.76265780014973,-4.15625766701113,-1.71936620650078,"medium","burned",115.967926541347
"53","SPC","MOOS",2021,0.451264254527515,NA,-0.113833856342313,0.316460893965076,NA,0.492623834824112,0.701276227376836,NA,-4.327568709811,"medium","burned",101.355870793772
"54","SPC","POKE",2019,0.575211890302532,NA,-0.324032809661173,0.250547077838575,NA,0.327530353448281,0.435573537443393,NA,-1.01079379520477,"medium","burned",38.6805050814106
"55","SPC","POKE",2020,0.44184618950444,NA,NA,0.305740977511727,NA,NA,0.691962462898313,NA,NA,"medium","burned",43.0196318119891
"56","SPC","POKE",2021,0.722972094948505,NA,-0.45278494798261,0.161500341295414,NA,0.57969960147289,0.223383920933929,NA,-1.28029786338029,"medium","burned",33.301719091995
"57","SPC","STRT",2019,0.481291267574297,NA,NA,0.282331688976306,NA,NA,0.586612947289185,NA,NA,"high","burned",58.8714200184812
"58","SPC","STRT",2020,0.385538393086346,NA,0.000680802080593445,0.501058367099553,NA,0.19751369235477,1.29963286688113,NA,290.119108012419,"high","burned",73.4704970622726
"59","SPC","STRT",2021,0.405373753072432,NA,3.57987872733451,0.464670134364357,NA,8.0552960087296,1.14627582778239,NA,2.25015890823971,"high","burned",57.9711166168999
"60","SPC","VAUL",2019,0.658307260713019,NA,-0.0376465596743652,0.30858353528868,NA,1.03144746022364,0.468753048469267,NA,-27.3981864251459,"high","unburned",211.067518872856
"61","SPC","VAUL",2020,0.39911074313256,NA,NA,0.599069871280627,NA,NA,1.50101164047507,NA,NA,"high","unburned",208.196063472943
"62","SPC","VAUL",2021,0.278531442427549,NA,NA,0.428939969181361,NA,NA,1.54000555715693,NA,NA,"high","unburned",196.011343378682
"63","turb","CARI",2018,0.00100199618212019,NA,0.756732668178785,0.0954715568133057,NA,0.982591443890055,95.2813578703375,NA,1.29846573989575,"medium","burned",65.4686355739677
"64","turb","CARI",2019,0.0465118652092,NA,1.07010850679167,0.0966449948942349,NA,0.901040524663905,2.07785678900528,NA,0.842008561697492,"medium","burned",55.4116182117389
"65","turb","CARI",2020,0.105547505295498,NA,0.730451672614708,0.1259245908847,NA,0.715165417866984,1.19306079790473,NA,0.979072873236083,"medium","burned",71.9854854760624
"66","turb","CARI",2021,0.0329224654122438,NA,0.517934603226682,0.141970598531869,NA,0.621997917383932,4.31227117271328,NA,1.20091979471722,"medium","burned",59.0428731360608
"67","turb","FRCH",2018,-0.109469182416652,NA,NA,0.118899650071083,NA,NA,-1.08614723748039,NA,NA,"medium","unburned",90.5511607866469
"68","turb","FRCH",2019,-0.0528521907652713,NA,0.509817629447542,0.318386864442121,NA,0.65851626404689,-6.02409966043131,NA,1.29167024836015,"medium","unburned",70.6558274006096
"69","turb","FRCH",2020,-0.0939765431326161,NA,NA,0.209642722423756,NA,NA,-2.23079840389443,NA,NA,"medium","unburned",72.3544541207012
"70","turb","FRCH",2021,-0.121173803768258,NA,0.0968398072348931,0.105890308185095,NA,0.618626686010329,-0.873871289768272,NA,6.3881445417358,"medium","unburned",50.260650274161
"71","turb","MOOS",2018,-0.0465074956600736,0.211218181818182,0.166600097558271,0.169831620845297,0.225888268036132,0.172299292571866,-3.65170427766327,1.0694546562785,1.03420883359088,"medium","burned",131.099007704311
"72","turb","MOOS",2019,0.000297939798257826,NA,0.608410751181616,0.156321159270896,NA,0.330502090275026,524.673642745847,NA,0.543221975668816,"medium","burned",123.35535570679
"73","turb","MOOS",2020,-0.20632217344533,0.170433333333333,0.599568706928562,0.151097306951727,0.200473090463533,0.695606333125362,-0.732336735449154,1.17625517580794,1.16017784965592,"medium","burned",115.967926541347
"74","turb","MOOS",2021,-0.219375932654248,NA,0.345674085040829,0.219052916066229,NA,0.936250684139253,-0.998527565972664,NA,2.70847808573405,"medium","burned",101.355870793772
"75","turb","POKE",2019,0.0596427629369303,NA,1.08867812047275,0.322432452843543,NA,1.2369970244691,5.40606164044582,NA,1.13623760890128,"medium","burned",38.6805050814106
"76","turb","POKE",2020,-0.086084706218862,NA,NA,0.15554627114425,NA,NA,-1.80689785649949,NA,NA,"medium","burned",43.0196318119891
"77","turb","POKE",2021,-0.12441363938359,NA,1.11339440412367,0.0880774798305995,NA,0.448010631503188,-0.707940707039687,NA,0.402382686533986,"medium","burned",33.301719091995
"78","turb","STRT",2019,0.0250317966093351,NA,NA,0.135050256334788,NA,NA,5.39514835640779,NA,NA,"high","burned",58.8714200184812
"79","turb","STRT",2020,-0.143340226782616,NA,-0.00911047292704648,0.230035336293796,NA,0.80156486610541,-1.60482051310452,NA,-87.9827943646904,"high","burned",73.4704970622726
"80","turb","STRT",2021,-0.160230600978967,NA,-0.535908783152149,0.186425260409166,NA,2.7025689201162,-1.16348100344227,NA,-5.04296440939077,"high","burned",57.9711166168999
"81","turb","VAUL",2019,0.0139978243977672,NA,NA,0.0939002424701594,NA,NA,6.70820263219889,NA,NA,"high","unburned",211.067518872856
"82","turb","VAUL",2020,-0.218150077724414,NA,NA,0.154601099434774,NA,NA,-0.708691470786817,NA,NA,"high","unburned",208.196063472943
"83","turb","VAUL",2021,0.0216379141473601,NA,NA,0.164478274206614,NA,NA,7.60139231011236,NA,NA,"high","unburned",196.011343378682
