"","response_var","site.ID","year","meanHI","meanFI","meanBETA","sdHI","sdFI","sdBETA","CVhi","CVfi","CVbeta","pf","burn","meanfDOM"
"1","fDOM","CARI",2018,-0.22740225093885,NA,0.579796364724473,0.247300138647416,NA,0.525747047679177,-1.08750083882818,NA,0.906778792807746,"medium","burned",65.4686355739677
"2","fDOM","CARI",2019,-0.286790837910399,0.541490909090909,0.748724099083059,0.175031536650895,0.349223396852346,0.676571845445043,-0.610310768385074,0.64492938106504,0.903633055585657,"medium","burned",55.4116182117389
"3","fDOM","CARI",2020,-0.162785671696902,NA,0.762745647963072,0.358410535783037,NA,0.8963593987487,-2.20173269580125,NA,1.17517471406418,"medium","burned",71.9854854760624
"4","fDOM","CARI",2021,-0.334152874408264,NA,0.583433365105716,0.265589636296081,NA,0.545739224795531,-0.794814758862697,NA,0.93539255283531,"medium","burned",59.0428731360608
"5","fDOM","FRCH",2018,-0.0441861849173827,NA,NA,0.311538206483026,NA,NA,-7.05057943032478,NA,NA,"medium","unburned",90.5511607866469
"6","fDOM","FRCH",2019,-0.263700321201356,NA,0.600726368664038,0.348196795073267,NA,1.23342661552142,-1.32042613178082,NA,2.05322536159758,"medium","unburned",70.6558274006096
"7","fDOM","FRCH",2020,-0.207070922995505,NA,NA,0.254388991510416,NA,NA,-1.22851140966778,NA,NA,"medium","unburned",72.3544541207012
"8","fDOM","FRCH",2021,-0.169703631224347,NA,0.59264465826047,0.363193184821528,NA,1.99616865973647,-2.14016154045278,NA,3.36823867711154,"medium","unburned",50.260650274161
"9","fDOM","MOOS",2018,-0.0691283171690965,NA,0.170109880559593,0.390419507118064,NA,0.397287942373308,-5.64775077864327,NA,2.33547834532827,"medium","burned",131.099007704311
"10","fDOM","MOOS",2019,-0.111282053113015,NA,-0.442851706193391,0.391814695199966,NA,1.01621875680333,-3.5209154058476,NA,-2.29471568606659,"medium","burned",123.35535570679
"11","fDOM","MOOS",2020,0.100077923506808,-0.1324,-0.149835756818843,0.439485781530172,0.290076386491558,1.34498814057265,4.39143585448469,-2.19090926353141,-8.97641637168614,"medium","burned",115.967926541347
"12","fDOM","MOOS",2021,0.145727889045442,NA,0.865097325370201,0.47691568657558,NA,2.06116284401565,3.27264526851731,NA,2.3825791429116,"medium","burned",101.355870793772
"13","fDOM","POKE",2019,-0.30753907366909,NA,0.0824012012026781,0.298230849785765,NA,0.729389370563189,-0.969733199192307,NA,8.85168371234233,"medium","burned",38.6805050814106
"14","fDOM","POKE",2020,-0.259156921760119,NA,NA,0.243533106028827,NA,NA,-0.93971291360779,NA,NA,"medium","burned",43.0196318119891
"15","fDOM","POKE",2021,-0.362658534727656,NA,0.768760698214244,0.163198108643645,NA,1.13119702337509,-0.450004875153983,NA,1.47145532543839,"medium","burned",33.301719091995
"16","fDOM","STRT",2019,-0.330503777138054,NA,NA,0.314050146135676,NA,NA,-0.950216511457582,NA,NA,"high","burned",58.8714200184812
"17","fDOM","STRT",2020,-0.215038659199975,NA,-0.0164766938806226,0.284618009438899,NA,0.619440030744132,-1.32356670422791,NA,-37.5949225756159,"high","burned",73.4704970622726
"18","fDOM","STRT",2021,-0.29193541061648,NA,1.05735324991323,0.288248631258978,NA,1.47207935221437,-0.987371249860658,NA,1.39223041337904,"high","burned",57.9711166168999
"19","fDOM","VAUL",2019,-0.0428588686514579,NA,-0.899137023729834,0.155436039881589,NA,1.22771339895427,-3.62669488888391,NA,-1.36543526353906,"high","unburned",211.067518872856
"20","fDOM","VAUL",2020,0.439048420883174,NA,NA,0.261976037994922,NA,NA,0.59669053692971,NA,NA,"high","unburned",208.196063472943
"21","fDOM","VAUL",2021,0.189254754712567,NA,NA,0.3318261850089,NA,NA,1.75333077107027,NA,NA,"high","unburned",196.011343378682
"22","NO3","CARI",2018,0.13549879086156,NA,-0.535319004364378,0.317802307457791,NA,0.597575827205385,2.34542541255952,NA,-1.11629854784425,"medium","burned",65.4686355739677
"23","NO3","CARI",2019,0.162346031088234,NA,-0.83851511468625,0.326766710828075,NA,0.838638829544328,2.01277917690812,NA,-1.00014754040316,"medium","burned",55.4116182117389
"24","NO3","CARI",2020,0.248909347028463,NA,-0.25057943661633,0.279272437501281,NA,1.77011783087126,1.12198453306515,NA,-7.06409853407702,"medium","burned",71.9854854760624
"25","NO3","CARI",2021,0.00411505470119716,NA,-0.637508071458746,0.431296384407011,NA,1.25305316969771,104.809392760086,NA,-1.96554871349389,"medium","burned",59.0428731360608
"26","NO3","FRCH",2018,0.0650917717284614,NA,NA,0.477678964817829,NA,NA,7.33854605787238,NA,NA,"medium","unburned",90.5511607866469
"27","NO3","FRCH",2019,0.13369042729673,NA,-0.362466681552797,0.341020542651457,NA,0.487388594940217,2.55082244515946,NA,-1.34464385209768,"medium","unburned",70.6558274006096
"28","NO3","FRCH",2020,0.199695157833478,-0.0957888888888889,NA,0.451383028404762,0.16223395556994,NA,2.26036040784305,-1.6936615243353,NA,"medium","unburned",72.3544541207012
"29","NO3","FRCH",2021,0.114168140001078,NA,NA,0.41223997403659,NA,NA,3.61081448846148,NA,NA,"medium","unburned",50.260650274161
"30","NO3","MOOS",2018,0.235290478409909,-0.0654846153846154,0.0681001727702884,0.340699138435271,0.19068706845752,0.474198012769387,1.44799373411841,-2.9119369081966,6.9632424335974,"medium","burned",131.099007704311
"31","NO3","MOOS",2019,0.146430833163959,NA,-0.547841278652373,0.458517125032371,NA,1.54733387600535,3.13128809776673,NA,-2.82442002145515,"medium","burned",123.35535570679
"32","NO3","MOOS",2020,0.266631212209365,NA,-0.605248888946063,0.396746987178956,NA,0.695352810318605,1.48799903766488,NA,-1.14887085795307,"medium","burned",115.967926541347
"33","NO3","POKE",2019,0.2020803767795,NA,0.345098455716011,0.455686725643494,NA,0.793035090703419,2.25497761289666,NA,2.29799663709891,"medium","burned",38.6805050814106
"34","NO3","POKE",2020,0.106825420383382,NA,NA,0.41828691693474,NA,NA,3.91561217764055,NA,NA,"medium","burned",43.0196318119891
"35","NO3","POKE",2021,0.263797282668887,NA,-0.24008915620861,0.375297982233638,NA,0.372584063133721,1.42267569414164,NA,-1.55185710599103,"medium","burned",33.301719091995
"36","NO3","STRT",2019,0.153077569090625,NA,NA,0.449847341092434,NA,NA,2.9386888213917,NA,NA,"high","burned",58.8714200184812
"37","NO3","STRT",2020,0.293478674524349,NA,NA,0.497579792545554,NA,NA,1.69545468116891,NA,NA,"high","burned",73.4704970622726
"38","NO3","STRT",2021,0.212613420907806,NA,2.0542504996592,0.544800301475,NA,5.64723713232632,2.56239845607507,NA,2.74904990080966,"high","burned",57.9711166168999
"39","NO3","VAUL",2019,0.249605110872392,NA,-0.471042940129757,0.547384375574879,NA,1.88024643441809,2.19300147205208,NA,-3.99166673403522,"high","unburned",211.067518872856
"40","NO3","VAUL",2020,0.229115114499767,NA,NA,0.262493486117264,NA,NA,1.14568384844611,NA,NA,"high","unburned",208.196063472943
"41","NO3","VAUL",2021,-0.0308933491295363,-0.04716,NA,0.181725023867574,0.274982295793747,NA,-5.88233483866053,-5.83083748502433,NA,"high","unburned",196.011343378682
