"","column_label","HI_mean_Interp","HI_sd_with_Interp","N.S.","Max_width_Interp","Min_response","Max_response","Peak_Q","ShapiroTest.W","ShapiroTest.p","t.test.stat","t.test.p","t.test.CIlow","t.test.CIhigh","wilcox.test.stat","wilcox.test.p","storm.ID","site.ID"
"1","1",-0.174242424242424,0.211958812292286,NA,-0.696969696969697,18.6,25.2,477.59,0.9353,0.0089,-5.7544,0,-0.2351,-0.1134,149,0,"CARI_storm1_05_08_NO3","CARI"
"2","2",0.00990571553866394,0.203937891826123,NA,-0.479096623300687,28.02,164.84,477.59,0.8668,0,0.34,0.7353,-0.0486,0.0685,641,0.9769,"CARI_storm1_05_08_fDOM","CARI"
"3","3",0.508883291351805,0.138459066807024,NA,0.776658270361041,49.2,73.02,477.59,0.9503,0.035,25.7273,0,0.4691,0.5486,1275,0,"CARI_storm1_05_08_SPC","CARI"
"4","4",0.00289585666293394,0.0725565920422937,NA,-0.2003359462486,0.84,45.49,477.59,0.878,1e-04,0.2794,0.7811,-0.0179,0.0237,765,0.2202,"CARI_storm1_05_08_turb","CARI"
"5","5",0.500666666666666,0.282488151177276,NA,0.833333333333332,21.5,23,212.94,0.8611,0,12.4064,0,0.4196,0.5818,1275,0,"CARI_storm3_07_12_NO3","CARI"
"6","6",-0.474180327868853,0.173751484359754,NA,-0.753512880562061,23.1,31.64,212.94,0.9337,0.0077,-19.1035,0,-0.5241,-0.4243,3,0,"CARI_storm3_07_12_fDOM","CARI"
"7","7",0.568301329394387,0.153984498501836,NA,0.8397341211226,100.36,107.13,212.94,0.959,0.0805,25.8345,0,0.5241,0.6125,1275,0,"CARI_storm3_07_12_SPC","CARI"
"8","8",-0.164041013268999,0.200452117713745,NA,-0.449135504624045,-0.68,49.06,264.63,0.8791,1e-04,-5.7285,0,-0.2216,-0.1065,250,2e-04,"CARI_storm4_07_26_fDOM","CARI"
"9","9",0.744368701837582,0.187825965087535,-0.845880260818021,0.960580912863071,92.12,108.99,264.63,0.8308,0,27.7415,0,0.6904,0.7983,1275,0,"CARI_storm4_07_26_SPC","CARI"
"10","10",0.0284570765661253,0.118191164457308,0.0672853828306265,-0.236658932714617,-0.95,7.67,264.63,0.9421,0.0164,1.6854,0.0983,-0.0055,0.0624,836,0.056,"CARI_storm4_07_26_turb","CARI"
"11","11",0.313333333333334,0.188237438713273,NA,0.777777777777778,27.1,28.9,292.26,0.8912,2e-04,11.652,0,0.2593,0.3674,1275,0,"CARI_storm5_07_31_NO3","CARI"
"12","12",-0.277338945827233,0.121304173038356,NA,-0.508784773060029,46.74,74.06,292.26,0.9294,0.0053,-16.0042,0,-0.3122,-0.2425,1,0,"CARI_storm5_07_31_fDOM","CARI"
"13","13",0.461470588235295,0.176748354823694,-0.452685421994886,0.82289002557545,84.25,92.07,292.26,0.9323,0.0067,18.2762,0,0.4107,0.5122,1275,0,"CARI_storm5_07_31_SPC","CARI"
"14","14",-0.0200157977883096,0.119469160095113,-0.0742496050552922,-0.253554502369668,-0.58,5.75,292.26,0.964,0.1307,-1.1728,0.2466,-0.0543,0.0143,519,0.2543,"CARI_storm5_07_31_turb","CARI"
"15","15",-0.267,0.157693287236668,NA,-0.561111111111111,25.8,34.8,1977.87,0.9235,0.0032,-11.8521,0,-0.3123,-0.2217,33,0,"CARI_storm6a_08_02_NO3","CARI"
"16","16",-0.156328755177676,0.171828678524161,NA,-0.495530848048834,12.99,150.6,1977.87,0.9349,0.0085,-6.3686,0,-0.2057,-0.107,102,0,"CARI_storm6a_08_02_fDOM","CARI"
"17","17",0.625130855509127,0.144239607492544,-0.997580822520343,0.970749945018694,41.06,86.53,1977.87,0.8488,0,30.3378,0,0.5837,0.6665,1275,0,"CARI_storm6a_08_02_SPC","CARI"
"18","18",0.000669283707166942,0.000827964775616309,0.00234247473151162,0.00181090263268436,-0.48,21925.05,1977.87,0.938,0.0113,5.6584,0,4e-04,9e-04,1088,0,"CARI_storm6a_08_02_turb","CARI"
"19","19",-0.130285714285714,0.263777735750292,NA,-0.571428571428572,27.9,34.9,4445.81,0.9341,0.0079,-3.4575,0.0011,-0.206,-0.0546,347,0.0051,"CARI_storm6b_08_03_NO3","CARI"
"20","20",-0.117121300058038,0.16542894700069,NA,0.437695879280325,-0.74,171.56,4445.81,0.8534,0,-4.9559,0,-0.1646,-0.0696,126,0,"CARI_storm6b_08_03_fDOM","CARI"
"21","21",-0.0068926056338028,0.215265322995814,-0.211619718309859,-0.586619718309859,0,56.8,4445.81,0.771,0,-0.2241,0.8236,-0.0687,0.0549,795,0.1296,"CARI_storm6b_08_03_SPC","CARI"
"22","22",0.00459956942949408,0.00457478124803573,0.000718774957463801,0.0129917705475885,4.37,2884.27,4445.81,0.9509,0.0372,7.0379,0,0.0033,0.0059,1175,0,"CARI_storm6b_08_03_turb","CARI"
"23","23",0.242142857142857,0.196108830676713,NA,0.535714285714285,31.5,34.3,962.51,0.9303,0.0057,8.6432,0,0.1858,0.2984,1222,0,"CARI_storm6c_08_05_NO3","CARI"
"24","24",-0.131608941509101,0.165032729767007,NA,0.437533133062379,12.6,125.78,962.51,0.917,0.0018,-5.5823,0,-0.179,-0.0842,127,0,"CARI_storm6c_08_05_fDOM","CARI"
"25","25",-0.100665668547737,0.243173745020516,-0.0481400437636761,-0.461937118507428,24.9,111.73,962.51,0.8972,4e-04,-2.8978,0.0056,-0.1705,-0.0309,384,0.0146,"CARI_storm6c_08_05_SPC","CARI"
"26","26",0.00013613111955663,0.000478477616300669,0.000400809693250826,0.00100490775610009,0.16,3468.14,962.51,0.9667,0.1698,1.9916,0.052,0,3e-04,832,0.0611,"CARI_storm6c_08_05_turb","CARI"
"27","27",0.371500000000001,0.179374608013509,NA,0.85,30.9,32.9,609.92,0.835,0,14.4976,0,0.32,0.423,1263,0,"CARI_storm6d_08_10_NO3","CARI"
"28","28",-0.135440760729889,0.119604514612494,NA,-0.472115137496788,44.7,83.61,609.92,0.707,0,-7.9268,0,-0.1698,-0.1011,47,0,"CARI_storm6d_08_10_fDOM","CARI"
"29","29",0.247522388059702,0.160187671179066,-0.501492537313435,0.540298507462688,63.35,66.7,609.92,0.7731,0,10.8164,0,0.2015,0.2935,1198,0,"CARI_storm6d_08_10_SPC","CARI"
"30","30",-0.0248149760557249,0.0532553201309902,0.115367871136265,-0.169351327818894,0.37,23.34,609.92,0.9816,0.6191,-3.2617,0.002,-0.0401,-0.0095,312,0.0017,"CARI_storm6d_08_10_turb","CARI"
"31","31",0.0603476960463595,0.166341900837477,NA,0.309561641274886,-0.79,106.2,845.49,0.771,0,2.5396,0.0143,0.0126,0.1081,768,0.2095,"CARI_storm7a_08_13_fDOM","CARI"
"32","32",0.75953952417498,0.182540735460439,-0.981580966999231,0.988104374520337,57.51,70.54,845.49,0.8619,0,29.1265,0,0.7071,0.8119,1275,0,"CARI_storm7a_08_13_SPC","CARI"
"33","33",2.75832321191413e-06,0.000158532807559827,0.000175374870880961,0.000305629022554684,0.27,17619.67,845.49,0.9309,0.006,0.1218,0.9036,0,0,600,0.721,"CARI_storm7a_08_13_turb","CARI"
"34","34",-0.0902495201535509,0.141084251583666,NA,-0.495201535508637,24.2,76.3,1306.31,0.615,0,-4.4778,0,-0.1308,-0.0497,60,0,"CARI_storm7b_08_13_NO3","CARI"
"35","35",-0.0494030878515512,0.0957709555616263,NA,-0.486481588866339,85.94,361.86,1306.31,0.5557,0,-3.6109,7e-04,-0.0769,-0.0219,133,0,"CARI_storm7b_08_13_fDOM","CARI"
"36","36",0.206485771012574,0.318999027836861,-0.646591661151555,-0.541363335539378,45.87,60.98,1306.31,0.6779,0,4.531,0,0.1149,0.2981,969,0.0014,"CARI_storm7b_08_13_SPC","CARI"
"37","37",0.000161175454074714,0.00060530205372963,0.00101209195534951,-0.00342577562080795,0.54,13171.28,1306.31,0.6213,0,1.8639,0.0683,0,3e-04,1029,2e-04,"CARI_storm7b_08_13_turb","CARI"
"38","38",0.0631,0.151019502051887,NA,0.3,25.6,35.6,1220.19,0.936,0.0094,2.9248,0.0052,0.0197,0.1065,905,0.0099,"CARI_storm8_08_16_NO3","CARI"
"39","39",-0.142190396957452,0.13416055503575,NA,0.285714285714286,38.55,122.69,1220.19,0.7627,0,-7.419,0,-0.1807,-0.1037,156,0,"CARI_storm8_08_16_fDOM","CARI"
"40","40",0.411437206178643,0.10521610079112,-0.825386165211551,0.604432505036937,47.01,61.9,1220.19,0.8786,1e-04,27.3728,0,0.3812,0.4416,1275,0,"CARI_storm8_08_16_SPC","CARI"
"41","41",0.0001942417033907,0.00205918496201043,0.00115719476900245,0.0110017011956089,0.25,4191.42,1220.19,0.4683,0,0.6603,0.5121,-4e-04,8e-04,911,0.0084,"CARI_storm8_08_16_turb","CARI"
