"","Site","DateTime","Discharge","fDOM","NO3","SpCond","Turb","day"
"71","CARI",2019-07-26 08:26:00,168.84,NA,NA,107.84,0.86,2019-07-26
"72","CARI",2019-07-26 08:27:00,167.25,NA,NA,107.84,0.86,2019-07-26
"73","CARI",2019-07-26 08:28:00,157.28,NA,NA,107.76,0.93,2019-07-26
"74","CARI",2019-07-26 08:29:00,172.47,NA,NA,107.7,0.91,2019-07-26
"75","CARI",2019-07-26 08:30:00,175.53,NA,NA,107.61,2.47,2019-07-26
"76","CARI",2019-07-26 08:31:00,167.13,NA,NA,107.57,0.98,2019-07-26
"77","CARI",2019-07-26 08:32:00,175.5,NA,NA,107.57,0.98,2019-07-26
"78","CARI",2019-07-26 08:33:00,173.44,NA,NA,107.51,0.97,2019-07-26
"79","CARI",2019-07-26 08:34:00,165.75,NA,NA,107.46,0.97,2019-07-26
"80","CARI",2019-07-26 08:35:00,169.2,NA,NA,107.38,2.44,2019-07-26
"81","CARI",2019-07-26 08:36:00,167.13,NA,NA,107.39,0.98,2019-07-26
"82","CARI",2019-07-26 08:37:00,159.28,NA,NA,107.39,0.98,2019-07-26
"83","CARI",2019-07-26 08:38:00,175.74,NA,NA,107.39,1.03,2019-07-26
"84","CARI",2019-07-26 08:39:00,160.56,NA,NA,107.41,1,2019-07-26
"85","CARI",2019-07-26 08:40:00,170.36,NA,NA,107.33,2.5,2019-07-26
"86","CARI",2019-07-26 08:41:00,163.79,NA,NA,107.35,1.01,2019-07-26
"87","CARI",2019-07-26 08:42:00,172.19,NA,NA,107.35,1.01,2019-07-26
"88","CARI",2019-07-26 08:43:00,176.78,NA,NA,107.37,1.04,2019-07-26
"89","CARI",2019-07-26 08:44:00,173.15,NA,NA,107.38,0.98,2019-07-26
"90","CARI",2019-07-26 08:45:00,169.43,NA,NA,107.3,2.57,2019-07-26
"91","CARI",2019-07-26 08:46:00,178.17,NA,NA,107.34,1.05,2019-07-26
"92","CARI",2019-07-26 08:47:00,179.56,NA,NA,107.34,1.04,2019-07-26
"93","CARI",2019-07-26 08:48:00,181.93,NA,NA,107.32,1.06,2019-07-26
"94","CARI",2019-07-26 08:49:00,175.69,NA,NA,107.33,1.08,2019-07-26
"95","CARI",2019-07-26 08:50:00,171.75,NA,NA,107.29,2.42,2019-07-26
"96","CARI",2019-07-26 08:51:00,168.24,NA,NA,107.33,1.05,2019-07-26
"97","CARI",2019-07-26 08:52:00,173.68,NA,NA,107.33,1.05,2019-07-26
"98","CARI",2019-07-26 08:53:00,171.27,NA,NA,107.37,1.08,2019-07-26
"99","CARI",2019-07-26 08:54:00,169.71,NA,NA,107.38,1.06,2019-07-26
"100","CARI",2019-07-26 08:55:00,180.62,NA,NA,107.33,2.51,2019-07-26
"101","CARI",2019-07-26 08:56:00,181.07,NA,NA,107.41,1.04,2019-07-26
"102","CARI",2019-07-26 08:57:00,170.75,NA,NA,107.41,1.05,2019-07-26
"103","CARI",2019-07-26 08:58:00,180.21,NA,NA,107.43,1.02,2019-07-26
"104","CARI",2019-07-26 08:59:00,178.13,NA,NA,107.46,1.14,2019-07-26
"105","CARI",2019-07-26 09:00:00,176.54,NA,NA,107.46,2.35,2019-07-26
"106","CARI",2019-07-26 09:01:00,181.6,NA,NA,107.48,1.06,2019-07-26
"107","CARI",2019-07-26 09:02:00,172.83,NA,NA,107.49,1.06,2019-07-26
"108","CARI",2019-07-26 09:03:00,175.65,NA,NA,107.48,1.13,2019-07-26
"109","CARI",2019-07-26 09:04:00,180.46,NA,NA,107.48,1.07,2019-07-26
"110","CARI",2019-07-26 09:05:00,177.03,NA,NA,107.42,2.47,2019-07-26
"111","CARI",2019-07-26 09:06:00,178.74,NA,NA,107.43,1.29,2019-07-26
"112","CARI",2019-07-26 09:07:00,175.13,NA,NA,107.44,1.29,2019-07-26
"113","CARI",2019-07-26 09:08:00,183.21,NA,NA,107.42,1.1,2019-07-26
"114","CARI",2019-07-26 09:09:00,176.02,NA,NA,107.38,1.11,2019-07-26
"115","CARI",2019-07-26 09:10:00,181.52,NA,NA,107.32,2.59,2019-07-26
"116","CARI",2019-07-26 09:11:00,185.86,NA,NA,107.37,1.15,2019-07-26
"117","CARI",2019-07-26 09:12:00,184.45,NA,NA,107.38,1.15,2019-07-26
"118","CARI",2019-07-26 09:13:00,188.44,NA,NA,107.41,1.22,2019-07-26
"119","CARI",2019-07-26 09:14:00,185.74,NA,NA,107.48,1.2,2019-07-26
"120","CARI",2019-07-26 09:15:00,183.75,NA,NA,107.45,2.57,2019-07-26
"121","CARI",2019-07-26 09:16:00,183.42,NA,NA,107.5,1.16,2019-07-26
"122","CARI",2019-07-26 09:17:00,170.55,NA,NA,107.51,1.16,2019-07-26
"123","CARI",2019-07-26 09:18:00,179.19,NA,NA,107.58,1.26,2019-07-26
