"","DateTime","Site","Q","day","fDOM.QSU","nitrateuM","SpCond.uScm","Turbidity.FNU","MeanDischarge"
"1",2018-08-26 08:00:00,"MOOS",1246.55781246437,2018-08-26,222.4,22.9777777777778,99.9,17.94,1246.55781246437
"2",2018-08-26 08:30:00,"MOOS",1255.48750220478,2018-08-26,222.5,23.0511111111111,100.1,17.22,1255.48750220478
"3",2018-08-26 09:00:00,"MOOS",1252.51093895797,2018-08-26,223.68,22.9333333333333,100.1,16.16,1252.51093895797
"4",2018-08-26 09:30:00,"MOOS",1240.6046859707,2018-08-26,224.16,23.0211111111111,100.2,15.39,1240.6046859707
"5",2018-08-26 10:00:00,"MOOS",1252.51093895797,2018-08-26,223.68,23.07,100.3,16.05,1252.51093895797
"6",2018-08-26 10:30:00,"MOOS",1252.51093895797,2018-08-26,224.43,23.2788888888889,100.5,13.59,1252.51093895797
"7",2018-08-26 11:00:00,"MOOS",1249.53437571117,2018-08-26,225.59,23.0955555555556,100.6,14.53,1249.53437571117
"8",2018-08-26 11:30:00,"MOOS",1249.53437571117,2018-08-26,225.37,23.3166666666667,100.7,13.39,1249.53437571117
"9",2018-08-26 12:00:00,"MOOS",1261.44062869833,2018-08-26,225.56,23.3444444444444,100.8,13.75,1261.44062869833
"10",2018-08-26 12:30:00,"MOOS",1264.41719194513,2018-08-26,225.94,23.4355555555556,101,14.04,1264.41719194513
"11",2018-08-26 13:00:00,"MOOS",1255.48750220478,2018-08-26,225.7,23.5133333333333,101.2,13.11,1255.48750220478
"12",2018-08-26 13:30:00,"MOOS",1273.34688168555,2018-08-26,225.85,23.4822222222222,101.4,12.24,1273.34688168555
"13",2018-08-26 14:00:00,"MOOS",1279.3000081791,2018-08-26,226.11,23.8344444444444,101.5,12.46,1279.3000081791
"14",2018-08-26 14:30:00,"MOOS",1285.2531346727,2018-08-26,226.01,23.5222222222222,101.7,13.16,1285.2531346727
"15",2018-08-26 15:00:00,"MOOS",1291.20626116631,2018-08-26,225.71,23.5544444444444,101.8,12.1,1291.20626116631
"16",2018-08-26 15:30:00,"MOOS",1306.08907740028,2018-08-26,226.05,23.5844444444444,102,12.49,1306.08907740028
"17",2018-08-26 16:00:00,"MOOS",1312.04220389383,2018-08-27,225.47,23.6411111111111,102.2,12.59,1312.04220389383
"18",2018-08-26 16:30:00,"MOOS",1312.04220389383,2018-08-27,224.96,23.6744444444444,102.3,12.01,1312.04220389383
"19",2018-08-26 17:00:00,"MOOS",1326.92502012791,2018-08-27,224.64,23.6444444444444,102.3,12.75,1326.92502012791
"20",2018-08-26 17:30:00,"MOOS",1332.8781466214,2018-08-27,224.52,23.75,102.4,12.38,1332.8781466214
"21",2018-08-26 18:00:00,"MOOS",1341.80783636187,2018-08-27,223.94,23.6844444444444,102.5,12.14,1341.80783636187
"22",2018-08-26 18:30:00,"MOOS",1356.69065259583,2018-08-27,223.59,23.8211111111111,102.6,12.39,1356.69065259583
"23",2018-08-26 19:00:00,"MOOS",1371.5734688298,2018-08-27,223.12,23.8344444444444,102.7,12.82,1371.5734688298
"24",2018-08-26 19:30:00,"MOOS",1371.5734688298,2018-08-27,222.68,23.8377777777778,102.8,11.82,1371.5734688298
"25",2018-08-26 20:00:00,"MOOS",1377.5265953234,2018-08-27,222.14,23.8744444444444,102.9,12.61,1377.5265953234
"26",2018-08-26 20:30:00,"MOOS",1386.45628506376,2018-08-27,221.68,24.0466666666667,103,12.05,1386.45628506376
"27",2018-08-26 21:00:00,"MOOS",1401.33910129772,2018-08-27,221.23,23.9444444444444,103.1,11.88,1401.33910129772
"28",2018-08-26 21:30:00,"MOOS",1410.26879103819,2018-08-27,220.27,23.8222222222222,103.3,12.68,1410.26879103819
"29",2018-08-26 22:00:00,"MOOS",1422.17504402535,2018-08-27,219.95,23.8588888888889,103.3,12.39,1422.17504402535
"30",2018-08-26 22:30:00,"MOOS",1431.10473376577,2018-08-27,219.18,23.9,103.3,11.87,1431.10473376577
"31",2018-08-26 23:00:00,"MOOS",1434.08129701257,2018-08-27,218.85,23.9633333333333,103.3,11.79,1434.08129701257
"32",2018-08-26 23:30:00,"MOOS",1454.91723974008,2018-08-27,217.82,23.8611111111111,103.3,12.76,1454.91723974008
"33",2018-08-27 00:00:00,"MOOS",1475.75318246766,2018-08-27,217.24,23.8633333333333,103.4,12.9,1475.75318246766
"34",2018-08-27 00:30:00,"MOOS",1499.56568844209,2018-08-27,216,23.9088888888889,103.4,13.01,1499.56568844209
"35",2018-08-27 01:00:00,"MOOS",1514.44850467605,2018-08-27,216.05,23.9966666666667,103.3,12.91,1514.44850467605
"36",2018-08-27 01:30:00,"MOOS",1526.35475766321,2018-08-27,216.05,23.9244444444444,103.4,12.63,1526.35475766321
"37",2018-08-27 02:00:00,"MOOS",1553.14382688439,2018-08-27,215.58,23.8577777777778,103.4,12.67,1553.14382688439
"38",2018-08-27 02:30:00,"MOOS",1562.07351662475,2018-08-27,215.46,23.9977777777778,103.4,12.59,1562.07351662475
