"","DateTime","fDOM.QSU","valuedatetime"
"1",2020-06-19 23:45:00,74.8836363636364,2020-06-19 23:45:00
"2",2020-06-20 00:00:00,75.1090909090909,2020-06-20 00:00:00
"3",2020-06-20 00:15:00,75.3427272727273,2020-06-20 00:15:00
"4",2020-06-20 00:30:00,75.5263636363636,2020-06-20 00:30:00
"5",2020-06-20 00:45:00,75.7481818181818,2020-06-20 00:45:00
"6",2020-06-20 01:00:00,76.1081818181818,2020-06-20 01:00:00
"7",2020-06-20 01:15:00,76.6081818181818,2020-06-20 01:15:00
"8",2020-06-20 01:30:00,77.0309090909091,2020-06-20 01:30:00
"9",2020-06-20 01:45:00,77.1663636363636,2020-06-20 01:45:00
"10",2020-06-20 02:00:00,77.5972727272727,2020-06-20 02:00:00
"11",2020-06-20 02:15:00,77.6754545454545,2020-06-20 02:15:00
"12",2020-06-20 02:30:00,77.8781818181818,2020-06-20 02:30:00
"13",2020-06-20 02:45:00,78.2863636363636,2020-06-20 02:45:00
"14",2020-06-20 03:00:00,78.4472727272727,2020-06-20 03:00:00
"15",2020-06-20 03:15:00,78.4972727272727,2020-06-20 03:15:00
"16",2020-06-20 03:30:00,79.2972727272727,2020-06-20 03:30:00
"17",2020-06-20 03:45:00,79.3145454545455,2020-06-20 03:45:00
"18",2020-06-20 04:00:00,79.8445454545455,2020-06-20 04:00:00
"19",2020-06-20 04:15:00,80.2909090909091,2020-06-20 04:15:00
"20",2020-06-20 04:30:00,80.5881818181818,2020-06-20 04:30:00
"21",2020-06-20 04:45:00,80.7963636363636,2020-06-20 04:45:00
"22",2020-06-20 05:00:00,81.31,2020-06-20 05:00:00
"23",2020-06-20 05:15:00,81.7036363636364,2020-06-20 05:15:00
"24",2020-06-20 05:30:00,82.0618181818182,2020-06-20 05:30:00
"25",2020-06-20 05:45:00,82.5427272727273,2020-06-20 05:45:00
"26",2020-06-20 06:00:00,82.8690909090909,2020-06-20 06:00:00
"27",2020-06-20 06:15:00,83.2890909090909,2020-06-20 06:15:00
"28",2020-06-20 06:30:00,83.2027272727273,2020-06-20 06:30:00
