"","Site","DateTime","Q","day","fDOM.QSU","nitrateuM","SpCond.uScm","Turbidity.FNU","MeanDischarge"
"1","STRT",2020-08-28 09:30:00,1129.20072927559,2020-08-28 08:00:00,75.31,30.5092857142857,126.663636363636,8.11545454545455,1129.20072927559
"2","STRT",2020-08-28 09:45:00,1142.96401333681,2020-08-28 08:00:00,75.2827272727273,30.5085714285714,126.654545454545,8.52818181818182,1142.96401333681
"3","STRT",2020-08-28 10:00:00,1124.52337222337,2020-08-28 08:00:00,75.2336363636364,30.5157142857143,126.654545454545,7.89090909090909,1124.52337222337
"4","STRT",2020-08-28 10:15:00,1136.36915447348,2020-08-28 08:00:00,75.2281818181818,30.5407142857143,126.581818181818,8.41909090909091,1136.36915447348
"5","STRT",2020-08-28 10:30:00,1159.7559397344,2020-08-28 08:00:00,75.21,30.5314285714286,126.590909090909,7.69181818181818,1159.7559397344
"6","STRT",2020-08-28 10:45:00,1155.61615687289,2020-08-28 08:00:00,75.0818181818182,30.5185714285714,126.6,7.89,1155.61615687289
"7","STRT",2020-08-28 11:00:00,1138.82423047529,2020-08-28 08:00:00,74.9863636363636,30.5214285714286,126.572727272727,7.73090909090909,1138.82423047529
"8","STRT",2020-08-28 11:15:00,1156.99608449341,2020-08-28 08:00:00,74.6818181818182,30.5107142857143,126.572727272727,7.58909090909091,1156.99608449341
"9","STRT",2020-08-28 11:30:00,1169.64822802949,2020-08-28 08:00:00,74.3645454545454,30.4871428571429,126.572727272727,7.43636363636364,1169.64822802949
"10","STRT",2020-08-28 11:45:00,1164.97087097727,2020-08-28 08:00:00,74.2463636363636,30.4821428571429,126.581818181818,7.25545454545455,1164.97087097727
"11","STRT",2020-08-28 12:00:00,1179.00294213375,2020-08-28 08:00:00,73.9590909090909,30.4528571428571,126.572727272727,7.46363636363636,1179.00294213375
"12","STRT",2020-08-28 12:15:00,1186.70894152235,2020-08-28 08:00:00,73.7790909090909,30.4535714285714,126.572727272727,7.29363636363636,1186.70894152235
"13","STRT",2020-08-28 12:30:00,1188.62644333352,2020-08-28 08:00:00,73.3972727272727,30.4314285714286,126.572727272727,7.28727272727273,1188.62644333352
"14","STRT",2020-08-28 12:45:00,1197.71237034263,2020-08-28 08:00:00,73.02,30.4064285714286,126.581818181818,7.22727272727273,1197.71237034263
"15","STRT",2020-08-28 13:00:00,1207.0670844469,2020-08-28 08:00:00,72.9454545454546,30.3657142857143,126.581818181818,7.41363636363636,1207.0670844469
"16","STRT",2020-08-28 13:15:00,1214.50429674023,2020-08-28 08:00:00,72.7545454545455,30.3607142857143,126.563636363636,7.45636363636364,1214.50429674023
"17","STRT",2020-08-28 13:30:00,1219.45044088777,2020-08-28 08:00:00,72.5772727272727,30.3492857142857,126.563636363636,7.28272727272727,1219.45044088777
"18","STRT",2020-08-28 13:45:00,1226.0452997511,2020-08-28 08:00:00,72.5918181818182,30.345,126.563636363636,7.16272727272727,1226.0452997511
"19","STRT",2020-08-28 14:00:00,1215.04187093087,2020-08-28 08:00:00,72.5163636363636,30.3292857142857,126.490909090909,7.25909090909091,1215.04187093087
"20","STRT",2020-08-28 14:15:00,1228.53636789677,2020-08-28 08:00:00,72.3772727272727,30.3135714285714,126.527272727273,7.10454545454545,1228.53636789677
"21","STRT",2020-08-28 14:30:00,1245.86586848495,2020-08-28 08:00:00,72.1981818181818,30.2871428571429,126.472727272727,7.01636363636364,1245.86586848495
"22","STRT",2020-08-28 14:45:00,1238.15986909647,2020-08-28 08:00:00,71.9881818181818,30.2842857142857,126.481818181818,7.40909090909091,1238.15986909647
"23","STRT",2020-08-28 15:00:00,1236.51115438069,2020-08-28 08:00:00,71.9036363636364,30.2542857142857,126.390909090909,7.36636363636364,1236.51115438069
"24","STRT",2020-08-28 15:15:00,1249.16329791665,2020-08-28 08:00:00,71.8463636363636,30.2257142857143,126.463636363636,7.34545454545455,1249.16329791665
"25","STRT",2020-08-28 15:30:00,1250.81201263249,2020-08-28 08:00:00,71.3518181818182,30.2185714285714,126.436363636364,7.37090909090909,1250.81201263249
"26","STRT",2020-08-28 15:45:00,1278.33858075493,2020-08-28 08:00:00,71.5045454545455,30.1885714285714,126.4,7.12,1278.33858075493
"27","STRT",2020-08-28 16:00:00,1281.63601018663,2020-08-28 08:00:00,71.4572727272727,30.1692857142857,126.372727272727,7.29272727272727,1281.63601018663
"28","STRT",2020-08-28 16:15:00,1264.57529669371,2020-08-28 08:00:00,71.4554545454545,30.1428571428571,126.372727272727,7.20727272727273,1264.57529669371
"29","STRT",2020-08-28 16:30:00,1276.95865313441,2020-08-28 08:00:00,71.2918181818182,30.1107142857143,126.290909090909,7.10545454545455,1276.95865313441
"30","STRT",2020-08-28 16:45:00,1263.19536907319,2020-08-28 08:00:00,71.3009090909091,30.1128571428571,126.272727272727,7.03545454545455,1263.19536907319
"31","STRT",2020-08-28 17:00:00,1286.31336723885,2020-08-28 08:00:00,71.2590909090909,30.0885714285714,126.236363636364,7.36909090909091,1286.31336723885
"32","STRT",2020-08-28 17:15:00,1286.58215433417,2020-08-28 08:00:00,71.1527272727273,30.0542857142857,126.072727272727,7.35454545454545,1286.58215433417
"33","STRT",2020-08-28 17:30:00,1295.39929424797,2020-08-28 08:00:00,70.8918181818182,30.0314285714286,125.9,7.14,1295.39929424797
"34","STRT",2020-08-28 17:45:00,1280.52486966155,2020-08-28 08:00:00,70.6063636363636,29.9764285714286,125.736363636364,7.11181818181818,1280.52486966155
"35","STRT",2020-08-28 18:00:00,1294.28815372271,2020-08-28 08:00:00,70.6427272727273,29.9514285714286,125.681818181818,7.09727272727273,1294.28815372271
"36","STRT",2020-08-28 18:15:00,1284.664652523,2020-08-28 08:00:00,70.6236363636364,29.8964285714286,125.672727272727,7.24,1284.664652523
"37","STRT",2020-08-28 18:30:00,1281.63601018663,2020-08-28 08:00:00,70.6363636363636,29.88,125.645454545455,7.28090909090909,1281.63601018663
"38","STRT",2020-08-28 18:45:00,1279.98729547078,2020-08-28 08:00:00,70.6081818181818,29.8042857142857,125.563636363636,7.13727272727273,1279.98729547078
"39","STRT",2020-08-28 19:00:00,1288.80443538458,2020-08-28 08:00:00,70.8118181818182,29.7885714285714,125.572727272727,7.22545454545455,1288.80443538458
"40","STRT",2020-08-28 19:15:00,1296.77922186838,2020-08-28 08:00:00,70.9345454545455,29.78,125.572727272727,7.39,1296.77922186838
"41","STRT",2020-08-28 19:30:00,1291.83307772083,2020-08-28 08:00:00,71.0872727272727,29.7814285714286,125.572727272727,7.39272727272727,1291.83307772083
"42","STRT",2020-08-28 19:45:00,1287.42450776405,2020-08-28 08:00:00,71.2145454545455,29.7578571428571,125.554545454545,7.36181818181818,1287.42450776405
"43","STRT",2020-08-28 20:00:00,1310.27371883427,2020-08-28 08:00:00,71.3536363636364,29.7542857142857,125.472727272727,7.26818181818182,1310.27371883427
"44","STRT",2020-08-28 20:15:00,1301.4565789206,2020-08-28 08:00:00,71.4845454545455,29.74,125.381818181818,7.37545454545455,1301.4565789206
"45","STRT",2020-08-28 20:30:00,1289.34200957522,2020-08-28 08:00:00,71.6654545454546,29.7528571428571,125.354545454545,7.63909090909091,1289.34200957522
"46","STRT",2020-08-28 20:45:00,1301.4565789206,2020-08-28 08:00:00,72.0290909090909,29.7464285714286,125.363636363636,7.67272727272727,1301.4565789206
"47","STRT",2020-08-28 21:00:00,1306.13393597282,2020-08-28 08:00:00,72.4336363636364,29.7235714285714,125.272727272727,7.74727272727273,1306.13393597282
"48","STRT",2020-08-28 21:15:00,1275.578725514,2020-08-28 08:00:00,72.7366666666667,29.7457142857143,125.233333333333,7.97222222222222,1275.578725514
"49","STRT",2020-08-28 21:30:00,1289.34200957522,2020-08-28 08:00:00,73.0636363636364,29.7242857142857,125.181818181818,7.79363636363636,1289.34200957522
"50","STRT",2020-08-28 21:45:00,1285.20222671359,2020-08-28 08:00:00,73.4427272727273,29.7121428571429,125.254545454545,8.15181818181818,1285.20222671359
"51","STRT",2020-08-28 22:00:00,1292.63943900692,2020-08-28 08:00:00,73.6554545454545,29.73,125.181818181818,7.82818181818182,1292.63943900692
"52","STRT",2020-08-28 22:15:00,1301.4565789206,2020-08-28 08:00:00,74.0254545454546,29.6942857142857,125.172727272727,8.27090909090909,1301.4565789206
"53","STRT",2020-08-28 22:30:00,1296.77922186838,2020-08-28 08:00:00,74.3790909090909,29.6921428571429,125.172727272727,7.79181818181818,1296.77922186838
"54","STRT",2020-08-28 22:45:00,1283.01593780715,2020-08-28 08:00:00,74.6681818181818,29.6964285714286,125.1,7.77636363636364,1283.01593780715
"55","STRT",2020-08-28 23:00:00,1283.28472490248,2020-08-28 08:00:00,75.1681818181818,29.6864285714286,125.081818181818,8.29090909090909,1283.28472490248
"56","STRT",2020-08-28 23:15:00,1287.9620819547,2020-08-28 08:00:00,75.6854545454545,29.6657142857143,125.072727272727,8.27909090909091,1287.9620819547
"57","STRT",2020-08-28 23:30:00,1283.01593780715,2020-08-28 08:00:00,76.2554545454545,29.6671428571429,125.054545454545,8.13181818181818,1283.01593780715
"58","STRT",2020-08-28 23:45:00,1308.89379121375,2020-08-28 08:00:00,76.6263636363636,29.6607142857143,124.981818181818,8.69636363636364,1308.89379121375
"59","STRT",2020-08-29 00:00:00,1292.10186481627,2020-08-29 08:00:00,77.1654545454546,29.6128571428571,124.963636363636,9.25727272727273,1292.10186481627
"60","STRT",2020-08-29 00:15:00,1287.69329485937,2020-08-29 08:00:00,77.0263636363636,29.5935714285714,125,8.70272727272727,1287.69329485937
"61","STRT",2020-08-29 00:30:00,1268.98386665061,2020-08-29 08:00:00,78.0772727272727,29.6092857142857,124.872727272727,9.02818181818182,1268.98386665061
"62","STRT",2020-08-29 00:45:00,1283.5535119978,2020-08-29 08:00:00,78.2836363636364,29.6071428571429,124.881818181818,9.12727272727273,1283.5535119978
"63","STRT",2020-08-29 01:00:00,1283.28472490248,2020-08-29 08:00:00,78.9554545454545,29.5435714285714,124.863636363636,9.56636363636364,1283.28472490248
"64","STRT",2020-08-29 01:15:00,1264.57529669371,2020-08-29 08:00:00,79.4418181818182,29.5485714285714,124.827272727273,8.99909090909091,1264.57529669371
