,year,Site,medianfDOM,medianNO3,medianSPC,medianTURB,,,year,medianfDOM,medianNO3,medianSPC,medianTURB
1,2018,CARI,68.23,27.2,70.155,0.12,,CARI,2018,64.56,28.3,69.4,-0.4
2,2018,FRCH,85.75833333,28.55933333,79.83333333,14.705,,CARI,2019,42.04,28.7,88.66,2.25
3,2018,MOOS,126.235,25.46333333,109.7,11.02,,CARI,2020,67.835,27.1,68.215,-2.22
4,2019,CARI,42.71,28.7,88.57,2.26,,CARI,2021,42.475,28.6,79.25,1.95
5,2019,FRCH,62.20667,20.65083,75.56,23.23,,MOOS,2018,116.72,26.57333333,103.6,9.24
6,2019,MOOS,107.515,24.59778,121.5091,6.51,,MOOS,2019,113.9,25.33889,113.2364,7.76
7,2019,POKE,33.163185,26.91214,123.3818,4.237273,,MOOS,2020,124.79455,25.4725,105.1636,19.505905
8,2019,STRT,50.64091,16.88571,134.7636,6.22,,MOOS,2021,98.35667,22.3225,124.8,12.74
9,2019,VAUL,212,NA,414.6,8.700909,,POKE,2019,33.54455,31.84214,117.6,5.0031815
10,2020,CARI,67.835,27.1,68.215,-2.22,,POKE,2020,40.16,30.62,98.6,9.575
11,2020,FRCH,69.00727,37.89429,76.62727,15.885905,,POKE,2021,24.886,33.138185,120.3667,9.074
12,2020,MOOS,122.5568,25.09333,103.5455,22.783185,,VAUL,2019,214.1718,NA,364.2,8.86
13,2020,POKE,42.74,29.66452,95.9,9.75,,VAUL,2020,227.79,32.13308,267.6455,18.50727
14,2020,STRT,72.01364,30.62357,117.0818,10.57909,,VAUL,2021,212.13685,23.737305,365.95,21.919
15,2020,VAUL,226.6959,31.41923,254.22275,20.285455,,STRT,2019,52.701365,23.36357,129.3,6.645
16,2021,CARI,44.475,28.3,76.735,1.94,,STRT,2020,70.01227,30.60714,118.5727,10.306365
17,2021,FRCH,46.09333,23.46091,94.13333,16.962,,STRT,2021,54.96,26.77071,134.7667,7.873333
18,2021,MOOS,106.6425,23.011,128.88165,7.4875,,FRCH,2018,81.815,29.21266667,79.41666667,14.06059524
19,2021,POKE,22.01833,31.06923,122.7,7.748333,,FRCH,2019,60.47273,21.19583,72.62,12.38636
20,2021,STRT,56.485,27.92857,139.38,7.085,,FRCH,2020,69.097725,37.81929,76.02727,15.890455
21,2021,VAUL,238.2733,20.368,383.3,18.468,,FRCH,2021,45.355,23.79818,93.88,14.02667
,,,,,,,,,,,,,
,,,,,,,,,,,,,
year,Peak CHENA,julian day ,,,,,,,,,,,
2018,23-May,143,,,,,,,,,,,
2019,12-May,132,,,,,,,,,,,
2020,13-May,134,,,,,,,,,,,
2021,8-May,128,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Site,start,julian day,end,julian day,,YEAR,TSC,,,,,
2018,MOOS,30-May,150,26-Oct,299,,2018,7-142,,,,,
2019,MOOS,9-May,129,21-Oct,294,,2019,0-151,,,,,
2020,MOOS,10-Jun,162,15-Oct,289,,2020,35-153,,,,,
2021,MOOS,5-May,125,28-Sep,271,,2021,2-142,,,,,
2018,FRCH,30-May,150,12-Oct,285,,,,,,,,
2019,FRCH,29-Apr,119,10-Oct,283,,ALL,35-142,start,end,,,
2020,FRCH,11-Jun,163,15-Oct,289,,2018,178-285,27-Jun,12-Oct,,,
2021,FRCH,4-May,124,28-Sep,271,,2019,167-274,16-Jun,1-Oct,,,
2019,POKE,11-May,131,16-Oct,289,,2020,169-274,17-Jun,30-Sep,,,
2020,POKE,4-Jun,156,14-Oct,288,,2021,163-270,12-Jun,27-Sep,,,
2021,POKE,6-May,126,29-Sep,272,,,,,,,,
2019,VAUL,10-May,130,16-Oct,289,,,,,,,,
2020,VAUL,5-Jun,155,14-Oct,288,,,,,,,,
2021,VAUL,10-May,130,27-Sep,270,,,,,,,,
2019,STRT,7-May,127,16-Oct,289,,,,,,,,
2020,STRT,17-Jun,169,13-Oct,287,,,,,,,,
2021,STRT,7-May,127,30-Sep,273,,,,,,,,
