"","DateTime","fDOM.QSU","Q","Site","day","nitrateuM","SpCond.uScm","Turbidity.FNU","MeanDischarge"
"8346",2021-08-20 23:45:00,91.582,496.138565331072,"FRCH",2021-08-20,22.4281818181818,92.34,49.988,496.138565331072
"8347",2021-08-21 00:00:00,91.6666666666667,495.244577106758,"FRCH",2021-08-21,22.4327272727273,92.1833333333333,45.6916666666667,495.244577106758
"8348",2021-08-21 00:15:00,91.152,494.797582994608,"FRCH",2021-08-21,22.4727272727273,92.26,49.052,494.797582994608
"8349",2021-08-21 00:30:00,87.185,498.477525945258,"FRCH",2021-08-21,22.4863636363636,92.0666666666667,49.1283333333333,498.477525945258
"8350",2021-08-21 00:45:00,88.208,500.781823208323,"FRCH",2021-08-21,22.4572727272727,92.22,47.138,500.781823208323
"8351",2021-08-21 01:00:00,94.0833333333333,505.425081085559,"FRCH",2021-08-21,22.4272727272727,92.15,52.225,505.425081085559
"8352",2021-08-21 01:15:00,94.406,505.45974443671,"FRCH",2021-08-21,22.5472727272727,92.16,41.842,505.45974443671
"8353",2021-08-21 01:30:00,94.3883333333333,509.139687387375,"FRCH",2021-08-21,22.4627272727273,92.05,39.4033333333333,509.139687387375
"8354",2021-08-21 01:45:00,92.914,509.139687387375,"FRCH",2021-08-21,22.4472727272727,92.04,42.086,509.139687387375
"8355",2021-08-21 02:00:00,91.7366666666667,512.85429368919,"FRCH",2021-08-21,22.5609090909091,92.0333333333333,40.855,512.85429368919
"8356",2021-08-21 02:15:00,92.888,513.370614503612,"FRCH",2021-08-21,22.5318181818182,92.04,38.42,513.370614503612
"8357",2021-08-21 02:30:00,91.9316666666667,516.052579176539,"FRCH",2021-08-21,22.6290909090909,91.7833333333333,33.385,516.052579176539
"8358",2021-08-21 02:45:00,93.284,517.46288821529,"FRCH",2021-08-21,22.5781818181818,91.9,42.454,517.46288821529
"8359",2021-08-21 03:00:00,91.965,520.283506292777,"FRCH",2021-08-21,22.6909090909091,91.75,38.9033333333333,520.283506292777
"8360",2021-08-21 03:15:00,92.71,521.693815331513,"FRCH",2021-08-21,22.6345454545455,91.74,36.984,521.693815331513
"8361",2021-08-21 03:30:00,94.7916666666667,524.926764170028,"FRCH",2021-08-21,22.7,91.8666666666667,39.7633333333333,524.926764170028
"8362",2021-08-21 03:45:00,94.432,528.229039710815,"FRCH",2021-08-21,22.7354545454545,91.74,40.264,528.229039710815
"8363",2021-08-21 04:00:00,95.63,531.014994437181,"FRCH",2021-08-21,22.7,91.7333333333333,38.7483333333333,531.014994437181
"8364",2021-08-21 04:15:00,93.732,532.35597677363,"FRCH",2021-08-21,22.8518181818182,91.64,37.39,532.35597677363
"8365",2021-08-21 04:30:00,92.51,535.623588963295,"FRCH",2021-08-21,22.8772727272727,91.6333333333333,38.0933333333333,535.623588963295
"8366",2021-08-21 04:45:00,96.75,537.962549577482,"FRCH",2021-08-21,22.8618181818182,91.64,41.92,537.962549577482
"8367",2021-08-21 05:00:00,96.6283333333333,541.677155879283,"FRCH",2021-08-21,22.8554545454545,91.55,42.775,541.677155879283
"8368",2021-08-21 05:15:00,93.72,542.124149991432,"FRCH",2021-08-21,22.8454545454545,91.46,43.25,542.124149991432
"8369",2021-08-21 05:30:00,94.8233333333333,545.838756293248,"FRCH",2021-08-21,22.9227272727273,91.45,40.3316666666667,545.838756293248
"8370",2021-08-21 05:45:00,96.17,549.553362595048,"FRCH",2021-08-21,22.8663636363636,91.48,51.83,549.553362595048
