"Site","DateTime","Q","day","fDOM.QSU.mn","nitrateuM","SpCond.uScm.mn","Turbidity.FNU.mn"
"STRT",2019-05-21 06:45:00,615.755373677838,2019-05-21,60.3790909090909,23.1614285714286,122.163636363636,7.12727272727273
"STRT",2019-05-21 07:00:00,608.248952813406,2019-05-21,60.0381818181818,23.1978571428571,122.545454545455,7.32181818181818
"STRT",2019-05-21 07:15:00,608.248952813406,2019-05-21,59.7772727272727,23.2092857142857,122.854545454545,7.17454545454545
"STRT",2019-05-21 07:30:00,608.248952813406,2019-05-21,59.5245454545455,23.2271428571429,123.154545454545,7.02363636363636
"STRT",2019-05-21 07:45:00,608.248952813406,2019-05-21,59.3245454545455,23.2335714285714,123.354545454545,7.10181818181818
"STRT",2019-05-21 08:00:00,608.248952813406,2019-05-21,59.1381818181818,23.2457142857143,123.445454545455,7.13545454545455
"STRT",2019-05-21 08:15:00,604.49574238119,2019-05-21,58.8690909090909,23.2328571428571,123.554545454545,7.13727272727273
"STRT",2019-05-21 08:30:00,604.49574238119,2019-05-21,58.6363636363636,23.2464285714286,123.636363636364,6.94181818181818
"STRT",2019-05-21 08:45:00,612.002163245622,2019-05-21,58.4972727272727,23.2492857142857,123.727272727273,7.04727272727273
"STRT",2019-05-21 09:00:00,615.755373677838,2019-05-21,NA,23.2792857142857,123.772727272727,7.70545454545455
"STRT",2019-05-21 09:15:00,619.508584110054,2019-05-21,58.3145454545455,23.2542857142857,123.845454545455,7.17
"STRT",2019-05-21 09:30:00,604.49574238119,2019-05-21,58.22,23.2614285714286,123.854545454545,7.08454545454545
"STRT",2019-05-21 09:45:00,612.002163245622,2019-05-21,58.1572727272727,23.2671428571429,123.872727272727,7.09272727272727
"STRT",2019-05-21 10:00:00,596.989321516757,2019-05-21,58.0927272727273,23.2564285714286,123.945454545455,7.19181818181818
"STRT",2019-05-21 10:15:00,612.002163245622,2019-05-21,58.0563636363636,23.2392857142857,123.945454545455,7.19363636363636
