"","Site","DateTime","Q","day","fDOM.QSU.mn","nitrateuM","SpCond.uScm.mn","Turbidity.FNU.mn","MeanDischarge"
"48","STRT",2019-06-01 00:15:00,1321.35893493447,2019-06-01,NA,22.4042857142857,NA,NA,1321.35893493447
"49","STRT",2019-06-01 00:30:00,1321.35893493447,2019-06-01,NA,22.4328571428571,NA,NA,1321.35893493447
"50","STRT",2019-06-01 00:45:00,1385.16351228214,2019-06-01,NA,NA,NA,NA,1385.16351228214
"51","STRT",2019-06-01 01:00:00,1400.17635401101,2019-06-01,NA,22.49,NA,NA,1400.17635401101
"52","STRT",2019-06-01 01:15:00,1411.43598530765,2019-06-01,NA,22.5164285714286,NA,NA,1411.43598530765
"53","STRT",2019-06-01 01:30:00,1456.47451049425,2019-06-01,NA,22.4092857142857,NA,NA,1456.47451049425
"54","STRT",2019-06-01 01:45:00,1497.75982524862,2019-06-01,NA,22.4471428571429,NA,NA,1497.75982524862
"55","STRT",2019-06-01 02:00:00,1531.53871913857,2019-06-01,NA,22.6192857142857,NA,NA,1531.53871913857
"56","STRT",2019-06-01 02:15:00,1546.55156086743,2019-06-01,NA,22.4814285714286,NA,NA,1546.55156086743
"57","STRT",2019-06-01 02:30:00,1587.83687562181,2019-06-01,NA,22.4628571428571,NA,NA,1587.83687562181
"58","STRT",2019-06-01 02:45:00,1629.12219037619,2019-06-01,NA,NA,NA,NA,1629.12219037619
"59","STRT",2019-06-01 03:00:00,1640.38182167284,2019-06-01,NA,NA,NA,NA,1640.38182167284
"60","STRT",2019-06-01 03:15:00,1711.69281988494,2019-06-01,NA,22.4878571428571,NA,NA,1711.69281988494
"61","STRT",2019-06-01 03:30:00,1722.95245118159,2019-06-01,NA,22.5028571428571,NA,NA,1722.95245118159
"62","STRT",2019-06-01 03:45:00,1752.97813463932,2019-06-01,NA,22.5035714285714,NA,NA,1752.97813463932
"63","STRT",2019-06-01 04:00:00,1786.75702852926,2019-06-01,NA,22.5821428571429,NA,NA,1786.75702852926
"64","STRT",2019-06-01 04:15:00,1786.75702852926,2019-06-01,NA,22.5814285714286,NA,NA,1786.75702852926
"65","STRT",2019-06-01 04:30:00,1820.53592241921,2019-06-01,NA,22.6307142857143,NA,NA,1820.53592241921
"66","STRT",2019-06-01 04:45:00,1854.31481630915,2019-06-01,NA,22.615,NA,NA,1854.31481630915
"67","STRT",2019-06-01 05:00:00,1876.83407890245,2019-06-01,NA,22.6442857142857,NA,NA,1876.83407890245
"68","STRT",2019-06-01 05:15:00,1899.35334149575,2019-06-01,NA,NA,NA,NA,1899.35334149575
"69","STRT",2019-06-01 05:30:00,1914.36618322461,2019-06-01,NA,22.6571428571429,NA,NA,1914.36618322461
"70","STRT",2019-06-01 05:45:00,1951.89828754677,2019-06-01,NA,NA,NA,NA,1951.89828754677
"71","STRT",2019-06-01 06:00:00,1959.40470841121,2019-06-01,NA,22.6492857142857,NA,NA,1959.40470841121
"72","STRT",2019-06-01 06:15:00,1978.17076057229,2019-06-01,NA,22.7507142857143,NA,NA,1978.17076057229
"73","STRT",2019-06-01 06:30:00,2004.4432335978,2019-06-01,NA,22.7228571428571,NA,NA,2004.4432335978
"74","STRT",2019-06-01 06:45:00,2038.22212748774,2019-06-01,NA,22.6907142857143,NA,NA,2038.22212748774
"75","STRT",2019-06-01 07:00:00,2056.98817964882,2019-06-01,NA,22.6535714285714,NA,NA,2056.98817964882
"76","STRT",2019-06-01 07:15:00,2053.23496921661,2019-06-01,NA,NA,NA,NA,2053.23496921661
"77","STRT",2019-06-01 07:30:00,2064.49460051326,2019-06-01,NA,22.8564285714286,NA,NA,2064.49460051326
"78","STRT",2019-06-01 07:45:00,2083.26065267434,2019-06-01,NA,NA,NA,NA,2083.26065267434
"79","STRT",2019-06-01 08:00:00,2072.00102137769,2019-06-01,NA,22.6707142857143,NA,NA,2072.00102137769
"80","STRT",2019-06-01 08:15:00,2083.26065267434,2019-06-01,NA,22.6014285714286,NA,NA,2083.26065267434
"81","STRT",2019-06-01 08:30:00,2109.53312569985,2019-06-01,NA,22.7264285714286,NA,NA,2109.53312569985
"82","STRT",2019-06-01 08:45:00,2105.77991526763,2019-06-01,NA,22.7685714285714,NA,NA,2105.77991526763
"83","STRT",2019-06-01 09:00:00,2124.54596742871,2019-06-01,NA,NA,NA,NA,2124.54596742871
"84","STRT",2019-06-01 09:15:00,2124.54596742871,2019-06-01,NA,NA,NA,NA,2124.54596742871
"85","STRT",2019-06-01 09:30:00,2132.05238829315,2019-06-01,NA,22.7857142857143,NA,NA,2132.05238829315
"86","STRT",2019-06-01 09:45:00,2139.55880915758,2019-06-01,NA,NA,NA,NA,2139.55880915758
"87","STRT",2019-06-01 10:00:00,2147.06523002201,2019-06-01,NA,NA,NA,NA,2147.06523002201
"88","STRT",2019-06-01 10:15:00,2143.31201958979,2019-06-01,NA,22.6757142857143,NA,NA,2143.31201958979
"89","STRT",2019-06-01 10:30:00,2143.31201958979,2019-06-01,NA,NA,NA,NA,2143.31201958979
"90","STRT",2019-06-01 10:45:00,2132.05238829315,2019-06-01,NA,22.6064285714286,NA,NA,2132.05238829315
"91","STRT",2019-06-01 11:00:00,2154.57165088644,2019-06-01,NA,22.62,NA,NA,2154.57165088644
"92","STRT",2019-06-01 11:15:00,2165.83128218309,2019-06-01,NA,22.545,NA,NA,2165.83128218309
"93","STRT",2019-06-01 11:30:00,2132.05238829315,2019-06-01,NA,22.5064285714286,NA,NA,2132.05238829315
"94","STRT",2019-06-01 11:45:00,2173.33770304752,2019-06-01,NA,NA,NA,NA,2173.33770304752
"95","STRT",2019-06-01 12:00:00,2173.33770304752,2019-06-01,NA,22.5564285714286,NA,NA,2173.33770304752
"96","STRT",2019-06-01 12:15:00,2169.58449261531,2019-06-01,NA,22.5578571428571,NA,NA,2169.58449261531
"97","STRT",2019-06-01 12:30:00,2165.83128218309,2019-06-01,NA,NA,NA,NA,2165.83128218309
"98","STRT",2019-06-01 12:45:00,2173.33770304752,2019-06-01,NA,NA,NA,NA,2173.33770304752
"99","STRT",2019-06-01 13:00:00,2162.07807175088,2019-06-01,NA,NA,NA,NA,2162.07807175088
"100","STRT",2019-06-01 13:15:00,2180.84412391196,2019-06-01,NA,NA,NA,NA,2180.84412391196
"101","STRT",2019-06-01 13:30:00,2177.09091347974,2019-06-01,NA,NA,NA,NA,2177.09091347974
"102","STRT",2019-06-01 13:45:00,2169.58449261531,2019-06-01,NA,NA,NA,NA,2169.58449261531
"103","STRT",2019-06-01 14:00:00,2173.33770304752,2019-06-01,NA,22.5142857142857,NA,NA,2173.33770304752
"104","STRT",2019-06-01 14:15:00,2184.59733434417,2019-06-01,NA,22.5235714285714,NA,NA,2184.59733434417
"105","STRT",2019-06-01 14:30:00,2180.84412391196,2019-06-01,NA,NA,NA,NA,2180.84412391196
"106","STRT",2019-06-01 14:45:00,2169.58449261531,2019-06-01,NA,22.4985714285714,NA,NA,2169.58449261531
"107","STRT",2019-06-01 15:00:00,2173.33770304752,2019-06-01,NA,NA,NA,NA,2173.33770304752
"108","STRT",2019-06-01 15:15:00,2154.57165088644,2019-06-01,NA,NA,NA,NA,2154.57165088644
"109","STRT",2019-06-01 15:30:00,2199.61017607304,2019-06-01,NA,NA,NA,NA,2199.61017607304
"110","STRT",2019-06-01 15:45:00,2162.07807175088,2019-06-01,NA,22.4907142857143,NA,NA,2162.07807175088
"111","STRT",2019-06-01 16:00:00,2188.35054477639,2019-06-02,NA,22.4014285714286,NA,NA,2188.35054477639
"112","STRT",2019-06-01 16:15:00,2203.36338650525,2019-06-02,NA,NA,NA,NA,2203.36338650525
"113","STRT",2019-06-01 16:30:00,2195.85696564082,2019-06-02,NA,NA,NA,NA,2195.85696564082
