Site,DateTime,Q,day,MeanDischarge,inst_rainfall_mm,twentyfour,fourtyeight
STRT,2020-06-17T16:30:00Z,1129.1287449880037,2020-06-17T08:00:00Z,1129.1287449880037,NA,0,0
STRT,2020-06-17T16:45:00Z,1138.2146719971206,2020-06-17T08:00:00Z,1138.2146719971206,NA,0,0
STRT,2020-06-17T17:00:00Z,1107.390674442926,2020-06-17T08:00:00Z,1107.390674442926,NA,0,0
STRT,2020-06-17T17:15:00Z,1107.6594615382492,2020-06-17T08:00:00Z,1107.6594615382492,NA,0,0
STRT,2020-06-17T17:30:00Z,1125.8313155563665,2020-06-17T08:00:00Z,1125.8313155563665,NA,0,0
STRT,2020-06-17T17:45:00Z,1121.1539585041464,2020-06-17T08:00:00Z,1121.1539585041464,NA,0,0
STRT,2020-06-17T18:00:00Z,1125.8313155563665,2020-06-17T08:00:00Z,1125.8313155563665,NA,0,0
STRT,2020-06-17T18:15:00Z,1125.2937413656618,2020-06-17T08:00:00Z,1125.2937413656618,NA,0,0
STRT,2020-06-17T18:30:00Z,1090.0611738545704,2020-06-17T08:00:00Z,1090.0611738545704,NA,0,0
STRT,2020-06-17T18:45:00Z,1095.2761050975532,2020-06-17T08:00:00Z,1095.2761050975532,NA,0,0
STRT,2020-06-17T19:00:00Z,1093.6273903817055,2020-06-17T08:00:00Z,1093.6273903817055,NA,0,0
STRT,2020-06-17T19:15:00Z,1089.2188204248087,2020-06-17T08:00:00Z,1089.2188204248087,NA,0,0
STRT,2020-06-17T19:30:00Z,1095.0073180020554,2020-06-17T08:00:00Z,1095.0073180020554,NA,0,0
STRT,2020-06-17T19:45:00Z,1088.9500333294272,2020-06-17T08:00:00Z,1088.9500333294272,NA,0,0
STRT,2020-06-17T20:00:00Z,1090.8675351406564,2020-06-17T08:00:00Z,1090.8675351406564,NA,0,0
STRT,2020-06-17T20:15:00Z,1081.2440339410095,2020-06-17T08:00:00Z,1081.2440339410095,NA,0,0
STRT,2020-06-17T20:30:00Z,1090.32996095001,2020-06-17T08:00:00Z,1090.32996095001,NA,0,0
STRT,2020-06-17T20:45:00Z,1088.4124591387226,2020-06-17T08:00:00Z,1088.4124591387226,NA,0,0
STRT,2020-06-17T21:00:00Z,1081.2440339410095,2020-06-17T08:00:00Z,1081.2440339410095,NA,0,0
STRT,2020-06-17T21:15:00Z,1090.32996095001,2020-06-17T08:00:00Z,1090.32996095001,NA,0,0
STRT,2020-06-17T21:30:00Z,1088.4124591387226,2020-06-17T08:00:00Z,1088.4124591387226,NA,0,0
STRT,2020-06-17T21:45:00Z,1112.068031495146,2020-06-17T08:00:00Z,1112.068031495146,NA,0,0
STRT,2020-06-17T22:00:00Z,1098.0359603384277,2020-06-17T08:00:00Z,1098.0359603384277,NA,0,0
STRT,2020-06-17T22:15:00Z,1088.6812462341622,2020-06-17T08:00:00Z,1088.6812462341622,NA,0,0
STRT,2020-06-17T22:30:00Z,1110.4193167792982,2020-06-17T08:00:00Z,1110.4193167792982,NA,0,0
STRT,2020-06-17T22:45:00Z,1088.9500333294272,2020-06-17T08:00:00Z,1088.9500333294272,NA,0,0
STRT,2020-06-17T23:00:00Z,1070.7781793114264,2020-06-17T08:00:00Z,1070.7781793114264,NA,0,0
STRT,2020-06-17T23:15:00Z,1070.5093922161614,2020-06-17T08:00:00Z,1070.5093922161614,NA,0,0
STRT,2020-06-17T23:30:00Z,1077.946604509314,2020-06-17T08:00:00Z,1077.946604509314,NA,0,0
STRT,2020-06-17T23:45:00Z,1087.0325315183145,2020-06-17T08:00:00Z,1087.0325315183145,NA,0,0
STRT,2020-06-18T00:00:00Z,1077.6778174138744,2020-06-17T08:00:00Z,1077.6778174138744,NA,0,0
STRT,2020-06-18T00:15:00Z,1063.645746257389,2020-06-17T08:00:00Z,1063.645746257389,NA,0,0
STRT,2020-06-18T00:30:00Z,1082.3551744660945,2020-06-17T08:00:00Z,1082.3551744660945,NA,0,0
STRT,2020-06-18T00:45:00Z,1068.591890404874,2020-06-17T08:00:00Z,1068.591890404874,NA,0,0
STRT,2020-06-18T01:00:00Z,1066.6743885937613,2020-06-17T08:00:00Z,1066.6743885937613,NA,0,0
STRT,2020-06-18T01:15:00Z,1076.2978897934663,2020-06-17T08:00:00Z,1076.2978897934663,NA,0,0
STRT,2020-06-18T01:30:00Z,1085.65260389779,2020-06-17T08:00:00Z,1085.65260389779,NA,0,0
STRT,2020-06-18T01:45:00Z,1085.3838168024668,2020-06-17T08:00:00Z,1085.3838168024668,NA,0,0
STRT,2020-06-18T02:00:00Z,1083.1615357521805,2020-06-17T08:00:00Z,1083.1615357521805,NA,0,0
STRT,2020-06-18T02:15:00Z,1090.0611738545704,2020-06-17T08:00:00Z,1090.0611738545704,NA,0,0
STRT,2020-06-18T02:30:00Z,1072.158106932009,2020-06-17T08:00:00Z,1072.158106932009,NA,0,0
STRT,2020-06-18T02:45:00Z,1051.7999640072812,2020-06-17T08:00:00Z,1051.7999640072812,NA,0,0
STRT,2020-06-18T03:00:00Z,1062.5346057322458,2020-06-17T08:00:00Z,1062.5346057322458,NA,0,0
STRT,2020-06-18T03:15:00Z,1065.8320351639413,2020-06-17T08:00:00Z,1065.8320351639413,NA,0,0
STRT,2020-06-18T03:30:00Z,1065.8320351639413,2020-06-17T08:00:00Z,1065.8320351639413,NA,0,0
STRT,2020-06-18T03:45:00Z,1068.323103309609,2020-06-17T08:00:00Z,1068.323103309609,NA,0,0
STRT,2020-06-18T04:00:00Z,1063.645746257389,2020-06-17T08:00:00Z,1063.645746257389,NA,0,0
STRT,2020-06-18T04:15:00Z,1051.7999640072812,2020-06-17T08:00:00Z,1051.7999640072812,NA,0,0
STRT,2020-06-18T04:30:00Z,1056.2085339642363,2020-06-17T08:00:00Z,1056.2085339642363,NA,0,0
STRT,2020-06-18T04:45:00Z,1063.645746257389,2020-06-17T08:00:00Z,1063.645746257389,NA,0,0
STRT,2020-06-18T05:00:00Z,1059.5059633958736,2020-06-17T08:00:00Z,1059.5059633958736,NA,0,0
STRT,2020-06-18T05:15:00Z,1064.1833204480936,2020-06-17T08:00:00Z,1064.1833204480936,NA,0,0
STRT,2020-06-18T05:30:00Z,1045.742679334653,2020-06-17T08:00:00Z,1045.742679334653,NA,0,0
STRT,2020-06-18T05:45:00Z,1054.8286063436535,2020-06-17T08:00:00Z,1054.8286063436535,NA,0,0
STRT,2020-06-18T06:00:00Z,1068.591890404874,2020-06-17T08:00:00Z,1068.591890404874,NA,0,0
STRT,2020-06-18T06:15:00Z,1062.2658186369808,2020-06-17T08:00:00Z,1062.2658186369808,NA,0,0
STRT,2020-06-18T06:30:00Z,1071.8893198365695,2020-06-17T08:00:00Z,1071.8893198365695,NA,0,0
STRT,2020-06-18T06:45:00Z,1085.921390993055,2020-06-17T08:00:00Z,1085.921390993055,NA,0,0
STRT,2020-06-18T07:00:00Z,1071.6205327412463,2020-06-17T08:00:00Z,1071.6205327412463,NA,0,0
STRT,2020-06-18T07:15:00Z,1062.803392827569,2020-06-17T08:00:00Z,1062.803392827569,NA,0,0
STRT,2020-06-18T07:30:00Z,1051.5311769120162,2020-06-17T08:00:00Z,1051.5311769120162,NA,0,0
STRT,2020-06-18T07:45:00Z,1041.9076757121948,2020-06-17T08:00:00Z,1041.9076757121948,NA,0,0
STRT,2020-06-18T08:00:00Z,1034.201676323777,2020-06-18T08:00:00Z,1034.201676323777,NA,0,0
STRT,2020-06-18T08:15:00Z,1032.5529616079293,2020-06-18T08:00:00Z,1032.5529616079293,NA,0,0
STRT,2020-06-18T08:30:00Z,1034.201676323777,2020-06-18T08:00:00Z,1034.201676323777,NA,0,0
STRT,2020-06-18T08:45:00Z,1023.1982475034893,2020-06-18T08:00:00Z,1023.1982475034893,NA,0,0
STRT,2020-06-18T09:00:00Z,1024.846962219337,2020-06-18T08:00:00Z,1024.846962219337,NA,0,0
STRT,2020-06-18T09:15:00Z,1024.5781751240138,2020-06-18T08:00:00Z,1024.5781751240138,NA,0,0
STRT,2020-06-18T09:30:00Z,1015.2234610196319,2020-06-18T08:00:00Z,1015.2234610196319,NA,0,0
STRT,2020-06-18T09:45:00Z,1016.8721757354215,2020-06-18T08:00:00Z,1016.8721757354215,NA,0,0
STRT,2020-06-18T10:00:00Z,1015.2234610196319,2020-06-18T08:00:00Z,1015.2234610196319,NA,0,0
STRT,2020-06-18T10:15:00Z,994.0229646652588,2020-06-18T08:00:00Z,994.0229646652588,NA,0,0
STRT,2020-06-18T10:30:00Z,1016.8721757354215,2020-06-18T08:00:00Z,1016.8721757354215,NA,0,0
STRT,2020-06-18T10:45:00Z,1003.1088916742592,2020-06-18T08:00:00Z,1003.1088916742592,NA,0,0
STRT,2020-06-18T11:00:00Z,986.3169652767829,2020-06-18T08:00:00Z,986.3169652767829,NA,0,0
STRT,2020-06-18T11:15:00Z,1002.5713174835546,2020-06-18T08:00:00Z,1002.5713174835546,NA,0,0
STRT,2020-06-18T11:30:00Z,998.1627475266578,2020-06-18T08:00:00Z,998.1627475266578,NA,0,0
STRT,2020-06-18T11:45:00Z,984.1306763701723,2020-06-18T08:00:00Z,984.1306763701723,NA,0,0
STRT,2020-06-18T12:00:00Z,979.7221064133337,2020-06-18T08:00:00Z,979.7221064133337,NA,0,0
STRT,2020-06-18T12:15:00Z,995.4028922857833,2020-06-18T08:00:00Z,995.4028922857833,NA,0,0
STRT,2020-06-18T12:30:00Z,994.8653180949623,2020-06-18T08:00:00Z,994.8653180949623,NA,0,0
