"","year","Site","medianfDOM","medianNO3","medianSPC","medianTURB"
"1",2018,"CARI",68.23,27.2,70.155,0.12
"2",2018,"FRCH",85.7583333333333,28.5593333333333,79.8333333333333,14.705
"3",2018,"MOOS",126.235,25.4633333333333,109.7,11.02
"4",2019,"CARI",42.71,28.7,88.57,2.26
"5",2019,"FRCH",62.20667,20.65083,75.56,23.23
"6",2019,"MOOS",107.515,24.59778,121.5091,6.51
"7",2019,"POKE",33.163185,26.91214,123.3818,4.237273
"8",2019,"STRT",50.64091,16.88571,134.7636,6.22
"9",2019,"VAUL",212,NA,414.6,8.700909
"10",2020,"CARI",67.835,27.1,68.215,-2.22
"11",2020,"FRCH",69.00727,37.89429,76.62727,15.885905
"12",2020,"MOOS",122.5568,25.09333,103.5455,22.783185
"13",2020,"POKE",42.74,29.66452,95.9,9.75
"14",2020,"STRT",72.01364,30.62357,117.0818,10.57909
"15",2020,"VAUL",226.6959,31.41923,254.22275,20.285455
"16",2021,"CARI",44.475,28.3,76.735,1.94
"17",2021,"FRCH",46.09333,23.46091,94.13333,16.962
"18",2021,"MOOS",106.6425,23.011,128.88165,7.4875
"19",2021,"POKE",22.01833,31.06923,122.7,7.748333
"20",2021,"STRT",56.485,27.92857,139.38,7.085
"21",2021,"VAUL",238.2733,20.368,383.3,18.468
