"Site","DateTime","MeanDischarge","inst_rainfall_mm","twentyfour","fourtyeight"
"FRCH",2020-06-10 23:15:00,427.340461559405,NA,0,0
"FRCH",2020-06-10 23:30:00,426.013733252985,NA,0,0
"FRCH",2020-06-10 23:45:00,427.135001171671,NA,0,0
"FRCH",2020-06-11 00:00:00,424.509418160786,NA,0,0
"FRCH",2020-06-11 00:15:00,425.630686079472,NA,0,0
"FRCH",2020-06-11 00:30:00,422.622055895044,NA,0,0
"FRCH",2020-06-11 00:45:00,423.388150242114,NA,0,0
"FRCH",2020-06-11 01:00:00,421.855961547975,NA,0,0
"FRCH",2020-06-11 01:15:00,420.912280415097,NA,0,0
"FRCH",2020-06-11 01:30:00,420.351646455747,NA,0,0
"FRCH",2020-06-11 01:45:00,420.174059669953,NA,0,0
"FRCH",2020-06-11 02:00:00,417.13755588363,NA,0,0
"FRCH",2020-06-11 02:15:00,418.819457761638,NA,0,0
"FRCH",2020-06-11 02:30:00,418.997044547446,NA,0,0
"FRCH",2020-06-11 02:45:00,418.641870975829,NA,0,0
"FRCH",2020-06-11 03:00:00,419.174631333255,NA,0,0
"FRCH",2020-06-11 03:15:00,419.380091720988,NA,0,0
"FRCH",2020-06-11 03:30:00,418.258823802302,NA,0,0
"FRCH",2020-06-11 03:45:00,422.949355864737,NA,0,0
"FRCH",2020-06-11 04:00:00,422.743895477033,NA,0,0
"FRCH",2020-06-11 04:15:00,423.89303699763,NA,0,0
"FRCH",2020-06-11 04:30:00,425.602812477548,NA,0,0
"FRCH",2020-06-11 04:45:00,426.163446436869,NA,0,0
"FRCH",2020-06-11 05:00:00,425.985859651089,NA,0,0
"FRCH",2020-06-11 05:15:00,425.630686079472,NA,0,0
"FRCH",2020-06-11 05:30:00,425.070052120136,NA,0,0
"FRCH",2020-06-11 05:45:00,425.042178518212,NA,0,0
"FRCH",2020-06-11 06:00:00,424.659131344684,NA,0,0
"FRCH",2020-06-11 06:15:00,426.163446436869,NA,0,0
"FRCH",2020-06-11 06:30:00,425.21976530402,NA,0,0
"FRCH",2020-06-11 06:45:00,428.256269090343,NA,0,0
"FRCH",2020-06-11 07:00:00,425.042178518212,NA,0,0
"FRCH",2020-06-11 07:15:00,426.72408039622,NA,0,0
"FRCH",2020-06-11 07:30:00,425.24763890593,NA,0,0
"FRCH",2020-06-11 07:45:00,426.368906824617,NA,0,0
"FRCH",2020-06-11 08:00:00,428.611442661975,NA,0,0
"FRCH",2020-06-11 08:15:00,429.732710580662,NA,0,0
"FRCH",2020-06-11 08:30:00,428.994489835517,NA,0,0
"FRCH",2020-06-11 08:45:00,428.256269090343,NA,0,0
"FRCH",2020-06-11 09:00:00,428.639316263885,NA,0,0
"FRCH",2020-06-11 09:15:00,429.760584182572,NA,0,0
"FRCH",2020-06-11 09:30:00,428.994489835517,NA,0,0
"FRCH",2020-06-11 09:45:00,430.881852101258,NA,0,0
"FRCH",2020-06-11 10:00:00,429.938170968366,NA,0,0
"FRCH",2020-06-11 10:15:00,431.44248606058,NA,0,0
"FRCH",2020-06-11 10:30:00,430.526678529626,NA,0,0
"FRCH",2020-06-11 10:45:00,433.712895499862,NA,0,0
"FRCH",2020-06-11 11:00:00,434.273529459213,NA,0,0
"FRCH",2020-06-11 11:15:00,434.095942673375,NA,0,0
"FRCH",2020-06-11 11:30:00,434.862037020444,NA,0,0
"FRCH",2020-06-11 11:45:00,438.048253990695,NA,0,0
"FRCH",2020-06-11 12:00:00,438.048253990695,NA,0,0
"FRCH",2020-06-11 12:15:00,439.374982297086,NA,0,0
"FRCH",2020-06-11 12:30:00,440.701710603491,NA,0,0
"FRCH",2020-06-11 12:45:00,440.346537031874,NA,0,0
"FRCH",2020-06-11 13:00:00,441.262344562841,NA,0,0
"FRCH",2020-06-11 13:15:00,440.524123817682,NA,0,0
"FRCH",2020-06-11 13:30:00,440.90717099121,NA,0,0
"FRCH",2020-06-11 13:45:00,441.645391736369,NA,0,0
"FRCH",2020-06-11 14:00:00,443.355167216301,NA,0,0
"FRCH",2020-06-11 14:15:00,442.411486083438,NA,0,0
"FRCH",2020-06-11 14:30:00,443.915801175637,NA,0,0
