"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","month","day","response"
"Interpolated HI for 2% discharge...1","1",0.481678880746175,2,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 4% discharge...2","1",0.975682878081275,4,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 6% discharge...3","1",0.960248723073503,6,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 8% discharge...4","1",0.960248723073503,8,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 10% discharge...5","1",0.953808572063062,10,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 12% discharge...6","1",0.938041305796125,12,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 14% discharge...7","1",0.933155673995113,14,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 16% discharge...8","1",0.946035976015982,16,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 18% discharge...9","1",0.948478791916496,18,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 20% discharge...10","1",0.948478791916496,20,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 22% discharge...11","1",0.948145680657328,22,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 24% discharge...12","1",0.948145680657328,24,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 26% discharge...13","1",0.948145680657328,26,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 28% discharge...14","1",0.956695536309116,28,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 30% discharge...15","1",0.956695536309116,30,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 32% discharge...16","1",0.948478791916496,32,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 34% discharge...17","1",0.955252054186088,34,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 36% discharge...18","1",0.947812569398176,36,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 38% discharge...19","1",0.947812569398176,38,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 40% discharge...20","1",0.944703530979344,40,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 42% discharge...21","1",0.933044636908725,42,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 44% discharge...22","1",0.931157006440142,44,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 46% discharge...23","1",0.917388407728177,46,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 48% discharge...24","1",0.909726848767486,48,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 50% discharge...25","1",0.909726848767486,50,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 52% discharge...26","1",0.890850544081717,52,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 54% discharge...27","1",0.856540084388177,54,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 56% discharge...28","1",0.856540084388177,56,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 58% discharge...29","1",0.856540084388177,58,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 60% discharge...30","1",0.856540084388177,60,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 62% discharge...31","1",0.827337330668442,62,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 64% discharge...32","1",0.844548079058405,64,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 66% discharge...33","1",0.822673773040194,66,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 68% discharge...34","1",0.822673773040194,68,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 70% discharge...35","1",0.815012214079503,70,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 72% discharge...36","1",0.791250277592708,72,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 74% discharge...37","1",0.791250277592708,74,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 76% discharge...38","1",0.783033533200088,76,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 78% discharge...39","1",0.783033533200088,78,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 80% discharge...40","1",0.773484343770815,80,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 82% discharge...41","1",0.771485676215857,82,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 84% discharge...42","1",0.748612036420159,84,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 86% discharge...43","1",0.721074838996214,86,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 88% discharge...44","1",0.69931157006439,88,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 90% discharge...45","1",0.699866755496335,90,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 92% discharge...46","1",0.650344214967788,92,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 94% discharge...47","1",0.579058405507434,94,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 96% discharge...48","1",0.437486120364196,96,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 98% discharge...49","1",0.443260048856318,98,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 100% discharge...50","1",0.519098378858531,100,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3"
"Interpolated HI for 2% discharge...51","2",-0.48995690599664,2,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 4% discharge...52","2",-0.494485428383611,4,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 6% discharge...53","2",-0.477083485501426,6,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 8% discharge...54","2",-0.477083485501426,8,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 10% discharge...55","2",-0.489226499160035,10,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 12% discharge...56","2",-0.474198378496824,12,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 14% discharge...57","2",-0.481392885837414,14,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 16% discharge...58","2",-0.471988897816085,16,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 18% discharge...59","2",-0.463552698853262,18,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 20% discharge...60","2",-0.463552698853262,20,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 22% discharge...61","2",-0.461069315608796,22,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 24% discharge...62","2",-0.461069315608796,24,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 26% discharge...63","2",-0.461069315608796,26,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 28% discharge...64","2",-0.452103571689432,28,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 30% discharge...65","2",-0.452103571689432,30,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 32% discharge...66","2",-0.447885472208021,32,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 34% discharge...67","2",-0.448835001095613,34,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 36% discharge...68","2",-0.447848951866192,36,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 38% discharge...69","2",-0.447848951866192,38,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 40% discharge...70","2",-0.444562121101455,40,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 42% discharge...71","2",-0.439431013074285,42,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 44% discharge...72","2",-0.439211891023303,44,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 46% discharge...73","2",-0.43906580965598,46,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 48% discharge...74","2",-0.436071141625887,48,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 50% discharge...75","2",-0.436071141625887,50,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 52% discharge...76","2",-0.434226864363451,52,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 54% discharge...77","2",-0.433240815134031,54,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 56% discharge...78","2",-0.433240815134031,56,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 58% discharge...79","2",-0.433240815134031,58,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 60% discharge...80","2",-0.433240815134031,60,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 62% discharge...81","2",-0.437130231538969,62,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 64% discharge...82","2",-0.434354685559859,64,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 66% discharge...83","2",-0.438189321452051,66,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 68% discharge...84","2",-0.438189321452051,68,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 70% discharge...85","2",-0.436052881454972,70,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 72% discharge...86","2",-0.431761741289901,72,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 74% discharge...87","2",-0.431761741289901,74,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 76% discharge...88","2",-0.431688700606239,76,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 78% discharge...89","2",-0.431688700606239,78,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 80% discharge...90","2",-0.41655101891754,80,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 82% discharge...91","2",-0.914980644218833,82,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 84% discharge...92","2",-0.89955079979549,84,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
"Interpolated HI for 86% discharge...93","2",-0.864710393689287,86,"STRT_storm1a_06_18_fDOM","STRT","storm1a","06","18","fDOM"
