Site,DateTime,Q,day,fDOM.QSU,nitrateuM,SpCond.µS.cm,Turbidity.FNU
FRCH,2020-06-11T12:45:00Z,NA,2020-06-11T08:00:00Z,NA,NA,NA,NA
FRCH,2020-06-11T13:00:00Z,NA,2020-06-11T08:00:00Z,NA,NA,NA,NA
FRCH,2020-06-11T13:15:00Z,NA,2020-06-11T08:00:00Z,NA,NA,NA,NA
FRCH,2020-06-11T13:30:00Z,432.05886722375,2020-06-11T08:00:00Z,NA,NA,NA,NA
FRCH,2020-06-11T13:45:00Z,432.05886722375,2020-06-11T08:00:00Z,NA,NA,NA,NA
FRCH,2020-06-11T14:00:00Z,429.9660445702757,2020-06-11T08:00:00Z,NA,34.182857142857145,NA,NA
FRCH,2020-06-11T14:15:00Z,430.7042653154349,2020-06-11T08:00:00Z,NA,34.09571428571429,NA,NA
FRCH,2020-06-11T14:30:00Z,430.1436313560989,2020-06-11T08:00:00Z,NA,34.08428571428571,NA,NA
FRCH,2020-06-11T14:45:00Z,427.1350011716713,2020-06-11T08:00:00Z,NA,34.11071428571429,NA,NA
FRCH,2020-06-11T15:00:00Z,428.25626909034327,2020-06-11T08:00:00Z,NA,34.119285714285716,NA,NA
FRCH,2020-06-11T15:15:00Z,426.1913200388226,2020-06-11T08:00:00Z,NA,34.145,NA,NA
FRCH,2020-06-11T15:30:00Z,425.63068607947207,2020-06-11T08:00:00Z,NA,34.152857142857144,NA,NA
FRCH,2020-06-11T15:45:00Z,425.9858596510894,2020-06-11T08:00:00Z,NA,34.18642857142857,NA,NA
FRCH,2020-06-11T16:00:00Z,424.5094181607856,2020-06-11T08:00:00Z,NA,34.20285714285714,NA,NA
FRCH,2020-06-11T16:15:00Z,424.09849738533376,2020-06-11T08:00:00Z,NA,34.2,NA,NA
FRCH,2020-06-11T16:30:00Z,421.47291437443346,2020-06-11T08:00:00Z,NA,34.23642857142857,NA,NA
FRCH,2020-06-11T16:45:00Z,421.47291437443346,2020-06-11T08:00:00Z,NA,34.27214285714286,NA,NA
FRCH,2020-06-11T17:00:00Z,421.8559615479753,2020-06-11T08:00:00Z,NA,34.287142857142854,NA,NA
FRCH,2020-06-11T17:15:00Z,419.3800917209883,2020-06-11T08:00:00Z,NA,34.30142857142857,NA,NA
FRCH,2020-06-11T17:30:00Z,418.81945776163775,2020-06-11T08:00:00Z,NA,34.325714285714284,NA,NA
FRCH,2020-06-11T17:45:00Z,417.8757766287599,2020-06-11T08:00:00Z,NA,34.34857142857143,NA,NA
FRCH,2020-06-11T18:00:00Z,417.52060305715713,2020-06-11T08:00:00Z,NA,34.35928571428571,NA,NA
FRCH,2020-06-11T18:15:00Z,418.0533634145686,2020-06-11T08:00:00Z,NA,34.38,NA,NA
FRCH,2020-06-11T18:30:00Z,419.3800917209883,2020-06-11T08:00:00Z,NA,34.39642857142857,NA,NA
FRCH,2020-06-11T18:45:00Z,418.2588238023018,2020-06-11T08:00:00Z,NA,34.409285714285716,NA,NA
FRCH,2020-06-11T19:00:00Z,420.70682002737885,2020-06-11T08:00:00Z,NA,34.42142857142857,NA,NA
FRCH,2020-06-11T19:15:00Z,419.3800917209883,2020-06-11T08:00:00Z,NA,34.417857142857144,NA,NA
FRCH,2020-06-11T19:30:00Z,419.40796532289824,2020-06-11T08:00:00Z,NA,34.44285714285714,NA,NA
FRCH,2020-06-11T19:45:00Z,424.48154455886106,2020-06-11T08:00:00Z,NA,34.45428571428572,NA,NA
FRCH,2020-06-11T20:00:00Z,425.0421785182116,2020-06-11T08:00:00Z,NA,34.48428571428571,NA,NA
FRCH,2020-06-11T20:15:00Z,425.42522569175344,2020-06-11T08:00:00Z,NA,34.48428571428571,NA,NA
FRCH,2020-06-11T20:30:00Z,426.75195399815857,2020-06-11T08:00:00Z,-3.344,34.505714285714284,-0.16,3.325
FRCH,2020-06-11T20:45:00Z,427.31258795748,2020-06-11T08:00:00Z,-3.4954545454545456,34.50714285714286,-0.15454545454545454,3.131818181818182
FRCH,2020-06-11T21:00:00Z,425.60281247754756,2020-06-11T08:00:00Z,-3.325454545454545,34.49357142857143,-0.15454545454545454,3.1254545454545455
FRCH,2020-06-11T21:15:00Z,424.09849738533376,2020-06-11T08:00:00Z,-3.4127272727272726,34.52642857142857,-0.15454545454545454,3.0954545454545457
FRCH,2020-06-11T21:30:00Z,423.9209105995251,2020-06-11T08:00:00Z,-3.387272727272727,34.53642857142857,-0.13636363636363638,3.05
FRCH,2020-06-11T21:45:00Z,424.6591313446843,2020-06-11T08:00:00Z,46.93818181818182,34.56214285714286,43.25454545454546,14.503636363636364
FRCH,2020-06-11T22:00:00Z,426.57436721233535,2020-06-11T08:00:00Z,46.833636363636366,34.555,43.418181818181814,12.842727272727274
FRCH,2020-06-11T22:15:00Z,426.163446436869,2020-06-11T08:00:00Z,46.71181818181818,34.54571428571429,43.554545454545455,13.57090909090909
FRCH,2020-06-11T22:30:00Z,425.60281247754756,2020-06-11T08:00:00Z,46.54909090909091,34.512142857142855,43.64545454545455,13.657272727272728
FRCH,2020-06-11T22:45:00Z,427.49017474328866,2020-06-11T08:00:00Z,46.473636363636366,34.517857142857146,43.663636363636364,13.887272727272727
FRCH,2020-06-11T23:00:00Z,425.80827286528074,2020-06-11T08:00:00Z,46.32090909090909,34.519285714285715,43.663636363636364,13.888181818181819
FRCH,2020-06-11T23:15:00Z,427.49017474328866,2020-06-11T08:00:00Z,46.21363636363636,34.51857142857143,43.72727272727273,13.24
FRCH,2020-06-11T23:30:00Z,425.2476389059302,2020-06-11T08:00:00Z,46.07,34.53,43.736363636363635,13.122727272727273
FRCH,2020-06-11T23:45:00Z,426.75195399815857,2020-06-11T08:00:00Z,46.127272727272725,34.535,43.74545454545454,14.838181818181818
FRCH,2020-06-12T00:00:00Z,429.37753700902977,2020-06-11T08:00:00Z,46.00090909090909,34.52,43.763636363636365,13.148181818181818
FRCH,2020-06-12T00:15:00Z,430.8818521012581,2020-06-11T08:00:00Z,46.00181818181818,34.49357142857143,43.77272727272727,12.94
FRCH,2020-06-12T00:30:00Z,429.7605841825716,2020-06-11T08:00:00Z,45.99545454545454,34.51785714285714,43.79090909090909,13.662727272727272
FRCH,2020-06-12T00:45:00Z,427.8732219168305,2020-06-11T08:00:00Z,45.906363636363636,34.49,43.78181818181818,13.419090909090908
FRCH,2020-06-12T01:00:00Z,428.6393162638851,2020-06-11T08:00:00Z,45.99454545454545,34.48285714285714,43.78181818181818,13.494545454545454
FRCH,2020-06-12T01:15:00Z,429.37753700902977,2020-06-11T08:00:00Z,45.90272727272727,34.457142857142856,43.77272727272727,13.780909090909091
FRCH,2020-06-12T01:30:00Z,429.7605841825716,2020-06-11T08:00:00Z,45.78090909090909,34.455714285714286,43.77272727272727,12.886363636363637
FRCH,2020-06-12T01:45:00Z,431.6479464483127,2020-06-11T08:00:00Z,45.85909090909091,34.42857142857143,43.77272727272727,13.364545454545455
FRCH,2020-06-12T02:00:00Z,431.47035966250405,2020-06-11T08:00:00Z,45.832727272727276,34.42357142857143,43.763636363636365,14.986363636363636
FRCH,2020-06-12T02:15:00Z,432.591627581176,2020-06-11T08:00:00Z,45.737272727272725,34.39714285714286,43.75454545454546,13.521818181818182
FRCH,2020-06-12T02:30:00Z,431.29277287668083,2020-06-11T08:00:00Z,45.75272727272727,34.41142857142857,43.74545454545454,14.23
FRCH,2020-06-12T02:45:00Z,434.8620370204444,2020-06-11T08:00:00Z,45.760909090909095,34.37714285714286,43.75454545454546,13.658181818181818
FRCH,2020-06-12T03:00:00Z,435.8057181533368,2020-06-11T08:00:00Z,45.75090909090909,34.38357142857143,43.736363636363635,13.89
FRCH,2020-06-12T03:15:00Z,435.24508419398626,2020-06-11T08:00:00Z,45.77818181818182,34.39142857142857,43.74545454545454,14.348181818181818
FRCH,2020-06-12T03:30:00Z,436.01117854104086,2020-06-11T08:00:00Z,45.804545454545455,34.364285714285714,43.74545454545454,13.497272727272726
FRCH,2020-06-12T03:45:00Z,439.580442684819,2020-06-11T08:00:00Z,45.847272727272724,34.34928571428571,43.74545454545454,14.026363636363635
FRCH,2020-06-12T04:00:00Z,440.3465370318736,2020-06-11T08:00:00Z,45.734545454545454,34.36,43.74545454545454,14.153636363636364
