"","Site","DateTime","MeanDischarge","day","fDOM.QSU","nitrateuM","SpCond.uScm","Turbidity.FNU"
"1","FRCH",2020-06-11 06:30:00,432.05886722375,2020-06-11,NA,NA,NA,NA
"2","FRCH",2020-06-11 06:45:00,428.284142692268,2020-06-11,NA,NA,NA,NA
"3","FRCH",2020-06-11 07:00:00,429.022363437412,2020-06-11,NA,NA,NA,NA
"4","FRCH",2020-06-11 07:15:00,427.340461559405,2020-06-11,NA,NA,NA,NA
"5","FRCH",2020-06-11 07:30:00,426.013733252985,2020-06-11,NA,NA,NA,NA
"6","FRCH",2020-06-11 07:45:00,427.135001171671,2020-06-11,NA,NA,NA,NA
"7","FRCH",2020-06-11 08:00:00,424.509418160786,2020-06-11,NA,NA,NA,NA
"8","FRCH",2020-06-11 08:15:00,425.630686079472,2020-06-11,NA,NA,NA,NA
"9","FRCH",2020-06-11 08:30:00,422.622055895044,2020-06-11,NA,NA,NA,NA
"10","FRCH",2020-06-11 08:45:00,423.388150242114,2020-06-11,NA,NA,NA,NA
"11","FRCH",2020-06-11 09:00:00,421.855961547975,2020-06-11,NA,NA,NA,NA
"12","FRCH",2020-06-11 09:15:00,420.912280415097,2020-06-11,NA,NA,NA,NA
"13","FRCH",2020-06-11 09:30:00,420.351646455747,2020-06-11,NA,NA,NA,NA
"14","FRCH",2020-06-11 09:45:00,420.174059669953,2020-06-11,NA,NA,NA,NA
"15","FRCH",2020-06-11 10:00:00,417.13755588363,2020-06-11,NA,NA,NA,NA
"16","FRCH",2020-06-11 10:15:00,418.819457761638,2020-06-11,NA,NA,NA,NA
"17","FRCH",2020-06-11 10:30:00,418.997044547446,2020-06-11,NA,NA,NA,NA
"18","FRCH",2020-06-11 10:45:00,418.641870975829,2020-06-11,NA,NA,NA,NA
"19","FRCH",2020-06-11 11:00:00,419.174631333255,2020-06-11,NA,NA,NA,NA
"20","FRCH",2020-06-11 11:15:00,419.380091720988,2020-06-11,NA,NA,NA,NA
"21","FRCH",2020-06-11 11:30:00,418.258823802302,2020-06-11,NA,NA,NA,NA
"22","FRCH",2020-06-11 11:45:00,422.949355864737,2020-06-11,NA,NA,NA,NA
"23","FRCH",2020-06-11 12:00:00,422.743895477033,2020-06-11,NA,NA,NA,NA
"24","FRCH",2020-06-11 12:15:00,423.89303699763,2020-06-11,NA,NA,NA,NA
"25","FRCH",2020-06-11 12:30:00,425.602812477548,2020-06-11,NA,NA,NA,NA
"26","FRCH",2020-06-11 12:45:00,426.163446436869,2020-06-11,NA,NA,NA,NA
"27","FRCH",2020-06-11 13:00:00,425.985859651089,2020-06-11,NA,NA,NA,NA
"28","FRCH",2020-06-11 13:15:00,425.630686079472,2020-06-11,NA,NA,NA,NA
"29","FRCH",2020-06-11 13:30:00,425.070052120136,2020-06-11,NA,NA,NA,NA
"30","FRCH",2020-06-11 13:45:00,425.042178518212,2020-06-11,NA,NA,NA,NA
"31","FRCH",2020-06-11 14:00:00,424.659131344684,2020-06-11,NA,34.1828571428571,NA,NA
"32","FRCH",2020-06-11 14:15:00,426.163446436869,2020-06-11,NA,34.0957142857143,NA,NA
"33","FRCH",2020-06-11 14:30:00,425.21976530402,2020-06-11,NA,34.0842857142857,NA,NA
"34","FRCH",2020-06-11 14:45:00,428.256269090343,2020-06-11,NA,34.1107142857143,NA,NA
"35","FRCH",2020-06-11 15:00:00,425.042178518212,2020-06-11,NA,34.1192857142857,NA,NA
"36","FRCH",2020-06-11 15:15:00,426.72408039622,2020-06-11,NA,34.145,NA,NA
"37","FRCH",2020-06-11 15:30:00,425.24763890593,2020-06-11,NA,34.1528571428571,NA,NA
"38","FRCH",2020-06-11 15:45:00,426.368906824617,2020-06-11,NA,34.1864285714286,NA,NA
"39","FRCH",2020-06-11 16:00:00,428.611442661975,2020-06-11,NA,34.2028571428571,NA,NA
"40","FRCH",2020-06-11 16:15:00,429.732710580662,2020-06-11,NA,34.2,NA,NA
"41","FRCH",2020-06-11 16:30:00,428.994489835517,2020-06-11,NA,34.2364285714286,NA,NA
"42","FRCH",2020-06-11 16:45:00,428.256269090343,2020-06-11,NA,34.2721428571429,NA,NA
"43","FRCH",2020-06-11 17:00:00,428.639316263885,2020-06-11,NA,34.2871428571429,NA,NA
"44","FRCH",2020-06-11 17:15:00,429.760584182572,2020-06-11,NA,34.3014285714286,NA,NA
"45","FRCH",2020-06-11 17:30:00,428.994489835517,2020-06-11,NA,34.3257142857143,NA,NA
