"","Site","DateTime","Discharge","fDOM","NO3","SpCond","Turb","day"
"1","CARI",2019-08-05 20:16:00,723.73,NA,NA,56.8,6.91,2019-08-05
"2","CARI",2019-08-05 20:17:00,717.61,NA,NA,56.8,6.91,2019-08-05
"3","CARI",2019-08-05 20:18:00,713.88,NA,NA,56.82,6.65,2019-08-05
"4","CARI",2019-08-05 20:19:00,735.37,NA,NA,56.83,6.85,2019-08-05
"5","CARI",2019-08-05 20:20:00,713.12,NA,NA,56.81,8.1,2019-08-05
"6","CARI",2019-08-05 20:21:00,708.58,NA,NA,56.83,6.55,2019-08-05
"7","CARI",2019-08-05 20:22:00,740.43,NA,NA,56.82,6.48,2019-08-05
"8","CARI",2019-08-05 20:23:00,754.15,NA,NA,56.83,6.92,2019-08-05
"9","CARI",2019-08-05 20:24:00,740.98,NA,NA,56.82,7.33,2019-08-05
"10","CARI",2019-08-05 20:25:00,743.79,NA,NA,56.81,8.41,2019-08-05
"11","CARI",2019-08-05 20:26:00,713.66,NA,NA,56.84,6.79,2019-08-05
"12","CARI",2019-08-05 20:27:00,739.85,NA,NA,56.84,6.79,2019-08-05
"13","CARI",2019-08-05 20:28:00,724.57,NA,NA,56.87,7.07,2019-08-05
"14","CARI",2019-08-05 20:29:00,729.57,NA,NA,56.86,6.89,2019-08-05
"15","CARI",2019-08-05 20:30:00,709.26,NA,34.3,56.88,7.7,2019-08-05
"16","CARI",2019-08-05 20:31:00,722.2,NA,NA,56.89,7.03,2019-08-05
"17","CARI",2019-08-05 20:32:00,744.48,NA,NA,56.89,7.03,2019-08-05
"18","CARI",2019-08-05 20:33:00,738.44,NA,NA,56.94,7.31,2019-08-05
"19","CARI",2019-08-05 20:34:00,730.26,NA,NA,56.93,7.21,2019-08-05
"20","CARI",2019-08-05 20:35:00,740.2,NA,NA,56.89,9.42,2019-08-05
"21","CARI",2019-08-05 20:36:00,718.27,NA,NA,56.9,7.42,2019-08-05
"22","CARI",2019-08-05 20:37:00,720.8,NA,NA,56.9,7.42,2019-08-05
"23","CARI",2019-08-05 20:38:00,720.64,NA,NA,56.94,7.89,2019-08-05
"24","CARI",2019-08-05 20:39:00,740.67,NA,NA,56.93,7.66,2019-08-05
"25","CARI",2019-08-05 20:40:00,725.75,NA,NA,56.92,9.69,2019-08-05
"26","CARI",2019-08-05 20:41:00,724.34,NA,NA,56.91,8.07,2019-08-05
"27","CARI",2019-08-05 20:42:00,694.66,NA,NA,56.54,8.03,2019-08-05
"28","CARI",2019-08-05 20:43:00,716.58,NA,NA,56.95,8.32,2019-08-05
"29","CARI",2019-08-05 20:44:00,714.91,NA,NA,56.95,8.32,2019-08-05
"30","CARI",2019-08-05 20:45:00,735.25,NA,33.9,56.94,9.45,2019-08-05
"31","CARI",2019-08-05 20:46:00,713.73,NA,NA,56.94,7.88,2019-08-05
"32","CARI",2019-08-05 20:47:00,712.05,NA,NA,56.94,7.91,2019-08-05
"33","CARI",2019-08-05 20:48:00,741.2,NA,NA,56.97,7.88,2019-08-05
"34","CARI",2019-08-05 20:49:00,716.68,NA,NA,56.98,7.79,2019-08-05
"35","CARI",2019-08-05 20:50:00,719.47,NA,NA,56.94,9.18,2019-08-05
"36","CARI",2019-08-05 20:51:00,740.6,NA,NA,56.98,7.53,2019-08-05
"37","CARI",2019-08-05 20:52:00,706.26,NA,NA,56.98,7.48,2019-08-05
"38","CARI",2019-08-05 20:53:00,733.59,NA,NA,56.97,7.34,2019-08-05
"39","CARI",2019-08-05 20:54:00,720.87,NA,NA,56.99,13.59,2019-08-05
"40","CARI",2019-08-05 20:55:00,745.23,NA,NA,56.97,9.46,2019-08-05
"41","CARI",2019-08-05 20:56:00,720.72,NA,NA,57.01,7.54,2019-08-05
"42","CARI",2019-08-05 20:57:00,703.05,NA,NA,57,7.51,2019-08-05
"43","CARI",2019-08-05 20:58:00,697.58,NA,NA,57,7.71,2019-08-05
"44","CARI",2019-08-05 20:59:00,733.83,NA,NA,57.02,8.01,2019-08-05
"45","CARI",2019-08-05 21:00:00,738.13,NA,34,57.03,10.65,2019-08-05
"46","CARI",2019-08-05 21:01:00,722.79,NA,NA,57.05,7.65,2019-08-05
"47","CARI",2019-08-05 21:02:00,733.39,NA,NA,57.05,7.65,2019-08-05
"48","CARI",2019-08-05 21:03:00,726.78,NA,NA,57.07,7.44,2019-08-05
"49","CARI",2019-08-05 21:04:00,728.34,NA,NA,57.04,7.12,2019-08-05
"50","CARI",2019-08-05 21:05:00,728.71,NA,NA,57.06,8.6,2019-08-05
"51","CARI",2019-08-05 21:06:00,721.54,NA,NA,57.07,7.31,2019-08-05
"52","CARI",2019-08-05 21:07:00,693.73,NA,NA,57.07,7.34,2019-08-05
"53","CARI",2019-08-05 21:08:00,714.69,NA,NA,57.08,6.94,2019-08-05
"54","CARI",2019-08-05 21:09:00,711.31,NA,NA,57.08,7.09,2019-08-05
"55","CARI",2019-08-05 21:10:00,747.85,NA,NA,57.09,8.43,2019-08-05
"56","CARI",2019-08-05 21:11:00,711.92,NA,NA,57.1,7.14,2019-08-05
"57","CARI",2019-08-05 21:12:00,703.99,NA,NA,57.09,7.15,2019-08-05
"58","CARI",2019-08-05 21:13:00,720.42,NA,NA,57.11,7.48,2019-08-05
"59","CARI",2019-08-05 21:14:00,746.42,NA,NA,57.13,7.32,2019-08-05
"60","CARI",2019-08-05 21:15:00,717.77,NA,33.9,57.11,9.18,2019-08-05
"61","CARI",2019-08-05 21:16:00,704.14,NA,NA,57.16,7.54,2019-08-05
"62","CARI",2019-08-05 21:17:00,724.13,NA,NA,57.16,7.54,2019-08-05
"63","CARI",2019-08-05 21:18:00,739.19,NA,NA,57.13,7.73,2019-08-05
"64","CARI",2019-08-05 21:19:00,728.48,NA,NA,57.16,7.44,2019-08-05
"65","CARI",2019-08-05 21:20:00,715.14,NA,NA,57.17,9.13,2019-08-05
"66","CARI",2019-08-05 21:21:00,740.44,NA,NA,57.21,7.62,2019-08-05
"67","CARI",2019-08-05 21:22:00,722.89,NA,NA,57.21,7.55,2019-08-05
"68","CARI",2019-08-05 21:23:00,728.12,NA,NA,57.16,6.78,2019-08-05
"69","CARI",2019-08-05 21:24:00,728.56,NA,NA,57.17,6.96,2019-08-05
"70","CARI",2019-08-05 21:25:00,743.88,NA,NA,57.18,8.18,2019-08-05
"71","CARI",2019-08-05 21:26:00,742.99,NA,NA,57.19,7.2,2019-08-05
"72","CARI",2019-08-05 21:27:00,736.2,NA,NA,57.19,7.22,2019-08-05
"73","CARI",2019-08-05 21:28:00,740.9,NA,NA,57.2,7.21,2019-08-05
"74","CARI",2019-08-05 21:29:00,706.69,NA,NA,57.22,7.26,2019-08-05
"75","CARI",2019-08-05 21:30:00,718.1,NA,33.9,57.19,8.33,2019-08-05
"76","CARI",2019-08-05 21:31:00,722.94,NA,NA,57.22,7.13,2019-08-05
"77","CARI",2019-08-05 21:32:00,751.39,NA,NA,57.22,7.13,2019-08-05
"78","CARI",2019-08-05 21:33:00,726,NA,NA,57.23,6.72,2019-08-05
"79","CARI",2019-08-05 21:34:00,741.04,NA,NA,57.21,6.28,2019-08-05
"80","CARI",2019-08-05 21:35:00,724.96,NA,NA,57.25,8.39,2019-08-05
"81","CARI",2019-08-05 21:36:00,726.14,NA,NA,57.27,7.01,2019-08-05
"82","CARI",2019-08-05 21:37:00,739.77,NA,NA,57.27,7.01,2019-08-05
"83","CARI",2019-08-05 21:38:00,730.26,NA,NA,57.25,7.57,2019-08-05
"84","CARI",2019-08-05 21:39:00,727.96,NA,NA,57.25,7.06,2019-08-05
"85","CARI",2019-08-05 21:40:00,746.28,NA,NA,57.26,8.78,2019-08-05
"86","CARI",2019-08-05 21:41:00,721.61,NA,NA,57.29,6.92,2019-08-05
"87","CARI",2019-08-05 21:42:00,724.58,NA,NA,56.86,6.62,2019-08-05
"88","CARI",2019-08-05 21:43:00,705.19,NA,NA,57.28,6.86,2019-08-05
"89","CARI",2019-08-05 21:44:00,711.24,NA,NA,57.28,6.86,2019-08-05
"90","CARI",2019-08-05 21:45:00,729.69,NA,33.7,57.3,8.6,2019-08-05
"91","CARI",2019-08-05 21:46:00,708.53,NA,NA,57.31,7.01,2019-08-05
"92","CARI",2019-08-05 21:47:00,725.25,NA,NA,57.31,7,2019-08-05
"93","CARI",2019-08-05 21:48:00,700.96,NA,NA,57.32,6.73,2019-08-05
"94","CARI",2019-08-05 21:49:00,733.48,NA,NA,57.31,6.98,2019-08-05
"95","CARI",2019-08-05 21:50:00,729.54,NA,NA,57.31,8.63,2019-08-05
"96","CARI",2019-08-05 21:51:00,734.59,NA,NA,57.33,7.19,2019-08-05
"97","CARI",2019-08-05 21:52:00,738.98,NA,NA,57.33,7.19,2019-08-05
"98","CARI",2019-08-05 21:53:00,714.27,NA,NA,57.33,7.49,2019-08-05
"99","CARI",2019-08-05 21:54:00,742.26,NA,NA,57.33,7.21,2019-08-05
"100","CARI",2019-08-05 21:55:00,732.22,NA,NA,57.34,9.01,2019-08-05
"101","CARI",2019-08-05 21:56:00,737.05,NA,NA,57.34,7.06,2019-08-05
"102","CARI",2019-08-05 21:57:00,685.21,NA,NA,57.34,6.98,2019-08-05
"103","CARI",2019-08-05 21:58:00,731.47,NA,NA,57.31,7.29,2019-08-05
"104","CARI",2019-08-05 21:59:00,697.9,NA,NA,57.34,7.61,2019-08-05
"105","CARI",2019-08-05 22:00:00,735.26,NA,33.8,57.32,9.98,2019-08-05
"106","CARI",2019-08-05 22:01:00,741.52,NA,NA,57.36,7.63,2019-08-05
"107","CARI",2019-08-05 22:02:00,719.87,NA,NA,57.36,7.71,2019-08-05
"108","CARI",2019-08-05 22:03:00,712.14,NA,NA,57.4,6.65,2019-08-05
"109","CARI",2019-08-05 22:04:00,723.33,NA,NA,57.39,6.97,2019-08-05
"110","CARI",2019-08-05 22:05:00,713.54,NA,NA,57.37,8.49,2019-08-05
"111","CARI",2019-08-05 22:06:00,738.3,NA,NA,57.37,6.82,2019-08-05
"112","CARI",2019-08-05 22:07:00,736.97,NA,NA,57.37,6.82,2019-08-05
"113","CARI",2019-08-05 22:08:00,733.33,NA,NA,57.38,6.26,2019-08-05
"114","CARI",2019-08-05 22:09:00,731.77,NA,NA,57.4,6.39,2019-08-05
"115","CARI",2019-08-05 22:10:00,746.97,NA,NA,57.39,8.03,2019-08-05
"116","CARI",2019-08-05 22:11:00,734.96,NA,NA,57.4,6.44,2019-08-05
"117","CARI",2019-08-05 22:12:00,746.14,NA,NA,57.4,6.45,2019-08-05
"118","CARI",2019-08-05 22:13:00,731.62,NA,NA,57.4,6.16,2019-08-05
"119","CARI",2019-08-05 22:14:00,731.77,NA,NA,57.43,6.33,2019-08-05
"120","CARI",2019-08-05 22:15:00,709.66,NA,33.7,57.39,7.83,2019-08-05
"121","CARI",2019-08-05 22:16:00,731.18,NA,NA,57.39,6.44,2019-08-05
"122","CARI",2019-08-05 22:17:00,731.55,NA,NA,57.39,6.49,2019-08-05
"123","CARI",2019-08-05 22:18:00,715.38,NA,NA,57.42,6.44,2019-08-05
"124","CARI",2019-08-05 22:19:00,717.73,NA,NA,57.42,6.19,2019-08-05
"125","CARI",2019-08-05 22:20:00,727.85,NA,NA,57.43,8.09,2019-08-05
"126","CARI",2019-08-05 22:21:00,733.39,NA,NA,57.42,6.5,2019-08-05
"127","CARI",2019-08-05 22:22:00,738.98,NA,NA,57.42,6.51,2019-08-05
"128","CARI",2019-08-05 22:23:00,725.85,NA,NA,57.42,6.14,2019-08-05
"129","CARI",2019-08-05 22:24:00,738.16,NA,NA,57.43,6.63,2019-08-05
