"","Site","DateTime","Discharge","fDOM","NO3","SpCond","Turb","day"
"1","CARI",2019-08-10 10:16:00,496.47,NA,NA,66.68,2.33,2019-08-10
"2","CARI",2019-08-10 10:17:00,514.04,NA,NA,66.67,0.37,2019-08-10
"3","CARI",2019-08-10 10:18:00,543.39,NA,NA,66.67,0.4,2019-08-10
"4","CARI",2019-08-10 10:19:00,498.37,NA,NA,66.69,0.82,2019-08-10
"5","CARI",2019-08-10 10:20:00,514.75,NA,NA,66.7,0.7,2019-08-10
"6","CARI",2019-08-10 10:21:00,489.78,NA,NA,66.67,2.68,2019-08-10
"7","CARI",2019-08-10 10:22:00,493.25,NA,NA,66.67,0.8,2019-08-10
"8","CARI",2019-08-10 10:23:00,522.54,NA,NA,66.67,0.79,2019-08-10
"9","CARI",2019-08-10 10:24:00,528.83,NA,NA,66.68,0.75,2019-08-10
"10","CARI",2019-08-10 10:25:00,495.71,NA,NA,66.69,0.78,2019-08-10
"11","CARI",2019-08-10 10:26:00,498.75,NA,NA,66.65,2.87,2019-08-10
"12","CARI",2019-08-10 10:27:00,501.41,NA,NA,66.69,0.75,2019-08-10
"13","CARI",2019-08-10 10:28:00,517.01,NA,NA,66.69,0.76,2019-08-10
"14","CARI",2019-08-10 10:29:00,513.35,NA,NA,66.64,0.68,2019-08-10
"15","CARI",2019-08-10 10:30:00,523.2,NA,32.7,66.65,0.69,2019-08-10
"16","CARI",2019-08-10 10:31:00,516.81,NA,NA,66.67,2.79,2019-08-10
"17","CARI",2019-08-10 10:32:00,522.3,NA,NA,66.66,0.77,2019-08-10
"18","CARI",2019-08-10 10:33:00,514.24,NA,NA,66.66,0.74,2019-08-10
"19","CARI",2019-08-10 10:34:00,513.08,NA,NA,66.67,0.82,2019-08-10
"20","CARI",2019-08-10 10:35:00,495.26,NA,NA,66.65,0.67,2019-08-10
"21","CARI",2019-08-10 10:36:00,529.74,NA,NA,66.64,2.7,2019-08-10
"22","CARI",2019-08-10 10:37:00,513.54,NA,NA,66.64,0.73,2019-08-10
"23","CARI",2019-08-10 10:38:00,504.27,NA,NA,66.64,0.75,2019-08-10
"24","CARI",2019-08-10 10:39:00,531.04,NA,NA,66.67,0.76,2019-08-10
"25","CARI",2019-08-10 10:40:00,520.81,NA,NA,66.66,0.76,2019-08-10
"26","CARI",2019-08-10 10:41:00,530.33,NA,NA,66.65,2.95,2019-08-10
"27","CARI",2019-08-10 10:42:00,529.35,NA,NA,66.66,0.76,2019-08-10
"28","CARI",2019-08-10 10:43:00,515.34,NA,NA,66.66,0.76,2019-08-10
"29","CARI",2019-08-10 10:44:00,518.88,NA,NA,66.66,0.87,2019-08-10
"30","CARI",2019-08-10 10:45:00,522.88,NA,32.8,66.65,0.88,2019-08-10
"31","CARI",2019-08-10 10:46:00,502.55,NA,NA,66.65,2.81,2019-08-10
"32","CARI",2019-08-10 10:47:00,522.43,NA,NA,66.65,0.86,2019-08-10
"33","CARI",2019-08-10 10:48:00,509.76,NA,NA,66.64,0.87,2019-08-10
"34","CARI",2019-08-10 10:49:00,512.64,NA,NA,66.66,0.86,2019-08-10
"35","CARI",2019-08-10 10:50:00,501.21,NA,NA,66.68,0.95,2019-08-10
"36","CARI",2019-08-10 10:51:00,530.66,NA,NA,66.66,2.79,2019-08-10
"37","CARI",2019-08-10 10:52:00,534.38,NA,NA,66.65,0.98,2019-08-10
"38","CARI",2019-08-10 10:53:00,505.73,NA,NA,66.65,0.99,2019-08-10
"39","CARI",2019-08-10 10:54:00,516.43,NA,NA,66.66,0.91,2019-08-10
"40","CARI",2019-08-10 10:55:00,537.9,NA,NA,66.65,0.85,2019-08-10
"41","CARI",2019-08-10 10:56:00,532.36,NA,NA,66.67,2.8,2019-08-10
"42","CARI",2019-08-10 10:57:00,501.03,NA,NA,66.67,0.86,2019-08-10
"43","CARI",2019-08-10 10:58:00,508.23,NA,NA,66.66,0.85,2019-08-10
"44","CARI",2019-08-10 10:59:00,519.66,NA,NA,66.66,0.78,2019-08-10
"45","CARI",2019-08-10 11:00:00,483.25,NA,32.7,66.69,0.72,2019-08-10
"46","CARI",2019-08-10 11:01:00,530.2,NA,NA,66.67,3.02,2019-08-10
"47","CARI",2019-08-10 11:02:00,531.57,NA,NA,66.66,0.73,2019-08-10
"48","CARI",2019-08-10 11:03:00,522.3,NA,NA,66.66,0.73,2019-08-10
"49","CARI",2019-08-10 11:04:00,512.84,NA,NA,66.67,0.77,2019-08-10
"50","CARI",2019-08-10 11:05:00,511.68,NA,NA,66.69,0.68,2019-08-10
"51","CARI",2019-08-10 11:06:00,516.88,NA,NA,66.64,2.56,2019-08-10
"52","CARI",2019-08-10 11:07:00,507.85,NA,NA,66.67,0.8,2019-08-10
"53","CARI",2019-08-10 11:08:00,497.03,NA,NA,66.66,0.8,2019-08-10
"54","CARI",2019-08-10 11:09:00,513.23,NA,NA,66.64,0.73,2019-08-10
"55","CARI",2019-08-10 11:10:00,513.23,NA,NA,66.65,0.61,2019-08-10
"56","CARI",2019-08-10 11:11:00,516.69,NA,NA,66.61,2.64,2019-08-10
"57","CARI",2019-08-10 11:12:00,523.92,NA,NA,66.63,0.67,2019-08-10
"58","CARI",2019-08-10 11:13:00,518.83,NA,NA,66.63,0.67,2019-08-10
"59","CARI",2019-08-10 11:14:00,517.21,NA,NA,66.65,0.76,2019-08-10
"60","CARI",2019-08-10 11:15:00,507.97,NA,32.8,66.66,0.64,2019-08-10
"61","CARI",2019-08-10 11:16:00,505.05,NA,NA,66.61,2.69,2019-08-10
"62","CARI",2019-08-10 11:17:00,516.18,NA,NA,66.66,0.41,2019-08-10
"63","CARI",2019-08-10 11:18:00,510.22,NA,NA,66.65,0.4,2019-08-10
"64","CARI",2019-08-10 11:19:00,511.5,NA,NA,66.65,0.47,2019-08-10
"65","CARI",2019-08-10 11:20:00,525.34,NA,NA,66.65,0.58,2019-08-10
"66","CARI",2019-08-10 11:21:00,514.18,NA,NA,66.58,2.61,2019-08-10
"67","CARI",2019-08-10 11:22:00,542.31,NA,NA,66.59,0.64,2019-08-10
"68","CARI",2019-08-10 11:23:00,505.37,NA,NA,66.59,0.64,2019-08-10
"69","CARI",2019-08-10 11:24:00,489.9,NA,NA,66.64,0.65,2019-08-10
"70","CARI",2019-08-10 11:25:00,530.34,NA,NA,66.64,0.64,2019-08-10
"71","CARI",2019-08-10 11:26:00,520.18,NA,NA,66.6,2.67,2019-08-10
"72","CARI",2019-08-10 11:27:00,541.91,NA,NA,66.62,0.6,2019-08-10
"73","CARI",2019-08-10 11:28:00,503.83,NA,NA,66.63,0.59,2019-08-10
"74","CARI",2019-08-10 11:29:00,512.14,NA,NA,66.61,0.6,2019-08-10
"75","CARI",2019-08-10 11:30:00,493.81,NA,32.8,66.62,0.59,2019-08-10
"76","CARI",2019-08-10 11:31:00,516.76,NA,NA,66.6,2.64,2019-08-10
"77","CARI",2019-08-10 11:32:00,501.73,NA,NA,66.61,0.62,2019-08-10
"78","CARI",2019-08-10 11:33:00,537.01,NA,NA,66.61,0.62,2019-08-10
"79","CARI",2019-08-10 11:34:00,504.4,NA,NA,66.6,0.78,2019-08-10
"80","CARI",2019-08-10 11:35:00,522.5,NA,NA,66.6,0.66,2019-08-10
"81","CARI",2019-08-10 11:36:00,520.12,NA,NA,66.59,2.71,2019-08-10
"82","CARI",2019-08-10 11:37:00,503.19,NA,NA,66.61,0.69,2019-08-10
"83","CARI",2019-08-10 11:38:00,525.95,NA,NA,66.61,0.69,2019-08-10
"84","CARI",2019-08-10 11:39:00,524.26,NA,NA,66.58,0.67,2019-08-10
"85","CARI",2019-08-10 11:40:00,522.9,NA,NA,66.61,0.7,2019-08-10
"86","CARI",2019-08-10 11:41:00,520.83,NA,NA,66.59,2.68,2019-08-10
"87","CARI",2019-08-10 11:42:00,497.41,NA,NA,66.6,0.71,2019-08-10
"88","CARI",2019-08-10 11:43:00,483.57,NA,NA,66.6,0.71,2019-08-10
"89","CARI",2019-08-10 11:44:00,519.92,NA,NA,66.59,0.77,2019-08-10
"90","CARI",2019-08-10 11:45:00,534.46,NA,32.9,66.6,0.8,2019-08-10
"91","CARI",2019-08-10 11:46:00,530.09,NA,NA,66.58,2.78,2019-08-10
"92","CARI",2019-08-10 11:47:00,521.15,NA,NA,66.59,0.84,2019-08-10
"93","CARI",2019-08-10 11:48:00,495.26,NA,NA,66.59,0.84,2019-08-10
"94","CARI",2019-08-10 11:49:00,504.93,NA,NA,66.55,0.76,2019-08-10
"95","CARI",2019-08-10 11:50:00,523.41,NA,NA,66.57,0.78,2019-08-10
"96","CARI",2019-08-10 11:51:00,542.38,NA,NA,66.55,2.67,2019-08-10
"97","CARI",2019-08-10 11:52:00,480.68,NA,NA,66.55,0.69,2019-08-10
"98","CARI",2019-08-10 11:53:00,498.62,NA,NA,66.54,0.69,2019-08-10
"99","CARI",2019-08-10 11:54:00,520.44,NA,NA,66.55,0.69,2019-08-10
"100","CARI",2019-08-10 11:55:00,531.79,NA,NA,66.58,0.56,2019-08-10
"101","CARI",2019-08-10 11:56:00,531.46,NA,NA,66.58,2.65,2019-08-10
"102","CARI",2019-08-10 11:57:00,504.34,NA,NA,66.57,0.66,2019-08-10
"103","CARI",2019-08-10 11:58:00,501.74,NA,NA,66.57,0.67,2019-08-10
"104","CARI",2019-08-10 11:59:00,512.86,NA,NA,66.53,0.66,2019-08-10
"105","CARI",2019-08-10 12:00:00,536.22,NA,32.8,66.56,0.6,2019-08-10
"106","CARI",2019-08-10 12:01:00,501.04,NA,NA,66.58,2.64,2019-08-10
"107","CARI",2019-08-10 12:02:00,494.57,NA,NA,66.58,0.62,2019-08-10
"108","CARI",2019-08-10 12:03:00,513.76,NA,NA,66.58,0.61,2019-08-10
"109","CARI",2019-08-10 12:04:00,524.52,NA,NA,66.55,0.61,2019-08-10
"110","CARI",2019-08-10 12:05:00,529.65,NA,NA,66.56,0.57,2019-08-10
"111","CARI",2019-08-10 12:06:00,516.14,NA,NA,66.55,2.52,2019-08-10
"112","CARI",2019-08-10 12:07:00,518.26,NA,NA,66.58,0.64,2019-08-10
"113","CARI",2019-08-10 12:08:00,497.81,NA,NA,66.58,0.65,2019-08-10
"114","CARI",2019-08-10 12:09:00,516,NA,NA,66.54,0.65,2019-08-10
"115","CARI",2019-08-10 12:10:00,526.79,NA,NA,66.56,0.68,2019-08-10
"116","CARI",2019-08-10 12:11:00,542.39,NA,NA,66.55,2.71,2019-08-10
"117","CARI",2019-08-10 12:12:00,488.91,NA,NA,66.54,0.59,2019-08-10
"118","CARI",2019-08-10 12:13:00,491.3,NA,NA,66.54,0.58,2019-08-10
"119","CARI",2019-08-10 12:14:00,526.86,NA,NA,66.53,0.66,2019-08-10
"120","CARI",2019-08-10 12:15:00,494.57,NA,32.8,66.55,0.62,2019-08-10
"121","CARI",2019-08-10 12:16:00,527.96,NA,NA,66.56,2.73,2019-08-10
"122","CARI",2019-08-10 12:17:00,490.53,NA,NA,66.54,0.64,2019-08-10
"123","CARI",2019-08-10 12:18:00,518.53,NA,NA,66.54,0.67,2019-08-10
"124","CARI",2019-08-10 12:19:00,495.28,NA,NA,66.55,0.66,2019-08-10
"125","CARI",2019-08-10 12:20:00,519.63,NA,NA,66.57,0.66,2019-08-10
"126","CARI",2019-08-10 12:21:00,522.79,NA,NA,66.51,2.58,2019-08-10
"127","CARI",2019-08-10 12:22:00,514.85,NA,NA,66.56,0.58,2019-08-10
"128","CARI",2019-08-10 12:23:00,529.14,NA,NA,66.56,0.58,2019-08-10
"129","CARI",2019-08-10 12:24:00,517.36,NA,NA,66.56,0.61,2019-08-10
"130","CARI",2019-08-10 12:25:00,500.86,NA,NA,66.57,0.64,2019-08-10
"131","CARI",2019-08-10 12:26:00,511.78,NA,NA,66.53,2.79,2019-08-10
"132","CARI",2019-08-10 12:27:00,491.56,NA,NA,66.52,0.64,2019-08-10
"133","CARI",2019-08-10 12:28:00,521.5,NA,NA,66.52,0.64,2019-08-10
"134","CARI",2019-08-10 12:29:00,507.17,NA,NA,66.53,0.67,2019-08-10
"135","CARI",2019-08-10 12:30:00,520.78,NA,32.7,66.54,0.68,2019-08-10
"136","CARI",2019-08-10 12:31:00,496.67,NA,NA,66.51,2.49,2019-08-10
"137","CARI",2019-08-10 12:32:00,525.63,NA,NA,66.54,0.6,2019-08-10
"138","CARI",2019-08-10 12:33:00,487.96,NA,NA,66.54,0.6,2019-08-10
"139","CARI",2019-08-10 12:34:00,499.08,NA,NA,66.52,0.66,2019-08-10
"140","CARI",2019-08-10 12:35:00,502.71,NA,NA,66.53,0.76,2019-08-10
"141","CARI",2019-08-10 12:36:00,502.39,NA,NA,66.53,2.68,2019-08-10
"142","CARI",2019-08-10 12:37:00,517.83,NA,NA,66.52,0.79,2019-08-10
"143","CARI",2019-08-10 12:38:00,495.79,NA,NA,66.52,0.79,2019-08-10
"144","CARI",2019-08-10 12:39:00,512.75,NA,NA,66.52,0.71,2019-08-10
"145","CARI",2019-08-10 12:40:00,523.32,NA,NA,66.53,0.66,2019-08-10
"146","CARI",2019-08-10 12:41:00,512.23,NA,NA,66.48,2.77,2019-08-10
"147","CARI",2019-08-10 12:42:00,488.91,NA,NA,66.5,0.67,2019-08-10
"148","CARI",2019-08-10 12:43:00,503.85,NA,NA,66.5,0.67,2019-08-10
"149","CARI",2019-08-10 12:44:00,515.89,NA,NA,66.48,0.7,2019-08-10
"150","CARI",2019-08-10 12:45:00,517.96,NA,32.7,66.51,0.75,2019-08-10
"151","CARI",2019-08-10 12:46:00,513.45,NA,NA,66.48,2.9,2019-08-10
"152","CARI",2019-08-10 12:47:00,521.5,NA,NA,66.5,0.67,2019-08-10
"153","CARI",2019-08-10 12:48:00,517.25,NA,NA,66.5,0.65,2019-08-10
"154","CARI",2019-08-10 12:49:00,506.65,NA,NA,66.49,0.72,2019-08-10
"155","CARI",2019-08-10 12:50:00,506.85,NA,NA,66.49,0.85,2019-08-10
"156","CARI",2019-08-10 12:51:00,478.2,NA,NA,66.49,2.68,2019-08-10
"157","CARI",2019-08-10 12:52:00,532.62,NA,NA,66.51,0.56,2019-08-10
"158","CARI",2019-08-10 12:53:00,525.72,NA,NA,66.51,0.55,2019-08-10
"159","CARI",2019-08-10 12:54:00,533.73,NA,NA,66.5,0.73,2019-08-10
"160","CARI",2019-08-10 12:55:00,505.91,NA,NA,66.5,0.67,2019-08-10
"161","CARI",2019-08-10 12:56:00,519,NA,NA,66.5,2.57,2019-08-10
"162","CARI",2019-08-10 12:57:00,512.82,NA,NA,66.47,0.57,2019-08-10
"163","CARI",2019-08-10 12:58:00,496.44,NA,NA,66.47,0.57,2019-08-10
"164","CARI",2019-08-10 12:59:00,477.51,NA,NA,66.52,0.63,2019-08-10
"165","CARI",2019-08-10 13:00:00,512.63,NA,32.8,66.51,0.63,2019-08-10
"166","CARI",2019-08-10 13:01:00,514.31,NA,NA,66.5,2.79,2019-08-10
"167","CARI",2019-08-10 13:02:00,532.24,NA,NA,66.49,0.67,2019-08-10
"168","CARI",2019-08-10 13:03:00,509.8,NA,NA,66.49,0.66,2019-08-10
"169","CARI",2019-08-10 13:04:00,526.2,NA,NA,66.48,0.56,2019-08-10
"170","CARI",2019-08-10 13:05:00,543.06,NA,NA,66.5,0.65,2019-08-10
"171","CARI",2019-08-10 13:06:00,486.97,NA,NA,66.47,2.46,2019-08-10
"172","CARI",2019-08-10 13:07:00,508.42,NA,NA,66.5,0.62,2019-08-10
"173","CARI",2019-08-10 13:08:00,529.26,NA,NA,66.5,0.63,2019-08-10
"174","CARI",2019-08-10 13:09:00,486.1,NA,NA,66.51,0.73,2019-08-10
"175","CARI",2019-08-10 13:10:00,532,NA,NA,66.48,0.66,2019-08-10
"176","CARI",2019-08-10 13:11:00,490.31,NA,NA,66.48,2.47,2019-08-10
"177","CARI",2019-08-10 13:12:00,508.55,NA,NA,66.51,0.54,2019-08-10
"178","CARI",2019-08-10 13:13:00,479.89,NA,NA,66.51,0.54,2019-08-10
"179","CARI",2019-08-10 13:14:00,519.35,NA,NA,66.49,0.62,2019-08-10
"180","CARI",2019-08-10 13:15:00,537.68,NA,32.8,66.49,0.56,2019-08-10
"181","CARI",2019-08-10 13:16:00,506.11,NA,NA,66.46,2.69,2019-08-10
"182","CARI",2019-08-10 13:17:00,520.76,NA,NA,66.47,0.59,2019-08-10
"183","CARI",2019-08-10 13:18:00,511.31,NA,NA,66.47,0.61,2019-08-10
"184","CARI",2019-08-10 13:19:00,492.78,NA,NA,66.44,0.59,2019-08-10
"185","CARI",2019-08-10 13:20:00,518,NA,NA,66.45,0.54,2019-08-10
"186","CARI",2019-08-10 13:21:00,507.08,NA,NA,66.43,2.43,2019-08-10
"187","CARI",2019-08-10 13:22:00,536.84,NA,NA,66.46,0.59,2019-08-10
"188","CARI",2019-08-10 13:23:00,507.34,NA,NA,66.46,0.59,2019-08-10
"189","CARI",2019-08-10 13:24:00,512.52,NA,NA,66.49,0.54,2019-08-10
"190","CARI",2019-08-10 13:25:00,532.33,NA,NA,66.48,0.57,2019-08-10
"191","CARI",2019-08-10 13:26:00,485.1,NA,NA,66.45,2.47,2019-08-10
"192","CARI",2019-08-10 13:27:00,536.72,NA,NA,66.45,0.53,2019-08-10
"193","CARI",2019-08-10 13:28:00,500.83,NA,NA,66.45,0.53,2019-08-10
"194","CARI",2019-08-10 13:29:00,526.55,NA,NA,66.46,0.6,2019-08-10
"195","CARI",2019-08-10 13:30:00,477.91,NA,32.6,66.43,0.52,2019-08-10
"196","CARI",2019-08-10 13:31:00,501.17,NA,NA,66.44,2.7,2019-08-10
"197","CARI",2019-08-10 13:32:00,522.01,NA,NA,66.45,0.59,2019-08-10
"198","CARI",2019-08-10 13:33:00,521.77,NA,NA,66.45,0.59,2019-08-10
"199","CARI",2019-08-10 13:34:00,516.73,NA,NA,66.45,0.57,2019-08-10
"200","CARI",2019-08-10 13:35:00,498.88,NA,NA,66.44,0.61,2019-08-10
"201","CARI",2019-08-10 13:36:00,513.77,NA,NA,66.44,2.53,2019-08-10
"202","CARI",2019-08-10 13:37:00,505.63,NA,NA,66.47,0.53,2019-08-10
