"","Site","DateTime","Discharge","fDOM","NO3","SpCond","Turb","day"
"1","CARI",2019-08-13 16:16:00,813.68,NA,NA,57.62,6.57,2019-08-13
"2","CARI",2019-08-13 16:17:00,814.76,NA,NA,57.65,5.15,2019-08-13
"3","CARI",2019-08-13 16:18:00,751.85,NA,NA,57.65,5.15,2019-08-13
"4","CARI",2019-08-13 16:19:00,779.23,NA,NA,57.62,4.77,2019-08-13
"5","CARI",2019-08-13 16:20:00,791.96,NA,NA,57.63,4.93,2019-08-13
"6","CARI",2019-08-13 16:21:00,813.22,NA,NA,57.56,6.82,2019-08-13
"7","CARI",2019-08-13 16:22:00,762.57,NA,NA,57.59,4.9,2019-08-13
"8","CARI",2019-08-13 16:23:00,777.78,NA,NA,57.59,4.9,2019-08-13
"9","CARI",2019-08-13 16:24:00,774.2,NA,NA,57.58,4.85,2019-08-13
"10","CARI",2019-08-13 16:25:00,798.95,NA,NA,57.59,4.96,2019-08-13
"11","CARI",2019-08-13 16:26:00,760.08,NA,NA,57.57,6.42,2019-08-13
"12","CARI",2019-08-13 16:27:00,817.18,NA,NA,57.59,5.33,2019-08-13
"13","CARI",2019-08-13 16:28:00,821,NA,NA,57.59,5.32,2019-08-13
"14","CARI",2019-08-13 16:29:00,755.92,NA,NA,57.53,5.02,2019-08-13
"15","CARI",2019-08-13 16:30:00,783.97,NA,25.9,57.55,5.19,2019-08-13
"16","CARI",2019-08-13 16:31:00,774.95,NA,NA,57.52,6.64,2019-08-13
"17","CARI",2019-08-13 16:32:00,789.26,NA,NA,57.51,5.06,2019-08-13
"18","CARI",2019-08-13 16:33:00,802.66,NA,NA,57.51,5.02,2019-08-13
"19","CARI",2019-08-13 16:34:00,803.99,NA,NA,57.45,5.17,2019-08-13
"20","CARI",2019-08-13 16:35:00,807,NA,NA,57.48,5.29,2019-08-13
"21","CARI",2019-08-13 16:36:00,779.77,NA,NA,57.43,7.23,2019-08-13
"22","CARI",2019-08-13 16:37:00,741.86,NA,NA,57.43,5.38,2019-08-13
"23","CARI",2019-08-13 16:38:00,799.2,NA,NA,57.43,5.38,2019-08-13
"24","CARI",2019-08-13 16:39:00,796.34,NA,NA,57.41,5.19,2019-08-13
"25","CARI",2019-08-13 16:40:00,785.59,NA,NA,57.44,5.27,2019-08-13
"26","CARI",2019-08-13 16:41:00,806.92,NA,NA,57.02,5.1,2019-08-13
"27","CARI",2019-08-13 16:42:00,799.65,NA,NA,57.43,5.27,2019-08-13
"28","CARI",2019-08-13 16:43:00,824.36,NA,NA,57.43,5.27,2019-08-13
"29","CARI",2019-08-13 16:44:00,797.8,NA,NA,57.37,5.39,2019-08-13
"30","CARI",2019-08-13 16:45:00,783.97,NA,25.8,57.38,5.53,2019-08-13
"31","CARI",2019-08-13 16:46:00,854.12,NA,NA,57.36,6.96,2019-08-13
"32","CARI",2019-08-13 16:47:00,782.89,NA,NA,57.33,5.39,2019-08-13
"33","CARI",2019-08-13 16:48:00,773.66,NA,NA,57.33,5.39,2019-08-13
"34","CARI",2019-08-13 16:49:00,787.57,NA,NA,57.32,5.44,2019-08-13
"35","CARI",2019-08-13 16:50:00,817.5,NA,NA,57.33,5.2,2019-08-13
"36","CARI",2019-08-13 16:51:00,817.25,NA,NA,57.31,7.06,2019-08-13
"37","CARI",2019-08-13 16:52:00,773.81,NA,NA,57.28,5.42,2019-08-13
"38","CARI",2019-08-13 16:53:00,836.35,NA,NA,57.28,5.39,2019-08-13
"39","CARI",2019-08-13 16:54:00,761.28,NA,NA,57.28,5.75,2019-08-13
"40","CARI",2019-08-13 16:55:00,810.26,NA,NA,57.3,5.49,2019-08-13
"41","CARI",2019-08-13 16:56:00,793.65,NA,NA,57.25,7.5,2019-08-13
"42","CARI",2019-08-13 16:57:00,816.32,NA,NA,57.26,5.81,2019-08-13
"43","CARI",2019-08-13 16:58:00,811.89,NA,NA,57.25,5.95,2019-08-13
"44","CARI",2019-08-13 16:59:00,763.56,NA,NA,57.23,5.9,2019-08-13
"45","CARI",2019-08-13 17:00:00,803.68,NA,25.8,57.22,5.94,2019-08-13
"46","CARI",2019-08-13 17:01:00,796.26,NA,NA,57.19,7.82,2019-08-13
"47","CARI",2019-08-13 17:02:00,847.54,NA,NA,57.17,5.99,2019-08-13
"48","CARI",2019-08-13 17:03:00,805.22,NA,NA,57.17,5.99,2019-08-13
"49","CARI",2019-08-13 17:04:00,796.72,NA,NA,57.18,6.09,2019-08-13
"50","CARI",2019-08-13 17:05:00,779.15,NA,NA,57.17,5.84,2019-08-13
"51","CARI",2019-08-13 17:06:00,814.3,NA,NA,57.14,7.58,2019-08-13
"52","CARI",2019-08-13 17:07:00,817.5,NA,NA,57.13,5.97,2019-08-13
"53","CARI",2019-08-13 17:08:00,830.38,NA,NA,57.13,5.97,2019-08-13
"54","CARI",2019-08-13 17:09:00,835.48,NA,NA,57.13,6.15,2019-08-13
"55","CARI",2019-08-13 17:10:00,797.79,NA,NA,57.1,6.41,2019-08-13
"56","CARI",2019-08-13 17:11:00,796.49,NA,NA,57.06,7.89,2019-08-13
"57","CARI",2019-08-13 17:12:00,803.83,NA,NA,57.05,6.34,2019-08-13
"58","CARI",2019-08-13 17:13:00,798.19,NA,NA,57.05,6.31,2019-08-13
"59","CARI",2019-08-13 17:14:00,785.96,NA,NA,57.01,6.45,2019-08-13
"60","CARI",2019-08-13 17:15:00,820.92,NA,25.8,57.01,6.51,2019-08-13
"61","CARI",2019-08-13 17:16:00,828.43,NA,NA,57.02,7.84,2019-08-13
"62","CARI",2019-08-13 17:17:00,820.53,NA,NA,57.02,6.52,2019-08-13
"63","CARI",2019-08-13 17:18:00,836.66,NA,NA,57.02,6.52,2019-08-13
"64","CARI",2019-08-13 17:19:00,804.84,NA,NA,56.95,6.52,2019-08-13
"65","CARI",2019-08-13 17:20:00,801.36,NA,NA,56.96,6.71,2019-08-13
"66","CARI",2019-08-13 17:21:00,844.61,NA,NA,56.91,8.7,2019-08-13
"67","CARI",2019-08-13 17:22:00,831.4,NA,NA,56.91,6.92,2019-08-13
"68","CARI",2019-08-13 17:23:00,830.85,NA,NA,56.9,6.86,2019-08-13
"69","CARI",2019-08-13 17:24:00,859.36,NA,NA,56.83,7.09,2019-08-13
"70","CARI",2019-08-13 17:25:00,827.45,NA,NA,56.85,7,2019-08-13
"71","CARI",2019-08-13 17:26:00,811.35,NA,NA,56.78,8.77,2019-08-13
"72","CARI",2019-08-13 17:27:00,820.69,NA,NA,56.8,7.16,2019-08-13
"73","CARI",2019-08-13 17:28:00,846.37,NA,NA,56.8,7.13,2019-08-13
"74","CARI",2019-08-13 17:29:00,863.02,NA,NA,56.79,7.26,2019-08-13
"75","CARI",2019-08-13 17:30:00,803.53,NA,25.7,56.77,8.39,2019-08-13
"76","CARI",2019-08-13 17:31:00,821.31,NA,NA,56.7,9.19,2019-08-13
"77","CARI",2019-08-13 17:32:00,808.4,NA,NA,56.7,7.53,2019-08-13
"78","CARI",2019-08-13 17:33:00,884.14,NA,NA,56.71,7.52,2019-08-13
"79","CARI",2019-08-13 17:34:00,814.08,NA,NA,56.69,7.74,2019-08-13
"80","CARI",2019-08-13 17:35:00,832.81,NA,NA,56.67,7.27,2019-08-13
"81","CARI",2019-08-13 17:36:00,801.59,NA,NA,56.64,9.85,2019-08-13
"82","CARI",2019-08-13 17:37:00,834.15,NA,NA,56.65,9.44,2019-08-13
"83","CARI",2019-08-13 17:38:00,823.51,NA,NA,56.65,9.38,2019-08-13
"84","CARI",2019-08-13 17:39:00,853.61,NA,NA,56.6,9.73,2019-08-13
"85","CARI",2019-08-13 17:40:00,829.13,NA,NA,56.58,8.38,2019-08-13
"86","CARI",2019-08-13 17:41:00,819.6,NA,NA,56.52,9.27,2019-08-13
"87","CARI",2019-08-13 17:42:00,850.78,NA,NA,56.53,7.94,2019-08-13
"88","CARI",2019-08-13 17:43:00,871.32,NA,NA,56.53,7.93,2019-08-13
"89","CARI",2019-08-13 17:44:00,831.09,NA,NA,56.49,8.72,2019-08-13
"90","CARI",2019-08-13 17:45:00,823.11,NA,25.4,56.43,9.39,2019-08-13
"91","CARI",2019-08-13 17:46:00,822.38,NA,NA,56.37,10.74,2019-08-13
"92","CARI",2019-08-13 17:47:00,795.25,NA,NA,56.36,9.53,2019-08-13
"93","CARI",2019-08-13 17:48:00,877.32,NA,NA,56.36,9.47,2019-08-13
"94","CARI",2019-08-13 17:49:00,830.85,NA,NA,56.31,10.22,2019-08-13
"95","CARI",2019-08-13 17:50:00,831.18,NA,NA,56.3,10.69,2019-08-13
"96","CARI",2019-08-13 17:51:00,866.04,NA,NA,56.22,12.12,2019-08-13
"97","CARI",2019-08-13 17:52:00,887.03,NA,NA,56.24,11.39,2019-08-13
"98","CARI",2019-08-13 17:53:00,823.54,NA,NA,56.24,11.39,2019-08-13
"99","CARI",2019-08-13 17:54:00,836.83,NA,NA,56.16,12.78,2019-08-13
"100","CARI",2019-08-13 17:55:00,805.22,NA,NA,56.18,12.57,2019-08-13
"101","CARI",2019-08-13 17:56:00,817.7,NA,NA,56.13,13.04,2019-08-13
"102","CARI",2019-08-13 17:57:00,836.04,NA,NA,56.1,17.98,2019-08-13
"103","CARI",2019-08-13 17:58:00,889.21,NA,NA,56.1,17.59,2019-08-13
"104","CARI",2019-08-13 17:59:00,800.58,NA,NA,56.07,15.26,2019-08-13
"105","CARI",2019-08-13 18:00:00,890.02,NA,25.5,56.08,14.34,2019-08-13
"106","CARI",2019-08-13 18:01:00,888.52,NA,NA,56.02,15.69,2019-08-13
"107","CARI",2019-08-13 18:02:00,836.19,NA,NA,56.04,15.01,2019-08-13
"108","CARI",2019-08-13 18:03:00,858.45,NA,NA,56.04,15.01,2019-08-13
"109","CARI",2019-08-13 18:04:00,848.97,NA,NA,55.97,17.08,2019-08-13
"110","CARI",2019-08-13 18:05:00,880.93,NA,NA,55.96,13.87,2019-08-13
"111","CARI",2019-08-13 18:06:00,876.6,NA,NA,55.91,16.1,2019-08-13
"112","CARI",2019-08-13 18:07:00,867.37,NA,NA,55.92,16.13,2019-08-13
"113","CARI",2019-08-13 18:08:00,859.44,NA,NA,55.92,16.13,2019-08-13
"114","CARI",2019-08-13 18:09:00,887.88,NA,NA,55.83,12.33,2019-08-13
"115","CARI",2019-08-13 18:10:00,861.62,NA,NA,55.8,13.04,2019-08-13
"116","CARI",2019-08-13 18:11:00,870.96,NA,NA,55.77,14.61,2019-08-13
"117","CARI",2019-08-13 18:12:00,837.86,NA,NA,55.74,14.11,2019-08-13
"118","CARI",2019-08-13 18:13:00,873.44,NA,NA,55.74,14.11,2019-08-13
"119","CARI",2019-08-13 18:14:00,865.21,NA,NA,55.7,14.28,2019-08-13
"120","CARI",2019-08-13 18:15:00,779.37,NA,25.4,55.67,14.97,2019-08-13
"121","CARI",2019-08-13 18:16:00,921.71,NA,NA,55.66,15.51,2019-08-13
"122","CARI",2019-08-13 18:17:00,892.35,NA,NA,55.64,14.63,2019-08-13
"123","CARI",2019-08-13 18:18:00,829.21,NA,NA,55.64,14.6,2019-08-13
"124","CARI",2019-08-13 18:19:00,847.15,NA,NA,55.63,14.68,2019-08-13
"125","CARI",2019-08-13 18:20:00,830.46,NA,NA,55.56,17.75,2019-08-13
"126","CARI",2019-08-13 18:21:00,858.09,NA,NA,55.54,17.22,2019-08-13
"127","CARI",2019-08-13 18:22:00,889.3,NA,NA,55.52,38.62,2019-08-13
"128","CARI",2019-08-13 18:23:00,860.39,NA,NA,55.53,26.71,2019-08-13
"129","CARI",2019-08-13 18:24:00,894.38,NA,NA,55.5,15.98,2019-08-13
"130","CARI",2019-08-13 18:25:00,867.88,NA,NA,55.48,15.23,2019-08-13
"131","CARI",2019-08-13 18:26:00,916.79,NA,NA,55.43,16.61,2019-08-13
"132","CARI",2019-08-13 18:27:00,921.04,NA,NA,55.41,14.64,2019-08-13
"133","CARI",2019-08-13 18:28:00,846.44,NA,NA,55.41,14.56,2019-08-13
"134","CARI",2019-08-13 18:29:00,846.68,NA,NA,55.36,15.24,2019-08-13
"135","CARI",2019-08-13 18:30:00,850.07,NA,25.3,55.34,15.05,2019-08-13
"136","CARI",2019-08-13 18:31:00,886.24,NA,NA,55.28,16.16,2019-08-13
"137","CARI",2019-08-13 18:32:00,921.12,NA,NA,55.28,15.92,2019-08-13
"138","CARI",2019-08-13 18:33:00,917.03,NA,NA,55.28,15.92,2019-08-13
"139","CARI",2019-08-13 18:34:00,883.01,NA,NA,55.21,15.87,2019-08-13
"140","CARI",2019-08-13 18:35:00,917.52,NA,NA,55.2,15.84,2019-08-13
"141","CARI",2019-08-13 18:36:00,859.6,NA,NA,55.16,17.9,2019-08-13
"142","CARI",2019-08-13 18:37:00,886.15,NA,NA,55.17,16.75,2019-08-13
"143","CARI",2019-08-13 18:38:00,881.81,NA,NA,55.17,16.75,2019-08-13
"144","CARI",2019-08-13 18:39:00,906.61,NA,NA,55.11,16.55,2019-08-13
"145","CARI",2019-08-13 18:40:00,901.5,NA,NA,55.08,16.39,2019-08-13
"146","CARI",2019-08-13 18:41:00,911.74,NA,NA,55.06,17.75,2019-08-13
"147","CARI",2019-08-13 18:42:00,890.82,NA,NA,55.03,16.64,2019-08-13
"148","CARI",2019-08-13 18:43:00,872.44,NA,NA,55.03,16.64,2019-08-13
"149","CARI",2019-08-13 18:44:00,948.58,NA,NA,55.01,16.82,2019-08-13
"150","CARI",2019-08-13 18:45:00,924.72,NA,24.9,54.98,16.85,2019-08-13
"151","CARI",2019-08-13 18:46:00,890.43,NA,NA,54.93,18.03,2019-08-13
"152","CARI",2019-08-13 18:47:00,894.13,NA,NA,54.91,17.16,2019-08-13
"153","CARI",2019-08-13 18:48:00,927.33,NA,NA,54.91,17.08,2019-08-13
"154","CARI",2019-08-13 18:49:00,965.52,NA,NA,54.79,17.75,2019-08-13
"155","CARI",2019-08-13 18:50:00,909.38,NA,NA,54.81,18.29,2019-08-13
"156","CARI",2019-08-13 18:51:00,934.9,NA,NA,54.76,18.6,2019-08-13
"157","CARI",2019-08-13 18:52:00,938.93,NA,NA,54.72,18.04,2019-08-13
"158","CARI",2019-08-13 18:53:00,920.05,NA,NA,54.72,18.04,2019-08-13
"159","CARI",2019-08-13 18:54:00,918.26,NA,NA,54.63,18.65,2019-08-13
"160","CARI",2019-08-13 18:55:00,906.93,NA,NA,54.62,19.65,2019-08-13
"161","CARI",2019-08-13 18:56:00,916.7,NA,NA,54.57,18.07,2019-08-13
"162","CARI",2019-08-13 18:57:00,908.8,NA,NA,54.51,18.5,2019-08-13
"163","CARI",2019-08-13 18:58:00,914.42,NA,NA,54.51,18.5,2019-08-13
"164","CARI",2019-08-13 18:59:00,959.86,NA,NA,54.47,20.01,2019-08-13
"165","CARI",2019-08-13 19:00:00,960.77,NA,24.9,54.47,18.62,2019-08-13
"166","CARI",2019-08-13 19:01:00,900.6,NA,NA,54.4,18.55,2019-08-13
"167","CARI",2019-08-13 19:02:00,875.23,NA,NA,54.41,17.41,2019-08-13
"168","CARI",2019-08-13 19:03:00,915.97,NA,NA,54.41,17.61,2019-08-13
"169","CARI",2019-08-13 19:04:00,991.08,NA,NA,54.34,16.99,2019-08-13
"170","CARI",2019-08-13 19:05:00,929.8,NA,NA,54.34,18.22,2019-08-13
"171","CARI",2019-08-13 19:06:00,905.55,NA,NA,54.31,18.02,2019-08-13
"172","CARI",2019-08-13 19:07:00,982.75,NA,NA,54.27,18.39,2019-08-13
"173","CARI",2019-08-13 19:08:00,931.53,NA,NA,54.27,18.39,2019-08-13
"174","CARI",2019-08-13 19:09:00,906.77,NA,NA,54.17,18.63,2019-08-13
"175","CARI",2019-08-13 19:10:00,933.17,NA,NA,54.21,18.94,2019-08-13
"176","CARI",2019-08-13 19:11:00,973.64,NA,NA,54.13,17.15,2019-08-13
"177","CARI",2019-08-13 19:12:00,910.19,NA,NA,54.14,18.65,2019-08-13
"178","CARI",2019-08-13 19:13:00,911.65,NA,NA,54.14,18.65,2019-08-13
"179","CARI",2019-08-13 19:14:00,927.83,NA,NA,54.06,18.25,2019-08-13
"180","CARI",2019-08-13 19:15:00,967.2,NA,25,54.02,17.68,2019-08-13
"181","CARI",2019-08-13 19:16:00,911.98,NA,NA,53.99,19.04,2019-08-13
"182","CARI",2019-08-13 19:17:00,913.04,NA,NA,53.97,19.94,2019-08-13
