"","site.ID","year","storm.num","response","HI","precip","precip.week","precip.month","ThreeMonth","TOTAL.TIME","Intensity","doy","burn","pf"
"1","VAUL",2019,"storm1","NO3",-0.381197203203805,0,18.2,32.8,34.4,47.5,0,193.1875,"unburned","high"
"2","VAUL",2019,"storm2","NO3",-0.184361924686196,4,14,41.2,53.2,51.5,0.0776699029126214,206.020833333333,"unburned","high"
"3","VAUL",2019,"storm3","NO3",0.590379581151813,1.8,26.6,49.6,65.8,47.5,0.0378947368421053,209.1875,"unburned","high"
"4","VAUL",2019,"storm4b","NO3",-0.0283359600735488,10,53,90.2,106.4,54.5,0.18348623853211,214.104166666667,"unburned","high"
"5","VAUL",2019,"storm4c","NO3",-0.613916340864821,16.4,50.6,100.2,116.4,176.5,0.0929178470254958,216.395833333333,"unburned","high"
"6","VAUL",2019,"storm5","NO3",0.0180830511417903,27.8,15.6,99.6,134,68.5,0.405839416058394,223.854166666667,"unburned","high"
"7","VAUL",2019,"storm6","NO3",-0.00203853587823157,1.6,40.4,124.2,163.4,65.5,0.0244274809160305,226.8125,"unburned","high"
"8","VAUL",2019,"storm7","NO3",0.0556994818652857,1,8.2,16.8,174.2,26.5,0.0377358490566038,261.0625,"unburned","high"
"9","VAUL",2019,"storm8a","NO3",0.885237295254105,1,10.2,28.4,186.6,41.5,0.0240963855421687,271.395833333333,"unburned","high"
"10","VAUL",2019,"storm1","fDOM",0.00353923434908734,0,18.2,32.8,34.4,47.5,0,193.1875,"unburned","high"
"11","VAUL",2019,"storm2","fDOM",-0.220455880798382,4,14,41.2,53.2,51.5,0.0776699029126214,206.020833333333,"unburned","high"
"12","VAUL",2019,"storm3","fDOM",0.127566562546482,1.8,26.6,49.6,65.8,47.5,0.0378947368421053,209.1875,"unburned","high"
"13","VAUL",2019,"storm4b","fDOM",-0.227924469919052,10,53,90.2,106.4,54.5,0.18348623853211,214.104166666667,"unburned","high"
"14","VAUL",2019,"storm4c","fDOM",-0.188359234907352,16.4,50.6,100.2,116.4,176.5,0.0929178470254958,216.395833333333,"unburned","high"
"15","VAUL",2019,"storm5","fDOM",-0.157407407407407,27.8,15.6,99.6,134,68.5,0.405839416058394,223.854166666667,"unburned","high"
"16","VAUL",2019,"storm6","fDOM",-0.0298085291557878,1.6,40.4,124.2,163.4,65.5,0.0244274809160305,226.8125,"unburned","high"
"17","VAUL",2019,"storm7","fDOM",-0.0431119920713578,1,8.2,16.8,174.2,26.5,0.0377358490566038,261.0625,"unburned","high"
"18","VAUL",2019,"storm8a","fDOM",-0.0793103448275866,1,10.2,28.4,186.6,41.5,0.0240963855421687,271.395833333333,"unburned","high"
"19","VAUL",2019,"storm8b","fDOM",0.262939607074043,13.6,21,39.2,197.4,55.5,0.245045045045045,273.8125,"unburned","high"
"20","VAUL",2019,"storm8c","fDOM",0.0808848999512756,11.4,34.4,52.6,206.6,119.5,0.095397489539749,276.145833333333,"unburned","high"
"21","VAUL",2019,"storm1","SPC",0.834473306795045,0,18.2,32.8,34.4,47.5,0,193.1875,"unburned","high"
"22","VAUL",2019,"storm2","SPC",0.942099775757571,4,14,41.2,53.2,51.5,0.0776699029126214,206.020833333333,"unburned","high"
"23","VAUL",2019,"storm3","SPC",0.889889654909338,1.8,26.6,49.6,65.8,47.5,0.0378947368421053,209.1875,"unburned","high"
"24","VAUL",2019,"storm4b","SPC",0.67630560916918,10,53,90.2,106.4,54.5,0.18348623853211,214.104166666667,"unburned","high"
"25","VAUL",2019,"storm4c","SPC",0.0623069001029866,16.4,50.6,100.2,116.4,176.5,0.0929178470254958,216.395833333333,"unburned","high"
"26","VAUL",2019,"storm5","SPC",0.746552975326561,27.8,15.6,99.6,134,68.5,0.405839416058394,223.854166666667,"unburned","high"
"27","VAUL",2019,"storm6","SPC",0.728486646884273,1.6,40.4,124.2,163.4,65.5,0.0244274809160305,226.8125,"unburned","high"
"28","VAUL",2019,"storm7","SPC",0.212979351032448,1,8.2,16.8,174.2,26.5,0.0377358490566038,261.0625,"unburned","high"
"29","VAUL",2019,"storm8a","SPC",0.953964757709251,1,10.2,28.4,186.6,41.5,0.0240963855421687,271.395833333333,"unburned","high"
"30","VAUL",2019,"storm8b","SPC",0.847733706064828,13.6,21,39.2,197.4,55.5,0.245045045045045,273.8125,"unburned","high"
"31","VAUL",2019,"storm8c","SPC",0.346587184091727,11.4,34.4,52.6,206.6,119.5,0.095397489539749,276.145833333333,"unburned","high"
"32","VAUL",2019,"storm1","turb",-0.0229406826517457,0,18.2,32.8,34.4,47.5,0,193.1875,"unburned","high"
"33","VAUL",2019,"storm2","turb",-0.0179260684635766,4,14,41.2,53.2,51.5,0.0776699029126214,206.020833333333,"unburned","high"
"34","VAUL",2019,"storm3","turb",0.0171211718029518,1.8,26.6,49.6,65.8,47.5,0.0378947368421053,209.1875,"unburned","high"
