"","storm.num","TOTAL.TIME","site.ID","year","response","HI","precip","precip.week","precip.month","ThreeMonth","Intensity","doy","burn","pf"
"1","storm1",159.25,"STRT",2019,"NO3",-0.241844280121768,31.6,26.6,30.8,30.8,0.198430141287284,150.479166666667,"burned","high"
"2","storm2",68.25,"STRT",2019,"NO3",-0.190819503165712,1,11.8,69.4,134.2,0.0146520146520147,192.8125,"burned","high"
"3","storm3a",258.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.833333333333,"burned","high"
"4","storm3b",71.25,"STRT",2019,"NO3",-0.388687931601433,37.6,54.8,106.6,229,0.527719298245614,216.604166666667,"burned","high"
"5","storm3c",43.25,"STRT",2019,"NO3",0.186664020032982,19.2,49.8,141.2,280,0.44393063583815,223.854166666667,"burned","high"
"6","storm4",116.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.770833333333,"burned","high"
"7","storm5",24.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.895833333333,"burned","high"
"8","storm6",61.25,"STRT",2019,"NO3",0.641187384044537,4.4,22.4,26.2,270.6,0.0718367346938776,262.770833333333,"burned","high"
"9","storm7",54.25,"STRT",2019,"NO3",0.672186807095365,7,23.6,56.8,296.4,0.129032258064516,273.895833333333,"burned","high"
"10","storm7b",66.25,"STRT",2019,"NO3",-0.121494303242771,5,31.2,65,297.8,0.0754716981132075,276.395833333333,"burned","high"
"11","storm7c",64.25,"STRT",2019,"NO3",0.667428359683796,1.4,18.6,74.4,301.4,0.0217898832684825,281.479166666667,"burned","high"
"12","storm2",68.25,"STRT",2019,"fDOM",-0.267565485362098,1,11.8,69.4,134.2,0.0146520146520147,192.8125,"burned","high"
"13","storm3a",258.5,"STRT",2019,"fDOM",-0.318421568184217,76.4,13.4,35.2,152.8,0.295551257253385,205.833333333333,"burned","high"
"14","storm3b",71.25,"STRT",2019,"fDOM",-0.3893876283859,37.6,54.8,106.6,229,0.527719298245614,216.604166666667,"burned","high"
"15","storm3c",43.25,"STRT",2019,"fDOM",-0.421428684866085,19.2,49.8,141.2,280,0.44393063583815,223.854166666667,"burned","high"
"16","storm4",116.25,"STRT",2019,"fDOM",0.425863294466216,24,68,195.2,330.4,0.206451612903226,226.770833333333,"burned","high"
"17","storm5",24.25,"STRT",2019,"fDOM",-0.268260585664775,0,65.4,218.8,354,0,231.895833333333,"burned","high"
"18","storm6",61.25,"STRT",2019,"fDOM",-0.691279069767442,4.4,22.4,26.2,270.6,0.0718367346938776,262.770833333333,"burned","high"
"19","storm7",54.25,"STRT",2019,"fDOM",-0.514842322483819,7,23.6,56.8,296.4,0.129032258064516,273.895833333333,"burned","high"
"20","storm7b",66.25,"STRT",2019,"fDOM",-0.193258776976654,5,31.2,65,297.8,0.0754716981132075,276.395833333333,"burned","high"
"21","storm7c",64.25,"STRT",2019,"fDOM",-0.666456944155764,1.4,18.6,74.4,301.4,0.0217898832684825,281.479166666667,"burned","high"
"22","storm2",68.25,"STRT",2019,"SPC",0.360007097232115,1,11.8,69.4,134.2,0.0146520146520147,192.8125,"burned","high"
"23","storm3a",258.5,"STRT",2019,"SPC",0.773768703241903,76.4,13.4,35.2,152.8,0.295551257253385,205.833333333333,"burned","high"
"24","storm3b",71.25,"STRT",2019,"SPC",0.658834827144688,37.6,54.8,106.6,229,0.527719298245614,216.604166666667,"burned","high"
"25","storm3c",43.25,"STRT",2019,"SPC",0.60802981823046,19.2,49.8,141.2,280,0.44393063583815,223.854166666667,"burned","high"
"26","storm4",116.25,"STRT",2019,"SPC",0.425590731463979,24,68,195.2,330.4,0.206451612903226,226.770833333333,"burned","high"
"27","storm5",24.25,"STRT",2019,"SPC",0.0791364629166517,0,65.4,218.8,354,0,231.895833333333,"burned","high"
"28","storm6",61.25,"STRT",2019,"SPC",0.616847826086956,4.4,22.4,26.2,270.6,0.0718367346938776,262.770833333333,"burned","high"
"29","storm7",54.25,"STRT",2019,"SPC",0.669458115183246,7,23.6,56.8,296.4,0.129032258064516,273.895833333333,"burned","high"
"30","storm7b",66.25,"STRT",2019,"SPC",-0.071932616140303,5,31.2,65,297.8,0.0754716981132075,276.395833333333,"burned","high"
"31","storm7c",64.25,"STRT",2019,"SPC",0.693171710383271,1.4,18.6,74.4,301.4,0.0217898832684825,281.479166666667,"burned","high"
"32","storm2",68.25,"STRT",2019,"turb",0.0325549220191175,1,11.8,69.4,134.2,0.0146520146520147,192.8125,"burned","high"
"33","storm3a",258.5,"STRT",2019,"turb",-0.0332230329251299,76.4,13.4,35.2,152.8,0.295551257253385,205.833333333333,"burned","high"
"34","storm3b",71.25,"STRT",2019,"turb",0.000315214602499655,37.6,54.8,106.6,229,0.527719298245614,216.604166666667,"burned","high"
"35","storm3c",43.25,"STRT",2019,"turb",-0.117768923857067,19.2,49.8,141.2,280,0.44393063583815,223.854166666667,"burned","high"
