"","Site","DateTime","Q","day","fDOM.QSU","nitrateuM","SpCond.uScm","Turbidity.FNU","MeanDischarge"
"1","VAUL",2020-08-12 08:30:00,356.17157598678,2020-08-12 08:00:00,208.002727272727,26.542,230.136363636364,47.1036363636364,356.17157598678
"2","VAUL",2020-08-12 08:45:00,359.672564089764,2020-08-12 08:00:00,208.439090909091,26.438,230.263636363636,42.3854545454545,359.672564089764
"3","VAUL",2020-08-12 09:00:00,359.672564089764,2020-08-12 08:00:00,209.996363636364,26.236,230.4,45.5418181818182,359.672564089764
"4","VAUL",2020-08-12 09:15:00,368.425034347048,2020-08-12 08:00:00,210.589090909091,26.172,230.663636363636,49.3218181818182,368.425034347048
"5","VAUL",2020-08-12 09:30:00,371.926022450032,2020-08-12 08:00:00,210.918181818182,26.244,230.781818181818,44.0454545454545,371.926022450032
"6","VAUL",2020-08-12 09:45:00,370.17552839854,2020-08-12 08:00:00,211.984545454545,26.262,230.972727272727,43.21,370.17552839854
"7","VAUL",2020-08-12 10:00:00,368.425034347048,2020-08-12 08:00:00,212.303636363636,26.288,231.163636363636,44.0209090909091,368.425034347048
"8","VAUL",2020-08-12 10:15:00,375.427010552899,2020-08-12 08:00:00,212.448181818182,26.17,231.190909090909,44.5136363636364,375.427010552899
"9","VAUL",2020-08-12 10:30:00,377.177504604391,2020-08-12 08:00:00,212.510909090909,26.192,231.3,42.7372727272727,377.177504604391
"10","VAUL",2020-08-12 10:45:00,384.179480810242,2020-08-12 08:00:00,212.919090909091,26.066,231.272727272727,45.8945454545455,384.179480810242
"11","VAUL",2020-08-12 11:00:00,380.678492707317,2020-08-12 08:00:00,212.9,26.208,231.2,44.1336363636364,380.678492707317
"12","VAUL",2020-08-12 11:15:00,378.927998655883,2020-08-12 08:00:00,213.33,26.138,231.272727272727,45.2736363636364,378.927998655883
"13","VAUL",2020-08-12 11:30:00,359.672564089764,2020-08-12 08:00:00,213.844545454545,26.142,231.272727272727,44.0736363636364,359.672564089764
"14","VAUL",2020-08-12 11:45:00,361.423058141198,2020-08-12 08:00:00,214.589090909091,26.084,231.418181818182,44.5954545454545,361.423058141198
"15","VAUL",2020-08-12 12:00:00,359.672564089764,2020-08-12 08:00:00,215.403636363636,26.028,231.6,42.0945454545455,359.672564089764
"16","VAUL",2020-08-12 12:15:00,370.17552839854,2020-08-12 08:00:00,216.144545454545,26.12,231.7,42.5745454545455,370.17552839854
"17","VAUL",2020-08-12 12:30:00,371.926022450032,2020-08-12 08:00:00,216.921818181818,25.974,231.772727272727,37.6054545454545,371.926022450032
"18","VAUL",2020-08-12 12:45:00,384.179480810242,2020-08-12 08:00:00,217.257272727273,26.062,231.909090909091,40.95,384.179480810242
"19","VAUL",2020-08-12 13:00:00,385.929974861734,2020-08-12 08:00:00,217.409090909091,26.138,232.081818181818,40.1654545454545,385.929974861734
"20","VAUL",2020-08-12 13:15:00,387.680468913168,2020-08-12 08:00:00,217.85,26.136,232.236363636364,44.1545454545455,387.680468913168
"21","VAUL",2020-08-12 13:30:00,399.933927273494,2020-08-12 08:00:00,218.38,26.118,232.490909090909,41.7581818181818,399.933927273494
"22","VAUL",2020-08-12 13:45:00,401.684421324928,2020-08-12 08:00:00,218.62,26.328,232.736363636364,40.2909090909091,401.684421324928
"23","VAUL",2020-08-12 14:00:00,399.933927273494,2020-08-12 08:00:00,219.306363636364,26.374,232.881818181818,38.6236363636364,399.933927273494
"24","VAUL",2020-08-12 14:15:00,408.686397530779,2020-08-12 08:00:00,218.69,26.29,232.863636363636,34.81,408.686397530779
"25","VAUL",2020-08-12 14:30:00,412.187385633762,2020-08-12 08:00:00,218.007272727273,26.444,232.763636363636,41.3963636363636,412.187385633762
"26","VAUL",2020-08-12 14:45:00,417.438867788122,2020-08-12 08:00:00,218.33,26.294,232.627272727273,38.7418181818182,417.438867788122
"27","VAUL",2020-08-12 15:00:00,417.438867788122,2020-08-12 08:00:00,219.19,26.272,232.672727272727,39.2154545454545,417.438867788122
"28","VAUL",2020-08-12 15:15:00,422.690349942539,2020-08-12 08:00:00,219.578181818182,26.284,232.709090909091,36.8890909090909,422.690349942539
