"","X.3","X.2","X.1","X","site.ID","year","storm.num","response","HI","precip","precip.week","precip.month","ThreeMonth","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"1",1,1,1,1,"MOOS",2018,"storm1","NO3",0.149598393574318,8.001,12.065,26.543,26.543,28.5,0.280736842105263,171.833333333333,"burned","medium",2018-06-21,30.8333333333321
"2",2,2,2,2,"MOOS",2018,"storm10","NO3",0.112439897126244,13.208,49.149,170.815,237.492,215.5,0.0612900232018561,243.208333333333,"burned","medium",2018-09-01,102.208333333332
"3",3,3,3,3,"MOOS",2018,"storm11a","NO3",0.763789265396984,18.161,26.543,176.53,277.243,36.5,0.497561643835616,264.208333333333,"burned","medium",2018-09-22,123.208333333332
"4",4,4,4,4,"MOOS",2018,"storm11b","NO3",0.454200404858303,2.032,44.831,194.818,295.531,17.5,0.116114285714286,265.75,"burned","medium",2018-09-23,124.75
"5",5,5,5,5,"MOOS",2018,"storm12","NO3",0.0324711367673158,8.89,46.482,196.469,297.182,154.5,0.0575404530744337,266.5,"burned","medium",2018-09-24,125.5
"6",6,6,6,6,"MOOS",2018,"storm3","NO3",0.0961275931655567,19.431,32.26,66.804,66.804,119.5,0.162602510460251,189.75,"burned","medium",2018-07-09,48.75
"7",7,7,7,7,"MOOS",2018,"storm4","NO3",0.0122395725469079,9.779,37.467,86.235,86.235,121.5,0.0804855967078189,195.416666666667,"burned","medium",2018-07-15,54.4166666666679
"8",8,8,8,8,"MOOS",2018,"storm5","NO3",0.475102957693752,32.766,15.875,96.268,111.889,137.5,0.238298181818182,215.75,"burned","medium",2018-08-04,74.75
"9",9,9,9,9,"MOOS",2018,"storm6","NO3",0.0678681943631344,43.688,43.942,119.763,144.655,165.5,0.26397583081571,224.583333333333,"burned","medium",2018-08-13,83.5833333333321
"10",10,10,10,10,"MOOS",2018,"storm7","NO3",0.75164998935491,8.001,51.054,157.99,195.709,61.5,0.13009756097561,234.708333333333,"burned","medium",2018-08-23,93.7083333333321
"11",11,11,11,11,"MOOS",2018,"storm8a","NO3",0.580797481636929,9.144,59.055,155.069,203.71,39.5,0.231493670886076,237.291666666667,"burned","medium",2018-08-26,96.2916666666679
"12",12,12,12,12,"MOOS",2018,"storm8b","NO3",-0.375491931640227,3.302,53.467,149.733,212.854,47.5,0.0695157894736842,238.958333333333,"burned","medium",2018-08-27,97.9583333333321
"13",13,13,13,13,"MOOS",2018,"storm9","NO3",-0.0620167355153049,21.336,29.464,153.035,216.156,53.5,0.398803738317757,240.958333333333,"burned","medium",2018-08-29,99.9583333333321
"14",14,14,14,14,"MOOS",2018,"storm1","fDOM",-0.465484363081616,8.001,12.065,26.543,26.543,28.5,0.280736842105263,171.833333333333,"burned","medium",2018-06-21,30.8333333333321
"15",15,15,15,15,"MOOS",2018,"storm10","fDOM",0.704984082769598,13.208,49.149,170.815,237.492,215.5,0.0612900232018561,243.208333333333,"burned","medium",2018-09-01,102.208333333332
"16",16,16,16,16,"MOOS",2018,"storm11a","fDOM",-0.336351246105918,18.161,26.543,176.53,277.243,36.5,0.497561643835616,264.208333333333,"burned","medium",2018-09-22,123.208333333332
"17",17,17,17,17,"MOOS",2018,"storm11b","fDOM",-0.136350014983518,2.032,44.831,194.818,295.531,17.5,0.116114285714286,265.75,"burned","medium",2018-09-23,124.75
"18",18,18,18,18,"MOOS",2018,"storm12","fDOM",-0.0344087612845938,8.89,46.482,196.469,297.182,154.5,0.0575404530744337,266.5,"burned","medium",2018-09-24,125.5
