"","X","site.ID","year","storm.num","response","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"1",1,"MOOS",2020,"storm1","NO3",0.273143631436314,66.4,10.613273255814,23.4,23.4,23.4,14.4860682692308,172.5,0.384927536231884,171.760416666667,"unburned","medium",2020-06-20,38.7604166666679
"2",2,"MOOS",2020,"storm2","NO3",-0.0729316116690664,7.6,8.34909927983539,49.4,95.2,95.2,10.876873015873,81.5,0.0932515337423313,179.385416666667,"unburned","medium",2020-06-28,46.3854166666679
"3",3,"MOOS",2020,"storm3","NO3",0.632441371016244,5.4,12.4161145833333,28.6,179.4,194.2,13.0475617559524,32,0.16875,199.447916666667,"unburned","medium",2020-07-18,66.4479166666679
"4",4,"MOOS",2020,"storm4","NO3",0.0471888366903348,21.8,10.870803125,49.6,140.4,216.2,13.4999444444444,80,0.2725,201.447916666667,"unburned","medium",2020-07-20,68.4479166666679
"5",5,"MOOS",2020,"storm5","NO3",-0.327724021876309,5.6,10.9675423280423,43.2,144.6,242.8,11.6895337301587,62.75,0.0892430278884462,207.947916666667,"unburned","medium",2020-07-26,74.9479166666679
"6",6,"MOOS",2020,"storm6a","NO3",0.909772028688521,0.2,13.0758024691358,23.6,160.2,263,13.9027755456349,26.75,0.00747663551401869,213.822916666667,"unburned","medium",2020-08-01,80.8229166666679
"7",7,"MOOS",2020,"storm7a","NO3",0.667251051893401,27,10.5630573671498,14.4,112,277.6,12.570480406746,68.75,0.392727272727273,221.40625,"unburned","medium",2020-08-09,88.40625
"8",8,"MOOS",2020,"storm7b","NO3",0.130176767676758,3.2,11.4546023550725,28.6,134.2,304.8,11.7882113095238,46.25,0.0691891891891892,224.34375,"unburned","medium",2020-08-12,91.34375
"9",9,"MOOS",2020,"storm9","NO3",0.140362856028092,0,3.33689438943894,16.2,41.6,345.6,7.12745535714286,101,0,252.3125,"unburned","medium",2020-09-09,119.3125
"10",10,"MOOS",2020,"storm2","fDOM",-0.518918492826737,7.6,8.34909927983539,49.4,95.2,95.2,10.876873015873,81.5,0.0932515337423313,179.385416666667,"unburned","medium",2020-06-28,46.3854166666679
"11",11,"MOOS",2020,"storm3","fDOM",-0.476734449760847,5.4,12.4161145833333,28.6,179.4,194.2,13.0475617559524,32,0.16875,199.447916666667,"unburned","medium",2020-07-18,66.4479166666679
"12",12,"MOOS",2020,"storm4","fDOM",-0.179837822022204,21.8,10.870803125,49.6,140.4,216.2,13.4999444444444,80,0.2725,201.447916666667,"unburned","medium",2020-07-20,68.4479166666679
"13",13,"MOOS",2020,"storm5","fDOM",-0.0899481983697605,5.6,10.9675423280423,43.2,144.6,242.8,11.6895337301587,62.75,0.0892430278884462,207.947916666667,"unburned","medium",2020-07-26,74.9479166666679
"14",14,"MOOS",2020,"storm6a","fDOM",0.703854185581981,0.2,13.0758024691358,23.6,160.2,263,13.9027755456349,26.75,0.00747663551401869,213.822916666667,"unburned","medium",2020-08-01,80.8229166666679
