"","X","site.ID","year","storm.num","response","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"15",15,"MOOS",2020,"storm6b","fDOM",0.150688446078852,13,12.7313396990741,20.6,160.6,263.4,13.9661284722222,71.75,0.181184668989547,214.947916666667,"unburned","medium",2020-08-02,81.9479166666679
"16",16,"MOOS",2020,"storm7a","fDOM",0.415544654382412,27,10.5630573671498,14.4,112,277.6,12.570480406746,68.75,0.392727272727273,221.40625,"unburned","medium",2020-08-09,88.40625
"17",17,"MOOS",2020,"storm7b","fDOM",0.392857142857162,3.2,11.4546023550725,28.6,134.2,304.8,11.7882113095238,46.25,0.0691891891891892,224.34375,"unburned","medium",2020-08-12,91.34375
"18",18,"MOOS",2020,"storm9","fDOM",0.503195845640412,0,3.33689438943894,16.2,41.6,345.6,7.12745535714286,101,0,252.3125,"unburned","medium",2020-09-09,119.3125
"19",19,"MOOS",2020,"storm2","SPC",-0.628299120234605,7.6,8.34909927983539,49.4,95.2,95.2,10.876873015873,81.5,0.0932515337423313,179.385416666667,"unburned","medium",2020-06-28,46.3854166666679
"20",20,"MOOS",2020,"storm3","SPC",-0.029141104294266,5.4,12.4161145833333,28.6,179.4,194.2,13.0475617559524,32,0.16875,199.447916666667,"unburned","medium",2020-07-18,66.4479166666679
"21",21,"MOOS",2020,"storm4","SPC",0.0348563645369006,21.8,10.870803125,49.6,140.4,216.2,13.4999444444444,80,0.2725,201.447916666667,"unburned","medium",2020-07-20,68.4479166666679
"22",22,"MOOS",2020,"storm2","turb",-0.0606602219390136,7.6,8.34909927983539,49.4,95.2,95.2,10.876873015873,81.5,0.0932515337423313,179.385416666667,"unburned","medium",2020-06-28,46.3854166666679
"23",23,"MOOS",2020,"storm3","turb",-0.184102279043915,5.4,12.4161145833333,28.6,179.4,194.2,13.0475617559524,32,0.16875,199.447916666667,"unburned","medium",2020-07-18,66.4479166666679
"24",24,"MOOS",2020,"storm4","turb",-0.294162727138426,21.8,10.870803125,49.6,140.4,216.2,13.4999444444444,80,0.2725,201.447916666667,"unburned","medium",2020-07-20,68.4479166666679
"25",25,"MOOS",2020,"storm5","turb",-0.000405102822461185,5.6,10.9675423280423,43.2,144.6,242.8,11.6895337301587,62.75,0.0892430278884462,207.947916666667,"unburned","medium",2020-07-26,74.9479166666679
"26",26,"MOOS",2020,"storm6a","turb",-0.203737263747375,0.2,13.0758024691358,23.6,160.2,263,13.9027755456349,26.75,0.00747663551401869,213.822916666667,"unburned","medium",2020-08-01,80.8229166666679
"27",27,"MOOS",2020,"storm6b","turb",-0.497827939815794,13,12.7313396990741,20.6,160.6,263.4,13.9661284722222,71.75,0.181184668989547,214.947916666667,"unburned","medium",2020-08-02,81.9479166666679
"28",28,"MOOS",2020,"storm7a","turb",-0.0831836248012721,27,10.5630573671498,14.4,112,277.6,12.570480406746,68.75,0.392727272727273,221.40625,"unburned","medium",2020-08-09,88.40625
"29",29,"MOOS",2020,"storm7b","turb",-0.224890923090084,3.2,11.4546023550725,28.6,134.2,304.8,11.7882113095238,46.25,0.0691891891891892,224.34375,"unburned","medium",2020-08-12,91.34375
"30",30,"MOOS",2020,"storm9","turb",-0.307929478609625,0,3.33689438943894,16.2,41.6,345.6,7.12745535714286,101,0,252.3125,"unburned","medium",2020-09-09,119.3125
"31",31,"FRCH",2020,"storm1","NO3",0.117124382595864,18,15.2249518442623,0.2,0.2,0.2,14.1532074468085,121.5,0.148148148148148,164.114583333333,"unburned","medium",2020-06-13,31.1145833333321
"32",32,"FRCH",2020,"storm10a","NO3",0.376266895838005,27,10.3861673177083,14.4,112,295.2,12.5606579341317,63.5,0.425196850393701,221.40625,"unburned","medium",2020-08-09,88.40625
"33",33,"FRCH",2020,"storm10b","NO3",-0.411699915845744,1.8,11.9530151515152,30,132.6,323.8,11.7882113095238,109.5,0.0164383561643836,224.364583333333,"unburned","medium",2020-08-12,91.3645833333321
"34",34,"FRCH",2020,"storm11","NO3",0.777551850345652,0.2,13.3963605072464,6.2,76.2,331.6,13.3339774305556,22.5,0.00888888888888889,232.40625,"unburned","medium",2020-08-20,99.40625
"35",35,"FRCH",2020,"storm12","NO3",0.633315593400734,0.8,9.7895318627451,13.4,47.6,339,7.69828174603175,16.5,0.0484848484848485,249.739583333333,"unburned","medium",2020-09-06,116.739583333332
"36",36,"FRCH",2020,"storm13","NO3",0.560444790584981,0,2.52739937106918,16.2,41.6,345.6,7.19688516865079,52.5,0,252.239583333333,"unburned","medium",2020-09-09,119.239583333332
"37",37,"FRCH",2020,"storm2","NO3",0.800443968156779,6.2,12.0613279569892,20.4,20.6,20.6,15.1709146825397,30.5,0.20327868852459,169.947916666667,"unburned","medium",2020-06-18,36.9479166666679
"38",38,"FRCH",2020,"storm3a","NO3",0.148273130806423,48.8,10.9440264227642,26.6,26.8,26.8,14.6205052083333,40.5,1.20493827160494,171.239583333333,"unburned","medium",2020-06-20,38.2395833333321
"39",39,"FRCH",2020,"storm3b","NO3",-0.502022949010112,31.6,10.2925703363914,58.6,76.2,76.2,13.9173251488095,108.5,0.291244239631336,172.947916666667,"unburned","medium",2020-06-21,39.9479166666679
"40",40,"FRCH",2020,"storm3c","NO3",0.0586574654955473,0,12.5888604166667,80.6,107.4,107.4,10.5895198412698,39.5,0,177.489583333333,"unburned","medium",2020-06-26,44.4895833333321
"41",41,"FRCH",2020,"storm4a","NO3",0.072353536160132,47.8,13.2527978723404,7,127.4,127.4,13.9360151289683,46.5,1.02795698924731,188.489583333333,"unburned","medium",2020-07-07,55.4895833333321
"42",42,"FRCH",2020,"storm4b","NO3",-0.240592619523719,4,11.9289803921569,60,180.2,180.4,14.9017098214286,50.5,0.0792079207920792,190.489583333333,"unburned","medium",2020-07-09,57.4895833333321
"43",43,"FRCH",2020,"storm5","NO3",-0.498394645189377,3.4,14.2704444444444,19,173.2,191.4,12.6970731646825,14.5,0.23448275862069,196.90625,"unburned","medium",2020-07-15,63.90625
"44",44,"FRCH",2020,"storm6","NO3",0.648185894822659,5.4,12.8871298076923,28.6,179.4,211.8,13.047003243513,25.5,0.211764705882353,199.447916666667,"unburned","medium",2020-07-18,66.4479166666679
"45",45,"FRCH",2020,"storm7","NO3",0.435508076839114,38,10.8362200980392,33.4,124.6,217.6,13.4772220558882,84.5,0.449704142011834,201.40625,"unburned","medium",2020-07-20,68.40625
"46",46,"FRCH",2020,"storm8","NO3",-0.13109949302915,6.4,11.71606640625,42.4,146.8,259.6,11.8366393849206,95.5,0.0670157068062827,207.322916666667,"unburned","medium",2020-07-26,74.3229166666679
"47",47,"FRCH",2020,"storm9a","NO3",0.821672504378276,6.4,13.2806428571429,17.8,154.4,274.8,13.7211892361111,34.5,0.185507246376812,213.489583333333,"unburned","medium",2020-08-01,80.4895833333321
"48",48,"FRCH",2020,"storm9b","NO3",-0.0714756258234571,12.8,12.7313396990741,20.6,160.6,281,13.9718794642857,71.25,0.179649122807018,214.958333333333,"unburned","medium",2020-08-02,81.9583333333321
"49",49,"FRCH",2020,"storm1","fDOM",-0.318772669568371,18,15.2249518442623,0.2,0.2,0.2,14.1532074468085,121.5,0.148148148148148,164.114583333333,"unburned","medium",2020-06-13,31.1145833333321
"50",50,"FRCH",2020,"storm10a","fDOM",-0.14495634191176,27,10.3861673177083,14.4,112,295.2,12.5606579341317,63.5,0.425196850393701,221.40625,"unburned","medium",2020-08-09,88.40625
"51",51,"FRCH",2020,"storm10b","fDOM",-0.0137324700033745,1.8,11.9530151515152,30,132.6,323.8,11.7882113095238,109.5,0.0164383561643836,224.364583333333,"unburned","medium",2020-08-12,91.3645833333321
"52",52,"FRCH",2020,"storm11","fDOM",-0.445774303859311,0.2,13.3963605072464,6.2,76.2,331.6,13.3339774305556,22.5,0.00888888888888889,232.40625,"unburned","medium",2020-08-20,99.40625
"53",53,"FRCH",2020,"storm12","fDOM",-0.349287294175479,0.8,9.7895318627451,13.4,47.6,339,7.69828174603175,16.5,0.0484848484848485,249.739583333333,"unburned","medium",2020-09-06,116.739583333332
"54",54,"FRCH",2020,"storm13","fDOM",-0.399308582296536,0,2.52739937106918,16.2,41.6,345.6,7.19688516865079,52.5,0,252.239583333333,"unburned","medium",2020-09-09,119.239583333332
"55",55,"FRCH",2020,"storm2","fDOM",-0.423058867711948,6.2,12.0613279569892,20.4,20.6,20.6,15.1709146825397,30.5,0.20327868852459,169.947916666667,"unburned","medium",2020-06-18,36.9479166666679
"56",56,"FRCH",2020,"storm3a","fDOM",-0.361134213535716,48.8,10.9440264227642,26.6,26.8,26.8,14.6205052083333,40.5,1.20493827160494,171.239583333333,"unburned","medium",2020-06-20,38.2395833333321
"57",57,"FRCH",2020,"storm3b","fDOM",0.206352837820528,31.6,10.2925703363914,58.6,76.2,76.2,13.9173251488095,108.5,0.291244239631336,172.947916666667,"unburned","medium",2020-06-21,39.9479166666679
"58",58,"FRCH",2020,"storm3c","fDOM",0.329428942245299,0,12.5888604166667,80.6,107.4,107.4,10.5895198412698,39.5,0,177.489583333333,"unburned","medium",2020-06-26,44.4895833333321
"59",59,"FRCH",2020,"storm4a","fDOM",-0.0809375080003076,47.8,13.2527978723404,7,127.4,127.4,13.9360151289683,46.5,1.02795698924731,188.489583333333,"unburned","medium",2020-07-07,55.4895833333321
"60",60,"FRCH",2020,"storm4b","fDOM",0.255277697004941,4,11.9289803921569,60,180.2,180.4,14.9017098214286,50.5,0.0792079207920792,190.489583333333,"unburned","medium",2020-07-09,57.4895833333321
"61",61,"FRCH",2020,"storm5","fDOM",-0.494650559612078,3.4,14.2704444444444,19,173.2,191.4,12.6970731646825,14.5,0.23448275862069,196.90625,"unburned","medium",2020-07-15,63.90625
"62",62,"FRCH",2020,"storm6","fDOM",-0.376980005193452,5.4,12.8871298076923,28.6,179.4,211.8,13.047003243513,25.5,0.211764705882353,199.447916666667,"unburned","medium",2020-07-18,66.4479166666679
"63",63,"FRCH",2020,"storm7","fDOM",-0.246966741754116,38,10.8362200980392,33.4,124.6,217.6,13.4772220558882,84.5,0.449704142011834,201.40625,"unburned","medium",2020-07-20,68.40625
"64",64,"FRCH",2020,"storm8","fDOM",-0.342517152658661,6.4,11.71606640625,42.4,146.8,259.6,11.8366393849206,95.5,0.0670157068062827,207.322916666667,"unburned","medium",2020-07-26,74.3229166666679
"65",65,"FRCH",2020,"storm9a","fDOM",-0.394862896524759,6.4,13.2806428571429,17.8,154.4,274.8,13.7211892361111,34.5,0.185507246376812,213.489583333333,"unburned","medium",2020-08-01,80.4895833333321
"66",66,"FRCH",2020,"storm9b","fDOM",-0.125396484183995,12.8,12.7313396990741,20.6,160.6,281,13.9718794642857,71.25,0.179649122807018,214.958333333333,"unburned","medium",2020-08-02,81.9583333333321
"67",67,"FRCH",2020,"storm1","SPC",0.0404770710059171,18,15.2249518442623,0.2,0.2,0.2,14.1532074468085,121.5,0.148148148148148,164.114583333333,"unburned","medium",2020-06-13,31.1145833333321
"68",68,"FRCH",2020,"storm10a","SPC",0.830441640378549,27,10.3861673177083,14.4,112,295.2,12.5606579341317,63.5,0.425196850393701,221.40625,"unburned","medium",2020-08-09,88.40625
"69",69,"FRCH",2020,"storm10b","SPC",-0.164626288659791,1.8,11.9530151515152,30,132.6,323.8,11.7882113095238,109.5,0.0164383561643836,224.364583333333,"unburned","medium",2020-08-12,91.3645833333321
"70",70,"FRCH",2020,"storm11","SPC",0.512839879154074,0.2,13.3963605072464,6.2,76.2,331.6,13.3339774305556,22.5,0.00888888888888889,232.40625,"unburned","medium",2020-08-20,99.40625
"71",71,"FRCH",2020,"storm12","SPC",-0.176691729323338,0.8,9.7895318627451,13.4,47.6,339,7.69828174603175,16.5,0.0484848484848485,249.739583333333,"unburned","medium",2020-09-06,116.739583333332
"72",72,"FRCH",2020,"storm13","SPC",0.884594298245609,0,2.52739937106918,16.2,41.6,345.6,7.19688516865079,52.5,0,252.239583333333,"unburned","medium",2020-09-09,119.239583333332
"73",73,"FRCH",2020,"storm2","SPC",0.683554817275745,6.2,12.0613279569892,20.4,20.6,20.6,15.1709146825397,30.5,0.20327868852459,169.947916666667,"unburned","medium",2020-06-18,36.9479166666679
"74",74,"FRCH",2020,"storm3a","SPC",0.954070660522272,48.8,10.9440264227642,26.6,26.8,26.8,14.6205052083333,40.5,1.20493827160494,171.239583333333,"unburned","medium",2020-06-20,38.2395833333321
"75",75,"FRCH",2020,"storm3b","SPC",-0.00673652694611167,31.6,10.2925703363914,58.6,76.2,76.2,13.9173251488095,108.5,0.291244239631336,172.947916666667,"unburned","medium",2020-06-21,39.9479166666679
"76",76,"FRCH",2020,"storm3c","SPC",-0.570436507936503,0,12.5888604166667,80.6,107.4,107.4,10.5895198412698,39.5,0,177.489583333333,"unburned","medium",2020-06-26,44.4895833333321
"77",77,"FRCH",2020,"storm4a","SPC",0.133052202995493,47.8,13.2527978723404,7,127.4,127.4,13.9360151289683,46.5,1.02795698924731,188.489583333333,"unburned","medium",2020-07-07,55.4895833333321
"78",78,"FRCH",2020,"storm4b","SPC",-0.597560975609757,4,11.9289803921569,60,180.2,180.4,14.9017098214286,50.5,0.0792079207920792,190.489583333333,"unburned","medium",2020-07-09,57.4895833333321
"79",79,"FRCH",2020,"storm5","SPC",-0.478581979320532,3.4,14.2704444444444,19,173.2,191.4,12.6970731646825,14.5,0.23448275862069,196.90625,"unburned","medium",2020-07-15,63.90625
"80",80,"FRCH",2020,"storm6","SPC",0.651234567901232,5.4,12.8871298076923,28.6,179.4,211.8,13.047003243513,25.5,0.211764705882353,199.447916666667,"unburned","medium",2020-07-18,66.4479166666679
"81",81,"FRCH",2020,"storm7","SPC",0.0743859204861997,38,10.8362200980392,33.4,124.6,217.6,13.4772220558882,84.5,0.449704142011834,201.40625,"unburned","medium",2020-07-20,68.40625
"82",82,"FRCH",2020,"storm8","SPC",0.333333333333328,6.4,11.71606640625,42.4,146.8,259.6,11.8366393849206,95.5,0.0670157068062827,207.322916666667,"unburned","medium",2020-07-26,74.3229166666679
"83",83,"FRCH",2020,"storm9a","SPC",0.52038043478262,6.4,13.2806428571429,17.8,154.4,274.8,13.7211892361111,34.5,0.185507246376812,213.489583333333,"unburned","medium",2020-08-01,80.4895833333321
"84",84,"FRCH",2020,"storm9b","SPC",0.0197140584050917,12.8,12.7313396990741,20.6,160.6,281,13.9718794642857,71.25,0.179649122807018,214.958333333333,"unburned","medium",2020-08-02,81.9583333333321
"85",85,"FRCH",2020,"storm1","turb",-0.069753440955057,18,15.2249518442623,0.2,0.2,0.2,14.1532074468085,121.5,0.148148148148148,164.114583333333,"unburned","medium",2020-06-13,31.1145833333321
"86",86,"FRCH",2020,"storm10a","turb",-0.0572929345685185,27,10.3861673177083,14.4,112,295.2,12.5606579341317,63.5,0.425196850393701,221.40625,"unburned","medium",2020-08-09,88.40625
"87",87,"FRCH",2020,"storm10b","turb",0.0417344173441722,1.8,11.9530151515152,30,132.6,323.8,11.7882113095238,109.5,0.0164383561643836,224.364583333333,"unburned","medium",2020-08-12,91.3645833333321
"88",88,"FRCH",2020,"storm11","turb",-0.170265191337258,0.2,13.3963605072464,6.2,76.2,331.6,13.3339774305556,22.5,0.00888888888888889,232.40625,"unburned","medium",2020-08-20,99.40625
"89",89,"FRCH",2020,"storm12","turb",-0.271819272976678,0.8,9.7895318627451,13.4,47.6,339,7.69828174603175,16.5,0.0484848484848485,249.739583333333,"unburned","medium",2020-09-06,116.739583333332
"90",90,"FRCH",2020,"storm13","turb",-0.112089452308779,0,2.52739937106918,16.2,41.6,345.6,7.19688516865079,52.5,0,252.239583333333,"unburned","medium",2020-09-09,119.239583333332
"91",91,"FRCH",2020,"storm2","turb",-0.150392422192152,6.2,12.0613279569892,20.4,20.6,20.6,15.1709146825397,30.5,0.20327868852459,169.947916666667,"unburned","medium",2020-06-18,36.9479166666679
"92",92,"FRCH",2020,"storm3a","turb",-0.0671720847859953,48.8,10.9440264227642,26.6,26.8,26.8,14.6205052083333,40.5,1.20493827160494,171.239583333333,"unburned","medium",2020-06-20,38.2395833333321
"93",93,"FRCH",2020,"storm3b","turb",0.600745116207242,31.6,10.2925703363914,58.6,76.2,76.2,13.9173251488095,108.5,0.291244239631336,172.947916666667,"unburned","medium",2020-06-21,39.9479166666679
"94",94,"FRCH",2020,"storm3c","turb",-0.195662486593515,0,12.5888604166667,80.6,107.4,107.4,10.5895198412698,39.5,0,177.489583333333,"unburned","medium",2020-06-26,44.4895833333321
"95",95,"FRCH",2020,"storm4a","turb",-0.147498189927673,47.8,13.2527978723404,7,127.4,127.4,13.9360151289683,46.5,1.02795698924731,188.489583333333,"unburned","medium",2020-07-07,55.4895833333321
"96",96,"FRCH",2020,"storm4b","turb",-0.00823188168968081,4,11.9289803921569,60,180.2,180.4,14.9017098214286,50.5,0.0792079207920792,190.489583333333,"unburned","medium",2020-07-09,57.4895833333321
"97",97,"FRCH",2020,"storm5","turb",-0.375347304913868,3.4,14.2704444444444,19,173.2,191.4,12.6970731646825,14.5,0.23448275862069,196.90625,"unburned","medium",2020-07-15,63.90625
"98",98,"FRCH",2020,"storm6","turb",-0.321769276160505,5.4,12.8871298076923,28.6,179.4,211.8,13.047003243513,25.5,0.211764705882353,199.447916666667,"unburned","medium",2020-07-18,66.4479166666679
"99",99,"FRCH",2020,"storm7","turb",-0.150068336249482,38,10.8362200980392,33.4,124.6,217.6,13.4772220558882,84.5,0.449704142011834,201.40625,"unburned","medium",2020-07-20,68.40625
"100",100,"FRCH",2020,"storm8","turb",0.0904458164979351,6.4,11.71606640625,42.4,146.8,259.6,11.8366393849206,95.5,0.0670157068062827,207.322916666667,"unburned","medium",2020-07-26,74.3229166666679
"101",101,"FRCH",2020,"storm9a","turb",-0.208434212499731,6.4,13.2806428571429,17.8,154.4,274.8,13.7211892361111,34.5,0.185507246376812,213.489583333333,"unburned","medium",2020-08-01,80.4895833333321
"102",102,"FRCH",2020,"storm9b","turb",-0.118706639277547,12.8,12.7313396990741,20.6,160.6,281,13.9718794642857,71.25,0.179649122807018,214.958333333333,"unburned","medium",2020-08-02,81.9583333333321
"103",103,"POKE",2020,"storm1","NO3",-0.782234880749616,7.872,14.7561920289855,4.191,4.191,4.191,13.5116122047244,23.5,0.334978723404255,160.427083333333,"burned","medium",2020-06-09,27.4270833333321
"104",104,"POKE",2020,"storm10","NO3",0.445495495495495,5.842,13.3231076388889,26.416,124.589,158.494,12.9489516369048,24.5,0.238448979591837,197.885416666667,"burned","medium",2020-07-16,64.8854166666679
"105",105,"POKE",2020,"storm11","NO3",0.0265061325347537,9.271,13.6241156462585,33.782,108.84,165.987,13.1165548115079,49.5,0.187292929292929,199.302083333333,"burned","medium",2020-07-18,66.3020833333321
"106",106,"POKE",2020,"storm12","NO3",0.0744702526487369,16.383,10.4859369517544,28.448,91.441,175.258,13.6368762400794,76.5,0.214156862745098,201.71875,"burned","medium",2020-07-20,68.71875
"107",107,"POKE",2020,"storm14","NO3",-0.161790433779858,18.034,12.2281333333333,26.416,97.537,201.674,11.6895337301587,95.5,0.188837696335079,207.927083333333,"burned","medium",2020-07-26,74.9270833333321
"108",108,"POKE",2020,"storm15","NO3",-0.0118239358126035,44.069,13.5967143574297,32.258,113.157,233.932,13.9661284722222,83.5,0.52777245508982,214.927083333333,"burned","medium",2020-08-02,81.9270833333321
"109",109,"POKE",2020,"storm16","NO3",-0.589023109243695,5.334,11.4590670289855,3.81,129.667,281.811,11.6328955853175,23.5,0.226978723404255,224.510416666667,"burned","medium",2020-08-12,91.5104166666679
"110",110,"POKE",2020,"storm17","NO3",0.66121437422552,6.223,11.2809166666667,3.683,89.535,291.209,13.9033678075397,29.5,0.210949152542373,235.927083333333,"burned","medium",2020-08-23,102.927083333332
"111",111,"POKE",2020,"storm18","NO3",0.565516624955328,6.604,9.97124094202899,9.906,83.185,297.432,13.4487132936508,23.5,0.281021276595745,237.177083333333,"burned","medium",2020-08-25,104.177083333332
"112",112,"POKE",2020,"storm19","NO3",0.202380952380972,7.112,9.01308080808081,21.209,89.408,309.116,12.1230458829365,33.5,0.212298507462687,239.385416666667,"burned","medium",2020-08-27,106.385416666668
"113",113,"POKE",2020,"storm2","NO3",-0.506391102257621,2.794,15.3013273809524,20.951,20.951,20.951,13.8273888888889,21.5,0.129953488372093,163.510416666667,"burned","medium",2020-06-12,30.5104166666679
"114",114,"POKE",2020,"storm20","NO3",0.668572460279256,8.509,7.628625,17.145,43.18,309.118,10.2190582837302,34.5,0.24663768115942,244.71875,"burned","medium",2020-09-01,111.71875
"115",115,"POKE",2020,"storm21","NO3",0.130237012209726,7.239,5.28386728395062,16.383,54.483,320.167,9.64992906746032,54.5,0.132825688073394,246.927083333333,"burned","medium",2020-09-03,113.927083333332
"116",116,"POKE",2020,"storm22a","NO3",0.464515038864471,11.303,6.9998108974359,31.242,68.326,318.645,7.58647222222222,26.5,0.426528301886792,250.802083333333,"burned","medium",2020-09-07,117.802083333332
"117",117,"POKE",2020,"storm3","NO3",0.494071559866781,6.096,15.6453735632184,21.967,25.777,25.777,14.3403960813492,29.5,0.20664406779661,166.34375,"burned","medium",2020-06-15,33.34375
"118",118,"POKE",2020,"storm4a","NO3",-0.0206266922576002,19.94,11.6273055555556,24.89,37.207,37.207,15.0949871031746,24.25,0.822268041237113,170.229166666667,"burned","medium",2020-06-19,37.2291666666679
"119",119,"POKE",2020,"storm4b","NO3",0.236950549450549,16.764,11.9058514492754,33.402,57.147,57.147,14.5655473710317,23.5,0.71336170212766,171.260416666667,"burned","medium",2020-06-20,38.2604166666679
"120",120,"POKE",2020,"storm4c","NO3",-0.0351133052970746,10.795,9.15158333333333,49.912,74.165,74.165,14.340380952381,39.5,0.273291139240506,172.260416666667,"burned","medium",2020-06-21,39.2604166666679
"121",121,"POKE",2020,"storm5","NO3",0.0415303176130897,16.51,9.45272530864198,53.722,85.087,85.087,13.188136656746,54.5,0.302935779816514,173.927083333333,"burned","medium",2020-06-22,40.9270833333321
"122",122,"POKE",2020,"storm6","NO3",-0.629378127233718,1.397,7.82374456521739,24.511,107.82,107.82,10.8862668650794,23.5,0.0594468085106383,180.385416666667,"burned","medium",2020-06-29,47.3854166666679
"123",123,"POKE",2020,"storm7","NO3",0.283952674554239,8.256,16.4879892473118,10.795,110.106,112.519,11.1771438492064,31.5,0.262095238095238,185.21875,"burned","medium",2020-07-04,52.21875
"124",124,"POKE",2020,"storm8","NO3",0.403504184100418,11.43,12.636053030303,8.256,108.458,120.775,14.9850009920635,33.5,0.341194029850746,190.135416666667,"burned","medium",2020-07-09,57.1354166666679
"125",125,"POKE",2020,"storm9","NO3",0.49444862627023,19.939,13.3538935897436,11.43,106.428,132.205,13.7469578373016,65.5,0.304412213740458,193.802083333333,"burned","medium",2020-07-12,60.8020833333321
"126",126,"POKE",2020,"storm1","fDOM",-0.535852297123228,7.872,14.7561920289855,4.191,4.191,4.191,13.5116122047244,23.5,0.334978723404255,160.427083333333,"burned","medium",2020-06-09,27.4270833333321
"127",127,"POKE",2020,"storm10","fDOM",-0.30453431372549,5.842,13.3231076388889,26.416,124.589,158.494,12.9489516369048,24.5,0.238448979591837,197.885416666667,"burned","medium",2020-07-16,64.8854166666679
"128",128,"POKE",2020,"storm11","fDOM",-0.492118117229129,9.271,13.6241156462585,33.782,108.84,165.987,13.1165548115079,49.5,0.187292929292929,199.302083333333,"burned","medium",2020-07-18,66.3020833333321
"129",129,"POKE",2020,"storm12","fDOM",-0.408925791385574,16.383,10.4859369517544,28.448,91.441,175.258,13.6368762400794,76.5,0.214156862745098,201.71875,"burned","medium",2020-07-20,68.71875
"130",130,"POKE",2020,"storm14","fDOM",-0.225718065003779,18.034,12.2281333333333,26.416,97.537,201.674,11.6895337301587,95.5,0.188837696335079,207.927083333333,"burned","medium",2020-07-26,74.9270833333321
"131",131,"POKE",2020,"storm15","fDOM",-0.478482404692082,44.069,13.5967143574297,32.258,113.157,233.932,13.9661284722222,83.5,0.52777245508982,214.927083333333,"burned","medium",2020-08-02,81.9270833333321
"132",132,"POKE",2020,"storm16","fDOM",-0.226021314387212,5.334,11.4590670289855,3.81,129.667,281.811,11.6328955853175,23.5,0.226978723404255,224.510416666667,"burned","medium",2020-08-12,91.5104166666679
"133",133,"POKE",2020,"storm17","fDOM",-0.0255555555555552,6.223,11.2809166666667,3.683,89.535,291.209,13.9033678075397,29.5,0.210949152542373,235.927083333333,"burned","medium",2020-08-23,102.927083333332
"134",134,"POKE",2020,"storm18","fDOM",-0.0226586102719034,6.604,9.97124094202899,9.906,83.185,297.432,13.4487132936508,23.5,0.281021276595745,237.177083333333,"burned","medium",2020-08-25,104.177083333332
