"","X1","X","site.ID","year","storm.num","response","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"1",1,1,"MOOS",2021,"storm1","fDOM",-0.0408075601374571,4.8,11.7661137152778,17,17,29.2,16.6055870535714,47.8333333333333,0.100348432055749,203.940972222222,"unburned","medium",2021-07-23,72.9409722222226
"2",2,2,"MOOS",2021,"storm2","fDOM",0.231897742478525,11.8,12.029212962963,3,24.8,30.4,13.0837410714286,62.8333333333333,0.187798408488064,207.482638888889,"unburned","medium",2021-07-27,76.4826388888905
"3",3,3,"MOOS",2021,"storm3a","fDOM",0.0673800108552562,4.2,12.4816235632184,9.6,15.8,46.6,17.2433110119048,28.8333333333333,0.145664739884393,217.024305555556,"unburned","medium",2021-08-06,86.0243055555547
"4",4,4,"MOOS",2021,"storm3b","fDOM",-0.482031508487946,8.2,10.1776972222222,20.2,30.6,67.6,11.70353125,89.8333333333333,0.0912801484230056,219.732638888889,"unburned","medium",2021-08-08,88.7326388888905
"5",5,5,"MOOS",2021,"storm4a","fDOM",0.82131108450855,28.2,5.58506051587302,12.2,42.2,89,7.12700744047619,41.8333333333333,0.67410358565737,226.399305555556,"unburned","medium",2021-08-15,95.3993055555547
"6",6,6,"MOOS",2021,"storm4b","fDOM",-0.433726370732624,6,4.59205913978495,40.2,66.6,117.2,5.82341666666667,61.8333333333333,0.0970350404312668,228.149305555556,"unburned","medium",2021-08-17,97.1493055555547
"7",7,7,"MOOS",2021,"storm5a","fDOM",0.759510571114765,8.2,5.44739112903226,6.2,51,123.6,4.56555282738095,30.8333333333333,0.265945945945946,230.732638888889,"unburned","medium",2021-08-19,99.7326388888905
"8",8,8,"MOOS",2021,"storm5b","fDOM",-0.340461871224708,0.2,6.34198524305555,13.4,57,112.6,5.45058035714286,47.8333333333333,0.00418118466898955,232.024305555556,"unburned","medium",2021-08-21,101.024305555555
"9",9,9,"MOOS",2021,"storm6","fDOM",0.315638892693922,2.6,4.45772265625,17.8,42,114.2,7.27112276785714,31.8333333333333,0.0816753926701571,236.899305555556,"unburned","medium",2021-08-25,105.899305555555
"10",10,10,"MOOS",2021,"storm7","fDOM",0.558567899386132,4.4,2.54522756410256,12.8,35.2,117,5.51787946428571,64.8333333333333,0.067866323907455,238.232638888889,"unburned","medium",2021-08-27,107.232638888891
"11",11,11,"MOOS",2021,"storm1","SPC",0.559782608695596,4.8,11.7661137152778,17,17,29.2,16.6055870535714,47.8333333333333,0.100348432055749,203.940972222222,"unburned","medium",2021-07-23,72.9409722222226
"12",12,12,"MOOS",2021,"storm2","SPC",0.199517212426527,11.8,12.029212962963,3,24.8,30.4,13.0837410714286,62.8333333333333,0.187798408488064,207.482638888889,"unburned","medium",2021-07-27,76.4826388888905
"13",13,13,"MOOS",2021,"storm3a","SPC",0.880630630630676,4.2,12.4816235632184,9.6,15.8,46.6,17.2433110119048,28.8333333333333,0.145664739884393,217.024305555556,"unburned","medium",2021-08-06,86.0243055555547
"14",14,14,"MOOS",2021,"storm3b","SPC",0.284349696356275,8.2,10.1776972222222,20.2,30.6,67.6,11.70353125,89.8333333333333,0.0912801484230056,219.732638888889,"unburned","medium",2021-08-08,88.7326388888905
"15",15,15,"MOOS",2021,"storm4a","SPC",0.85145437485339,28.2,5.58506051587302,12.2,42.2,89,7.12700744047619,41.8333333333333,0.67410358565737,226.399305555556,"unburned","medium",2021-08-15,95.3993055555547
"16",16,16,"MOOS",2021,"storm4b","SPC",0.130332764505117,6,4.59205913978495,40.2,66.6,117.2,5.82341666666667,61.8333333333333,0.0970350404312668,228.149305555556,"unburned","medium",2021-08-17,97.1493055555547
"17",17,17,"MOOS",2021,"storm5a","SPC",0.0744177583697052,8.2,5.44739112903226,6.2,51,123.6,4.56555282738095,30.8333333333333,0.265945945945946,230.732638888889,"unburned","medium",2021-08-19,99.7326388888905
"18",18,18,"MOOS",2021,"storm5b","SPC",0.173049132948026,0.2,6.34198524305555,13.4,57,112.6,5.45058035714286,47.8333333333333,0.00418118466898955,232.024305555556,"unburned","medium",2021-08-21,101.024305555555
"19",19,19,"MOOS",2021,"storm6","SPC",0.563020833333334,2.6,4.45772265625,17.8,42,114.2,7.27112276785714,31.8333333333333,0.0816753926701571,236.899305555556,"unburned","medium",2021-08-25,105.899305555555
"20",20,20,"MOOS",2021,"storm7","SPC",0.796087533156502,4.4,2.54522756410256,12.8,35.2,117,5.51787946428571,64.8333333333333,0.067866323907455,238.232638888889,"unburned","medium",2021-08-27,107.232638888891
"21",21,21,"MOOS",2021,"storm1","turb",-0.006778381642512,4.8,11.7661137152778,17,17,29.2,16.6055870535714,47.8333333333333,0.100348432055749,203.940972222222,"unburned","medium",2021-07-23,72.9409722222226
"22",22,22,"MOOS",2021,"storm2","turb",-0.256596103490264,11.8,12.029212962963,3,24.8,30.4,13.0837410714286,62.8333333333333,0.187798408488064,207.482638888889,"unburned","medium",2021-07-27,76.4826388888905
"23",23,23,"MOOS",2021,"storm3a","turb",-0.34451101662157,4.2,12.4816235632184,9.6,15.8,46.6,17.2433110119048,28.8333333333333,0.145664739884393,217.024305555556,"unburned","medium",2021-08-06,86.0243055555547
"24",24,24,"MOOS",2021,"storm3b","turb",-0.165877879998927,8.2,10.1776972222222,20.2,30.6,67.6,11.70353125,89.8333333333333,0.0912801484230056,219.732638888889,"unburned","medium",2021-08-08,88.7326388888905
"25",25,25,"MOOS",2021,"storm4a","turb",-0.395123788111412,28.2,5.58506051587302,12.2,42.2,89,7.12700744047619,41.8333333333333,0.67410358565737,226.399305555556,"unburned","medium",2021-08-15,95.3993055555547
"26",26,26,"MOOS",2021,"storm4b","turb",0.0420820864682341,6,4.59205913978495,40.2,66.6,117.2,5.82341666666667,61.8333333333333,0.0970350404312668,228.149305555556,"unburned","medium",2021-08-17,97.1493055555547
"27",27,27,"MOOS",2021,"storm5a","turb",-0.138542126970099,8.2,5.44739112903226,6.2,51,123.6,4.56555282738095,30.8333333333333,0.265945945945946,230.732638888889,"unburned","medium",2021-08-19,99.7326388888905
"28",28,28,"MOOS",2021,"storm5b","turb",0.0874138006764176,0.2,6.34198524305555,13.4,57,112.6,5.45058035714286,47.8333333333333,0.00418118466898955,232.024305555556,"unburned","medium",2021-08-21,101.024305555555
"29",29,29,"MOOS",2021,"storm6","turb",-0.521044029994231,2.6,4.45772265625,17.8,42,114.2,7.27112276785714,31.8333333333333,0.0816753926701571,236.899305555556,"unburned","medium",2021-08-25,105.899305555555
"30",30,30,"MOOS",2021,"storm7","turb",-0.494781886858113,4.4,2.54522756410256,12.8,35.2,117,5.51787946428571,64.8333333333333,0.067866323907455,238.232638888889,"unburned","medium",2021-08-27,107.232638888891
"31",31,1,"FRCH",2021,"storm1","NO3",-0.364642857142852,4.8,11.7661137152778,17,17,29.2,16.6055870535714,NA,NA,203.940972222222,"unburned","medium",2021-07-23,72.9409722222226
"32",32,2,"FRCH",2021,"storm2","NO3",-0.237625581965208,11.4,12.7981546052632,3.4,25.2,30.8,12.8917470238095,11,1.03636363636364,207.565972222222,"unburned","medium",2021-07-27,76.5659722222226
"33",33,3,"FRCH",2021,"storm3","NO3",0.150956284152989,5.2,12.0829262820513,8.8,20.2,45.8,17.2071599702381,22,0.236363636363636,216.899305555556,"unburned","medium",2021-08-05,85.8993055555547
"34",34,4,"FRCH",2021,"storm4","NO3",-0.0922800221361295,14.6,9.35502976190476,13.2,23.6,60.6,12.0718244047619,55,0.265454545454545,219.565972222222,"unburned","medium",2021-08-08,88.5659722222226
