"","X","site.ID","year","storm.num","response","HI","precip","precip.week","precip.month","ThreeMonth","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"1",1,"MOOS",2019,"storm1","NO3",-0.355615849422621,5.8,42.2,42.2,42.2,175.25,0.033095577746077,150.979166666667,"burned","medium",2019-05-31,13.9791666666679
"2",2,"MOOS",2019,"storm3","NO3",0.334846587351287,0,11.8,69.4,119.2,62.25,0,192.6875,"burned","medium",2019-07-12,55.6875
"3",3,"MOOS",2019,"storm5","NO3",0.113662293211617,16,31,48,155.4,66.25,0.241509433962264,209.3125,"burned","medium",2019-07-29,72.3125
"4",4,"MOOS",2019,"storm6a","NO3",0.811462238885912,18.4,46.8,64,171.4,28.25,0.651327433628319,212.1875,"burned","medium",2019-08-01,75.1875
"5",5,"MOOS",2019,"storm6d","NO3",-0.498060370954055,36.4,54.2,107.8,215.2,119.5,0.304602510460251,216.71875,"burned","medium",2019-08-05,79.71875
"6",6,"MOOS",2019,"storm7a","NO3",0.5522128705849,6.4,49.8,154,277.8,41.25,0.155151515151515,224.145833333333,"burned","medium",2019-08-13,87.1458333333321
"7",7,"MOOS",2019,"storm7b","NO3",-0.412081339712919,35.8,34.4,160.4,284.2,20.75,1.72530120481928,225.927083333333,"burned","medium",2019-08-14,88.9270833333321
"8",8,"MOOS",2019,"storm7c","NO3",-0.00586826140907212,14.4,69.4,196.6,321,107.25,0.134265734265734,226.895833333333,"burned","medium",2019-08-15,89.8958333333321
"9",9,"MOOS",2019,"storm8","NO3",0.615303707599264,0.2,26.4,30.2,274.6,43.25,0.0046242774566474,263.3125,"burned","medium",2019-09-21,126.3125
"10",10,"MOOS",2019,"storm9","NO3",0.308446455505279,10.8,26,59.2,298.8,132.25,0.0816635160680529,274.104166666667,"burned","medium",2019-10-02,137.104166666668
"11",11,"MOOS",2019,"storm1","fDOM",-0.217292768120472,5.8,42.2,42.2,42.2,175.25,0.033095577746077,150.979166666667,"burned","medium",2019-05-31,13.9791666666679
"12",12,"MOOS",2019,"storm3","fDOM",0.19586006536733,0,11.8,69.4,119.2,62.25,0,192.6875,"burned","medium",2019-07-12,55.6875
"13",13,"MOOS",2019,"storm4","fDOM",-0.436454613794419,10.8,13.8,35.6,138.2,63.75,0.169411764705882,205.927083333333,"burned","medium",2019-07-25,68.9270833333321
"14",14,"MOOS",2019,"storm5","fDOM",-0.668545098949183,16,31,48,155.4,66.25,0.241509433962264,209.3125,"burned","medium",2019-07-29,72.3125
