"","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month.x","day.x","response_var","Flush_index","FI_ymin","FI_ymax","month.y","day.y"
"100",0.116305210261881,0.0933615445649451,0.131667107467197,"MOOS","storm6a","08","01","fDOM",0.0539,0.044,0.065,"08","01"
"101",0.844658659924139,0.835335018963324,0.852402022756006,"MOOS","storm6a","08","01","SPC",-0.0949,-0.0998,-0.0925,"08","01"
"102",-0.12862587108014,-0.135616289198607,-0.112652439024391,"MOOS","storm6a","08","01","turb",0.6838,0.6778,0.6899,"08","01"
"103",0.650574853792194,0.549541805455356,0.735582605492201,"MOOS","storm6b","08","02","fDOM",NA,NA,NA,"08","02"
"104",0.835983921705697,0.808808109052775,0.879238028661308,"MOOS","storm6b","08","02","SPC",NA,NA,NA,"08","02"
"105",-0.250519236206259,-0.319565588232096,-0.196454785672343,"MOOS","storm6b","08","02","turb",NA,NA,NA,"08","02"
"106",-0.318278344780366,-0.490061407450201,-0.249917089244065,"MOOS","storm6c","08","03","fDOM",-0.0588,-0.0595,-0.0581,"08","03"
"107",0.506074168797955,0.29955242966752,0.585837595907929,"MOOS","storm6c","08","03","SPC",-0.7372,-0.739,-0.7354,"08","03"
"108",0.153762227732082,0.121415858772702,0.184409723588754,"MOOS","storm6c","08","03","turb",0.0286,0.0108,0.0392,"08","03"
"109",-0.498060370954055,-0.498060370954055,-0.498060370954055,"MOOS","storm6d","08","05","NO3",NA,NA,NA,NA,NA
"110",-0.00597495829692368,-0.0733190930574252,0.108750695051239,"MOOS","storm6d","08","05","fDOM",NA,NA,NA,NA,NA
"111",0.506908904810645,0.500383828045036,0.526228249744116,"MOOS","storm6d","08","05","SPC",NA,NA,NA,NA,NA
"112",0.0736980339186556,0.0340668617739739,0.0989137775776685,"MOOS","storm6d","08","05","turb",NA,NA,NA,NA,NA
"113",0.5522128705849,0.511253487162516,0.606257979100669,"MOOS","storm7a","08","13","NO3",-0.082,-0.1851,-0.03,"08","13"
"114",0.164436441525733,0.0328524226482627,0.247640315879914,"MOOS","storm7a","08","13","fDOM",-0.8583,-0.8593,-0.8574,"08","13"
"115",0.116641337386017,0.0567581686930117,0.167173252279637,"MOOS","storm7a","08","13","SPC",0.72,0.7177,0.7222,"08","13"
"116",0.0658867067878976,0.0295539370435621,0.0887160023804746,"MOOS","storm7a","08","13","turb",0.3207,0.3025,0.3416,"08","13"
"117",-0.412081339712919,-0.494019138755981,-0.38755980861244,"MOOS","storm7b","08","14","NO3",-0.0781,-0.8399,0.6755,"08","14"
"118",0.186558874351992,0.163725006171305,0.242856702048879,"MOOS","storm7b","08","14","fDOM",0.0618,0.0541,0.0698,"08","14"
"119",-0.514112903225795,-0.614919354838704,-0.445539314516123,"MOOS","storm7b","08","14","SPC",0.7745,0.7636,0.7818,"08","14"
"120",-0.277005574860629,-0.341466463338416,-0.173495662608436,"MOOS","storm7b","08","14","turb",-0.0019,-0.0162,0.0197,"08","14"
"121",-0.00586826140907212,-0.0172514821453192,0.000758306907486569,"MOOS","storm7c","08","15","NO3",-0.0774,-0.1174,-0.0383,"08","15"
"122",0.0485624871036514,0.0410310200151345,0.0672811059907845,"MOOS","storm7c","08","15","fDOM",-0.7649,-0.7662,-0.7635,"08","15"
"123",0.313053097345134,0.2973917093619,0.328429203539823,"MOOS","storm7c","08","15","SPC",-0.5023,-0.5034,-0.5018,"08","15"
