"","X","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month.x","day.x","response_var","Flush_index","FI_ymin","FI_ymax","month.y","day.y","Parameter","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"1",1,0.117124382595864,0.0876713872891602,0.134463959994262,"FRCH","storm1",6,13,"NO3",-0.1362,-0.1371,-0.1353,6,13,"Q.norm",-0.0475102614041366,0.00260337534910632,0.95,-0.0526589367268192,-0.0423615860814541,-18.2494857763964,135,2.89588235414789e-38
"2",2,-0.318772669568371,-0.356535636561479,-0.301699084149437,"FRCH","storm1",6,13,"fDOM",0.3996,0.3994,0.3999,6,13,"Q.norm",0.0781715692831855,0.00819282130760358,0.95,0.0619642144274563,0.0943789241389146,9.54147128909502,131,1.05090264388245e-16
"3",3,0.0404770710059171,-0.188300746076665,0.0656032930280424,"FRCH","storm1",6,13,"SPC",-0.0583,-0.0586,-0.0581,6,13,"Q.norm",-0.0158770101148894,0.00084910620011992,0.95,-0.0175567447238661,-0.0141972755059127,-18.6984974466646,131,8.56629828682913e-39
"4",4,-0.069753440955057,-0.242875146150848,-0.0029332731636274,"FRCH","storm1",6,13,"turb",0.1904,0.1686,0.2089,6,13,"Q.norm",0.311571849389581,0.0250558872946747,0.95,0.262005327508643,0.361138371270519,12.4350754665073,131,6.29528684701009e-24
"5",5,0.800443968156779,0.765309246785075,0.867575015309255,"FRCH","storm2",6,18,"NO3",-0.3607,-0.3771,-0.3453,6,18,"Q.norm",-0.157840438539733,0.011690818910101,0.95,-0.181188616165242,-0.134492260914224,-13.5012303033243,65,1.57983855317608e-20
"6",6,-0.423058867711948,-0.671368885550649,-0.415524363909489,"FRCH","storm2",6,18,"fDOM",0.6821,0.6798,0.684,6,18,"Q.norm",0.0710432177255733,0.0600219216521152,0.95,-0.0488643550679905,0.190950790519137,1.18362117989719,64,0.240940812240402
"7",7,0.683554817275745,0.659468438538211,0.708471760797333,"FRCH","storm2",6,18,"SPC",-0.8214,-0.8377,-0.8084,6,18,"Q.norm",0.1266450930193,0.0070769380094155,0.95,0.112511471845356,0.140778714193244,17.8954645145691,65,8.23698161152485e-27
"8",8,-0.150392422192152,-0.447231055480378,-0.114912043301759,"FRCH","storm2",6,18,"turb",0.0761,0.0646,0.0917,6,18,"Q.norm",-0.0201324236193914,0.0428025577665524,0.95,-0.105640362550279,0.0653755153114964,-0.470355620549472,64,0.639699962274431
"9",9,0.148273130806423,0.143095823501262,0.153957855480933,"FRCH","storm3a",6,20,"NO3",-0.0746,-0.1625,-0.045,6,20,"Q.norm",0.0245659333387448,0.0170156664220808,0.95,-0.00919266421136114,0.0583245308888507,1.44372443190742,100,0.151942107998656
"10",10,-0.361134213535716,-0.383912049069555,-0.300010396091074,"FRCH","storm3a",6,20,"fDOM",0.7193,0.7187,0.7199,6,20,"Q.norm",0.494085408685841,0.0174538762641783,0.95,0.45950941423668,0.528661403135001,28.3080618429663,114,2.15820179708882e-53
"11",11,0.954070660522272,0.927803379416281,0.977419354838709,"FRCH","storm3a",6,20,"SPC",-0.9734,-0.9749,-0.9725,6,20,"Q.norm",-0.0552586448327276,0.00685199719983757,0.95,-0.068832398511358,-0.0416848911540973,-8.06460411776548,114,8.16226097132362e-13
