"","X","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month.x","day.x","response_var","Flush_index","FI_ymin","FI_ymax","month.y","day.y","Parameter","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"1",1,-0.0175704811230111,-0.0231470631888948,-0.01455613882965,"FRCH","storm1",5,31,"NO3",0.0168,0.0163,0.0173,5,31,"Q.norm",0.309455903049912,0.0361566904651986,0.95,0.237325279180912,0.381586526918911,8.55874525761056,69,1.90213217111188e-12
"2",2,-0.377958244033567,-0.545717697700607,-0.128637073631443,"FRCH","storm1",5,31,"fDOM",0.4926,0.4924,0.4929,5,31,"Q.norm",1.17192238189581,0.0360809301831604,0.95,1.10024131649601,1.2436034472956,32.4803816294838,90,1.72217406858833e-51
"3",3,0.689862542955327,0.648625429553266,0.747100515463918,"FRCH","storm1",5,31,"SPC",-0.9076,-0.9089,-0.9065,5,31,"Q.norm",-0.24468290613499,0.0277619960559037,0.95,-0.299790032762507,-0.189575779507472,-8.81359199253098,96,5.25021455058099e-14
"4",4,-0.443125666447354,-0.519608866302152,-0.361860607573112,"FRCH","storm1",5,31,"turb",0.3498,0.3261,0.4078,5,31,"Q.norm",1.42304024566622,0.0887840613394989,0.95,1.24673269557325,1.59934779575919,16.0281048669839,93,1.67123142275791e-28
"5",5,0.636451301832226,0.379942140790733,0.675988428158151,"FRCH","storm2",6,15,"NO3",-0.5634,-0.586,-0.5434,6,15,"Q.norm",-0.139549543905376,0.026705903223774,0.95,-0.192716913058395,-0.0863821747523568,-5.22541936649971,78,1.41070078998318e-06
"6",6,-0.308796096184908,-0.348215301317196,-0.297375844575381,"FRCH","storm2",6,15,"fDOM",0.8565,0.8553,0.8576,6,15,"Q.norm",0.362695228950698,0.211985474473162,0.95,-0.0594217788524783,0.784812236753874,1.71094377976646,77,0.0911175375918218
"7",7,0.749999999999998,0.73803827751197,0.753588516746418,"FRCH","storm2",6,15,"SPC",-0.5364,-0.5591,-0.5227,6,15,"Q.norm",-0.294178164600981,0.0719421503386894,0.95,-0.43740398372677,-0.150952345475191,-4.08909329532198,78,0.000104466952473974
"8",8,-0.113693040126954,-0.149965994105644,-0.0819542053956006,"FRCH","storm2",6,15,"turb",0.505,0.4904,0.5196,6,15,"Q.norm",0.557373513546732,0.175414030064108,0.95,0.208079555168787,0.906667471924676,3.17747396455706,77,0.002138888189077
"9",9,0.235388567758535,0.213872832369942,0.312138728323736,"FRCH","storm3",6,18,"NO3",-0.5794,-0.6082,-0.5541,6,18,"Q.norm",-0.635810196464208,0.0661637782460357,0.95,-0.768405371100876,-0.50321502182754,-9.60964160933937,55,2.27797773664742e-13
"10",10,-0.726374649559,-0.764575275748454,-0.474126967073895,"FRCH","storm3",6,18,"fDOM",0.2138,0.2134,0.2142,6,18,"Q.norm",0.179327633891183,0.163832731778274,0.95,-0.149000497561076,0.507655765343442,1.09457757277636,55,0.278472210145939
"11",11,0.742105263157916,0.703947368421068,0.74802631578949,"FRCH","storm3",6,18,"SPC",-0.0421,-0.0432,-0.0411,6,18,"Q.norm",-0.0896789520939758,0.0219637210157089,0.95,-0.133677572370059,-0.0456803318178931,-4.08304913497289,56,0.000142680560942524
"12",12,-0.381195570368776,-0.44581227824965,-0.330717127190621,"FRCH","storm3",6,18,"turb",0,0,0,6,18,"Q.norm",0.596225494460082,0.142002764834586,0.95,0.311645594380695,0.880805394539469,4.19868933646894,55,9.89547304080809e-05
"13",13,0.445013795821826,0.243657505285408,0.490737091052417,"FRCH","storm4",6,20,"NO3",-0.0925,-0.1139,-0.0748,6,20,"Q.norm",-0.237091285344541,0.0545267541256292,0.95,-0.351647744869879,-0.122534825819203,-4.34816429377558,18,0.000387458760637742
"14",14,-0.272323836059689,-0.41361450656121,-0.183376775121351,"FRCH","storm4",6,20,"fDOM",-0.1169,-0.1182,-0.1155,6,20,"Q.norm",-0.405390860217067,0.216358890558141,0.95,-0.861868217919366,0.0510864974852314,-1.87369633469316,17,0.0782675292177198
"15",15,0.660632183908046,0.574137931034478,0.742528735632181,"FRCH","storm4",6,20,"SPC",-0.2193,-0.2261,-0.2159,6,20,"Q.norm",0.0115132041125555,0.00761044937035715,0.95,-0.00447575670576634,0.0275021649308774,1.51281528228802,18,0.147686293787108
"16",16,-0.372571456722888,-0.390645013928575,-0.312889081968095,"FRCH","storm4",6,20,"turb",0.0049,0.0044,0.0062,6,20,"Q.norm",0.152043864357268,0.469686711066966,0.95,-0.838908475353113,1.14299620406765,0.323713362066125,17,0.750103477166204
"17",17,-0.110943015632889,-0.164019162884523,-0.0690872415531931,"FRCH","storm5",6,22,"NO3",-0.5421,-0.5951,-0.4898,6,22,"Q.norm",-0.971592575874996,0.192217737462709,0.95,-1.3552607856424,-0.587924366107588,-5.05464578191432,67,3.56086445737726e-06
"18",18,-0.0860975784496334,-0.143614325118218,-0.00272245307350871,"FRCH","storm5",6,22,"fDOM",0.1686,0.1637,0.1738,6,22,"Q.norm",-0.245667159014982,0.17698397698179,0.95,-0.598928655599256,0.107594337569293,-1.38807570721647,67,0.169712541425991
"19",19,0.0549828178694002,-0.0678694158075692,0.152920962199296,"FRCH","storm5",6,22,"SPC",-0.4107,-0.4263,-0.3981,6,22,"Q.norm",-1.404555039561,0.326012784420344,0.95,-2.05527928078306,-0.753830798338945,-4.30828208795038,67,5.50751940407938e-05
"20",20,-0.0669058719893434,-0.0886653202414973,0.0443031175472137,"FRCH","storm5",6,22,"turb",0.1254,0.0542,0.1968,6,22,"Q.norm",0.638079006672006,0.0947636222899585,0.95,0.448981142562642,0.827176870781371,6.73337501514671,68,4.27237473283913e-09
"21",21,0.45939400984153,0.186679065442294,0.541167809678796,"FRCH","storm6",7,12,"NO3",0.0406,0.0388,0.0425,7,12,"Q.norm",-0.0657265853780287,0.0248157159228648,0.95,-0.114821511506964,-0.0166316592490936,-2.6485871123899,130,0.00908431351759457
"22",22,-0.314829027031635,-0.464313123561011,-0.153150848469346,"FRCH","storm6",7,12,"fDOM",NA,NA,NA,7,12,"Q.norm",0.85459184811971,0.0218221885850026,0.95,0.81138543343482,0.897798262804599,39.1616012661091,120,3.32723642507552e-70
"23",23,0.779448621553904,0.737781954887233,0.792606516290706,"FRCH","storm6",7,12,"SPC",NA,NA,NA,7,12,"Q.norm",-0.128694530159543,0.0378264750512419,0.95,-0.203582014729305,-0.0538070455897803,-3.40223428128594,121,0.000906578895554632
"24",24,0.234843205574913,0.123693379790941,0.273170731707318,"FRCH","storm6",7,12,"turb",NA,NA,NA,7,12,"Q.norm",-0.0379490377187488,0.070702465585873,0.95,-0.177934999046512,0.102036923609015,-0.536742776992086,120,0.592439037269132
"25",25,0.501502145922727,0.23669527896994,0.813948497854054,"FRCH","storm7",7,25,"NO3",0.5484,0.5262,0.5666,7,25,"Q.norm",-1.06477273450599,0.229962378958943,0.95,-1.52330469488518,-0.6062407741268,-4.63020403305224,71,1.607159094417e-05
"26",26,-0.389023210831719,-0.717420212765957,-0.379442698259189,"FRCH","storm7",7,25,"fDOM",0.7006,0.6884,0.7125,7,25,"Q.norm",2.09658066646798,0.229706207426299,0.95,1.63898243586636,2.55417889706959,9.12722686060047,75,8.53196063172335e-14
"27",27,0.307942708333408,0.240234375000115,0.428385416666806,"FRCH","storm7",7,25,"SPC",0.2455,0.2182,0.2682,7,25,"Q.norm",-1.07799981855603,0.250913192248531,0.95,-1.5778445293019,-0.578155107810149,-4.29630586138436,75,5.14378049170827e-05
"28",28,-0.112370062370061,-0.135446985446984,-0.0653846153846152,"FRCH","storm7",7,25,"turb",-0.025,-0.0448,-0.0066,7,25,"Q.norm",0.596085840543621,0.113656008677511,0.95,0.369720281139087,0.822451399948155,5.24464872099253,76,1.36710826390455e-06
"29",29,-0.205182072829098,-0.29866946778713,-0.184173669467753,"FRCH","storm8",7,28,"NO3",NA,NA,NA,7,28,"Q.norm",-0.109553960092888,0.192901599753646,0.95,-0.501165027124939,0.282057106939163,-0.567926653966577,35,0.57371036898005
"30",30,-0.462787465251452,-0.538223401566843,-0.461745008845084,"FRCH","storm8",7,28,"fDOM",NA,NA,NA,7,28,"Q.norm",1.17454838349445,0.162551555846186,0.95,0.844551181221682,1.50454558576722,7.22569757871692,35,1.95826139294263e-08
"31",31,0.483630952380949,0.362599206349245,0.585317460317442,"FRCH","storm8",7,28,"SPC",NA,NA,NA,7,28,"Q.norm",-0.638955931873836,0.0804413971482543,0.95,-0.802098646860697,-0.475813216886976,-7.94312324904345,36,1.98222992030416e-09
"32",32,-0.209876026135029,-0.427165354330707,-0.173647177081588,"FRCH","storm8",7,28,"turb",NA,NA,NA,7,28,"Q.norm",0.264280876236424,0.17889023535715,0.95,-0.0988856088486961,0.627447361321544,1.47733539345394,35,0.148528333197333
"33",33,-0.14517014270031,-0.221185510428058,-0.100987925356704,"FRCH","storm9a",7,29,"NO3",-0.3773,-0.4153,-0.34,7,29,"Q.norm",0.194159063911163,0.157791524999895,0.95,-0.126174762001836,0.514492889824162,1.23047840440919,35,0.226724006474889
"34",34,-0.408186607514205,-0.411825869957019,-0.396436988770272,"FRCH","storm9a",7,29,"fDOM",0.2794,0.2727,0.2858,7,29,"Q.norm",0.457898375131026,0.151064683382438,0.95,0.151220763717712,0.76457598654434,3.0311411302654,35,0.00456271135072384
"35",35,0.691111111111193,0.612777777777743,0.757777777777795,"FRCH","storm9a",7,29,"SPC",-0.9459,-0.9582,-0.9361,7,29,"Q.norm",-0.955754011128697,0.219922950742845,0.95,-1.40177842820818,-0.509729594049213,-4.34585843769555,36,0.000108602661039004
"36",36,-0.416656691405315,-0.426921235336365,-0.400377064879099,"FRCH","storm9a",7,29,"turb",0.2934,0.2888,0.2971,7,29,"Q.norm",0.125762041097773,0.151321352683983,0.95,-0.181436636699548,0.432960718895094,0.831092498627158,35,0.4115553943244
"37",37,-0.688100636166772,-0.727844139144576,-0.631150175961033,"FRCH","storm9b",7,30,"NO3",0.3003,0.2674,0.3251,7,30,"Q.norm",0.72582110872352,0.135882030377087,0.95,0.452611975510798,0.999030241936242,5.34155330700676,48,2.49605369934438e-06
"38",38,-0.322450027451853,-0.366883909144518,-0.259137909998575,"FRCH","storm9b",7,30,"fDOM",0.2575,0.2568,0.2581,7,30,"Q.norm",0.199813533444188,0.0128207346108976,0.95,0.174049302648322,0.225577764240054,15.5851859903836,49,1.27194629959485e-20
"39",39,0.486736736736748,0.452452452452491,0.585835835835883,"FRCH","storm9b",7,30,"SPC",-0.5781,-0.583,-0.5731,7,30,"Q.norm",-0.404246388637933,0.0398165800356129,0.95,-0.484260801904675,-0.324231975371191,-10.1527149814566,49,1.214280684408e-13
"40",40,-0.124164722104368,-0.182262940178191,0.0059795290623689,"FRCH","storm9b",7,30,"turb",-0.0372,-0.0624,-0.0184,7,30,"Q.norm",-0.426902129795364,0.0569225709356989,0.95,-0.541292318781477,-0.312511940809251,-7.49969867449597,49,1.12038244253125e-09
"41",41,-0.0528722600151006,-0.0735638699924246,-0.0350151171579588,"FRCH","storm10a",8,1,"NO3",-0.5342,-0.5728,-0.494,8,1,"Q.norm",-0.341191443088834,0.0659436287399992,0.95,-0.472501983665217,-0.20988090251245,-5.1739864731144,77,1.77007931084693e-06
