"","X","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month.x","day.x","response_var","Flush_index","FI_ymin","FI_ymax","month.y","day.y","Parameter","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"1",1,-0.17564441506941,-0.298992068737605,-0.0622934567085196,"FRCH","storm1",6,21,"NO3",-0.1245,-0.1354,-0.1147,6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,-0.377363896848138,-0.407163323782235,-0.329441260744984,"FRCH","storm1",6,21,"fDOM",0.1125,0.1109,0.1134,6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,-0.223684210526315,-0.258771929824555,-0.192982456140344,"FRCH","storm1",6,21,"SPC",0.375,0.3472,0.3958,6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,0.00300039188791997,-0.00313510336043886,0.00497207798569606,"FRCH","storm1",6,21,"turb",-0.0045,-0.0077,-0.0013,6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,0.0293381325178656,0.00877043317343348,0.0373161752642943,"FRCH","storm2a",6,29,"NO3",0.0066,0.0065,0.0068,6,29,"Q.norm",0.0261959258432599,0.0131409097345813,0.95,5.91849062653825e-05,0.0523326667802544,1.99346364691352,83,0.0494952860688496
"6",6,-0.408562992125964,-0.470275590551172,-0.321653543307079,"FRCH","storm2b",7,4,"NO3",NA,NA,NA,7,1,"Q.norm",0.548443863425297,0.221476455291062,0.95,0.0864520732581286,1.01043565359246,2.4763077533661,20,0.0223335382355287
"7",7,0.116263221022789,0.0629157125722358,0.177202595136844,"FRCH","storm3",7,10,"NO3",0.0519,0.0394,0.067,7,10,"Q.norm",0.000940651254736214,0.00344226527574926,0.95,-0.00606269010665431,0.00794399261612674,0.273265184227113,33,0.7863523558702
"8",8,0.640673610171782,-0.0277965643175976,0.665088597321787,"FRCH","storm4a",7,15,"NO3",-0.2524,-0.256,-0.2491,7,15,"Q.norm",-0.0251524498065127,0.0143506187642639,0.95,-0.0549138115694777,0.00460891195645238,-1.75270838280142,22,0.0935787581031425
"9",9,-0.483112738798937,-0.525669948813501,-0.056074916473915,"FRCH","storm4b",7,16,"NO3",0.0538,0.0532,0.0543,7,16,"Q.norm",1.5405806059258,0.233682020477446,0.95,1.06264721081187,2.01851400103974,6.59263645007079,29,3.17814560501006e-07
"10",10,0.736687584381104,0.706612084505555,0.741778734830256,"FRCH","storm5",8,4,"NO3",-0.122,-0.1284,-0.1169,8,4,"Q.norm",-0.129850116646752,0.0227717822820587,0.95,-0.175057820273818,-0.0846424130196867,-5.70223775365435,95,1.33065194816049e-07
"11",11,-0.287095769530234,-0.398019724889696,-0.258749026732416,"FRCH","storm5",8,4,"fDOM",0.3543,0.3538,0.3548,8,4,"Q.norm",0.0877567126060082,0.00961582099162021,0.95,0.0686668943328649,0.106846530879151,9.12628393170843,95,1.21810389498852e-14
"12",12,0.222724052426497,0.180216082182076,0.260494155154092,"FRCH","storm5",8,4,"SPC",-0.1899,-0.1902,-0.1895,8,4,"Q.norm",-0.0175582606515948,0.00246156649329027,0.95,-0.0224450880025948,-0.0126714333005947,-7.13296216025648,95,1.92688756309259e-10
"13",13,-0.278189056553382,-0.395761000200307,-0.161213861253923,"FRCH","storm5",8,4,"turb",0.3052,0.2764,0.3359,8,4,"Q.norm",0.34642082190089,0.0395451447472704,0.95,0.267913783607601,0.424927860194179,8.76013538741192,95,7.36140927804713e-14
"14",14,-0.27036435499625,-0.304505599345796,-0.242004179633372,"FRCH","storm6",8,13,"fDOM",0.2415,0.2404,0.2421,8,13,"Q.norm",0.0218100921279265,0.00442795961623447,0.95,0.0130030585429963,0.0306171257128567,4.92553998188307,83,4.22908899696708e-06
"15",15,0.0893622972217041,0.0678258437441733,0.121107589035987,"FRCH","storm6",8,13,"SPC",-0.0759,-0.0768,-0.0753,8,13,"Q.norm",-0.00620854443987139,0.00174754219567235,0.95,-0.00968433558122269,-0.0027327532985201,-3.55272934481717,83,0.000631809211720511
"16",16,-0.194620384169564,-0.284410964149693,-0.157548849147209,"FRCH","storm6",8,13,"turb",0.2015,0.1502,0.2345,8,13,"Q.norm",0.166287550277716,0.0227796165123574,0.95,0.120979809226823,0.211595291328608,7.29983975750903,83,1.58187256690451e-10
"17",17,-0.492171006333566,-0.674730236922355,-0.490470326061457,"FRCH","storm7",8,23,"fDOM",0.6303,0.6299,0.6308,8,23,"Q.norm",0.422545438763096,0.199765566727267,0.95,0.0223669212713128,0.82272395625488,2.11520656780646,56,0.0388745443457068
"18",18,0.937500000000002,0.831683168316829,0.942759900990102,"FRCH","storm7",8,23,"SPC",-0.7139,-0.7165,-0.7113,8,23,"Q.norm",-0.0504060242068961,0.0128695663796478,0.95,-0.0761868636125222,-0.0246251848012701,-3.91668395965612,56,0.000246294407107858
"19",19,-0.249472202674174,-0.428998693073289,-0.192570624308837,"FRCH","storm7",8,23,"turb",0.1628,0.1377,0.1815,8,23,"Q.norm",0.3002727880188,0.084252106641103,0.95,0.131427793223576,0.469117782814023,3.56397958448566,55,0.000764136191145767
