"","storm.num","TOTAL.TIME","site.ID","year","response","HI","precip","temp","Intensity","doy","burn","pf"
"1","storm1",92.9666666666667,"CARI",2019,"NO3",-0.204545454545455,4.826,7.00761111111111,0.0519110792398709,127.386111111111,"burned","medium"
"2","storm2",35.9666666666667,NA,NA,NA,NA,NA,NA,NA,180.302777777778,"burned","medium"
"3","storm3",20.9666666666667,"CARI",2019,"NO3",0.433333333333333,0.254,14.9872222222222,0.0121144674085851,192.427777777778,"burned","medium"
"4","storm4",36.9666666666667,NA,NA,NA,NA,NA,NA,NA,206.261111111111,"burned","medium"
"5","storm5",33.9666666666667,"CARI",2019,"NO3",0.347222222222223,58.42,10.3502549019608,1.71992149165849,211.927777777778,"burned","medium"
"6","storm6a",20.9666666666667,"CARI",2019,"NO3",-0.305555555555556,86.36,14.5319047619048,4.11891891891892,213.469444444444,"burned","medium"
"7","storm6b",58.9666666666667,"CARI",2019,"NO3",-0.139285714285715,30.988,11.5546073446328,0.52551724137931,214.344444444444,"burned","medium"
"8","storm6c",109.966666666667,"CARI",2019,"NO3",0.267857142857143,27.432,12.6867305936073,0.249457411336769,216.802777777778,"burned","medium"
"9","storm6d",33.9666666666667,"CARI",2019,"NO3",0.425000000000002,0,11.5557279411765,0,221.386111111111,"burned","medium"
"10","storm7a",12.9666666666667,NA,NA,NA,NA,NA,NA,NA,224.094444444444,"burned","medium"
"11","storm7b",54.9666666666667,"CARI",2019,"NO3",-0.0412667946257198,23.622,10.3794227272727,0.429751364463311,224.636111111111,"burned","medium"
"12","storm8",66.9666666666667,"CARI",2019,"NO3",0.055,2.794,7.72213619402985,0.04172224987556,227.136111111111,"burned","medium"
"13","storm1",92.9666666666667,"CARI",2019,"fDOM",-0.0600241192808071,4.826,7.00761111111111,0.0519110792398709,127.386111111111,"burned","medium"
"14","storm3",20.9666666666667,"CARI",2019,"fDOM",-0.455503512880563,0.254,14.9872222222222,0.0121144674085851,192.427777777778,"burned","medium"
"15","storm4",36.9666666666667,"CARI",2019,"fDOM",-0.221903900281464,5.334,12.0274301801802,0.14429215509468,206.261111111111,"burned","medium"
"16","storm5",33.9666666666667,"CARI",2019,"fDOM",-0.237371888726208,58.42,10.3502549019608,1.71992149165849,211.927777777778,"burned","medium"
"17","storm6a",20.9666666666667,"CARI",2019,"fDOM",-0.0929438267567763,86.36,14.5319047619048,4.11891891891892,213.469444444444,"burned","medium"
"18","storm6b",58.9666666666667,"CARI",2019,"fDOM",-0.102437608821823,30.988,11.5546073446328,0.52551724137931,214.344444444444,"burned","medium"
"19","storm6c",109.966666666667,"CARI",2019,"fDOM",-0.0970136066442833,27.432,12.6867305936073,0.249457411336769,216.802777777778,"burned","medium"
"20","storm6d",33.9666666666667,"CARI",2019,"fDOM",-0.139360061680802,0,11.5557279411765,0,221.386111111111,"burned","medium"
"21","storm7a",12.9666666666667,"CARI",2019,"fDOM",0.125876250116834,22.098,13.6728525641026,1.70421593830334,224.094444444444,"burned","medium"
"22","storm7b",54.9666666666667,"CARI",2019,"fDOM",-0.0353816323572049,23.622,10.3794227272727,0.429751364463311,224.636111111111,"burned","medium"
"23","storm8",66.9666666666667,"CARI",2019,"fDOM",-0.198033040171143,2.794,7.72213619402985,0.04172224987556,227.136111111111,"burned","medium"
"24","storm1",92.9666666666667,"CARI",2019,"SPC",0.498845507976491,4.826,7.00761111111111,0.0519110792398709,127.386111111111,"burned","medium"
"25","storm3",20.9666666666667,"CARI",2019,"SPC",0.610782865583457,0.254,14.9872222222222,0.0121144674085851,192.427777777778,"burned","medium"
"26","storm4",36.9666666666667,"CARI",2019,"SPC",0.842916419679906,5.334,12.0274301801802,0.14429215509468,206.261111111111,"burned","medium"
"27","storm5",33.9666666666667,"CARI",2019,"SPC",0.441496163682864,58.42,10.3502549019608,1.71992149165849,211.927777777778,"burned","medium"
"28","storm6a",20.9666666666667,"CARI",2019,"SPC",0.561139212667693,86.36,14.5319047619048,4.11891891891892,213.469444444444,"burned","medium"
"29","storm6b",58.9666666666667,"CARI",2019,"SPC",0.0673415492957747,30.988,11.5546073446328,0.52551724137931,214.344444444444,"burned","medium"
"30","storm6c",109.966666666667,"CARI",2019,"SPC",-0.00333985949556603,27.432,12.6867305936073,0.249457411336769,216.802777777778,"burned","medium"
"31","storm6d",33.9666666666667,"CARI",2019,"SPC",0.282835820895524,0,11.5557279411765,0,221.386111111111,"burned","medium"
"32","storm7a",12.9666666666667,"CARI",2019,"SPC",0.777820414428241,22.098,13.6728525641026,1.70421593830334,224.094444444444,"burned","medium"
"33","storm7b",54.9666666666667,"CARI",2019,"SPC",0.347286565188617,23.622,10.3794227272727,0.429751364463311,224.636111111111,"burned","medium"
"34","storm8",66.9666666666667,"CARI",2019,"SPC",0.424110141034251,2.794,7.72213619402985,0.04172224987556,227.136111111111,"burned","medium"
"35","storm1",92.9666666666667,"CARI",2019,"turb",0.0254199328107503,4.826,7.00761111111111,0.0519110792398709,127.386111111111,"burned","medium"
"36","storm4",36.9666666666667,"CARI",2019,"turb",0.0400232018561483,5.334,12.0274301801802,0.14429215509468,206.261111111111,"burned","medium"
"37","storm5",33.9666666666667,"CARI",2019,"turb",-0.018957345971564,58.42,10.3502549019608,1.71992149165849,211.927777777778,"burned","medium"
"38","storm6a",20.9666666666667,"CARI",2019,"turb",0.00068618637725063,86.36,14.5319047619048,4.11891891891892,213.469444444444,"burned","medium"
"39","storm6b",58.9666666666667,"CARI",2019,"turb",0.00515990138546477,30.988,11.5546073446328,0.52551724137931,214.344444444444,"burned","medium"
"40","storm6c",109.966666666667,"CARI",2019,"turb",0.000130479414529495,27.432,12.6867305936073,0.249457411336769,216.802777777778,"burned","medium"
"41","storm6d",33.9666666666667,"CARI",2019,"turb",-0.031671745755333,0,11.5557279411765,0,221.386111111111,"burned","medium"
"42","storm7a",12.9666666666667,"CARI",2019,"turb",-3.87357117722511e-05,22.098,13.6728525641026,1.70421593830334,224.094444444444,"burned","medium"
"43","storm7b",54.9666666666667,"CARI",2019,"turb",0.00023176374296357,23.622,10.3794227272727,0.429751364463311,224.636111111111,"burned","medium"
"44","storm8",66.9666666666667,"CARI",2019,"turb",0.000193263456266388,2.794,7.72213619402985,0.04172224987556,227.136111111111,"burned","medium"
