"","X","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month.x","day.x","response_var","Flush_index","FI_ymin","FI_ymax","month.y","day.y","Parameter","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"16",16,0.770899470899476,0.751917989417987,0.805158730158722,"FRCH","storm5a",8,15,"SPC",NA,NA,NA,8,15,"Q.norm",0.380393210727733,0.0430347625056332,0.95,0.295201600100881,0.465584821354585,8.83920785383539,122,8.80034987746982e-15
"17",17,-0.199815683019657,-0.21479377434816,-0.170604432580363,"FRCH","storm5a",8,15,"turb",NA,NA,NA,8,15,"Q.norm",0.79982769777208,0.023722053308002,0.95,0.752867523926106,0.846787871618054,33.716630149477,122,1.12198104539253e-63
"18",18,-0.452152521525209,-0.513284132841326,-0.408733087330866,"FRCH","storm5b",8,17,"NO3",-0.2789,-0.3057,-0.2415,8,17,"Q.norm",2.23805128490586,0.128451533952498,0.95,1.97882559453736,2.49727697527436,17.4233130274139,42,7.82426192535119e-21
"19",19,-0.577974076616232,-0.67426661493927,-0.532038656281397,"FRCH","storm5b",8,17,"fDOM",NA,NA,NA,8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,0.387632978723413,0.337101063829795,0.408466312056743,"FRCH","storm5b",8,17,"SPC",NA,NA,NA,8,17,"Q.norm",0.617056904132076,0.271374156149747,0.95,0.0694016849884757,1.16471212327568,2.27382339161131,42,0.0281505655672489
"21",21,0.0591667491558606,-0.0056023910867683,0.118963165825277,"FRCH","storm5b",8,17,"turb",NA,NA,NA,8,17,"Q.norm",0.644956996015663,0.166939187479596,0.95,0.308060076279713,0.981853915751613,3.86342479410051,42,0.000380779438971311
"22",22,0.732060185185134,0.70659722222223,0.797453703703672,"FRCH","storm6a",8,19,"NO3",-0.0935,-0.2243,0.0166,8,19,"Q.norm",0.0113123292073412,0.0324862992590414,0.95,-0.0537655482730481,0.0763902066877305,0.348218463332441,56,0.728981782243319
"23",23,-0.0518859886918157,-0.0889706451862776,0.00960421346138758,"FRCH","storm6a",8,19,"fDOM",NA,NA,NA,8,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,0.231242312423127,0.167896678966792,0.258302583025831,"FRCH","storm6a",8,19,"SPC",NA,NA,NA,8,19,"Q.norm",0.320545351214772,0.0854452442139346,0.95,0.149377958773517,0.491712743656026,3.75147094684641,56,0.000419036867775155
"25",25,-0.178622690289054,-0.189904282638583,-0.163071861516778,"FRCH","storm6a",8,19,"turb",NA,NA,NA,8,19,"Q.norm",0.342130946063937,0.0256988607615506,0.95,0.290649941758397,0.393611950369477,13.313078320414,56,5.42093458263663e-19
"26",26,-0.00637815738598482,-0.45433080848097,0.0144518746236506,"FRCH","storm6b",8,20,"NO3",NA,NA,NA,8,20,"Q.norm",-0.068347598989187,0.00139662773291809,0.95,-0.0711681459162697,-0.0655270520621043,-48.9375925869544,41,5.39520274467722e-38
"27",27,0.125654555545724,-0.00644098744379488,0.269182197697895,"FRCH","storm6b",8,20,"fDOM",NA,NA,NA,8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,0.308535630383714,0.237666405638209,0.329678935003913,"FRCH","storm6b",8,20,"SPC",NA,NA,NA,8,20,"Q.norm",-0.68630221340833,0.0645968294522344,0.95,-0.816758157047732,-0.555846269768929,-10.6243947145395,41,2.40740978703281e-13
"29",29,-0.0213245025902787,-0.0367017065823095,-0.00375749827755392,"FRCH","storm6b",8,20,"turb",NA,NA,NA,8,20,"Q.norm",0.805457939605701,0.174105018702253,0.95,0.453845721177039,1.15707015803436,4.62627640265305,41,3.69894346753542e-05
"30",30,-0.0088996763753772,-0.0334412081985296,0.0148327939590353,"FRCH","storm7",8,25,"NO3",-0.7609,-0.797,-0.7291,8,25,"Q.norm",0.773864910968784,0.0583671419624434,0.95,0.657152597311934,0.890577224625634,13.2585712602945,61,1.27148879782004e-19
"31",31,-0.688630440448268,-0.778483189992182,-0.518699504821474,"FRCH","storm7",8,25,"fDOM",0.5893,0.5847,0.5931,8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,0.638282387190683,0.552747452692864,0.716157205240174,"FRCH","storm7",8,25,"SPC",-0.786,-0.7973,-0.7784,8,25,"Q.norm",0.44778479251077,0.0323400447685107,0.95,0.383137964158933,0.512431620862607,13.8461401558347,62,1.23608910328843e-20
"33",33,-0.0151333756442808,-0.095526578967612,0.0242855219632278,"FRCH","storm7",8,25,"turb",0.0035,-0.0286,0.0313,8,25,"Q.norm",0.187546674575183,0.0591391501369971,0.95,0.0693291979097654,0.305764151240601,3.17127781073498,62,0.00235995041618451
"34",34,-0.0658829292187117,-0.114757976532408,-0.0394651882528449,"FRCH","storm8",8,27,"NO3",-0.0151,-0.0162,-0.014,8,27,"Q.norm",0.504476421339494,0.0806053659352962,0.95,0.344155590427889,0.664797252251099,6.25859600643025,83,1.62393743795899e-08
"35",35,-0.147444307967172,-0.263646176465115,0.00583905607354829,"FRCH","storm8",8,27,"fDOM",-0.0865,-0.0876,-0.0851,8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,0.652048975512244,0.545852073963019,0.691529235382309,"FRCH","storm8",8,27,"SPC",-0.1023,-0.1028,-0.102,8,27,"Q.norm",-0.122384927560786,0.0168839649757007,0.95,-0.155960543528344,-0.0888093115932282,-7.2485892820153,84,1.89100042538547e-10
"37",37,-0.251528964444053,-0.37598432132476,-0.182260195543028,"FRCH","storm8",8,27,"turb",0.2562,0.2202,0.3013,8,27,"Q.norm",0.714633121776957,0.0439391935089553,0.95,0.627255216805932,0.802011026747982,16.2641383399836,84,1.1037076658817e-27
"38",38,-0.0408075601374571,-0.131615120274914,0.00217163039327908,"MOOS","storm1",7,23,"fDOM",NA,NA,NA,7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,0.559782608695596,0.380434782608694,0.610869565217392,"MOOS","storm1",7,23,"SPC",NA,NA,NA,7,23,"Q.norm",-0.81052476979817,0.196192288454369,0.95,-1.20923547078004,-0.411814068816302,-4.13127741249976,34,0.000221918705996086
"40",40,-0.006778381642512,-0.0542240338164263,0.0185688405797102,"MOOS","storm1",7,23,"turb",NA,NA,NA,7,23,"Q.norm",1.32099781498328,0.153082406902927,0.95,1.010224007054,1.63177162291255,8.6293248303899,35,3.45908175960216e-10
"41",41,0.231897742478525,0.212924094617344,0.377023352181984,"MOOS","storm2",7,27,"fDOM",-0.5351,-0.5385,-0.5326,7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,0.199517212426527,0.192695214105793,0.305625524769096,"MOOS","storm2",7,27,"SPC",NA,NA,NA,7,27,"Q.norm",0.0514720763377385,0.00424107390214084,0.95,0.0430618676372025,0.0598822850382746,12.1365667105579,104,1.20667567090018e-21
"43",43,-0.256596103490264,-0.480549778558421,-0.165790239329318,"MOOS","storm2",7,27,"turb",0.4737,0.4463,0.4985,7,27,"Q.norm",0.625917774404737,0.0331527197605207,0.95,0.560167174001973,0.6916683748075,18.8798318486708,103,3.19405196234119e-35
"44",44,0.0673800108552562,0.0397379235481213,0.0978425215166602,"MOOS","storm3a",8,6,"fDOM",-0.4031,-0.4064,-0.4,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
