"","X.1","X","site.ID","year","storm.num","response","HI","precip","precip.week","precip.month","ThreeMonth","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"34",34,34,"MOOS",2019,"storm7c","SPC",0.758215962441319,32,54,179.8,313,107.25,0.298368298368298,226.895833333333,"burned","medium",2019-08-15,89.8958333333321
"35",35,35,"MOOS",2019,"storm8","SPC",0.914545454545463,1.6,25.2,29,273.4,43.25,0.0369942196531792,263.3125,"burned","medium",2019-09-21,126.3125
"36",36,36,"MOOS",2019,"storm9","SPC",0.801351351351351,15.8,21.2,54.4,294,132.25,0.119470699432892,274.104166666667,"burned","medium",2019-10-02,137.104166666668
"37",37,37,"MOOS",2019,"storm1","turb",-0.266622919762393,14.2,43.2,43.2,43.2,175.25,0.0810271041369472,150.979166666667,"burned","medium",2019-05-31,13.9791666666679
"38",38,38,"MOOS",2019,"storm3","turb",-0.19105969331873,5,6.8,64.4,123,62.25,0.0803212851405622,192.6875,"burned","medium",2019-07-12,55.6875
"39",39,39,"MOOS",2019,"storm4","turb",0.0147936350074594,16.2,8.4,30.2,141.6,63.75,0.254117647058824,205.927083333333,"burned","medium",2019-07-25,68.9270833333321
"40",40,40,"MOOS",2019,"storm5","turb",-0.135203769428467,19.2,25.2,42.2,158.4,66.25,0.289811320754717,209.3125,"burned","medium",2019-07-29,72.3125
"41",41,41,"MOOS",2019,"storm6a","turb",-0.341013500843801,15.8,46.6,63.8,180,28.25,0.55929203539823,212.1875,"burned","medium",2019-08-01,75.1875
"42",42,42,"MOOS",2019,"storm6b","turb",-0.380359039151701,11,49.8,80.6,196.8,23.5,0.468085106382979,213.385416666667,"burned","medium",2019-08-02,76.3854166666679
"43",43,43,"MOOS",2019,"storm6c","turb",0.0114496577884066,13,59,91,207.2,55.5,0.234234234234234,214.385416666667,"burned","medium",2019-08-03,77.3854166666679
"44",44,44,"MOOS",2019,"storm6d","turb",-0.160067093311313,40,56.4,104.4,220.6,119.5,0.334728033472803,216.71875,"burned","medium",2019-08-05,79.71875
"45",45,45,"MOOS",2019,"storm7a","turb",-0.216086155925988,19,49.2,141,273.2,41.25,0.460606060606061,224.145833333333,"burned","medium",2019-08-13,87.1458333333321
"46",46,46,"MOOS",2019,"storm7b","turb",0.35020595471761,13.2,34.2,160.2,292.8,20.75,0.636144578313253,225.927083333333,"burned","medium",2019-08-14,88.9270833333321
"47",47,47,"MOOS",2019,"storm7c","turb",0.0189217992062341,32,54,179.8,313,107.25,0.298368298368298,226.895833333333,"burned","medium",2019-08-15,89.8958333333321
"48",48,48,"MOOS",2019,"storm8","turb",-0.430175972329171,1.6,25.2,29,273.4,43.25,0.0369942196531792,263.3125,"burned","medium",2019-09-21,126.3125
"49",49,49,"MOOS",2019,"storm9","turb",-0.069874156990892,15.8,21.2,54.4,294,132.25,0.119470699432892,274.104166666667,"burned","medium",2019-10-02,137.104166666668
"50",50,50,"FRCH",2019,"storm1","NO3",-0.0348740872044856,51.8,8.6,19.2,19.2,248,0.208870967741935,150.53125,"unburned","medium",2019-05-31,13.53125
"51",51,51,"FRCH",2019,"storm10a","NO3",0.460886189833548,12.6,43.2,60.4,189.2,30,0.42,212.03125,"unburned","medium",2019-08-01,75.03125
"52",52,52,"FRCH",2019,"storm11","NO3",-0.0823325497543547,42.4,53.8,101.8,230.2,119.5,0.354811715481172,216.510416666667,"unburned","medium",2019-08-05,79.5104166666679
"53",53,53,"FRCH",2019,"storm12b","NO3",-0.140658288192752,6,33.6,159.6,297.4,16.5,0.363636363636364,225.885416666667,"unburned","medium",2019-08-14,88.8854166666679
"54",54,54,"FRCH",2019,"storm12c","NO3",0.252111525500529,50.6,40.4,166.4,301.2,127.5,0.396862745098039,226.59375,"unburned","medium",2019-08-15,89.59375
"55",55,55,"FRCH",2019,"storm12d","NO3",0.0683924997366499,4,65.4,218.8,354,213.5,0.0187353629976581,231.96875,"unburned","medium",2019-08-20,94.96875
"56",56,56,"FRCH",2019,"storm13","NO3",0.151557893059209,16.6,10.8,14.8,259,97.5,0.17025641025641,262.510416666667,"unburned","medium",2019-09-20,125.510416666668
"57",57,57,"FRCH",2019,"storm14","NO3",0.126581034603773,25,15.4,46.4,286,157.5,0.158730158730159,273.59375,"unburned","medium",2019-10-01,136.59375
"58",58,58,"FRCH",2019,"storm2","NO3",0.697368421052639,0,12.6,76.8,82,28,0,165.822916666667,"unburned","medium",2019-06-15,28.8229166666679
"59",59,59,"FRCH",2019,"storm3","NO3",0.649850894632213,5.2,12.2,77,83.4,50,0.104,168.197916666667,"unburned","medium",2019-06-18,31.1979166666679
"60",60,60,"FRCH",2019,"storm4","NO3",0.551245210727968,2.6,36.8,97.6,108,48,0.0541666666666667,170.364583333333,"unburned","medium",2019-06-20,33.3645833333321
"61",61,61,"FRCH",2019,"storm5","NO3",0.0530606407322745,6.4,37.6,109,119.6,57,0.112280701754386,172.40625,"unburned","medium",2019-06-22,35.40625
"62",62,62,"FRCH",2019,"storm6","NO3",0.19541632763764,9.4,2.4,60,131.2,64,0.146875,192.114583333333,"unburned","medium",2019-07-12,55.1145833333321
"63",63,63,"FRCH",2019,"storm7","NO3",-0.359013992840878,11.2,3.8,25.4,149.4,33,0.339393939393939,205.78125,"unburned","medium",2019-07-25,68.78125
"64",64,64,"FRCH",2019,"storm8","NO3",0.59485368314832,5.8,19.4,41.2,165.2,26,0.223076923076923,208.114583333333,"unburned","medium",2019-07-28,71.1145833333321
"65",65,65,"FRCH",2019,"storm9a","NO3",0.495614035087698,6.4,25.2,42.2,171,15,0.426666666666667,209.28125,"unburned","medium",2019-07-29,72.28125
"66",66,66,"FRCH",2019,"storm9b","NO3",-0.447068901402466,0,36.6,53.6,182.4,37,0,210.03125,"unburned","medium",2019-07-30,73.03125
"67",67,67,"FRCH",2019,"storm1","fDOM",-0.508264012495911,51.8,8.6,19.2,19.2,248,0.208870967741935,150.53125,"unburned","medium",2019-05-31,13.53125
"68",68,68,"FRCH",2019,"storm10a","fDOM",-0.11900867315885,12.6,43.2,60.4,189.2,30,0.42,212.03125,"unburned","medium",2019-08-01,75.03125
"69",69,69,"FRCH",2019,"storm10b","fDOM",0.538993775399945,15.6,43.2,74,202.4,23.5,0.663829787234043,213.302083333333,"unburned","medium",2019-08-02,76.3020833333321
"70",70,70,"FRCH",2019,"storm10c","fDOM",-0.902465294399245,10,58.4,90.4,218.8,51.5,0.194174757281553,214.302083333333,"unburned","medium",2019-08-03,77.3020833333321
"71",71,71,"FRCH",2019,"storm11","fDOM",0.130177936384021,42.4,53.8,101.8,230.2,119.5,0.354811715481172,216.510416666667,"unburned","medium",2019-08-05,79.5104166666679
"72",72,72,"FRCH",2019,"storm12a","fDOM",0.385525774552875,21.2,48.6,141.8,276.6,45.5,0.465934065934066,223.927083333333,"unburned","medium",2019-08-12,86.9270833333321
"73",73,73,"FRCH",2019,"storm12b","fDOM",-0.0545914678235515,6,33.6,159.6,297.4,16.5,0.363636363636364,225.885416666667,"unburned","medium",2019-08-14,88.8854166666679
"74",74,74,"FRCH",2019,"storm12c","fDOM",0.314895817275573,50.6,40.4,166.4,301.2,127.5,0.396862745098039,226.59375,"unburned","medium",2019-08-15,89.59375
"75",75,75,"FRCH",2019,"storm12d","fDOM",-0.00838427180843557,4,65.4,218.8,354,213.5,0.0187353629976581,231.96875,"unburned","medium",2019-08-20,94.96875
"76",76,76,"FRCH",2019,"storm13","fDOM",-0.738906497622821,16.6,10.8,14.8,259,97.5,0.17025641025641,262.510416666667,"unburned","medium",2019-09-20,125.510416666668
"77",77,77,"FRCH",2019,"storm14","fDOM",-0.578102912072382,25,15.4,46.4,286,157.5,0.158730158730159,273.59375,"unburned","medium",2019-10-01,136.59375
