"","storm.num","TOTAL.TIME","site.ID","year","response","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","Intensity","doy","burn","pf"
"1","storm1",79.4666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.396527777778,"burned","medium"
"2","storm10",64.9666666666667,"CARI",2018,"NO3",0.11,16.002,4.30740927419355,5.842,5.842,5.842,6.09801635021097,0.246310928681375,241.375694444444,"burned","medium"
"3","storm11",47.9666666666667,"CARI",2018,"NO3",0.366666666666667,4.699,6.96928191489362,21.844,21.844,21.844,5.31065721040189,0.0979638637943016,244.084027777778,"burned","medium"
"4","storm12a",104.966666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.917361111111,"burned","medium"
"5","storm12b",130.966666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.334027777778,"burned","medium"
"6","storm2",45.4666666666667,"CARI",2018,"NO3",0.0312499999999993,8.001,12.6192583333333,10.287,71.755,71.755,4.307984437751,0.175975073313783,171.813194444444,"burned","medium"
"7","storm3",32.4666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.229861111111,"burned","medium"
"8","storm4a",20.4666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.604861111111,"burned","medium"
"9","storm4b",45.4666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.563194444444,"burned","medium"
"10","storm5a",19.4666666666667,"CARI",2018,"NO3",0.673913043478261,9.271,11.3113596491228,22.606,94.361,94.361,12.5620243902439,0.47625,215.479861111111,"burned","medium"
"11","storm5b",30.4666666666667,"CARI",2018,"NO3",0.0865384615384617,20.32,10.906,31.877,103.632,103.632,13.0217736280488,0.666958424507659,216.313194444444,"burned","medium"
"12","storm5c",143.966666666667,"CARI",2018,"NO3",-0.470930232558139,3.937,9.97127884615385,44.196,123.952,123.952,13.2306356707317,0.0273466080111137,217.584027777778,"burned","medium"
"13","storm6",165.966666666667,"CARI",2018,"NO3",-0.0753424657534245,42.164,9.77078852201258,13.208,109.728,127.889,10.0929239021956,0.254051014259892,224.667361111111,"burned","medium"
"14","storm7",41.9666666666667,"CARI",2018,"NO3",0.480769230769231,5.588,8.31393699186992,42.164,112.903,170.053,9.99967398989899,0.133153296266878,232.167361111111,"burned","medium"
"15","storm8",47.9666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.459027777778,"burned","medium"
"16","storm9",89.9666666666667,"CARI",2018,"NO3",-0.0200000000000003,12.446,7.38927762172285,8.89,106.68,178.308,9.70984578252033,0.138340125972582,237.459027777778,"burned","medium"
"17","storm1",79.4666666666667,"CARI",2018,"fDOM",-0.151438340014147,5.842,6.09801635021097,0,0,0,NA,0.0735151006711409,160.396527777778,"burned","medium"
"18","storm10",64.9666666666667,"CARI",2018,"fDOM",-0.351357108081791,16.002,4.30740927419355,5.842,5.842,5.842,6.09801635021097,0.246310928681375,241.375694444444,"burned","medium"
"19","storm11",47.9666666666667,"CARI",2018,"fDOM",-0.365022877478393,4.699,6.96928191489362,21.844,21.844,21.844,5.31065721040189,0.0979638637943016,244.084027777778,"burned","medium"
"20","storm2",45.4666666666667,"CARI",2018,"fDOM",-0.545454545454546,8.001,12.6192583333333,10.287,71.755,71.755,4.307984437751,0.175975073313783,171.813194444444,"burned","medium"
"21","storm3",32.4666666666667,"CARI",2018,"fDOM",-0.742482046678635,6.604,13.5604107142857,9.779,79.756,79.756,6.38949401197605,0.203408624229979,179.229861111111,"burned","medium"
"22","storm4a",20.4666666666667,"CARI",2018,"fDOM",-0.227854069664643,0.127,13.0334270833333,14.732,86.36,86.36,8.28948282828283,0.00620521172638437,180.604861111111,"burned","medium"
"23","storm4b",45.4666666666667,"CARI",2018,"fDOM",-0.303615173335313,7.874,15.1453583333333,14.859,86.487,86.487,9.58317171717172,0.173181818181818,181.563194444444,"burned","medium"
"24","storm5a",19.4666666666667,"CARI",2018,"fDOM",0.0296032238065717,9.271,11.3113596491228,22.606,94.361,94.361,12.5620243902439,0.47625,215.479861111111,"burned","medium"
"25","storm5b",30.4666666666667,"CARI",2018,"fDOM",-0.1582505148178,20.32,10.906,31.877,103.632,103.632,13.0217736280488,0.666958424507659,216.313194444444,"burned","medium"
"26","storm5c",143.966666666667,"CARI",2018,"fDOM",-0.10318202047174,3.937,9.97127884615385,44.196,123.952,123.952,13.2306356707317,0.0273466080111137,217.584027777778,"burned","medium"
"27","storm6",165.966666666667,"CARI",2018,"fDOM",-0.232722929936306,42.164,9.77078852201258,13.208,109.728,127.889,10.0929239021956,0.254051014259892,224.667361111111,"burned","medium"
"28","storm7",41.9666666666667,"CARI",2018,"fDOM",0.207693276252833,5.588,8.31393699186992,42.164,112.903,170.053,9.99967398989899,0.133153296266878,232.167361111111,"burned","medium"
"29","storm8",47.9666666666667,"CARI",2018,"fDOM",-0.0865754222481072,2.667,7.80982712765957,8.255,109.474,175.641,9.68047398989899,0.0556011118832523,235.459027777778,"burned","medium"
"30","storm9",89.9666666666667,"CARI",2018,"fDOM",-0.10762070971495,12.446,7.38927762172285,8.89,106.68,178.308,9.70984578252033,0.138340125972582,237.459027777778,"burned","medium"
"31","storm1",79.4666666666667,"CARI",2018,"SPC",0.456360946745562,5.842,6.09801635021097,0,0,0,NA,0.0735151006711409,160.396527777778,"burned","medium"
"32","storm10",64.9666666666667,"CARI",2018,"SPC",0.565207044264636,16.002,4.30740927419355,5.842,5.842,5.842,6.09801635021097,0.246310928681375,241.375694444444,"burned","medium"
"33","storm11",47.9666666666667,"CARI",2018,"SPC",0.477803738317757,4.699,6.96928191489362,21.844,21.844,21.844,5.31065721040189,0.0979638637943016,244.084027777778,"burned","medium"
"34","storm12a",104.966666666667,"CARI",2018,"SPC",0.433483519089401,40.64,4.92868870192308,21.082,26.543,26.543,5.97711621485944,0.387170530327088,262.917361111111,"burned","medium"
"35","storm12b",130.966666666667,"CARI",2018,"SPC",-0.0722738166566807,4.572,4.1034189453125,48.133,67.183,67.183,5.67630572289157,0.0349096462204123,267.334027777778,"burned","medium"
"36","storm2",45.4666666666667,"CARI",2018,"SPC",0.387212643678162,8.001,12.6192583333333,10.287,71.755,71.755,4.307984437751,0.175975073313783,171.813194444444,"burned","medium"
"37","storm3",32.4666666666667,"CARI",2018,"SPC",0.637589928057554,6.604,13.5604107142857,9.779,79.756,79.756,6.38949401197605,0.203408624229979,179.229861111111,"burned","medium"
"38","storm4a",20.4666666666667,"CARI",2018,"SPC",0.188968668407311,0.127,13.0334270833333,14.732,86.36,86.36,8.28948282828283,0.00620521172638437,180.604861111111,"burned","medium"
"39","storm4b",45.4666666666667,"CARI",2018,"SPC",0.0935628742514971,7.874,15.1453583333333,14.859,86.487,86.487,9.58317171717172,0.173181818181818,181.563194444444,"burned","medium"
"40","storm5a",19.4666666666667,"CARI",2018,"SPC",0.715592334494775,9.271,11.3113596491228,22.606,94.361,94.361,12.5620243902439,0.47625,215.479861111111,"burned","medium"
