"","storm.num","TOTAL.TIME","site.ID","year","response","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","Intensity","doy","burn","pf"
"1","storm2",0,"STRT",2019,"NO3",-0.190819503165712,1,16.7299479166667,11.8,69.4,134.2,18.9739680059524,Inf,192.8125,"burned","high"
"2","storm3a",137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.833333333333,"burned","high"
"3","storm3c",40,"STRT",2019,"NO3",0.186664020032982,19.2,11.9783953488372,49.8,141.2,280,12.7423110119048,0.48,223.854166666667,"burned","high"
"4","storm4",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.770833333333,"burned","high"
"5","storm6",4,"STRT",2019,"NO3",0.641187384044537,4.4,1.79170969945355,22.4,26.2,270.6,5.90045461309524,1.1,262.770833333333,"burned","high"
"6","storm7",52,"STRT",2019,"NO3",0.672186807095365,7,-0.100658950617284,23.6,56.8,296.4,2.64880084325397,0.134615384615385,273.895833333333,"burned","high"
"7","storm7b",26,"STRT",2019,"NO3",-0.121494303242771,5,-2.71777146464646,31.2,65,297.8,2.19903249007936,0.192307692307692,276.395833333333,"burned","high"
"8","storm2",0,"STRT",2019,"fDOM",-0.267565485362098,1,16.7299479166667,11.8,69.4,134.2,18.9739680059524,Inf,192.8125,"burned","high"
"9","storm3a",137,"STRT",2019,"fDOM",-0.318421568184217,76.4,12.2722776705277,13.4,35.2,152.8,16.6422542162698,0.557664233576642,205.833333333333,"burned","high"
"10","storm3b",NA,"STRT",2019,"fDOM",-0.3893876283859,37.6,12.7643333333333,54.8,106.6,229,12.263146577381,NA,216.604166666667,"burned","high"
"11","storm3c",40,"STRT",2019,"fDOM",-0.421428684866085,19.2,11.9783953488372,49.8,141.2,280,12.7423110119048,0.48,223.854166666667,"burned","high"
"12","storm4",5,"STRT",2019,"fDOM",0.425863294466216,24,7.98152765804598,68,195.2,330.4,12.1632926587302,4.8,226.770833333333,"burned","high"
"13","storm5",NA,"STRT",2019,"fDOM",-0.268260585664775,0,5.82992708333333,65.4,218.8,354,8.51579166666667,NA,231.895833333333,"burned","high"
"14","storm6",4,"STRT",2019,"fDOM",-0.691279069767442,4.4,1.79170969945355,22.4,26.2,270.6,5.90045461309524,1.1,262.770833333333,"burned","high"
"15","storm7",52,"STRT",2019,"fDOM",-0.514842322483819,7,-0.100658950617284,23.6,56.8,296.4,2.64880084325397,0.134615384615385,273.895833333333,"burned","high"
"16","storm7b",26,"STRT",2019,"fDOM",-0.193258776976654,5,-2.71777146464646,31.2,65,297.8,2.19903249007936,0.192307692307692,276.395833333333,"burned","high"
"17","storm7c",NA,"STRT",2019,"fDOM",-0.666456944155764,1.4,-1.524341796875,18.6,74.4,301.4,-1.49154885912698,NA,281.479166666667,"burned","high"
"18","storm2",0,"STRT",2019,"SPC",0.360007097232115,1,16.7299479166667,11.8,69.4,134.2,18.9739680059524,Inf,192.8125,"burned","high"
"19","storm3a",137,"STRT",2019,"SPC",0.773768703241903,76.4,12.2722776705277,13.4,35.2,152.8,16.6422542162698,0.557664233576642,205.833333333333,"burned","high"
"20","storm3b",NA,"STRT",2019,"SPC",0.658834827144688,37.6,12.7643333333333,54.8,106.6,229,12.263146577381,NA,216.604166666667,"burned","high"
"21","storm3c",40,"STRT",2019,"SPC",0.60802981823046,19.2,11.9783953488372,49.8,141.2,280,12.7423110119048,0.48,223.854166666667,"burned","high"
"22","storm4",5,"STRT",2019,"SPC",0.425590731463979,24,7.98152765804598,68,195.2,330.4,12.1632926587302,4.8,226.770833333333,"burned","high"
"23","storm5",NA,"STRT",2019,"SPC",0.0791364629166517,0,5.82992708333333,65.4,218.8,354,8.51579166666667,NA,231.895833333333,"burned","high"
"24","storm6",4,"STRT",2019,"SPC",0.616847826086956,4.4,1.79170969945355,22.4,26.2,270.6,5.90045461309524,1.1,262.770833333333,"burned","high"
"25","storm7",52,"STRT",2019,"SPC",0.669458115183246,7,-0.100658950617284,23.6,56.8,296.4,2.64880084325397,0.134615384615385,273.895833333333,"burned","high"
