"","X","site.ID","year","storm.num","response","HI","precip","precip.week","precip.month","ThreeMonth","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"1",1,"MOOS",2020,"storm1","NO3",0.315280036133694,75,14.8,14.8,14.8,180.5,0.415512465373961,171.427083333333,"unburned","medium",2020-06-20,38.4270833333321
"2",2,"MOOS",2020,"storm2","NO3",-0.092214422463289,13,47.4,89.8,89.8,81.5,0.159509202453988,179.052083333333,"unburned","medium",2020-06-28,46.0520833333321
"3",3,"MOOS",2020,"storm3","NO3",0.357690124858118,10,24,180.4,189.6,32,0.3125,199.114583333333,"unburned","medium",2020-07-18,66.1145833333321
"4",4,"MOOS",2020,"storm4","NO3",0.0672967780158681,38.2,33,137,199.6,80,0.4775,201.114583333333,"unburned","medium",2020-07-20,68.1145833333321
"5",5,"MOOS",2020,"storm5","NO3",-0.273336524652915,5.8,43,144.6,242.6,59.75,0.097071129707113,207.739583333333,"unburned","medium",2020-07-26,74.7395833333321
"6",6,"MOOS",2020,"storm6a","NO3",0.934133265254041,6.4,17.8,154.4,257.2,26.75,0.239252336448598,213.489583333333,"unburned","medium",2020-08-01,80.4895833333321
"7",7,"MOOS",2020,"storm7a","NO3",0.717491484672407,24,14.6,112,277.6,68.75,0.349090909090909,221.072916666667,"unburned","medium",2020-08-09,88.0729166666679
"8",8,"MOOS",2020,"storm7b","NO3",0.167643038469033,4.4,28,133.4,304,46.25,0.0951351351351351,224.010416666667,"unburned","medium",2020-08-12,91.0104166666679
"9",9,"MOOS",2020,"storm9","NO3",0.234081154896605,2.8,15.8,42,342.8,101,0.0277227722772277,251.979166666667,"unburned","medium",2020-09-08,118.979166666668
"10",10,"MOOS",2020,"storm2","fDOM",-0.340848179095065,13,47.4,89.8,89.8,81.5,0.159509202453988,179.052083333333,"unburned","medium",2020-06-28,46.0520833333321
"11",11,"MOOS",2020,"storm3","fDOM",-0.0131169961456963,10,24,180.4,189.6,32,0.3125,199.114583333333,"unburned","medium",2020-07-18,66.1145833333321
"12",12,"MOOS",2020,"storm4","fDOM",-0.142692671643362,38.2,33,137,199.6,80,0.4775,201.114583333333,"unburned","medium",2020-07-20,68.1145833333321
"13",13,"MOOS",2020,"storm5","fDOM",-0.0482022849462017,5.8,43,144.6,242.6,59.75,0.097071129707113,207.739583333333,"unburned","medium",2020-07-26,74.7395833333321
"14",14,"MOOS",2020,"storm6a","fDOM",0.329136690647104,6.4,17.8,154.4,257.2,26.75,0.239252336448598,213.489583333333,"unburned","medium",2020-08-01,80.4895833333321
"15",15,"MOOS",2020,"storm6b","fDOM",0.155344088732039,13,20.6,160.4,263.2,67.75,0.191881918819188,214.78125,"unburned","medium",2020-08-02,81.78125
"16",16,"MOOS",2020,"storm7a","fDOM",0.436220051693017,24,14.6,112,277.6,68.75,0.349090909090909,221.072916666667,"unburned","medium",2020-08-09,88.0729166666679
"17",17,"MOOS",2020,"storm7b","fDOM",0.182653061224489,4.4,28,133.4,304,46.25,0.0951351351351351,224.010416666667,"unburned","medium",2020-08-12,91.0104166666679
"18",18,"MOOS",2020,"storm9","fDOM",0.50366084081245,2.8,15.8,42,342.8,101,0.0277227722772277,251.979166666667,"unburned","medium",2020-09-08,118.979166666668
"19",19,"MOOS",2020,"storm2","SPC",-0.717201166180767,13,47.4,89.8,89.8,81.5,0.159509202453988,179.052083333333,"unburned","medium",2020-06-28,46.0520833333321
"20",20,"MOOS",2020,"storm3","SPC",0.131756756757004,10,24,180.4,189.6,32,0.3125,199.114583333333,"unburned","medium",2020-07-18,66.1145833333321
"21",21,"MOOS",2020,"storm4","SPC",0.0335974905068562,38.2,33,137,199.6,80,0.4775,201.114583333333,"unburned","medium",2020-07-20,68.1145833333321
"22",22,"MOOS",2020,"storm2","turb",0.168814183297811,13,47.4,89.8,89.8,81.5,0.159509202453988,179.052083333333,"unburned","medium",2020-06-28,46.0520833333321
"23",23,"MOOS",2020,"storm3","turb",0.0564379858060162,10,24,180.4,189.6,32,0.3125,199.114583333333,"unburned","medium",2020-07-18,66.1145833333321
"24",24,"MOOS",2020,"storm4","turb",-0.369898618702911,38.2,33,137,199.6,80,0.4775,201.114583333333,"unburned","medium",2020-07-20,68.1145833333321
"25",25,"MOOS",2020,"storm5","turb",-0.0828251134287903,5.8,43,144.6,242.6,59.75,0.097071129707113,207.739583333333,"unburned","medium",2020-07-26,74.7395833333321
"26",26,"MOOS",2020,"storm6a","turb",-0.404997748761821,6.4,17.8,154.4,257.2,26.75,0.239252336448598,213.489583333333,"unburned","medium",2020-08-01,80.4895833333321
"27",27,"MOOS",2020,"storm6b","turb",-0.578372692126066,13,20.6,160.4,263.2,67.75,0.191881918819188,214.78125,"unburned","medium",2020-08-02,81.78125
"28",28,"MOOS",2020,"storm7a","turb",-0.107372813990462,24,14.6,112,277.6,68.75,0.349090909090909,221.072916666667,"unburned","medium",2020-08-09,88.0729166666679
"29",29,"MOOS",2020,"storm7b","turb",-0.217674736932158,4.4,28,133.4,304,46.25,0.0951351351351351,224.010416666667,"unburned","medium",2020-08-12,91.0104166666679
"30",30,"MOOS",2020,"storm9","turb",-0.330278891859775,2.8,15.8,42,342.8,101,0.0277227722772277,251.979166666667,"unburned","medium",2020-09-08,118.979166666668
"31",31,"FRCH",2020,"storm1","NO3",0.109272846514869,18,0.2,0.2,0.2,121.5,0.148148148148148,164.114583333333,"unburned","medium",2020-06-13,31.1145833333321
"32",32,"FRCH",2020,"storm10a","NO3",0.540129075325187,23.8,14.6,112,295.2,63.5,0.374803149606299,221.072916666667,"unburned","medium",2020-08-09,88.0729166666679
"33",33,"FRCH",2020,"storm10b","NO3",-0.371930431662045,3.6,28.2,133.6,321.8,113.5,0.0317180616740088,224.03125,"unburned","medium",2020-08-12,91.03125
"34",34,"FRCH",2020,"storm11","NO3",0.65005861664714,6,1.4,71.4,325.6,22.5,0.266666666666667,232.072916666667,"unburned","medium",2020-08-20,99.0729166666679
"35",35,"FRCH",2020,"storm12","NO3",0.547566371681443,6.6,7.4,55.4,333,16.5,0.4,249.40625,"unburned","medium",2020-09-06,116.40625
"36",36,"FRCH",2020,"storm2","NO3",0.823155665372427,0,NA,NA,NA,NA,NA,NA,"unburned","medium",NA,NA
"37",37,"FRCH",2020,"storm3a","NO3",0.166661559097327,40.6,26.6,26.8,26.8,39.5,1.02784810126582,170.989583333333,"unburned","medium",2020-06-19,37.9895833333321
"38",38,"FRCH",2020,"storm3b","NO3",-0.473135898369543,39.4,50.6,68.2,68.2,107.5,0.366511627906977,172.65625,"unburned","medium",2020-06-21,39.65625
"39",39,"FRCH",2020,"storm3c","NO3",-0.0373765867418444,0,82.8,107.4,107.4,39.5,0,177.15625,"unburned","medium",2020-06-26,44.15625
"40",40,"FRCH",2020,"storm4a","NO3",0.199046136062027,52,2.4,121.8,121.8,46.5,1.11827956989247,188.15625,"unburned","medium",2020-07-07,55.15625
"41",41,"FRCH",2020,"storm4b","NO3",-0.344047811339044,9.2,53.8,174.2,174.2,50.5,0.182178217821782,190.15625,"unburned","medium",2020-07-09,57.15625
"42",42,"FRCH",2020,"storm5","NO3",0.000626191124421305,3.4,19,173.2,191.4,6.5,0.523076923076923,196.90625,"unburned","medium",2020-07-15,63.90625
"43",43,"FRCH",2020,"storm6","NO3",0.43371289141925,10,24,180.4,207.2,25.5,0.392156862745098,199.114583333333,"unburned","medium",2020-07-18,66.1145833333321
"44",44,"FRCH",2020,"storm7","NO3",0.596417266972271,38.2,33,137.6,217.2,84.5,0.45207100591716,201.072916666667,"unburned","medium",2020-07-20,68.0729166666679
"45",45,"FRCH",2020,"storm8","NO3",-0.0618028067650239,9,39.8,149.6,257,95.5,0.0942408376963351,206.989583333333,"unburned","medium",2020-07-25,73.9895833333321
