"","DateTime","Site","Discharge","fDOM","NO3","SpCond","Turb","day"
"1",2018-09-20 23:01:00,"CARI",471.36,44.52,NA,72.73,-1.06,2018-09-20
"2",2018-09-20 23:02:00,"CARI",464.86,44.52,NA,72.74,-1.06,2018-09-20
"3",2018-09-20 23:03:00,"CARI",480.78,44.61,NA,72.71,-1.06,2018-09-20
"4",2018-09-20 23:04:00,"CARI",470.7,44.53,NA,72.71,-1.05,2018-09-20
"5",2018-09-20 23:05:00,"CARI",449.77,44.53,NA,72.52,-1.08,2018-09-20
"6",2018-09-20 23:06:00,"CARI",469.99,44.72,NA,72.68,-1.03,2018-09-20
"7",2018-09-20 23:07:00,"CARI",450.06,44.54,NA,72.68,-1.03,2018-09-20
"8",2018-09-20 23:08:00,"CARI",487.36,44.54,NA,72.64,-0.93,2018-09-20
"9",2018-09-20 23:09:00,"CARI",483.91,44.69,NA,72.65,-0.97,2018-09-20
"10",2018-09-20 23:10:00,"CARI",466.81,44.6,NA,72.65,-0.98,2018-09-20
"11",2018-09-20 23:11:00,"CARI",458.46,44.61,NA,72.89,-1.03,2018-09-20
"12",2018-09-20 23:12:00,"CARI",468.51,44.76,NA,72.67,-0.97,2018-09-20
"13",2018-09-20 23:13:00,"CARI",485.85,44.69,NA,72.67,-0.97,2018-09-20
"14",2018-09-20 23:14:00,"CARI",481.67,44.69,NA,72.74,-0.94,2018-09-20
"15",2018-09-20 23:15:00,"CARI",486.98,44.85,29.5,72.76,-0.95,2018-09-20
"16",2018-09-20 23:16:00,"CARI",468.68,44.72,NA,72.76,-0.95,2018-09-20
"17",2018-09-20 23:17:00,"CARI",471.71,44.72,NA,72.74,-0.91,2018-09-20
"18",2018-09-20 23:18:00,"CARI",469.38,44.85,NA,72.78,-0.93,2018-09-20
"19",2018-09-20 23:19:00,"CARI",468.4,44.73,NA,72.78,-0.92,2018-09-20
"20",2018-09-20 23:20:00,"CARI",461.39,44.73,NA,72.66,-0.86,2018-09-20
"21",2018-09-20 23:21:00,"CARI",469.38,44.84,NA,72.66,-0.86,2018-09-20
"22",2018-09-20 23:22:00,"CARI",466.46,44.76,NA,72.66,-0.86,2018-09-20
"23",2018-09-20 23:23:00,"CARI",478.82,44.76,NA,72.73,-0.86,2018-09-20
"24",2018-09-20 23:24:00,"CARI",474.4,44.82,NA,72.7,-0.88,2018-09-20
"25",2018-09-20 23:25:00,"CARI",465.83,44.61,NA,72.7,-0.89,2018-09-20
"26",2018-09-20 23:26:00,"CARI",456.08,44.61,NA,72.68,-0.83,2018-09-20
"27",2018-09-20 23:27:00,"CARI",466.46,44.82,NA,72.67,-0.86,2018-09-20
"28",2018-09-20 23:28:00,"CARI",470.63,44.76,NA,72.67,-0.85,2018-09-20
"29",2018-09-20 23:29:00,"CARI",487.79,44.76,NA,72.67,-0.85,2018-09-20
"30",2018-09-20 23:30:00,"CARI",485.8,44.79,29.4,72.75,-0.89,2018-09-20
"31",2018-09-20 23:31:00,"CARI",480.93,44.82,NA,72.75,-0.89,2018-09-20
"32",2018-09-20 23:32:00,"CARI",463.51,45.2,NA,72.66,-0.9,2018-09-20
"33",2018-09-20 23:33:00,"CARI",470.66,44.86,NA,72.57,-0.87,2018-09-20
"34",2018-09-20 23:34:00,"CARI",486.52,44.86,NA,72.57,-0.87,2018-09-20
"35",2018-09-20 23:35:00,"CARI",475.94,44.79,NA,72.5,-0.92,2018-09-20
"36",2018-09-20 23:36:00,"CARI",482.72,44.77,NA,72.51,-0.86,2018-09-20
"37",2018-09-20 23:37:00,"CARI",487.92,44.78,NA,72.51,-0.86,2018-09-20
"38",2018-09-20 23:38:00,"CARI",479.15,44.88,NA,72.52,-0.88,2018-09-20
"39",2018-09-20 23:39:00,"CARI",469.02,44.82,NA,72.54,-0.85,2018-09-20
"40",2018-09-20 23:40:00,"CARI",472.18,44.81,NA,72.54,-0.85,2018-09-20
"41",2018-09-20 23:41:00,"CARI",488.34,44.83,NA,72.36,-0.83,2018-09-20
"42",2018-09-20 23:42:00,"CARI",487.64,44.69,NA,72.85,-0.89,2018-09-20
