"","DateTime","MeanDischarge","Site","day","fDOM.QSU","nitrateuM","SpCond.uScm","Turbidity.FNU"
"1",2021-05-10 09:00:00,NA,"VAUL","2021-05-10",NA,17.07,NA,NA
"2",2021-05-10 09:15:00,NA,"VAUL","2021-05-10",NA,17.0438461538462,NA,NA
"3",2021-05-10 09:30:00,NA,"VAUL","2021-05-10",NA,16.89,NA,NA
"4",2021-05-10 09:45:00,NA,"VAUL","2021-05-10",NA,16.9792307692308,NA,NA
"5",2021-05-10 10:00:00,NA,"VAUL","2021-05-10",NA,16.7715384615385,NA,NA
"6",2021-05-10 10:15:00,NA,"VAUL","2021-05-10",NA,16.7853846153846,NA,NA
"7",2021-05-10 10:30:00,NA,"VAUL","2021-05-10",NA,16.7730769230769,NA,NA
"8",2021-05-10 10:45:00,NA,"VAUL","2021-05-10",NA,16.82,NA,NA
"9",2021-05-10 11:00:00,NA,"VAUL","2021-05-10",NA,16.8792307692308,NA,NA
"10",2021-05-10 11:15:00,NA,"VAUL","2021-05-10",NA,16.9115384615385,NA,NA
"11",2021-05-10 11:30:00,NA,"VAUL","2021-05-10",NA,16.9476923076923,NA,NA
"12",2021-05-10 11:45:00,NA,"VAUL","2021-05-10",NA,17.0746153846154,NA,NA
"13",2021-05-10 12:00:00,NA,"VAUL","2021-05-10",NA,16.9838461538462,NA,NA
"14",2021-05-10 12:15:00,NA,"VAUL","2021-05-10",NA,17.0153846153846,NA,NA
"15",2021-05-10 12:30:00,NA,"VAUL","2021-05-10",NA,17.1876923076923,NA,NA
"16",2021-05-10 12:45:00,NA,"VAUL","2021-05-10",NA,17.2469230769231,NA,NA
"17",2021-05-10 13:00:00,NA,"VAUL","2021-05-10",NA,17.3184615384615,NA,NA
"18",2021-05-10 13:15:00,NA,"VAUL","2021-05-10",NA,17.4515384615385,NA,NA
"19",2021-05-10 13:30:00,NA,"VAUL","2021-05-10",NA,17.3315384615385,NA,NA
"20",2021-05-10 13:45:00,NA,"VAUL","2021-05-10",NA,17.5446153846154,NA,NA
"21",2021-05-10 14:00:00,NA,"VAUL","2021-05-10",NA,17.5030769230769,NA,NA
"22",2021-05-10 14:15:00,NA,"VAUL","2021-05-10",NA,17.3884615384615,NA,NA
"23",2021-05-10 14:30:00,NA,"VAUL","2021-05-10",NA,17.4515384615385,NA,NA
"24",2021-05-10 14:45:00,NA,"VAUL","2021-05-10",NA,17.6076923076923,NA,NA
"25",2021-05-10 15:00:00,NA,"VAUL","2021-05-10",145.43,17.91,150.56,100.342
"26",2021-05-10 15:15:00,NA,"VAUL","2021-05-10",144.02,17.8930769230769,151.266666666667,107.413333333333
"27",2021-05-10 15:30:00,NA,"VAUL","2021-05-10",143.21,17.9684615384615,151.76,102.936
"28",2021-05-10 15:45:00,NA,"VAUL","2021-05-10",139.191666666667,18.23,152.333333333333,129.445
"29",2021-05-10 16:00:00,NA,"VAUL","2021-05-10",140.278,18.06,152.48,107.588
"30",2021-05-10 16:15:00,NA,"VAUL","2021-05-10",138.465,18.0453846153846,151.85,111.168333333333
"31",2021-05-10 16:30:00,NA,"VAUL","2021-05-10",137.254,18.0830769230769,152.08,113.458
"32",2021-05-10 16:45:00,NA,"VAUL","2021-05-10",137.153333333333,18.3169230769231,152.466666666667,107.593333333333
"33",2021-05-10 17:00:00,NA,"VAUL","2021-05-10",137.188,18.5946153846154,156.06,129.028
"34",2021-05-10 17:15:00,NA,"VAUL","2021-05-10",136.583333333333,18.4492307692308,159.15,117.108333333333
"35",2021-05-10 17:30:00,NA,"VAUL","2021-05-10",136.534,18.7046153846154,157.32,120.39
"36",2021-05-10 17:45:00,NA,"VAUL","2021-05-10",136.125,18.7261538461538,155.583333333333,102.676666666667
"37",2021-05-10 18:00:00,NA,"VAUL","2021-05-10",135.982,18.6915384615385,153.92,114.578
"38",2021-05-10 18:15:00,NA,"VAUL","2021-05-10",137.355,18.8492307692308,153.266666666667,104.323333333333
"39",2021-05-10 18:30:00,NA,"VAUL","2021-05-10",138.5,18.9169230769231,152.46,102.492
"40",2021-05-10 18:45:00,NA,"VAUL","2021-05-10",138.758333333333,18.8046153846154,151.9,103.716666666667
"41",2021-05-10 19:00:00,NA,"VAUL","2021-05-10",139.01,18.7915384615385,151.96,100.622
"42",2021-05-10 19:15:00,NA,"VAUL","2021-05-10",139.895,18.6738461538462,150.833333333333,105.766666666667
"43",2021-05-10 19:30:00,NA,"VAUL","2021-05-10",140.664,18.8784615384615,149.86,109.356
"44",2021-05-10 19:45:00,NA,"VAUL","2021-05-10",141.713333333333,19.2669230769231,149.066666666667,111.663333333333
"45",2021-05-10 20:00:00,NA,"VAUL","2021-05-10",142.526,19.0430769230769,148.48,97.772
"46",2021-05-10 20:15:00,NA,"VAUL","2021-05-10",143.678333333333,19.1415384615385,147.983333333333,86.0733333333333
"47",2021-05-10 20:30:00,NA,"VAUL","2021-05-10",145.016,18.9953846153846,147.34,105.254
"48",2021-05-10 20:45:00,NA,"VAUL","2021-05-10",145.918333333333,19.2823076923077,146.533333333333,89.7166666666667
"49",2021-05-10 21:00:00,NA,"VAUL","2021-05-10",147.474,19.5269230769231,145.86,96.118
"50",2021-05-10 21:15:00,NA,"VAUL","2021-05-10",148.815,19.3415384615385,145.066666666667,84.1533333333333
"51",2021-05-10 21:30:00,NA,"VAUL","2021-05-10",150.064,19.3046153846154,144.16,91.738
"52",2021-05-10 21:45:00,NA,"VAUL","2021-05-10",151.43,19.4030769230769,143.166666666667,85.5783333333333
"53",2021-05-10 22:00:00,NA,"VAUL","2021-05-10",152.902,19.6292307692308,142.34,83.3
"54",2021-05-10 22:15:00,NA,"VAUL","2021-05-10",154.255,19.6207692307692,141.783333333333,78.265
"55",2021-05-10 22:30:00,NA,"VAUL","2021-05-10",155.476,19.5907692307692,141.16,74.282
"56",2021-05-10 22:45:00,NA,"VAUL","2021-05-10",156.898333333333,19.8523076923077,140.266666666667,72.2416666666667
"57",2021-05-10 23:00:00,NA,"VAUL","2021-05-10",158.616,19.8338461538462,139.74,76.268
"58",2021-05-10 23:15:00,NA,"VAUL","2021-05-10",158.571666666667,19.7307692307692,139.183333333333,74.4533333333333
"59",2021-05-10 23:30:00,NA,"VAUL","2021-05-10",160.014,19.5461538461538,138.58,73.402
"60",2021-05-10 23:45:00,NA,"VAUL","2021-05-10",160.923333333333,19.8161538461538,137.866666666667,72.6783333333333
"61",2021-05-11 00:00:00,NA,"VAUL","2021-05-11",161.288,19.8530769230769,137.38,72.724
"62",2021-05-11 00:15:00,NA,"VAUL","2021-05-11",161.908333333333,19.6407692307692,136.95,79.1483333333333
"63",2021-05-11 00:30:00,NA,"VAUL","2021-05-11",163.76,19.8653846153846,136.88,65.886
"64",2021-05-11 00:45:00,NA,"VAUL","2021-05-11",165.346666666667,20.0315384615385,136.466666666667,73.8416666666667
"65",2021-05-11 01:00:00,NA,"VAUL","2021-05-11",166.446,19.9138461538462,135.74,67.32
"66",2021-05-11 01:15:00,NA,"VAUL","2021-05-11",166.526666666667,20.0576923076923,135.066666666667,60.15
"67",2021-05-11 01:30:00,NA,"VAUL","2021-05-11",167.758,19.8115384615385,133.78,59.646
"68",2021-05-11 01:45:00,NA,"VAUL","2021-05-11",168.651666666667,19.8207692307692,132.566666666667,53.2
"69",2021-05-11 02:00:00,NA,"VAUL","2021-05-11",169.892,19.4584615384615,131.7,57.698
"70",2021-05-11 02:15:00,NA,"VAUL","2021-05-11",170.533333333333,19.1638461538462,130.666666666667,64.5316666666667
"71",2021-05-11 02:30:00,NA,"VAUL","2021-05-11",171.136,19.2315384615385,130.38,53.072
"72",2021-05-11 02:45:00,NA,"VAUL","2021-05-11",173.463333333333,19.4423076923077,129.866666666667,50.9533333333333
"73",2021-05-11 03:00:00,NA,"VAUL","2021-05-11",174.612,19.4430769230769,129.18,58.726
"74",2021-05-11 03:15:00,NA,"VAUL","2021-05-11",175.966666666667,19.62,128.55,44.7983333333333
"75",2021-05-11 03:30:00,NA,"VAUL","2021-05-11",177.568,19.62,127.46,47.304
"76",2021-05-11 03:45:00,NA,"VAUL","2021-05-11",178.496666666667,19.4146153846154,126.6,46.7183333333333
"77",2021-05-11 04:00:00,NA,"VAUL","2021-05-11",180.98,19.5323076923077,126.04,43.44
"78",2021-05-11 04:15:00,NA,"VAUL","2021-05-11",182.218333333333,19.4538461538462,125.466666666667,44.785
"79",2021-05-11 04:30:00,NA,"VAUL","2021-05-11",183.752,19.3192307692308,124.98,41.826
"80",2021-05-11 04:45:00,NA,"VAUL","2021-05-11",184.861666666667,19.2192307692308,124.766666666667,40.735
"81",2021-05-11 05:00:00,NA,"VAUL","2021-05-11",185.41,19.3046153846154,124.28,38.81
"82",2021-05-11 05:15:00,NA,"VAUL","2021-05-11",186.41,19.2307692307692,123.883333333333,38.7583333333333
"83",2021-05-11 05:30:00,NA,"VAUL","2021-05-11",187.14,19.0507692307692,123.36,33.922
"84",2021-05-11 05:45:00,NA,"VAUL","2021-05-11",187.815,18.9992307692308,123.133333333333,40.4216666666667
"85",2021-05-11 06:00:00,NA,"VAUL","2021-05-11",187.416,18.7846153846154,123.08,38.18
"86",2021-05-11 06:15:00,NA,"VAUL","2021-05-11",189.415,18.7623076923077,122.85,35.0616666666667
