Site,DateTime,Q,day,fDOM.QSU,nitrateuM,SpCond.uScm,Turbidity.FNU
VAUL,2020-06-05T15:00:00Z,-9.681680769659579,2020-06-05T08:00:00Z,NA,NA,NA,NA
VAUL,2020-06-05T15:15:00Z,-2.6797045637504198,2020-06-05T08:00:00Z,NA,NA,NA,NA
VAUL,2020-06-05T15:30:00Z,0.8212835391168483,2020-06-05T08:00:00Z,NA,NA,NA,NA
VAUL,2020-06-05T15:45:00Z,2.57177759060869,2020-06-05T08:00:00Z,NA,NA,NA,NA
VAUL,2020-06-05T16:00:00Z,4.322271642100532,2020-06-05T08:00:00Z,NA,26.947142857142858,NA,NA
VAUL,2020-06-05T16:15:00Z,-13.182668872585054,2020-06-05T08:00:00Z,NA,31.413333333333334,NA,NA
VAUL,2020-06-05T16:30:00Z,-20.184645078494214,2020-06-05T08:00:00Z,NA,27.025714285714287,NA,NA
VAUL,2020-06-05T16:45:00Z,-23.68563318136148,2020-06-05T08:00:00Z,NA,31.38,NA,NA
VAUL,2020-06-05T17:00:00Z,-16.68365697551053,2020-06-05T08:00:00Z,NA,27.017142857142858,NA,NA
VAUL,2020-06-05T17:15:00Z,-11.43217482115142,2020-06-05T08:00:00Z,NA,31.566666666666666,NA,NA
VAUL,2020-06-05T17:30:00Z,-2.6797045637504198,2020-06-05T08:00:00Z,NA,27.07,NA,NA
VAUL,2020-06-05T17:45:00Z,-0.9292105123167858,2020-06-05T08:00:00Z,NA,31.668333333333333,NA,NA
VAUL,2020-06-05T18:00:00Z,0.8212835391168483,2020-06-05T08:00:00Z,NA,27.137142857142855,NA,NA
VAUL,2020-06-05T18:15:00Z,-2.6797045637504198,2020-06-05T08:00:00Z,NA,31.918333333333333,NA,NA
VAUL,2020-06-05T18:30:00Z,-0.9292105123167858,2020-06-05T08:00:00Z,NA,27.197142857142858,NA,NA
VAUL,2020-06-05T18:45:00Z,-0.9292105123167858,2020-06-05T08:00:00Z,NA,31.776666666666667,NA,NA
VAUL,2020-06-05T19:00:00Z,2.57177759060869,2020-06-05T08:00:00Z,NA,27.27285714285714,NA,NA
VAUL,2020-06-05T19:15:00Z,-0.9292105123167858,2020-06-05T08:00:00Z,NA,31.86,NA,NA
VAUL,2020-06-05T19:30:00Z,-0.9292105123167858,2020-06-05T08:00:00Z,NA,27.37,NA,NA
VAUL,2020-06-05T19:45:00Z,-14.933162924018688,2020-06-05T08:00:00Z,NA,32.00833333333333,NA,NA
