"","X.x","site.ID.x","year","storm.num","response.x","HI.x","precip","precip.week","precip.month","ThreeMonth","TOTAL.TIME","Intensity","doy","burn","pf","X.y","column_label","HI.y","Q_interval","storm.ID","site.ID.y","month","day","response.y"
"1",1,"MOOS","2019","storm1","NO3",-0.185300187977656,14.2,43.2,43.2,43.2,175.25,0.0810271041369472,172,"burned","medium","Interpolated HI for 2% discharge...1",1,0.00268610533709217,2,"MOOS_storm1_06_01_NO3","MOOS",6,1,"NO3"
"2",1,"MOOS","2019","storm1","NO3",-0.185300187977656,14.2,43.2,43.2,43.2,175.25,0.0810271041369472,172,"burned","medium","Interpolated HI for 4% discharge...2",1,0.0449392699741516,4,"MOOS_storm1_06_01_NO3","MOOS",6,1,"NO3"
"3",1,"MOOS","2019","storm1","NO3",-0.185300187977656,14.2,43.2,43.2,43.2,175.25,0.0810271041369472,172,"burned","medium","Interpolated HI for 6% discharge...3",1,0.00609989527669438,6,"MOOS_storm1_06_01_NO3","MOOS",6,1,"NO3"
"4",1,"MOOS","2019","storm1","NO3",-0.185300187977656,14.2,43.2,43.2,43.2,175.25,0.0810271041369472,172,"burned","medium","Interpolated HI for 8% discharge...4",1,0.00691300372384693,8,"MOOS_storm1_06_01_NO3","MOOS",6,1,"NO3"
"5",1,"MOOS","2019","storm1","NO3",-0.185300187977656,14.2,43.2,43.2,43.2,175.25,0.0810271041369472,172,"burned","medium","Interpolated HI for 10% discharge...5",1,0.00795707293614424,10,"MOOS_storm1_06_01_NO3","MOOS",6,1,"NO3"
"6",1,"MOOS","2019","storm1","NO3",-0.185300187977656,14.2,43.2,43.2,43.2,175.25,0.0810271041369472,172,"burned","medium","Interpolated HI for 12% discharge...6",1,0.00488497837511176,12,"MOOS_storm1_06_01_NO3","MOOS",6,1,"NO3"
"7",1,"MOOS","2019","storm1","NO3",-0.185300187977656,14.2,43.2,43.2,43.2,175.25,0.0810271041369472,172,"burned","medium","Interpolated HI for 14% discharge...7",1,-0.00483752068364363,14,"MOOS_storm1_06_01_NO3","MOOS",6,1,"NO3"
"8",1,"MOOS","2019","storm1","NO3",-0.185300187977656,14.2,43.2,43.2,43.2,175.25,0.0810271041369472,172,"burned","medium","Interpolated HI for 16% discharge...8",1,-0.0442938453701857,16,"MOOS_storm1_06_01_NO3","MOOS",6,1,"NO3"
"9",1,"MOOS","2019","storm1","NO3",-0.185300187977656,14.2,43.2,43.2,43.2,175.25,0.0810271041369472,172,"burned","medium","Interpolated HI for 18% discharge...9",1,-0.356552347867591,18,"MOOS_storm1_06_01_NO3","MOOS",6,1,"NO3"
"10",1,"MOOS","2019","storm1","NO3",-0.185300187977656,14.2,43.2,43.2,43.2,175.25,0.0810271041369472,172,"burned","medium","Interpolated HI for 20% discharge...10",1,-0.365135862331113,20,"MOOS_storm1_06_01_NO3","MOOS",6,1,"NO3"
