"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","month","day","response","date","doy"
"Interpolated HI for 46% discharge...3273","66",0.465909090909093,46,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 48% discharge...3274","66",0.454545454545455,48,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 50% discharge...3275","66",0.454545454545455,50,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 52% discharge...3276","66",0.238636363636365,52,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 54% discharge...3277","66",0.44318181818182,54,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 56% discharge...3278","66",0.113636363636364,56,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 58% discharge...3279","66",-0.0909090909090908,58,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 60% discharge...3280","66",-0.159090909090908,60,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 62% discharge...3281","66",-0.215909090909092,62,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 64% discharge...3282","66",-0.249999999999999,64,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 66% discharge...3283","66",-0.193181818181819,66,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 68% discharge...3284","66",-0.340909090909092,68,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 70% discharge...3285","66",-0.340909090909092,70,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 72% discharge...3286","66",-0.329545454545456,72,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 74% discharge...3287","66",-0.352272727272729,74,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 76% discharge...3288","66",-0.397727272727272,76,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 78% discharge...3289","66",-0.431818181818182,78,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 80% discharge...3290","66",-0.386363636363636,80,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 82% discharge...3291","66",0.0681818181818176,82,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 84% discharge...3292","66",0.0340909090909088,84,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 86% discharge...3293","66",0.0340909090909072,86,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 88% discharge...3294","66",0.0340909090909072,88,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 90% discharge...3295","66",0.0340909090909072,90,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 92% discharge...3296","66",0.045454545454543,92,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 94% discharge...3297","66",0.522727272727271,94,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 96% discharge...3298","66",0.511363636363636,96,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 98% discharge...3299","66",0.511363636363636,98,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 100% discharge...3300","66",0.511363636363636,100,"POKE_storm16_08_12_SPC","POKE","storm16","08","12","SPC",2021-08-12,224
"Interpolated HI for 2% discharge...3301","67",-0.014752821515295,2,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 4% discharge...3302","67",-0.019983506162281,4,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 6% discharge...3303","67",-0.0413185906931993,6,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 8% discharge...3304","67",-0.0379510988255777,8,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 10% discharge...3305","67",-0.0407458879946242,10,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 12% discharge...3306","67",-0.0625849509002886,12,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 14% discharge...3307","67",-0.0650284824142091,14,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 16% discharge...3308","67",-0.0813695994135524,16,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 18% discharge...3309","67",-0.0796896714977321,18,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 20% discharge...3310","67",-0.0849585363246231,20,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 22% discharge...3311","67",-0.0871729867591136,22,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 24% discharge...3312","67",-0.0975579956932757,24,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 26% discharge...3313","67",-0.0975579956932757,26,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 28% discharge...3314","67",-0.103895905557507,28,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 30% discharge...3315","67",-0.112295545136609,30,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 32% discharge...3316","67",-0.108019364987248,32,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 34% discharge...3317","67",-0.223018066861131,34,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 36% discharge...3318","67",-0.139403472869164,36,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 38% discharge...3319","67",-0.251118679271217,38,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 40% discharge...3320","67",-0.222636265062081,40,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 42% discharge...3321","67",-0.538920875395165,42,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 44% discharge...3322","67",-0.874601017119993,44,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 46% discharge...3323","67",-0.673315108660792,46,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 48% discharge...3324","67",-0.648421631362727,48,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 50% discharge...3325","67",-0.857649017242169,50,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 52% discharge...3326","67",-0.525557812428412,52,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 54% discharge...3327","67",-0.622077307228271,54,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 56% discharge...3328","67",-0.0923654912261946,56,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 58% discharge...3329","67",-0.0266192214297714,58,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 60% discharge...3330","67",-0.000358893691107073,60,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 62% discharge...3331","67",0.000649063058385128,62,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 64% discharge...3332","67",-0.00514668825119503,64,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 66% discharge...3333","67",-0.00584156752546618,66,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 68% discharge...3334","67",-0.00460452969654394,68,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 70% discharge...3335","67",-0.010079567494922,70,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 72% discharge...3336","67",-0.0129965332396646,72,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 74% discharge...3337","67",-0.0116984071228944,74,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 76% discharge...3338","67",-0.0412040501534843,76,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 78% discharge...3339","67",-0.0332014844453947,78,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 80% discharge...3340","67",-0.0317048213931184,80,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 82% discharge...3341","67",-0.0202507674216161,82,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 84% discharge...3342","67",-0.0225186701079736,84,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 86% discharge...3343","67",0.024977473693856,86,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 88% discharge...3344","67",0.0260312466592342,88,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 90% discharge...3345","67",0.0143481116083019,90,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 92% discharge...3346","67",0.0225873944318024,92,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 94% discharge...3347","67",0.0314222880618214,94,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 96% discharge...3348","67",-0.00487179095587899,96,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 98% discharge...3349","67",-0.00487179095587899,98,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 100% discharge...3350","67",-0.00487179095587899,100,"POKE_storm16_08_12_turb","POKE","storm16","08","12","turb",2021-08-12,224
"Interpolated HI for 2% discharge...3351","68",-0.433014354066985,2,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 4% discharge...3352","68",-0.314593301435406,4,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 6% discharge...3353","68",-0.863636363636363,6,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 8% discharge...3354","68",-0.808612440191387,8,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 10% discharge...3355","68",-0.302631578947368,10,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 12% discharge...3356","68",-0.55023923444976,12,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 14% discharge...3357","68",-0.284688995215311,14,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 16% discharge...3358","68",-0.252392344497608,16,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 18% discharge...3359","68",-0.291866028708133,18,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 20% discharge...3360","68",-0.387559808612439,20,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 22% discharge...3361","68",-0.627990430622008,22,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 24% discharge...3362","68",-0.662679425837319,24,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 26% discharge...3363","68",-0.662679425837319,26,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 28% discharge...3364","68",-0.714114832535883,28,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 30% discharge...3365","68",-0.72248803827751,30,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 32% discharge...3366","68",-0.752392344497607,32,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 34% discharge...3367","68",-0.733253588516746,34,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 36% discharge...3368","68",-0.733253588516746,36,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 38% discharge...3369","68",-0.741626794258372,38,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 40% discharge...3370","68",-0.681818181818182,40,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 42% discharge...3371","68",-0.700956937799042,42,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 44% discharge...3372","68",-0.643540669856458,44,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 46% discharge...3373","68",-0.614832535885167,46,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 48% discharge...3374","68",-0.59090909090909,48,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 50% discharge...3375","68",-0.669856459330143,50,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 52% discharge...3376","68",-0.641148325358851,52,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
"Interpolated HI for 54% discharge...3377","68",-0.63157894736842,54,"POKE_storm17_08_23_fDOM","POKE","storm17","08","23","fDOM",2021-08-23,235
