"","X1","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","month","day","response","date","doy","year"
"1","Interpolated HI for 2% discharge...1",1,0.00266183986373429,2,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"2","Interpolated HI for 4% discharge...2",1,-0.106793015332163,4,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"3","Interpolated HI for 6% discharge...3",1,-0.279280238500831,6,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"4","Interpolated HI for 8% discharge...4",1,-0.25883730834751,8,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"5","Interpolated HI for 10% discharge...5",1,-0.466247870528123,10,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"6","Interpolated HI for 12% discharge...6",1,-0.56803662691653,12,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"7","Interpolated HI for 14% discharge...7",1,-0.56803662691653,14,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"8","Interpolated HI for 16% discharge...8",1,-0.59699744463372,16,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"9","Interpolated HI for 18% discharge...9",1,-0.642568143100541,18,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"10","Interpolated HI for 20% discharge...10",1,-0.634050255536619,20,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"11","Interpolated HI for 22% discharge...11",1,-0.68643526405457,22,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"12","Interpolated HI for 24% discharge...12",1,-0.694101362862008,24,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"13","Interpolated HI for 26% discharge...13",1,-0.717951448040923,26,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"14","Interpolated HI for 28% discharge...14",1,-0.758837308347571,28,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"15","Interpolated HI for 30% discharge...15",1,-0.782687393526487,30,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"16","Interpolated HI for 32% discharge...16",1,-0.782687393526487,32,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"17","Interpolated HI for 34% discharge...17",1,-0.769910562180657,34,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"18","Interpolated HI for 36% discharge...18",1,-0.823999148211288,36,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"19","Interpolated HI for 38% discharge...19",1,-0.838905451448068,38,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"20","Interpolated HI for 40% discharge...20",1,-0.838905451448068,40,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"21","Interpolated HI for 42% discharge...21",1,-0.838905451448068,42,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"22","Interpolated HI for 44% discharge...22",1,-0.850138415672981,44,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"23","Interpolated HI for 46% discharge...23",1,-0.762750212947231,46,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
"24","Interpolated HI for 48% discharge...24",1,-0.767461669506066,48,"POKE_storm1_06_09_NO3","POKE","storm1","06","09","NO3",2021-06-09,160,2020
