"","Site","DateTime","Q","day","fDOM.QSU","nitrateuM","SpCond.uScm","Turbidity.FNU","MeanDischarge"
"1","STRT",2020-06-23 04:30:00,5090.92215247953,2020-06-23 08:00:00,124.486363636364,26.935,66.6818181818182,44.7963636363636,5090.92215247953
"2","STRT",2020-06-23 04:45:00,5097.78579843818,2020-06-23 08:00:00,122.903636363636,26.9607142857143,66.7,48.2390909090909,5097.78579843818
"3","STRT",2020-06-23 05:00:00,5064.7755119775,2020-06-23 08:00:00,122.445454545455,26.9664285714286,66.7818181818182,48.91,5064.7755119775
"4","STRT",2020-06-23 05:15:00,5082.10501256573,2020-06-23 08:00:00,123.652727272727,27.0228571428571,66.7,48.7272727272727,5082.10501256573
"5","STRT",2020-06-23 05:30:00,5074.93658736785,2020-06-23 08:00:00,123.078181818182,27.0892857142857,66.7727272727273,45.4136363636364,5074.93658736785
"6","STRT",2020-06-23 05:45:00,5112.08665669017,2020-06-23 08:00:00,123.096363636364,27.0757142857143,66.7636363636364,44.2581818181818,5112.08665669017
"7","STRT",2020-06-23 06:00:00,5075.20537446317,2020-06-23 08:00:00,123.609090909091,27.1178571428571,66.8727272727273,48.5245454545455,5075.20537446317
"8","STRT",2020-06-23 06:15:00,5149.73830805911,2020-06-23 08:00:00,123.148181818182,27.1685714285714,66.7727272727273,49.0209090909091,5149.73830805911
"9","STRT",2020-06-23 06:30:00,5115.11529902642,2020-06-23 08:00:00,122.890909090909,27.1835714285714,66.9,46.8518181818182,5115.11529902642
"10","STRT",2020-06-23 06:45:00,5096.94344500831,2020-06-23 08:00:00,121.800909090909,27.2178571428571,66.8636363636364,52.1690909090909,5096.94344500831
"11","STRT",2020-06-23 07:00:00,5105.22301073134,2020-06-23 08:00:00,121.430909090909,27.2385714285714,66.8727272727273,58.6263636363636,5105.22301073134
"12","STRT",2020-06-23 07:15:00,5122.55251131958,2020-06-23 08:00:00,122.459090909091,27.2971428571429,66.8727272727273,53.2281818181818,5122.55251131958
"13","STRT",2020-06-23 07:30:00,5110.16915487888,2020-06-23 08:00:00,121.728181818182,27.3114285714286,67,45.7736363636364,5110.16915487888
"14","STRT",2020-06-23 07:45:00,5096.67465791298,2020-06-23 08:00:00,122.539090909091,27.4,66.8818181818182,45.0872727272727,5096.67465791298
"15","STRT",2020-06-23 08:00:00,5112.89301797608,2020-06-23 08:00:00,122.259090909091,27.4114285714286,66.9727272727273,43.3990909090909,5112.89301797608
"16","STRT",2020-06-23 08:15:00,5136.01101614174,2020-06-23 08:00:00,121.562727272727,27.4321428571429,66.9545454545455,48.8554545454545,5136.01101614174
