"","Site","DateTime","MeanDischarge","poke.fdom.1","fDOM.RFU","poke.no3.1","nitrateuM"
"1647","POKE",2020-06-21 08:15:00,1668.96361975675,"2020-06-21 08:15:00",86.3,"2020-06-21 08:15:00",25.706875
"1648","POKE",2020-06-21 08:30:00,1693.25649153756,"2020-06-21 08:30:00",86.7,"2020-06-21 08:30:00",25.72125
"1649","POKE",2020-06-21 08:45:00,1692.80605360284,"2020-06-21 08:45:00",87.1,"2020-06-21 08:45:00",25.695625
"1650","POKE",2020-06-21 09:00:00,1706.6233463441,"2020-06-21 09:00:00",86.7,"2020-06-21 09:00:00",25.840625
"1651","POKE",2020-06-21 09:15:00,1723.41917811084,"2020-06-21 09:15:00",87,"2020-06-21 09:15:00",25.7875
"1652","POKE",2020-06-21 09:30:00,1740.57818455365,"2020-06-21 09:30:00",87.4,"2020-06-21 09:30:00",25.756875
"1653","POKE",2020-06-21 09:45:00,1774.89619743929,"2020-06-21 09:45:00",87.3,"2020-06-21 09:45:00",25.77375
"1654","POKE",2020-06-21 10:00:00,1779.95239962102,"2020-06-21 10:00:00",87.1,"2020-06-21 10:00:00",25.775625
"1655","POKE",2020-06-21 10:15:00,1810.92869880499,"2020-06-21 10:15:00",87.1,"2020-06-21 10:15:00",25.86
"1656","POKE",2020-06-21 10:30:00,1813.00636196119,"2020-06-21 10:30:00",86.4,"2020-06-21 10:30:00",25.9125
"1657","POKE",2020-06-21 10:45:00,1830.61580633878,"2020-06-21 10:45:00",85.7,"2020-06-21 10:45:00",25.866875
"1658","POKE",2020-06-21 11:00:00,1840.64094744361,"2020-06-21 11:00:00",85.8,"2020-06-21 11:00:00",25.8275
"1659","POKE",2020-06-21 11:15:00,1852.83101496333,"2020-06-21 11:15:00",85.9,"2020-06-21 11:15:00",25.885625
"1660","POKE",2020-06-21 11:30:00,1856.53590334102,"2020-06-21 11:30:00",85.7,"2020-06-21 11:30:00",25.959375
"1661","POKE",2020-06-21 11:45:00,1867.46192031523,"2020-06-21 11:45:00",85.3,"2020-06-21 11:45:00",26.020625
