"","Site","DateTime","MeanDischarge","poke.fdom.1","fDOM.RFU","poke.no3.1","nitrateuM"
"9179","POKE",2020-09-07 19:15:00,1280.42395449855,"2020-09-07 19:15:00",63.56,"2020-09-07 19:15:00",27.5373333333333
"9180","POKE",2020-09-07 19:30:00,1282.50161765481,"2020-09-07 19:30:00",63.72,"2020-09-07 19:30:00",27.5493333333333
"9181","POKE",2020-09-07 19:45:00,1270.39881339372,"2020-09-07 19:45:00",63.82,"2020-09-07 19:45:00",27.62
"9182","POKE",2020-09-07 20:00:00,1286.29376929114,"2020-09-07 20:00:00",63.99,"2020-09-07 20:00:00",27.6206666666667
"9183","POKE",2020-09-07 20:15:00,1294.24124723981,"2020-09-07 20:15:00",63.86,"2020-09-07 20:15:00",27.596
"9184","POKE",2020-09-07 20:30:00,1298.84701148683,"2020-09-07 20:30:00",63.72,"2020-09-07 20:30:00",27.654
"9185","POKE",2020-09-07 20:45:00,1304.7168262793,"2020-09-07 20:45:00",63.83,"2020-09-07 20:45:00",27.6786666666667
"9186","POKE",2020-09-07 21:00:00,1315.19240531896,"2020-09-07 21:00:00",63.83,"2020-09-07 21:00:00",27.664
"9187","POKE",2020-09-07 21:15:00,1312.66430422809,"2020-09-07 21:15:00",63.88,"2020-09-07 21:15:00",27.662
"9188","POKE",2020-09-07 21:30:00,1323.13988326764,"2020-09-07 21:30:00",63.94,"2020-09-07 21:30:00",27.632
"9189","POKE",2020-09-07 21:45:00,1339.48527709959,"2020-09-07 21:45:00",63.88,"2020-09-07 21:45:00",27.6033333333333
"9190","POKE",2020-09-07 22:00:00,1345.80552982684,"2020-09-07 22:00:00",63.62,"2020-09-07 22:00:00",27.6573333333333
"9191","POKE",2020-09-07 22:15:00,1360.88687311352,"2020-09-07 22:15:00",63.56,"2020-09-07 22:15:00",27.5873333333333
"9192","POKE",2020-09-07 22:30:00,1360.88687311352,"2020-09-07 22:30:00",63.61,"2020-09-07 22:30:00",27.5653333333333
"9193","POKE",2020-09-07 22:45:00,1387.25740805047,"2020-09-07 22:45:00",63.38,"2020-09-07 22:45:00",27.492
"9194","POKE",2020-09-07 23:00:00,1401.07470079162,"2020-09-07 23:00:00",63.26,"2020-09-07 23:00:00",27.4653333333333
"9195","POKE",2020-09-07 23:15:00,1411.55027983122,"2020-09-07 23:15:00",63.24,"2020-09-07 23:15:00",27.4493333333333
"9196","POKE",2020-09-07 23:30:00,1417.42009462375,"2020-09-07 23:30:00",63.13,"2020-09-07 23:30:00",27.4606666666667
"9197","POKE",2020-09-07 23:45:00,1431.23738736485,"2020-09-07 23:45:00",62.89,"2020-09-07 23:45:00",27.4026666666667
"9198","POKE",2020-09-08 00:00:00,1434.21592639043,"2020-09-08 00:00:00",62.63,"2020-09-08 00:00:00",27.3386666666667
"9199","POKE",2020-09-08 00:15:00,1456.79430969106,"2020-09-08 00:15:00",62.39,"2020-09-08 00:15:00",27.316
"9200","POKE",2020-09-08 00:30:00,1473.50287819933,"2020-09-08 00:30:00",62.27,"2020-09-08 00:30:00",27.3113333333333
"9201","POKE",2020-09-08 00:45:00,1471.51247830165,"2020-09-08 00:45:00",62.39,"2020-09-08 00:45:00",27.2766666666667
"9202","POKE",2020-09-08 01:00:00,1489.48509735521,"2020-09-08 01:00:00",62.21,"2020-09-08 01:00:00",27.2353333333333
