"","Site","DateTime","Q","day","fDOM.QSU","nitrateuM","SpCond.uScm","Turbidity.FNU","MeanDischarge"
"35","STRT",2020-08-09 22:00:00,1362.53100769431,2020-08-09 08:00:00,66.9990909090909,30.8064285714286,112.363636363636,7.22272727272727,1362.53100769431
"36","STRT",2020-08-09 22:15:00,1357.85365064215,2020-08-09 08:00:00,66.9390909090909,30.8007142857143,112.327272727273,7.54272727272727,1357.85365064215
"37","STRT",2020-08-09 22:30:00,1351.5275788742,2020-08-09 08:00:00,66.9609090909091,30.78,112.309090909091,7.41,1351.5275788742
"38","STRT",2020-08-09 22:45:00,1365.29086293542,2020-08-09 08:00:00,67.1081818181818,30.75,112.272727272727,7.64818181818182,1365.29086293542
"39","STRT",2020-08-09 23:00:00,1365.55965003069,2020-08-09 08:00:00,67.2263636363636,30.7564285714286,112.281818181818,7.19454545454545,1365.55965003069
"40","STRT",2020-08-09 23:15:00,1361.15108007379,2020-08-09 08:00:00,67.2763636363636,30.7285714285714,112.263636363636,7.84636363636364,1361.15108007379
"41","STRT",2020-08-09 23:30:00,1384.26907823945,2020-08-09 08:00:00,67.4036363636364,30.685,112.245454545455,7.78727272727273,1384.26907823945
"42","STRT",2020-08-09 23:45:00,1375.45193832577,2020-08-09 08:00:00,67.5,30.645,112.254545454545,8.04636363636364,1375.45193832577
"43","STRT",2020-08-10 00:00:00,1385.64900585997,2020-08-10 08:00:00,67.6590909090909,30.6185714285714,112.190909090909,7.74,1385.64900585997
"44","STRT",2020-08-10 00:15:00,1395.27250705962,2020-08-10 08:00:00,67.7090909090909,30.5821428571429,112.2,8.14909090909091,1395.27250705962
"45","STRT",2020-08-10 00:30:00,1395.0037199643,2020-08-10 08:00:00,67.7736363636364,30.5414285714286,112.263636363636,8.16909090909091,1395.0037199643
"46","STRT",2020-08-10 00:45:00,1400.21865120716,2020-08-10 08:00:00,68.06,30.5064285714286,112.272727272727,8.10272727272727,1400.21865120716
"47","STRT",2020-08-10 01:00:00,1400.48743830255,2020-08-10 08:00:00,68.0818181818182,30.4957142857143,112.254545454545,7.90090909090909,1400.48743830255
"48","STRT",2020-08-10 01:15:00,1404.89600825938,2020-08-10 08:00:00,68.21,30.4814285714286,112.254545454545,8.69181818181818,1404.89600825938
"49","STRT",2020-08-10 01:30:00,1425.82771751855,2020-08-10 08:00:00,68.5590909090909,30.4364285714286,112.172727272727,7.91545454545455,1425.82771751855
"50","STRT",2020-08-10 01:45:00,1426.63407880446,2020-08-10 08:00:00,68.7945454545455,30.3771428571429,112.163636363636,8.22545454545455,1426.63407880446
"51","STRT",2020-08-10 02:00:00,1421.68793465692,2020-08-10 08:00:00,68.9109090909091,30.3428571428571,112.172727272727,8.42636363636364,1421.68793465692
"52","STRT",2020-08-10 02:15:00,1445.34350701323,2020-08-10 08:00:00,69.2236363636364,30.2807142857143,112.154545454545,8.21454545454545,1445.34350701323
"53","STRT",2020-08-10 02:30:00,1444.80593282258,2020-08-10 08:00:00,69.3181818181818,30.2471428571429,112.081818181818,8.44636363636364,1444.80593282258
"54","STRT",2020-08-10 02:45:00,1454.16064692696,2020-08-10 08:00:00,69.4381818181818,30.2071428571429,112.1,8.30363636363636,1454.16064692696
"55","STRT",2020-08-10 03:00:00,1449.4832898748,2020-08-10 08:00:00,69.58,30.1821428571429,112.118181818182,8.87090909090909,1449.4832898748
"56","STRT",2020-08-10 03:15:00,1449.75207697012,2020-08-10 08:00:00,69.7090909090909,30.1464285714286,112.081818181818,8.89636363636364,1449.75207697012
"57","STRT",2020-08-10 03:30:00,1436.25758000423,2020-08-10 08:00:00,69.8918181818182,30.0857142857143,112.081818181818,8.62272727272727,1436.25758000423
"58","STRT",2020-08-10 03:45:00,1436.25758000423,2020-08-10 08:00:00,70.3163636363636,30.0428571428571,112.081818181818,8.57363636363636,1436.25758000423
"59","STRT",2020-08-10 04:00:00,1459.37557816989,2020-08-10 08:00:00,70.2490909090909,29.985,112.1,8.31272727272727,1459.37557816989
"60","STRT",2020-08-10 04:15:00,1461.59785922006,2020-08-10 08:00:00,70.4945454545455,29.925,112.172727272727,9.09545454545455,1461.59785922006
"61","STRT",2020-08-10 04:30:00,1471.49014751514,2020-08-10 08:00:00,70.5981818181818,29.8864285714286,112.254545454545,8.96090909090909,1471.49014751514
"62","STRT",2020-08-10 04:45:00,1476.70507875807,2020-08-10 08:00:00,70.7481818181818,29.7964285714286,112.272727272727,9.23727272727273,1476.70507875807
"63","STRT",2020-08-10 05:00:00,1478.08500637847,2020-08-10 08:00:00,70.8627272727273,29.7278571428571,112.290909090909,8.97,1478.08500637847
"64","STRT",2020-08-10 05:15:00,1485.52221867174,2020-08-10 08:00:00,70.9627272727273,29.6571428571429,112.3,8.83,1485.52221867174
"65","STRT",2020-08-10 05:30:00,1485.79100576707,2020-08-10 08:00:00,71.1863636363636,29.5935714285714,112.372727272727,9.65363636363636,1485.79100576707
"66","STRT",2020-08-10 05:45:00,1469.53665356024,2020-08-10 08:00:00,71.4227272727273,29.5478571428571,112.354545454545,8.88818181818182,1469.53665356024
