"","Site","DateTime","MeanDischarge","day","fDOM.QSU","nitrateuM","SpCond.uScm","Turbidity.FNU"
"1","MOOS",2020-08-09 02:45:00,902.03625122254,2020-08-09,132.393636363636,25.545,101.181818181818,28.8972727272727
"2","MOOS",2020-08-09 03:00:00,901.294689827293,2020-08-09,132.678181818182,25.5691666666667,101.163636363636,25.8763636363636
"3","MOOS",2020-08-09 03:15:00,903.554323283373,2020-08-09,132.86,25.5616666666667,101.163636363636,29.0145454545455
"4","MOOS",2020-08-09 03:30:00,900.518179161751,2020-08-09,132.991818181818,25.59,101.127272727273,26.0163636363636
"5","MOOS",2020-08-09 03:45:00,903.554323283373,2020-08-09,132.67,25.5958333333333,101.109090909091,26.6381818181818
"6","MOOS",2020-08-09 04:00:00,905.054920709023,2020-08-09,132.669090909091,25.5575,101.136363636364,27.3081818181818
"7","MOOS",2020-08-09 04:15:00,908.056115560335,2020-08-09,132.647272727273,25.5316666666667,101.1,26.4454545454545
"8","MOOS",2020-08-09 04:30:00,908.780202320457,2020-08-09,132.578181818182,25.5433333333333,101.127272727273,27.1254545454545
"9","MOOS",2020-08-09 04:45:00,910.280799746091,2020-08-09,132.433636363636,25.57,101.1,28.31
"10","MOOS",2020-08-09 05:00:00,914.041030627821,2020-08-09,132.856363636364,25.5641666666667,101.1,27.4381818181818
"11","MOOS",2020-08-09 05:15:00,914.041030627821,2020-08-09,132.758181818182,25.5216666666667,101.118181818182,26.6463636363636
"12","MOOS",2020-08-09 05:30:00,915.54162805347,2020-08-09,132.674545454545,25.5591666666667,101.118181818182,24.8872727272727
"13","MOOS",2020-08-09 05:45:00,917.801261509536,2020-08-09,132.743636363636,25.4991666666667,101.118181818182,32.0536363636364
"14","MOOS",2020-08-09 06:00:00,920.802456360863,2020-08-09,132.325454545455,25.545,101.163636363636,27.4427272727273
"15","MOOS",2020-08-09 06:15:00,920.802456360863,2020-08-09,132.243636363636,25.5275,101.127272727273,25.8118181818182
"16","MOOS",2020-08-09 06:30:00,921.56149239128,2020-08-09,132.496363636364,25.5758333333333,101.054545454545,25.4772727272727
"17","MOOS",2020-08-09 06:45:00,926.063284668227,2020-08-09,132.585454545455,25.5458333333333,101.209090909091,26.6054545454545
"18","MOOS",2020-08-09 07:00:00,931.359062245916,2020-08-09,132.408181818182,25.5725,101.090909090909,24.6618181818182
"19","MOOS",2020-08-09 07:15:00,933.618695701996,2020-08-09,132.562727272727,25.5466666666667,101.190909090909,27.1581818181818
"20","MOOS",2020-08-09 07:30:00,935.895803793232,2020-08-09,132.207272727273,25.535,101.209090909091,28.73
"21","MOOS",2020-08-09 07:45:00,935.895803793232,2020-08-09,132.605454545455,25.5,101.318181818182,24.3690909090909
"22","MOOS",2020-08-09 08:00:00,935.895803793232,2020-08-09,132.553636363636,25.5866666666667,101.181818181818,24.9327272727273
"23","MOOS",2020-08-09 08:15:00,936.637365188479,2020-08-09,132.819090909091,25.5541666666667,101.081818181818,25.18
"24","MOOS",2020-08-09 08:30:00,935.895803793232,2020-08-09,132.822727272727,25.5658333333333,101.081818181818,24.3809090909091
"25","MOOS",2020-08-09 08:45:00,938.87952400936,2020-08-09,132.94,25.5791666666667,101.127272727273,26.8245454545455
"26","MOOS",2020-08-09 09:00:00,940.380121435039,2020-08-09,132.876363636364,25.6625,101.127272727273,29.9163636363636
"27","MOOS",2020-08-09 09:15:00,940.380121435039,2020-08-09,132.850909090909,25.6625,101.036363636364,22.9045454545455
"28","MOOS",2020-08-09 09:30:00,942.622280255964,2020-08-09,132.925454545455,25.635,101.027272727273,25.6545454545455
"29","MOOS",2020-08-09 09:45:00,943.381316286366,2020-08-09,132.944545454545,25.6266666666667,100.927272727273,25.2818181818182
"30","MOOS",2020-08-09 10:00:00,946.365036502524,2020-08-09,133.291818181818,25.6583333333333,100.990909090909,24.0918181818182
"31","MOOS",2020-08-09 10:15:00,946.347561867355,2020-08-09,133.136363636364,25.6891666666667,101.045454545455,23.54
"32","MOOS",2020-08-09 10:30:00,947.124072532926,2020-08-09,133.052727272727,25.7416666666667,101.036363636364,25.8445454545455
"33","MOOS",2020-08-09 10:45:00,947.865633928173,2020-08-09,132.961818181818,25.73,101.054545454545,26.4290909090909
"34","MOOS",2020-08-09 11:00:00,948.607195323435,2020-08-09,132.757272727273,25.7858333333333,101,21.6681818181818
"35","MOOS",2020-08-09 11:15:00,950.866828779486,2020-08-09,132.620909090909,25.7591666666667,100.836363636364,24.86
"36","MOOS",2020-08-09 11:30:00,952.34995156998,2020-08-09,132.290909090909,25.7641666666667,101.036363636364,24.4845454545455
"37","MOOS",2020-08-09 11:45:00,953.868023630799,2020-08-09,132.879090909091,25.8241666666667,101.1,23.26
"38","MOOS",2020-08-09 12:00:00,954.609585026046,2020-08-09,132.681818181818,25.8216666666667,101.027272727273,23.4463636363636
"39","MOOS",2020-08-09 12:15:00,956.110182451725,2020-08-09,132.518181818182,25.8425,101.027272727273,22.8945454545455
"40","MOOS",2020-08-09 12:30:00,957.610779877388,2020-08-09,132.564545454545,25.77,101.045454545455,23.2127272727273
"41","MOOS",2020-08-09 12:45:00,959.111377303037,2020-08-09,132.417272727273,25.7883333333333,101.027272727273,24.3372727272727
"42","MOOS",2020-08-09 13:00:00,961.371010759103,2020-08-09,132.410909090909,25.7958333333333,101.027272727273,24.4809090909091
"43","MOOS",2020-08-09 13:15:00,962.112572154336,2020-08-09,131.863636363636,25.7858333333333,101.018181818182,25.3254545454545
