"","Site","DateTime","Discharge","fDOM","NO3","SpCond","Turb","day"
"1","CARI",2020-06-21 14:46:00,505.69,NA,NA,47.25,1.57,2020-06-21
"2","CARI",2020-06-21 14:47:00,499.78,NA,NA,47.26,1.57,2020-06-21
"3","CARI",2020-06-21 14:48:00,500.04,NA,NA,47.3,1.49,2020-06-21
"4","CARI",2020-06-21 14:49:00,499.5,NA,NA,47.3,1.53,2020-06-21
"5","CARI",2020-06-21 14:50:00,509.22,NA,NA,47.32,1.61,2020-06-21
"6","CARI",2020-06-21 14:51:00,515.14,NA,NA,47.33,1.49,2020-06-21
"7","CARI",2020-06-21 14:52:00,497.59,NA,NA,47.27,1.63,2020-06-21
"8","CARI",2020-06-21 14:53:00,505.18,NA,NA,47.34,1.44,2020-06-21
"9","CARI",2020-06-21 14:54:00,507.09,NA,NA,47.34,1.43,2020-06-21
"10","CARI",2020-06-21 14:55:00,507.76,NA,NA,47.3,1.32,2020-06-21
"11","CARI",2020-06-21 14:56:00,508.56,NA,NA,47.32,1.43,2020-06-21
"12","CARI",2020-06-21 14:57:00,501.15,NA,NA,47.29,1.14,2020-06-21
"13","CARI",2020-06-21 14:58:00,503.89,NA,NA,47.3,1.18,2020-06-21
"14","CARI",2020-06-21 14:59:00,513.2,NA,NA,47.3,1.21,2020-06-21
"15","CARI",2020-06-21 15:00:00,505.69,NA,24.1,47.31,1.38,2020-06-21
"16","CARI",2020-06-21 15:01:00,511.6,NA,NA,47.31,1.05,2020-06-21
"17","CARI",2020-06-21 15:02:00,505.51,NA,NA,47.35,1.28,2020-06-21
"18","CARI",2020-06-21 15:03:00,509.35,NA,NA,47.34,1.22,2020-06-21
"19","CARI",2020-06-21 15:04:00,500.74,NA,NA,47.34,1.18,2020-06-21
"20","CARI",2020-06-21 15:05:00,506.06,NA,NA,47.34,1.39,2020-06-21
"21","CARI",2020-06-21 15:06:00,499.29,NA,NA,47.32,1,2020-06-21
"22","CARI",2020-06-21 15:07:00,510.01,NA,NA,47.35,1.15,2020-06-21
"23","CARI",2020-06-21 15:08:00,501.44,NA,NA,47.37,1.1,2020-06-21
"24","CARI",2020-06-21 15:09:00,512.46,NA,NA,47.38,1.11,2020-06-21
"25","CARI",2020-06-21 15:10:00,516.87,NA,NA,47.34,1.19,2020-06-21
"26","CARI",2020-06-21 15:11:00,503.25,NA,NA,47.37,1.18,2020-06-21
"27","CARI",2020-06-21 15:12:00,509.02,NA,NA,47.32,1.33,2020-06-21
"28","CARI",2020-06-21 15:13:00,507.76,NA,NA,47.39,1.09,2020-06-21
"29","CARI",2020-06-21 15:14:00,516.04,NA,NA,47.39,1.03,2020-06-21
"30","CARI",2020-06-21 15:15:00,516.68,NA,24.1,47.39,1.02,2020-06-21
"31","CARI",2020-06-21 15:16:00,506.21,NA,NA,47.38,1.07,2020-06-21
"32","CARI",2020-06-21 15:17:00,505.99,NA,NA,47.42,0.78,2020-06-21
"33","CARI",2020-06-21 15:18:00,513.34,NA,NA,47.4,0.95,2020-06-21
"34","CARI",2020-06-21 15:19:00,505.38,NA,NA,47.39,0.97,2020-06-21
"35","CARI",2020-06-21 15:20:00,507.22,NA,NA,47.4,0.99,2020-06-21
"36","CARI",2020-06-21 15:21:00,510.87,NA,NA,47.43,0.87,2020-06-21
"37","CARI",2020-06-21 15:22:00,506.66,NA,NA,47.42,0.88,2020-06-21
"38","CARI",2020-06-21 15:23:00,510.01,NA,NA,47.36,0.98,2020-06-21
"39","CARI",2020-06-21 15:24:00,514,NA,NA,47.36,0.97,2020-06-21
"40","CARI",2020-06-21 15:25:00,510.33,NA,NA,47.43,0.59,2020-06-21
"41","CARI",2020-06-21 15:26:00,508.45,NA,NA,47.41,0.76,2020-06-21
"42","CARI",2020-06-21 15:27:00,508.1,NA,NA,47.28,0.74,2020-06-21
"43","CARI",2020-06-21 15:28:00,508.56,NA,NA,47.43,1.02,2020-06-21
"44","CARI",2020-06-21 15:29:00,509.22,NA,NA,47.43,0.98,2020-06-21
"45","CARI",2020-06-21 15:30:00,513.83,NA,24.1,47.43,0.79,2020-06-21
"46","CARI",2020-06-21 15:31:00,514.25,NA,NA,47.45,0.77,2020-06-21
"47","CARI",2020-06-21 15:32:00,514.15,NA,NA,47.47,0.79,2020-06-21
"48","CARI",2020-06-21 15:33:00,512.12,NA,NA,47.47,0.67,2020-06-21
"49","CARI",2020-06-21 15:34:00,512.99,NA,NA,47.47,0.66,2020-06-21
"50","CARI",2020-06-21 15:35:00,510.87,NA,NA,47.48,0.61,2020-06-21
"51","CARI",2020-06-21 15:36:00,513.34,NA,NA,47.49,0.79,2020-06-21
"52","CARI",2020-06-21 15:37:00,518.98,NA,NA,47.48,0.63,2020-06-21
"53","CARI",2020-06-21 15:38:00,518.72,NA,NA,47.48,0.77,2020-06-21
"54","CARI",2020-06-21 15:39:00,507.61,NA,NA,47.48,0.7,2020-06-21
"55","CARI",2020-06-21 15:40:00,513.56,NA,NA,47.53,1,2020-06-21
"56","CARI",2020-06-21 15:41:00,508.45,NA,NA,47.52,0.51,2020-06-21
"57","CARI",2020-06-21 15:42:00,514,NA,NA,47.53,0.73,2020-06-21
"58","CARI",2020-06-21 15:43:00,508.22,NA,NA,47.55,0.84,2020-06-21
"59","CARI",2020-06-21 15:44:00,507.09,NA,NA,47.55,0.81,2020-06-21
"60","CARI",2020-06-21 15:45:00,517.81,NA,24.1,47.57,0.8,2020-06-21
"61","CARI",2020-06-21 15:46:00,524.3,NA,NA,47.58,0.83,2020-06-21
"62","CARI",2020-06-21 15:47:00,512.77,NA,NA,47.56,0.69,2020-06-21
"63","CARI",2020-06-21 15:48:00,513.42,NA,NA,47.59,0.96,2020-06-21
"64","CARI",2020-06-21 15:49:00,513.34,NA,NA,47.59,0.96,2020-06-21
"65","CARI",2020-06-21 15:50:00,518.38,NA,NA,47.6,0.57,2020-06-21
"66","CARI",2020-06-21 15:51:00,514.74,NA,NA,47.63,0.63,2020-06-21
"67","CARI",2020-06-21 15:52:00,517.69,NA,NA,47.64,0.63,2020-06-21
"68","CARI",2020-06-21 15:53:00,522.02,NA,NA,47.62,0.82,2020-06-21
"69","CARI",2020-06-21 15:54:00,503.42,NA,NA,47.62,0.78,2020-06-21
"70","CARI",2020-06-21 15:55:00,512.99,NA,NA,47.66,0.44,2020-06-21
"71","CARI",2020-06-21 15:56:00,517.39,NA,NA,47.64,0.48,2020-06-21
"72","CARI",2020-06-21 15:57:00,514.25,NA,NA,47.67,0.49,2020-06-21
"73","CARI",2020-06-21 15:58:00,517.94,NA,NA,47.68,0.69,2020-06-21
"74","CARI",2020-06-21 15:59:00,509.5,NA,NA,47.68,0.56,2020-06-21
"75","CARI",2020-06-21 16:00:00,517.04,NA,24.3,47.67,0.47,2020-06-21
"76","CARI",2020-06-21 16:01:00,513.73,NA,NA,47.7,0.6,2020-06-21
"77","CARI",2020-06-21 16:02:00,514.58,NA,NA,47.68,0.38,2020-06-21
"78","CARI",2020-06-21 16:03:00,516.51,NA,NA,47.7,0.7,2020-06-21
"79","CARI",2020-06-21 16:04:00,518.28,NA,NA,47.7,0.7,2020-06-21
"80","CARI",2020-06-21 16:05:00,509.02,NA,NA,47.7,0.28,2020-06-21
"81","CARI",2020-06-21 16:06:00,516.08,NA,NA,47.73,0.42,2020-06-21
"82","CARI",2020-06-21 16:07:00,508.45,NA,NA,47.74,0.48,2020-06-21
"83","CARI",2020-06-21 16:08:00,519.96,NA,NA,47.78,0.46,2020-06-21
