"","Site","DateTime","Q","day","fDOM.QSU","nitrateuM","SpCond.µS.cm","Turbidity.FNU","MeanDischarge"
"81","FRCH",2020-07-21 06:45:00,1064.25913386959,2020-07-21 08:00:00,63.1590909090909,31.25,64.5545454545454,149.818181818182,1064.25913386959
"82","FRCH",2020-07-21 07:00:00,1061.306250889,2020-07-21 08:00:00,64.3709090909091,31.412,64.4454545454546,141.501818181818,1061.306250889
"83","FRCH",2020-07-21 07:15:00,1061.29906763574,2020-07-21 08:00:00,65.4009090909091,31.39,64.3727272727273,140.54,1061.29906763574
"84","FRCH",2020-07-21 07:30:00,1035.84755065011,2020-07-21 08:00:00,66.6236363636364,31.348,64.2818181818182,140.190909090909,1035.84755065011
"85","FRCH",2020-07-21 07:45:00,1072.39709049383,2020-07-21 08:00:00,67.8745454545455,31.27,64.2181818181818,129.365454545455,1072.39709049383
"86","FRCH",2020-07-21 08:00:00,1068.18357158497,2020-07-21 08:00:00,68.7818181818182,31.358,64.1818181818182,127.767272727273,1068.18357158497
"87","FRCH",2020-07-21 08:15:00,1062.72694517547,2020-07-21 08:00:00,69.18,31.334,64.1181818181818,116.294545454545,1062.72694517547
"88","FRCH",2020-07-21 08:30:00,1054.02835459189,2020-07-21 08:00:00,70.51,31.268,64.1,119.398181818182,1054.02835459189
"89","FRCH",2020-07-21 08:45:00,1073.02381683132,2020-07-21 08:00:00,71.3009090909091,31.23,64.0818181818182,116.245454545455,1073.02381683132
"90","FRCH",2020-07-21 09:00:00,1055.14962251058,2020-07-21 08:00:00,72.56,31.278,64,117.849090909091,1055.14962251058
"91","FRCH",2020-07-21 09:15:00,1055.64416409176,2020-07-21 08:00:00,73.1,31.184,63.9363636363636,115.446363636364,1055.64416409176
"92","FRCH",2020-07-21 09:30:00,1079.7968263729,2020-07-21 08:00:00,73.6118181818182,31.242,63.8818181818182,134.016363636364,1079.7968263729
"93","FRCH",2020-07-21 09:45:00,1062.58757716589,2020-07-21 08:00:00,73.55,31.144,63.8363636363636,115.657272727273,1062.58757716589
"94","FRCH",2020-07-21 10:00:00,1079.76895277099,2020-07-21 08:00:00,74.5645454545455,31.14,63.8181818181818,114.128181818182,1079.76895277099
"95","FRCH",2020-07-21 10:15:00,1051.0754716113,2020-07-21 08:00:00,74.8663636363636,31.142,63.8181818181818,108.602727272727,1051.0754716113
"96","FRCH",2020-07-21 10:30:00,1073.10743763705,2020-07-21 08:00:00,76.2636363636364,31.144,63.8181818181818,113.430909090909,1073.10743763705
