"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","month","day","response","date","doy"
"Interpolated HI for 2% discharge...1","1",-0.0143208111676157,2,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 4% discharge...2","1",-0.0116843601821691,4,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 6% discharge...3","1",-0.0295712154234337,6,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 8% discharge...4","1",-0.0283428245568812,8,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 10% discharge...5","1",-0.0261789818221588,10,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 12% discharge...6","1",-0.0241498910266926,12,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 14% discharge...7","1",-0.0227769835876045,14,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 16% discharge...8","1",-0.0217809909931021,16,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 18% discharge...9","1",-0.0200624155359223,18,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 20% discharge...10","1",-0.0196405833782506,20,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 22% discharge...11","1",-0.0180567598603267,22,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 24% discharge...12","1",-0.0176251630693759,24,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 26% discharge...13","1",-0.0169748384929657,26,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 28% discharge...14","1",-0.0164573129291556,28,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 30% discharge...15","1",-0.0156312249537156,30,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 32% discharge...16","1",-0.0149652769640585,32,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 34% discharge...17","1",-0.013973190222868,34,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 36% discharge...18","1",-0.0147914664916843,36,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 38% discharge...19","1",-0.0132232663870078,38,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 40% discharge...20","1",-0.0128229164225511,40,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 42% discharge...21","1",-0.0127779991094654,42,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 44% discharge...22","1",-0.0112429987579386,44,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 46% discharge...23","1",-0.0109754478060823,46,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 48% discharge...24","1",-0.0112410458312828,48,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 50% discharge...25","1",-0.0117488067618132,50,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 52% discharge...26","1",-0.0122155562325701,52,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 54% discharge...27","1",-0.0122741440322467,54,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 56% discharge...28","1",-0.0116374899424279,56,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 58% discharge...29","1",-0.0114558677634304,58,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
"Interpolated HI for 60% discharge...30","1",-0.0128912688555068,60,"FRCH_storm1_05_31_NO3","FRCH","storm1","05","31","NO3",2022-05-31,151
