"Site","DateTime","Q","day","fDOM.QSU.mn","nitrateuM","SpCond.uScm.mn","Turbidity.FNU.mn"
"POKE",2019-05-10 06:45:00,527.13426222233,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 07:00:00,525.56012727534,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 07:15:00,516.115317593404,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 07:30:00,516.115317593404,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 07:45:00,506.670507911468,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 08:00:00,482.271416233133,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 08:15:00,472.826606551196,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 08:30:00,472.039539077702,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 08:45:00,468.891269183723,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 09:00:00,468.891269183723,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 09:15:00,459.446459501787,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 09:30:00,461.020594448776,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 09:45:00,462.594729395766,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 10:00:00,465.742999289744,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 10:15:00,466.530066763239,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 10:30:00,461.807661922271,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 10:45:00,462.594729395766,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 11:00:00,461.020594448776,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 11:15:00,451.57578476684,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 11:30:00,452.362852240335,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 11:45:00,451.57578476684,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 12:00:00,453.149919713829,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 12:15:00,450.001649819851,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 12:30:00,450.788717293345,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 12:45:00,451.57578476684,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 13:00:00,453.936987187324,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 13:15:00,455.511122134313,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 13:30:00,455.511122134313,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 13:45:00,453.936987187324,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 14:00:00,457.085257081303,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 14:15:00,456.298189607808,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 14:30:00,455.511122134313,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 14:45:00,456.298189607808,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 15:00:00,455.511122134313,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 15:15:00,454.724054660819,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 15:30:00,460.233526975282,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 15:45:00,457.085257081303,2019-05-10,NA,NA,NA,NA
"POKE",2019-05-10 16:00:00,454.724054660819,2019-05-11,NA,NA,NA,NA
"POKE",2019-05-10 16:15:00,457.872324554797,2019-05-11,NA,NA,NA,NA
"POKE",2019-05-10 16:30:00,460.233526975282,2019-05-11,NA,NA,NA,NA
"POKE",2019-05-10 16:45:00,458.659392028292,2019-05-11,NA,NA,NA,NA
"POKE",2019-05-10 17:00:00,457.872324554797,2019-05-11,NA,NA,NA,NA
