Site,DateTime,Q,day,fDOM.RFU,nitrateuM,SpCond.uScm,Turbidity.FNU
POKE,2020-06-04T13:00:00Z,606.0042519457638,2020-06-04T08:00:00Z,NA,NA,NA,NA
POKE,2020-06-04T13:15:00Z,608.8376066508936,2020-06-04T08:00:00Z,NA,NA,NA,NA
POKE,2020-06-04T13:30:00Z,603.1708972406341,2020-06-04T08:00:00Z,NA,NA,NA,NA
POKE,2020-06-04T13:45:00Z,591.8374784201151,2020-06-04T08:00:00Z,NA,NA,NA,NA
POKE,2020-06-04T14:00:00Z,594.6708331252448,2020-06-04T08:00:00Z,NA,NA,NA,NA
POKE,2020-06-04T14:15:00Z,586.1707690098556,2020-06-04T08:00:00Z,NA,NA,NA,NA
POKE,2020-06-04T14:30:00Z,611.6709613560233,2020-06-04T08:00:00Z,NA,37.916666666666664,NA,NA
POKE,2020-06-04T14:45:00Z,603.1708972406341,2020-06-04T08:00:00Z,NA,37.22866666666667,NA,NA
POKE,2020-06-04T15:00:00Z,606.0042519457638,2020-06-04T08:00:00Z,NA,36.574,NA,NA
POKE,2020-06-04T15:15:00Z,608.8376066508936,2020-06-04T08:00:00Z,NA,36.160666666666664,NA,NA
POKE,2020-06-04T15:30:00Z,617.3376707661664,2020-06-04T08:00:00Z,NA,36.038666666666664,NA,NA
POKE,2020-06-04T15:45:00Z,603.1708972406341,2020-06-04T08:00:00Z,NA,35.992666666666665,NA,NA
POKE,2020-06-04T16:00:00Z,614.5043160611531,2020-06-04T08:00:00Z,NA,35.97266666666667,NA,NA
POKE,2020-06-04T16:15:00Z,608.8376066508936,2020-06-04T08:00:00Z,NA,36.004,NA,NA
POKE,2020-06-04T16:30:00Z,600.3375425355043,2020-06-04T08:00:00Z,NA,35.99733333333334,NA,NA
POKE,2020-06-04T16:45:00Z,603.1708972406341,2020-06-04T08:00:00Z,NA,35.94266666666667,NA,NA
POKE,2020-06-04T17:00:00Z,600.3375425355043,2020-06-04T08:00:00Z,NA,35.948,NA,NA
POKE,2020-06-04T17:15:00Z,597.5041878303746,2020-06-04T08:00:00Z,NA,35.944,NA,NA
POKE,2020-06-04T17:30:00Z,600.3375425355043,2020-06-04T08:00:00Z,NA,35.92133333333334,NA,NA
POKE,2020-06-04T17:45:00Z,608.8376066508936,2020-06-04T08:00:00Z,NA,35.909333333333336,NA,NA
POKE,2020-06-04T18:00:00Z,591.8374784201151,2020-06-04T08:00:00Z,NA,35.92466666666667,NA,NA
POKE,2020-06-04T18:15:00Z,600.3375425355043,2020-06-04T08:00:00Z,NA,35.92,NA,NA
POKE,2020-06-04T18:30:00Z,611.6709613560233,2020-06-04T08:00:00Z,NA,35.91,NA,NA
POKE,2020-06-04T18:45:00Z,617.3376707661664,2020-06-04T08:00:00Z,NA,35.92466666666667,NA,NA
POKE,2020-06-04T19:00:00Z,608.8376066508936,2020-06-04T08:00:00Z,NA,35.92466666666667,NA,NA
POKE,2020-06-04T19:15:00Z,608.8376066508936,2020-06-04T08:00:00Z,NA,35.91266666666667,NA,NA
POKE,2020-06-04T19:30:00Z,611.6709613560233,2020-06-04T08:00:00Z,NA,35.90533333333333,NA,NA
POKE,2020-06-04T19:45:00Z,617.3376707661664,2020-06-04T08:00:00Z,NA,35.91866666666667,NA,NA
POKE,2020-06-04T20:00:00Z,614.5043160611531,2020-06-04T08:00:00Z,NA,35.922,NA,NA
