"","Site","DateTime","Q","day","fDOM.QSU","nitrateuM","SpCond.uScm","Turbidity.FNU","MeanDischarge"
"1","MOOS",2020-08-01 20:45:00,724.800802778074,2020-08-01 08:00:00,118.163636363636,25.8708333333333,111.409090909091,12.8609090909091,724.800802778074
"2","MOOS",2020-08-01 21:00:00,722.860516459652,2020-08-01 08:00:00,118.02,25.8825,111.327272727273,14.2609090909091,722.860516459652
"3","MOOS",2020-08-01 21:15:00,725.781363300281,2020-08-01 08:00:00,117.835454545455,25.8758333333333,111.136363636364,14.1909090909091,725.781363300281
"4","MOOS",2020-08-01 21:30:00,728.714710976375,2020-08-01 08:00:00,118.291818181818,25.8491666666667,111.327272727273,12.6836363636364,728.714710976375
"5","MOOS",2020-08-01 21:45:00,730.66749813038,2020-08-01 08:00:00,118.195454545455,25.8633333333333,111.327272727273,13.9418181818182,730.66749813038
"6","MOOS",2020-08-01 22:00:00,731.643891707354,2020-08-01 08:00:00,118.056363636364,25.79,111.290909090909,14.9018181818182,731.643891707354
"7","MOOS",2020-08-01 22:15:00,734.573072438332,2020-08-01 08:00:00,118.309090909091,25.8208333333333,111.245454545455,13.5936363636364,734.573072438332
"8","MOOS",2020-08-01 22:30:00,736.525859592308,2020-08-01 08:00:00,118.352727272727,25.7708333333333,111.209090909091,12.9809090909091,736.525859592308
"9","MOOS",2020-08-01 22:45:00,740.423100009881,2020-08-01 08:00:00,118.41,25.7975,111.190909090909,15.0318181818182,740.423100009881
"10","MOOS",2020-08-01 23:00:00,746.268960636284,2020-08-01 08:00:00,118.303636363636,25.8366666666667,111.181818181818,13.6072727272727,746.268960636284
"11","MOOS",2020-08-01 23:15:00,751.138427685713,2020-08-01 08:00:00,118.218181818182,25.8458333333333,111.163636363636,12.9081818181818,751.138427685713
"12","MOOS",2020-08-01 23:30:00,753.095381784864,2020-08-01 08:00:00,118.164545454545,25.9008333333333,111.118181818182,13.3054545454545,753.095381784864
"13","MOOS",2020-08-01 23:45:00,759.913469043066,2020-08-01 08:00:00,118.138181818182,25.9008333333333,111.054545454545,14.3118181818182,759.913469043066
"14","MOOS",2020-08-02 00:00:00,762.842649774015,2020-08-02 08:00:00,118.264545454545,25.8858333333333,111.009090909091,13.1263636363636,762.842649774015
"15","MOOS",2020-08-02 00:15:00,767.724617658969,2020-08-02 08:00:00,118.287272727273,25.915,110.981818181818,14.0181818181818,767.724617658969
"16","MOOS",2020-08-02 00:30:00,774.546871862374,2020-08-02 08:00:00,118.252727272727,25.9041666666667,111.027272727273,15.2245454545455,774.546871862374
"17","MOOS",2020-08-02 00:45:00,777.471885648119,2020-08-02 08:00:00,116.083636363636,25.8866666666667,111,13.5236363636364,777.471885648119
"18","MOOS",2020-08-02 01:00:00,780.396899433923,2020-08-02 08:00:00,118.523636363636,25.8883333333333,111.009090909091,15.5772727272727,780.396899433923
"19","MOOS",2020-08-02 01:15:00,795.013634472503,2020-08-02 08:00:00,118.443636363636,25.8325,110.990909090909,14.3972727272727,795.013634472503
"20","MOOS",2020-08-02 01:30:00,801.835888675909,2020-08-02 08:00:00,118.372727272727,25.8558333333333,110.981818181818,14.3954545454545,801.835888675909
"21","MOOS",2020-08-02 01:45:00,805.733129093482,2020-08-02 08:00:00,118.465454545455,25.7683333333333,110.990909090909,14.4818181818182,805.733129093482
"22","MOOS",2020-08-02 02:00:00,809.638703401433,2020-08-02 08:00:00,118.2,25.8275,110.963636363636,15.0245454545455,809.638703401433
