"","Site","DateTime","MeanDischarge","day","fDOM.QSU","nitrateuM","SpCond.uScm","Turbidity.FNU"
"1","MOOS",2020-07-26 18:45:00,1078.38266069014,2020-07-27,139.685454545455,24.8766666666667,104.672727272727,21.9390909090909
"2","MOOS",2020-07-26 19:00:00,1078.38266069014,2020-07-27,140.170909090909,24.9283333333333,104.6,25.0990909090909
"3","MOOS",2020-07-26 19:15:00,1075.39894047397,2020-07-27,140.144545454545,24.8716666666667,104.554545454545,21.5027272727273
"4","MOOS",2020-07-26 19:30:00,1078.40013532528,2020-07-27,139.703636363636,24.9616666666667,104.581818181818,22.8
"5","MOOS",2020-07-26 19:45:00,1076.91701253479,2020-07-27,139.468181818182,24.925,104.563636363636,35.5727272727273
"6","MOOS",2020-07-26 20:00:00,1080.64229414621,2020-07-27,139.422727272727,24.9225,104.581818181818,21.65
"7","MOOS",2020-07-26 20:15:00,1080.64229414621,2020-07-27,139.076363636364,24.9541666666667,104.609090909091,26.05
"8","MOOS",2020-07-26 20:30:00,1082.88445296712,2020-07-27,139.215454545455,24.8583333333333,104.590909090909,23.6372727272727
"9","MOOS",2020-07-26 20:45:00,1083.64348899754,2020-07-27,139.18,24.8583333333333,104.581818181818,23.3918181818182
"10","MOOS",2020-07-26 21:00:00,1082.88445296712,2020-07-27,138.584545454545,24.9125,104.590909090909,21.8345454545455
"11","MOOS",2020-07-26 21:15:00,1082.14289157187,2020-07-27,139.303636363636,24.9458333333333,104.581818181818,21.1454545454545
"12","MOOS",2020-07-26 21:30:00,1082.90192760229,2020-07-27,138.95,24.97,104.6,22.5436363636364
"13","MOOS",2020-07-26 21:45:00,1085.90312245357,2020-07-27,138.750909090909,24.9158333333333,104.609090909091,23.4927272727273
"14","MOOS",2020-07-26 22:00:00,1085.90312245357,2020-07-27,139.136363636364,24.9891666666667,104.627272727273,22.5763636363636
"15","MOOS",2020-07-26 22:15:00,1088.92179194005,2020-07-27,138.957272727273,24.9858333333333,104.636363636364,21.1654545454545
"16","MOOS",2020-07-26 22:30:00,1088.19770517998,2020-07-27,138.653636363636,25.0075,104.681818181818,22.0954545454545
"17","MOOS",2020-07-26 22:45:00,1088.92179194005,2020-07-27,138.561818181818,24.9641666666667,104.681818181818,22.5045454545455
"18","MOOS",2020-07-26 23:00:00,1089.64587870016,2020-07-27,138.382727272727,24.9766666666667,104.663636363636,27.1945454545455
"19","MOOS",2020-07-26 23:15:00,1088.9043173049,2020-07-27,138.048181818182,24.9408333333333,104.7,22.7745454545455
"20","MOOS",2020-07-26 23:30:00,1091.12900149067,2020-07-27,137.819090909091,25.0075,104.709090909091,24.5418181818182
