"","DateTime","Site","Discharge","fDOM","NO3","SpCond","Turb","day"
"1",2018-08-04 12:31:00,"CARI",287,30.76,NA,90.74,-1.06,2018-08-04
"2",2018-08-04 12:32:00,"CARI",281.96,30.77,NA,90.74,-1.05,2018-08-04
"3",2018-08-04 12:33:00,"CARI",281.13,30.86,NA,90.69,-1.05,2018-08-04
"4",2018-08-04 12:34:00,"CARI",268.04,30.79,NA,90.68,-1.05,2018-08-04
"5",2018-08-04 12:35:00,"CARI",273.54,30.79,NA,90.68,-1.06,2018-08-04
"6",2018-08-04 12:36:00,"CARI",277.22,30.84,NA,90.67,-1.05,2018-08-04
"7",2018-08-04 12:37:00,"CARI",264.78,30.77,NA,90.65,-1.01,2018-08-04
"8",2018-08-04 12:38:00,"CARI",279.47,30.78,NA,90.65,-1.01,2018-08-04
"9",2018-08-04 12:39:00,"CARI",302.29,30.9,NA,90.66,-1,2018-08-04
"10",2018-08-04 12:40:00,"CARI",295.26,30.76,NA,90.67,-0.96,2018-08-04
"11",2018-08-04 12:41:00,"CARI",277.42,30.76,NA,90.67,-0.97,2018-08-04
"12",2018-08-04 12:42:00,"CARI",260.94,30.86,NA,90.61,-1.01,2018-08-04
"13",2018-08-04 12:43:00,"CARI",280.4,30.76,NA,90.55,-1.02,2018-08-04
"14",2018-08-04 12:44:00,"CARI",262.86,30.76,NA,90.55,-1.02,2018-08-04
"15",2018-08-04 12:45:00,"CARI",288.9,30.74,23.2,90.47,-1.01,2018-08-04
"16",2018-08-04 12:46:00,"CARI",287.52,30.65,NA,90.33,-0.92,2018-08-04
"17",2018-08-04 12:47:00,"CARI",263.19,30.66,NA,90.33,-0.92,2018-08-04
"18",2018-08-04 12:48:00,"CARI",293.23,30.65,NA,90.09,-0.8,2018-08-04
"19",2018-08-04 12:49:00,"CARI",278.23,30.47,NA,90.09,-0.85,2018-08-04
"20",2018-08-04 12:50:00,"CARI",264.3,30.46,NA,90.09,-0.84,2018-08-04
"21",2018-08-04 12:51:00,"CARI",288.65,30.67,NA,90.24,-0.87,2018-08-04
"22",2018-08-04 12:52:00,"CARI",277.41,30.62,NA,90.19,-0.89,2018-08-04
"23",2018-08-04 12:53:00,"CARI",293.2,30.63,NA,90.19,-0.9,2018-08-04
"24",2018-08-04 12:54:00,"CARI",262.35,30.75,NA,90.08,-0.83,2018-08-04
"25",2018-08-04 12:55:00,"CARI",273.62,30.73,NA,90.09,-0.75,2018-08-04
"26",2018-08-04 12:56:00,"CARI",280.32,30.73,NA,90.09,-0.75,2018-08-04
"27",2018-08-04 12:57:00,"CARI",246.45,30.91,NA,90.03,-0.79,2018-08-04
"28",2018-08-04 12:58:00,"CARI",301.52,30.81,NA,90.01,-0.79,2018-08-04
"29",2018-08-04 12:59:00,"CARI",270.45,30.8,NA,90.01,-0.79,2018-08-04
"30",2018-08-04 13:00:00,"CARI",271.4,30.91,23.1,90.06,-0.82,2018-08-04
"31",2018-08-04 13:01:00,"CARI",284.77,30.86,NA,90.13,-0.78,2018-08-04
"32",2018-08-04 13:02:00,"CARI",271.95,30.87,NA,90.11,-0.78,2018-08-04
"33",2018-08-04 13:03:00,"CARI",266.88,30.98,NA,90.14,-0.86,2018-08-04
"34",2018-08-04 13:04:00,"CARI",282.59,30.88,NA,90.15,-0.87,2018-08-04
"35",2018-08-04 13:05:00,"CARI",271.46,30.88,NA,90.15,-0.88,2018-08-04
"36",2018-08-04 13:06:00,"CARI",275.12,30.98,NA,90.22,-0.89,2018-08-04
"37",2018-08-04 13:07:00,"CARI",297.35,30.87,NA,90.22,-0.83,2018-08-04
"38",2018-08-04 13:08:00,"CARI",290.72,30.87,NA,90.22,-0.81,2018-08-04
"39",2018-08-04 13:09:00,"CARI",297.21,30.98,NA,90.22,-0.73,2018-08-04
"40",2018-08-04 13:10:00,"CARI",271.57,30.87,NA,90.23,-0.81,2018-08-04
"41",2018-08-04 13:11:00,"CARI",294.9,30.87,NA,90.23,-0.82,2018-08-04
"42",2018-08-04 13:12:00,"CARI",280.87,30.98,NA,90.21,1.33,2018-08-04
"43",2018-08-04 13:13:00,"CARI",258.54,30.89,NA,90.21,1.63,2018-08-04
"44",2018-08-04 13:14:00,"CARI",255.67,30.89,NA,90.21,1.63,2018-08-04
"45",2018-08-04 13:15:00,"CARI",290.76,30.89,23,90.21,0.44,2018-08-04
"46",2018-08-04 13:16:00,"CARI",300.81,30.81,NA,90.21,0.07,2018-08-04
"47",2018-08-04 13:17:00,"CARI",268.19,30.8,NA,90.21,0.07,2018-08-04
"48",2018-08-04 13:18:00,"CARI",271.05,30.49,NA,90.24,-0.32,2018-08-04
"49",2018-08-04 13:19:00,"CARI",267.1,30.06,NA,90.28,-0.49,2018-08-04
"50",2018-08-04 13:20:00,"CARI",279.49,30.05,NA,90.28,-0.49,2018-08-04
"51",2018-08-04 13:21:00,"CARI",268.83,29.93,NA,90.31,-0.45,2018-08-04
