"","Site","DateTime","Q","day","fDOM.QSU","nitrateuM","SpCond.µS.cm","Turbidity.FNU","MeanDischarge"
"68","FRCH",2020-08-10 03:30:00,952.998726170816,2020-08-10 08:00:00,53.9190909090909,32.5,77.9818181818182,139.333636363636,952.998726170816
"69","FRCH",2020-08-10 03:45:00,950.822282711611,2020-08-10 08:00:00,56.5045454545455,33.38,78.1727272727273,118.564545454545,950.822282711611
"70","FRCH",2020-08-10 04:00:00,958.632939366114,2020-08-10 08:00:00,58.5854545454545,34.292,78.2,126.865454545455,958.632939366114
"71","FRCH",2020-08-10 04:15:00,963.379218632399,2020-08-10 08:00:00,60.9863636363636,34.946,78.1727272727273,118.403636363636,963.379218632399
"72","FRCH",2020-08-10 04:30:00,967.004229979997,2020-08-10 08:00:00,61.9545454545455,36.658,78.1,113.166363636364,967.004229979997
"73","FRCH",2020-08-10 04:45:00,971.134128083097,2020-08-10 08:00:00,63.2527272727273,36.526,78.0272727272727,115.953636363636,971.134128083097
"74","FRCH",2020-08-10 05:00:00,965.659973245987,2020-08-10 08:00:00,63.4218181818182,35.786,78.0636363636364,106.823636363636,965.659973245987
"75","FRCH",2020-08-10 05:15:00,975.824660145532,2020-08-10 08:00:00,63.47,35.748,78.0727272727273,113.321818181818,975.824660145532
"76","FRCH",2020-08-10 05:30:00,976.291328124804,2020-08-10 08:00:00,63.2272727272727,38.41,78,132.2,976.291328124804
"77","FRCH",2020-08-10 05:45:00,975.236152584286,2020-08-10 08:00:00,62.8663636363636,24.626,77.8,122.57,975.236152584286
"78","FRCH",2020-08-10 06:00:00,981.869794116297,2020-08-10 08:00:00,63.49,24.512,77.6272727272727,119.517272727273,981.869794116297
"79","FRCH",2020-08-10 06:15:00,977.301101635836,2020-08-10 08:00:00,63.8672727272727,24.42,77.5,132.145454545455,977.301101635836
"80","FRCH",2020-08-10 06:30:00,975.702820563558,2020-08-10 08:00:00,64.4281818181818,24.38,77.3,119.630909090909,975.702820563558
"81","FRCH",2020-08-10 06:45:00,951.403607019587,2020-08-10 08:00:00,64.3836363636364,24.284,77.1545454545455,129.431818181818,951.403607019587
"82","FRCH",2020-08-10 07:00:00,977.123514850027,2020-08-10 08:00:00,63.9709090909091,24.194,76.9454545454546,134.233636363636,977.123514850027
"83","FRCH",2020-08-10 07:15:00,983.906869565937,2020-08-10 08:00:00,63.5627272727273,24.168,76.7,123.737272727273,983.906869565937
"84","FRCH",2020-08-10 07:30:00,964.472612949161,2020-08-10 08:00:00,63.6563636363636,24.124,76.4090909090909,125.345454545455,964.472612949161
"85","FRCH",2020-08-10 07:45:00,978.15081678865,2020-08-10 08:00:00,64.1163636363636,24.154,76.1363636363636,122.230909090909,978.15081678865
"86","FRCH",2020-08-10 08:00:00,982.047380902106,2020-08-10 08:00:00,63.93,24.138,75.8636363636364,122.214545454545,982.047380902106
"87","FRCH",2020-08-10 08:15:00,977.684148809378,2020-08-10 08:00:00,63.9154545454545,24.104,75.6,121.355454545455,977.684148809378
"88","FRCH",2020-08-10 08:30:00,980.365479024098,2020-08-10 08:00:00,64.42,41.028,75.3818181818182,136.032727272727,980.365479024098
"89","FRCH",2020-08-10 08:45:00,981.131573371167,2020-08-10 08:00:00,65.6818181818182,42.92,75.1727272727273,123.763636363636,981.131573371167
"90","FRCH",2020-08-10 09:00:00,969.135271409701,2020-08-10 08:00:00,66.0027272727273,37.142,74.9272727272727,118.890909090909,969.135271409701
"91","FRCH",2020-08-10 09:15:00,975.441612972005,2020-08-10 08:00:00,65.1409090909091,34.728,74.7727272727273,122.25,975.441612972005
"92","FRCH",2020-08-10 09:30:00,968.780097838084,2020-08-10 08:00:00,65.8818181818182,36.16,74.6272727272727,168.020909090909,968.780097838084
"93","FRCH",2020-08-10 09:45:00,964.67807333688,2020-08-10 08:00:00,65.5227272727273,34.37,74.4727272727273,131.659090909091,964.67807333688
"94","FRCH",2020-08-10 10:00:00,963.239850622835,2020-08-10 08:00:00,65.3645454545454,35.52,74.3,130.982727272727,963.239850622835
"95","FRCH",2020-08-10 10:15:00,966.826643194188,2020-08-10 08:00:00,66.2263636363636,33.08,74.1272727272727,140.918181818182,966.826643194188
"96","FRCH",2020-08-10 10:30:00,961.352488357079,2020-08-10 08:00:00,65.9245454545455,33.908,73.9363636363636,131.8,961.352488357079
"97","FRCH",2020-08-10 10:45:00,958.605065764219,2020-08-10 08:00:00,66.0654545454545,32.908,73.8,141.613636363636,958.605065764219
