"","Site","DateTime","Q","day","fDOM.RFU","nitrateuM","SpCond.uScm","Turbidity.FNU","MeanDischarge"
"1","POKE",2020-09-07 20:15:00,795.839017188759,2020-09-07 08:00:00,63.86,27.596,99.7,4.003,795.839017188759
"2","POKE",2020-09-07 20:30:00,798.672371893888,2020-09-07 08:00:00,63.72,27.654,99.7,3.622,798.672371893888
"3","POKE",2020-09-07 20:45:00,801.505726599018,2020-09-07 08:00:00,63.83,27.6786666666667,99.7,3.3,801.505726599018
"4","POKE",2020-09-07 21:00:00,807.172436009278,2020-09-07 08:00:00,63.83,27.664,99.7,3.24,807.172436009278
"5","POKE",2020-09-07 21:15:00,807.172436009278,2020-09-07 08:00:00,63.88,27.662,99.8,3.128,807.172436009278
"6","POKE",2020-09-07 21:30:00,812.839145419537,2020-09-07 08:00:00,63.94,27.632,99.8,3.062,812.839145419537
"7","POKE",2020-09-07 21:45:00,821.33920953481,2020-09-07 08:00:00,63.88,27.6033333333333,99.9,3.343,821.33920953481
"8","POKE",2020-09-07 22:00:00,821.33920953481,2020-09-07 08:00:00,63.62,27.6573333333333,99.9,3.068,821.33920953481
"9","POKE",2020-09-07 22:15:00,829.839273650199,2020-09-07 08:00:00,63.56,27.5873333333333,99.9,3.109,829.839273650199
"10","POKE",2020-09-07 22:30:00,829.839273650199,2020-09-07 08:00:00,63.61,27.5653333333333,100,3.296,829.839273650199
"11","POKE",2020-09-07 22:45:00,846.839401880978,2020-09-07 08:00:00,63.38,27.492,100,3.027,846.839401880978
"12","POKE",2020-09-07 23:00:00,855.339465996251,2020-09-07 08:00:00,63.26,27.4653333333333,100,2.894,855.339465996251
"13","POKE",2020-09-07 23:15:00,861.00617540651,2020-09-07 08:00:00,63.24,27.4493333333333,100.1,3.197,861.00617540651
"14","POKE",2020-09-07 23:30:00,863.83953011164,2020-09-07 08:00:00,63.13,27.4606666666667,100.1,3.36,863.83953011164
"15","POKE",2020-09-07 23:45:00,872.339594227029,2020-09-07 08:00:00,62.89,27.4026666666667,100.2,3.645,872.339594227029
"16","POKE",2020-09-08 00:00:00,869.506239521899,2020-09-08 08:00:00,62.63,27.3386666666667,100.2,3.814,869.506239521899
"17","POKE",2020-09-08 00:15:00,886.506367752561,2020-09-08 08:00:00,62.39,27.316,100.2,3.682,886.506367752561
"18","POKE",2020-09-08 00:30:00,900.67314127821,2020-09-08 08:00:00,62.27,27.3113333333333,100.3,3.419,900.67314127821
"19","POKE",2020-09-08 00:45:00,889.339722457691,2020-09-08 08:00:00,62.39,27.2766666666667,100.3,3.117,889.339722457691
"20","POKE",2020-09-08 01:00:00,903.50649598334,2020-09-08 08:00:00,62.21,27.2353333333333,100.3,3.191,903.50649598334
"21","POKE",2020-09-08 01:15:00,909.173205393599,2020-09-08 08:00:00,62,27.1613333333333,100.3,3.679,909.173205393599
"22","POKE",2020-09-08 01:30:00,926.173333624261,2020-09-08 08:00:00,61.64,27.1953333333333,100.3,3.794,926.173333624261
"23","POKE",2020-09-08 01:45:00,926.173333624261,2020-09-08 08:00:00,61.53,27.1013333333333,100.3,3.465,926.173333624261
"24","POKE",2020-09-08 02:00:00,929.006688329391,2020-09-08 08:00:00,61.68,27.0533333333333,100.3,3.24,929.006688329391
"25","POKE",2020-09-08 02:15:00,946.00681656017,2020-09-08 08:00:00,61.59,27.0433333333333,100.4,3.337,946.00681656017
"26","POKE",2020-09-08 02:30:00,946.00681656017,2020-09-08 08:00:00,61.48,27.0653333333333,100.4,3.304,946.00681656017
"27","POKE",2020-09-08 02:45:00,946.00681656017,2020-09-08 08:00:00,61.5,26.998,100.4,3.507,946.00681656017
"28","POKE",2020-09-08 03:00:00,957.340235380572,2020-09-08 08:00:00,61.4,26.914,100.4,3.658,957.340235380572
"29","POKE",2020-09-08 03:15:00,960.173590085702,2020-09-08 08:00:00,61.27,26.8946666666667,100.4,3.672,960.173590085702
"30","POKE",2020-09-08 03:30:00,963.006944790832,2020-09-08 08:00:00,61.19,26.932,100.5,3.539,963.006944790832
"31","POKE",2020-09-08 03:45:00,965.840299495962,2020-09-08 08:00:00,61.26,26.8813333333333,100.5,3.316,965.840299495962
"32","POKE",2020-09-08 04:00:00,977.173718316481,2020-09-08 08:00:00,61.34,26.842,100.5,3.581,977.173718316481
"33","POKE",2020-09-08 04:15:00,965.840299495962,2020-09-08 08:00:00,61.28,26.7973333333333,100.5,3.977,965.840299495962
"34","POKE",2020-09-08 04:30:00,974.340363611351,2020-09-08 08:00:00,61.09,26.794,100.6,3.642,974.340363611351
"35","POKE",2020-09-08 04:45:00,988.507137136883,2020-09-08 08:00:00,61.09,26.786,100.6,3.4,988.507137136883
"36","POKE",2020-09-08 05:00:00,977.173718316481,2020-09-08 08:00:00,61.12,26.7006666666667,100.6,3.488,977.173718316481
"37","POKE",2020-09-08 05:15:00,985.673782431753,2020-09-08 08:00:00,61.07,26.662,100.6,3.849,985.673782431753
"38","POKE",2020-09-08 05:30:00,997.007201252272,2020-09-08 08:00:00,60.87,26.6193333333333,100.5,4.004,997.007201252272
"39","POKE",2020-09-08 05:45:00,997.007201252272,2020-09-08 08:00:00,60.92,26.5326666666667,100.5,4.038,997.007201252272
"40","POKE",2020-09-08 06:00:00,994.173846547143,2020-09-08 08:00:00,61.02,26.462,100.5,4.162,994.173846547143
"41","POKE",2020-09-08 06:15:00,994.173846547143,2020-09-08 08:00:00,61.15,26.4306666666667,100.5,4.712,994.173846547143
"42","POKE",2020-09-08 06:30:00,988.507137136883,2020-09-08 08:00:00,61.22,26.3606666666667,100.5,4.942,988.507137136883
"43","POKE",2020-09-08 06:45:00,1002.67391066253,2020-09-08 08:00:00,61.38,26.348,100.4,5.157,1002.67391066253
"44","POKE",2020-09-08 07:00:00,991.340491842013,2020-09-08 08:00:00,61.41,26.2906666666667,100.3,5.338,991.340491842013
"45","POKE",2020-09-08 07:15:00,997.007201252272,2020-09-08 08:00:00,61.59,26.2066666666667,100.3,5.33,997.007201252272
"46","POKE",2020-09-08 07:30:00,982.84042772674,2020-09-08 08:00:00,61.88,26.144,100.2,5.695,982.84042772674
"47","POKE",2020-09-08 07:45:00,994.173846547143,2020-09-08 08:00:00,62.2,26.1746666666667,100.1,7.249,994.173846547143
"48","POKE",2020-09-08 08:00:00,982.84042772674,2020-09-08 08:00:00,62.17,26.064,100,7.753,982.84042772674
"49","POKE",2020-09-08 08:15:00,988.507137136883,2020-09-08 08:00:00,62.48,26.0313333333333,99.9,7.727,988.507137136883
"50","POKE",2020-09-08 08:30:00,980.00707302161,2020-09-08 08:00:00,62.96,26.0326666666667,99.8,7.599,980.00707302161
"51","POKE",2020-09-08 08:45:00,982.84042772674,2020-09-08 08:00:00,63.5,26.0393333333333,99.7,8.81,982.84042772674
"52","POKE",2020-09-08 09:00:00,982.84042772674,2020-09-08 08:00:00,63.51,26.0293333333333,99.6,9.55,982.84042772674
"53","POKE",2020-09-08 09:15:00,968.673654201091,2020-09-08 08:00:00,63.95,25.9746666666667,99.4,9.36,968.673654201091
"54","POKE",2020-09-08 09:30:00,974.340363611351,2020-09-08 08:00:00,64.67,25.9313333333333,99.3,10.26,974.340363611351
"55","POKE",2020-09-08 09:45:00,963.006944790832,2020-09-08 08:00:00,65.07,25.924,99.2,10.71,963.006944790832
"56","POKE",2020-09-08 10:00:00,960.173590085702,2020-09-08 08:00:00,65.53,25.9113333333333,99.1,10.86,960.173590085702
"57","POKE",2020-09-08 10:15:00,963.006944790832,2020-09-08 08:00:00,65.98,25.8946666666667,99,11.62,963.006944790832
"58","POKE",2020-09-08 10:30:00,954.506880675443,2020-09-08 08:00:00,66.28,25.896,98.9,12.34,954.506880675443
"59","POKE",2020-09-08 10:45:00,957.340235380572,2020-09-08 08:00:00,66.73,25.8686666666667,98.8,12.08,957.340235380572
"60","POKE",2020-09-08 11:00:00,957.340235380572,2020-09-08 08:00:00,67.17,25.834,98.6,12.44,957.340235380572
"61","POKE",2020-09-08 11:15:00,946.00681656017,2020-09-08 08:00:00,67.27,25.86,98.5,15,946.00681656017
"62","POKE",2020-09-08 11:30:00,946.00681656017,2020-09-08 08:00:00,66.5,25.8593333333333,98.3,21.67,946.00681656017
"63","POKE",2020-09-08 11:45:00,940.34010714991,2020-09-08 08:00:00,65.51,25.906,98.2,21.48,940.34010714991
"64","POKE",2020-09-08 12:00:00,934.673397739651,2020-09-08 08:00:00,64.86,25.9086666666667,98,24.38,934.673397739651
"65","POKE",2020-09-08 12:15:00,920.506624214002,2020-09-08 08:00:00,63.87,25.9293333333333,97.8,28.23,920.506624214002
"66","POKE",2020-09-08 12:30:00,931.840043034521,2020-09-08 08:00:00,64.07,26.004,97.7,28.16,931.840043034521
"67","POKE",2020-09-08 12:45:00,923.339978919132,2020-09-08 08:00:00,64.77,26.0026666666667,97.6,28.29,923.339978919132
"68","POKE",2020-09-08 13:00:00,926.173333624261,2020-09-08 08:00:00,65.48,26.0666666666667,97.5,23.26,926.173333624261
"69","POKE",2020-09-08 13:15:00,929.006688329391,2020-09-08 08:00:00,66.4,26.03,97.3,18.32,929.006688329391
"70","POKE",2020-09-08 13:30:00,923.339978919132,2020-09-08 08:00:00,66.81,26.1373333333333,97.2,17.12,923.339978919132
"71","POKE",2020-09-08 13:45:00,920.506624214002,2020-09-08 08:00:00,66.98,26.1493333333333,97.1,15.84,920.506624214002
"72","POKE",2020-09-08 14:00:00,914.839914803859,2020-09-08 08:00:00,66.06,26.2766666666667,97,21.47,914.839914803859
"73","POKE",2020-09-08 14:15:00,903.50649598334,2020-09-08 08:00:00,65.79,26.2433333333333,96.8,28.14,903.50649598334
"74","POKE",2020-09-08 14:30:00,903.50649598334,2020-09-08 08:00:00,66.01,26.3133333333333,96.7,23.08,903.50649598334
"75","POKE",2020-09-08 14:45:00,917.673269508989,2020-09-08 08:00:00,66.85,26.3366666666667,96.6,19.33,917.673269508989
"76","POKE",2020-09-08 15:00:00,900.67314127821,2020-09-08 08:00:00,67.6,26.4313333333333,96.6,16.68,900.67314127821
"77","POKE",2020-09-08 15:15:00,906.33985068847,2020-09-08 08:00:00,68.41,26.414,96.5,14.72,906.33985068847
"78","POKE",2020-09-08 15:30:00,900.67314127821,2020-09-08 08:00:00,69.11,26.4886666666667,96.4,14.54,900.67314127821
"79","POKE",2020-09-08 15:45:00,900.67314127821,2020-09-08 08:00:00,69.49,26.5153333333333,96.3,13.39,900.67314127821
"80","POKE",2020-09-08 16:00:00,895.006431867951,2020-09-08 08:00:00,69.9,26.5913333333333,96.2,12.1,895.006431867951
"81","POKE",2020-09-08 16:15:00,900.67314127821,2020-09-08 08:00:00,70.69,26.5773333333333,96.1,11.32,900.67314127821
"82","POKE",2020-09-08 16:30:00,895.006431867951,2020-09-08 08:00:00,71.37,26.688,96,11.41,895.006431867951
"83","POKE",2020-09-08 16:45:00,892.173077162821,2020-09-08 08:00:00,71.54,26.7206666666667,95.9,10.81,892.173077162821
"84","POKE",2020-09-08 17:00:00,880.839658342418,2020-09-08 08:00:00,71.75,26.746,95.8,9.66,880.839658342418
"85","POKE",2020-09-08 17:15:00,892.173077162821,2020-09-08 08:00:00,72.39,26.816,95.8,9.29,892.173077162821
"86","POKE",2020-09-08 17:30:00,895.006431867951,2020-09-08 08:00:00,72.8,26.8526666666667,95.7,9.24,895.006431867951
"87","POKE",2020-09-08 17:45:00,886.506367752561,2020-09-08 08:00:00,73.14,26.8993333333333,95.7,8.43,886.506367752561
"88","POKE",2020-09-08 18:00:00,889.339722457691,2020-09-08 08:00:00,73.55,26.938,95.7,8.9,889.339722457691
"89","POKE",2020-09-08 18:15:00,880.839658342418,2020-09-08 08:00:00,73.44,27.0593333333333,95.6,9.32,880.839658342418
"90","POKE",2020-09-08 18:30:00,880.839658342418,2020-09-08 08:00:00,73.51,27.0613333333333,95.6,8.6,880.839658342418
"91","POKE",2020-09-08 18:45:00,889.339722457691,2020-09-08 08:00:00,73.81,27.0953333333333,95.6,7.967,889.339722457691
"92","POKE",2020-09-08 19:00:00,880.839658342418,2020-09-08 08:00:00,74.05,27.216,95.6,7.306,880.839658342418
"93","POKE",2020-09-08 19:15:00,880.839658342418,2020-09-08 08:00:00,74.26,27.2113333333333,95.6,7.243,880.839658342418
"94","POKE",2020-09-08 19:30:00,886.506367752561,2020-09-08 08:00:00,74.31,27.3126666666667,95.6,7.462,886.506367752561
"95","POKE",2020-09-08 19:45:00,878.006303637289,2020-09-08 08:00:00,74.27,27.3273333333333,95.6,7.508,878.006303637289
"96","POKE",2020-09-08 20:00:00,878.006303637289,2020-09-08 08:00:00,74.33,27.422,95.6,7.418,878.006303637289
"97","POKE",2020-09-08 20:15:00,878.006303637289,2020-09-08 08:00:00,74.28,27.4513333333333,95.7,7.482,878.006303637289
"98","POKE",2020-09-08 20:30:00,872.339594227029,2020-09-08 08:00:00,74.2,27.4793333333333,95.7,7.373,872.339594227029
"99","POKE",2020-09-08 20:45:00,875.172948932159,2020-09-08 08:00:00,74.12,27.5226666666667,95.7,6.834,875.172948932159
"100","POKE",2020-09-08 21:00:00,878.006303637289,2020-09-08 08:00:00,74.24,27.5426666666667,95.8,6.781,878.006303637289
"101","POKE",2020-09-08 21:15:00,878.006303637289,2020-09-08 08:00:00,74.2,27.636,95.8,6.858,878.006303637289
"102","POKE",2020-09-08 21:30:00,875.172948932159,2020-09-08 08:00:00,74.03,27.614,95.9,6.398,875.172948932159
"103","POKE",2020-09-08 21:45:00,883.673013047548,2020-09-08 08:00:00,74.03,27.6646666666667,96,6.461,883.673013047548
"104","POKE",2020-09-08 22:00:00,869.506239521899,2020-09-08 08:00:00,73.92,27.696,96,6.134,869.506239521899
"105","POKE",2020-09-08 22:15:00,883.673013047548,2020-09-08 08:00:00,73.69,27.7606666666667,96.1,5.921,883.673013047548
"106","POKE",2020-09-08 22:30:00,869.506239521899,2020-09-08 08:00:00,73.49,27.7793333333333,96.1,6.347,869.506239521899
"107","POKE",2020-09-08 22:45:00,878.006303637289,2020-09-08 08:00:00,73.04,27.8066666666667,96.2,6.614,878.006303637289
