"","Site","DateTime","MeanDischarge","fDOM.RFU","nitrateuM","SpCond.uScm","Turbidity.FNU"
"1","POKE",2020-09-08 22:00:00,1490.47323648317,73.92,27.696,96,6.134
"2","POKE",2020-09-08 22:15:00,1471.23656688427,73.69,27.7606666666667,96.1,5.921
"3","POKE",2020-09-08 22:30:00,1472.50061742973,73.49,27.7793333333333,96.1,6.347
"4","POKE",2020-09-08 22:45:00,1485.86747223616,73.04,27.8066666666667,96.2,6.614
"5","POKE",2020-09-08 23:00:00,1492.55089963949,72.81,27.8033333333333,96.2,6.692
"6","POKE",2020-09-08 23:15:00,1485.86747223616,72.64,27.8373333333333,96.3,6.487
"7","POKE",2020-09-08 23:30:00,1503.4769166137,72.45,27.93,96.4,6.312
"8","POKE",2020-09-08 23:45:00,1503.02647867904,72.31,27.9806666666667,96.4,6.533
"9","POKE",2020-09-09 00:00:00,1509.34673140623,72.01,28.0126666666667,96.5,6.594
"10","POKE",2020-09-09 00:15:00,1534.00277786312,71.66,28.008,96.5,6.524
"11","POKE",2020-09-09 00:30:00,1517.74464728968,71.47,28.0353333333333,96.5,6.209
"12","POKE",2020-09-09 00:45:00,1534.45321579772,71.47,28.01,96.6,5.988
"13","POKE",2020-09-09 01:00:00,1538.60854211007,71.52,28.0926666666667,96.7,5.783
"14","POKE",2020-09-09 01:15:00,1529.84745155065,71.63,28.1186666666667,96.8,5.68
"15","POKE",2020-09-09 01:30:00,1529.03383893991,71.41,28.0946666666667,96.8,5.551
"16","POKE",2020-09-09 01:45:00,1552.876272786,71.11,28.1373333333333,96.8,5.725
"17","POKE",2020-09-09 02:00:00,1550.34817169514,70.85,28.1533333333333,96.9,6.042
"18","POKE",2020-09-09 02:15:00,1545.74240744795,70.67,28.14,96.9,6.435
"19","POKE",2020-09-09 02:30:00,1552.06266017514,70.65,28.086,97,6.072
"20","POKE",2020-09-09 02:45:00,1553.3267107206,70.74,28.0873333333333,97,5.451
"21","POKE",2020-09-09 03:00:00,1560.01013812394,70.72,28.0853333333333,97.1,5.708
"22","POKE",2020-09-09 03:15:00,1581.77490881382,70.36,28.0866666666667,97.2,5.637
"23","POKE",2020-09-09 03:30:00,1578.88363304682,70.11,28.094,97.2,5.735
"24","POKE",2020-09-09 03:45:00,1588.90877415176,69.98,28.076,97.3,6.313
"25","POKE",2020-09-09 04:00:00,1592.25048785337,69.88,28.0626666666667,97.4,6.036
"26","POKE",2020-09-09 04:15:00,1615.27930908871,69.96,28.0306666666667,97.4,5.547
"27","POKE",2020-09-09 04:30:00,1622.41317442665,69.9,28.0666666666667,97.5,5.785
"28","POKE",2020-09-09 04:45:00,1628.28298921924,69.64,28.046,97.5,6.285
"29","POKE",2020-09-09 05:00:00,1642.10028196039,69.64,28.0093333333333,97.6,6.548
"30","POKE",2020-09-09 05:15:00,1643.36433250579,69.44,28.0333333333333,97.6,6.301
"31","POKE",2020-09-09 05:30:00,1658.80885046854,69.29,28.014,97.7,6.16
"32","POKE",2020-09-09 05:45:00,1672.26296853361,69.31,27.9746666666667,97.7,5.877
"33","POKE",2020-09-09 06:00:00,1669.73486744275,69.23,28.0133333333333,97.7,5.337
"34","POKE",2020-09-09 06:15:00,1689.87241291109,69.26,27.966,97.8,5.634
"35","POKE",2020-09-09 06:30:00,1715.79250991333,69.16,27.9,97.8,5.508
"36","POKE",2020-09-09 06:45:00,1699.08394140529,69.07,27.8533333333333,97.9,5.423
"37","POKE",2020-09-09 07:00:00,1710.82357099024,69.05,27.862,97.9,5.765
"38","POKE",2020-09-09 07:15:00,1751.01139866834,68.85,27.7766666666667,98,5.274
"39","POKE",2020-09-09 07:30:00,1754.44037562876,68.81,27.7506666666667,98,5.231
"40","POKE",2020-09-09 07:45:00,1766.99361782445,68.81,27.7446666666667,98.1,4.936
"41","POKE",2020-09-09 08:00:00,1774.49065783853,68.8,27.7,98.1,4.761
"42","POKE",2020-09-09 08:15:00,1785.86711274745,68.81,27.6486666666667,98.1,4.549
"43","POKE",2020-09-09 08:30:00,1816.02979932074,68.79,27.6106666666667,98.1,4.308
"44","POKE",2020-09-09 08:45:00,1823.61410259333,68.83,27.6166666666667,98.1,4.527
"45","POKE",2020-09-09 09:00:00,1832.82563108741,68.84,27.5546666666667,98.2,4.256
"46","POKE",2020-09-09 09:15:00,1836.98095739976,68.81,27.5226666666667,98.1,3.868
"47","POKE",2020-09-09 09:30:00,1851.24868807575,68.93,27.4673333333333,98.1,3.878
"48","POKE",2020-09-09 09:45:00,1877.16878507781,68.95,27.426,98.1,3.936
"49","POKE",2020-09-09 10:00:00,1889.35885259765,68.86,27.3493333333333,98.1,3.88
"50","POKE",2020-09-09 10:15:00,1877.70648627123,68.8,27.3346666666667,98.1,3.756
"51","POKE",2020-09-09 10:30:00,1922.86325287248,68.85,27.302,98.1,3.604
"52","POKE",2020-09-09 10:45:00,1911.21088654612,68.82,27.2686666666667,98.1,3.648
"53","POKE",2020-09-09 11:00:00,1913.28854970238,68.75,27.268,98,3.863
"54","POKE",2020-09-09 11:15:00,1927.10584244353,68.73,27.2546666666667,98,4.313
"55","POKE",2020-09-09 11:30:00,1940.10952257394,68.81,27.2613333333333,98,4.263
"56","POKE",2020-09-09 11:45:00,1954.37725324987,68.85,27.286,98,4.172
"57","POKE",2020-09-09 12:00:00,1972.80031023803,68.91,27.218,98,4.252
"58","POKE",2020-09-09 12:15:00,1970.72264708189,68.91,27.2466666666667,97.9,4.445
