"","Site","DateTime","MeanDischarge","day","fDOM.QSU.mn","nitrateuM","SpCond.uScm.mn","Turbidity.FNU.mn"
"1","MOOS",2019-07-29 08:30:00,485.538984194829,2019-07-29,109.520909090909,22.0033333333333,154.072727272727,3.41909090909091
"2","MOOS",2019-07-29 08:45:00,487.508742872639,2019-07-29,109.501818181818,21.9533333333333,153.863636363636,3.36363636363636
"3","MOOS",2019-07-29 09:00:00,493.418018906069,2019-07-29,NA,21.9011111111111,153.7,3.37727272727273
"4","MOOS",2019-07-29 09:15:00,491.448260228259,2019-07-29,109.446363636364,21.8877777777778,153.563636363636,3.35454545454545
"5","MOOS",2019-07-29 09:30:00,491.448260228259,2019-07-29,109.376363636364,21.8377777777778,153.509090909091,3.45272727272727
"6","MOOS",2019-07-29 09:45:00,491.448260228259,2019-07-29,109.498181818182,21.8133333333333,153.409090909091,4.15818181818182
"7","MOOS",2019-07-29 10:00:00,493.418018906069,2019-07-29,109.647272727273,21.7822222222222,153.354545454545,3.39181818181818
"8","MOOS",2019-07-29 10:15:00,497.35753626169,2019-07-29,109.732727272727,21.76,153.372727272727,3.40909090909091
"9","MOOS",2019-07-29 10:30:00,501.29705361731,2019-07-29,109.813636363636,21.7688888888889,153.336363636364,3.40636363636364
"10","MOOS",2019-07-29 10:45:00,503.26681229512,2019-07-29,109.626363636364,21.7222222222222,153.172727272727,3.34727272727273
"11","MOOS",2019-07-29 11:00:00,509.176088328551,2019-07-29,109.689090909091,21.6711111111111,153.190909090909,3.43090909090909
"12","MOOS",2019-07-29 11:15:00,511.145847006361,2019-07-29,109.673636363636,21.6411111111111,153.1,3.42181818181818
"13","MOOS",2019-07-29 11:30:00,513.115605684171,2019-07-29,109.742727272727,21.6177777777778,153.136363636364,3.33090909090909
"14","MOOS",2019-07-29 11:45:00,513.115605684171,2019-07-29,109.774545454545,21.6188888888889,153.072727272727,3.35090909090909
"15","MOOS",2019-07-29 12:00:00,517.055123039792,2019-07-29,109.876363636364,21.6144444444444,153.072727272727,3.40636363636364
"16","MOOS",2019-07-29 12:15:00,520.994640395412,2019-07-29,109.718181818182,21.5833333333333,153,3.46727272727273
"17","MOOS",2019-07-29 12:30:00,520.994640395412,2019-07-29,109.855454545455,21.5811111111111,153.063636363636,3.51818181818182
"18","MOOS",2019-07-29 12:45:00,519.024881717602,2019-07-29,109.858181818182,21.5766666666667,152.990909090909,3.43363636363636
"19","MOOS",2019-07-29 13:00:00,524.934157751033,2019-07-29,109.869090909091,21.6077777777778,153,3.46909090909091
"20","MOOS",2019-07-29 13:15:00,526.903916428843,2019-07-29,109.954545454545,21.5844444444444,153.009090909091,3.48
"21","MOOS",2019-07-29 13:30:00,520.994640395412,2019-07-29,109.934545454545,21.5044444444444,153.009090909091,3.50818181818182
"22","MOOS",2019-07-29 13:45:00,528.873675106653,2019-07-29,109.840909090909,21.4711111111111,152.963636363636,3.43
"23","MOOS",2019-07-29 14:00:00,528.873675106653,2019-07-29,109.780909090909,21.4688888888889,152.854545454545,3.46818181818182
"24","MOOS",2019-07-29 14:15:00,534.782951140083,2019-07-29,109.765454545455,21.4788888888889,152.754545454545,3.40454545454545
"25","MOOS",2019-07-29 14:30:00,534.782951140083,2019-07-29,109.591818181818,21.4411111111111,152.663636363636,3.38181818181818
"26","MOOS",2019-07-29 14:45:00,536.752709817894,2019-07-29,109.525454545455,21.4344444444444,152.572727272727,3.40636363636364
"27","MOOS",2019-07-29 15:00:00,544.631744529134,2019-07-29,109.317272727273,21.4377777777778,152.463636363636,3.38727272727273
"28","MOOS",2019-07-29 15:15:00,542.661985851324,2019-07-29,109.137272727273,21.4155555555556,152.372727272727,3.42818181818182
"29","MOOS",2019-07-29 15:30:00,550.541020562565,2019-07-29,109.090909090909,21.4122222222222,152.3,3.41090909090909
"30","MOOS",2019-07-29 15:45:00,550.541020562565,2019-07-29,108.914545454545,21.4044444444444,152.181818181818,3.40090909090909
"31","MOOS",2019-07-29 16:00:00,560.389813951616,2019-07-30,108.709090909091,21.4177777777778,152.072727272727,3.43090909090909
"32","MOOS",2019-07-29 16:15:00,562.359572629426,2019-07-30,108.608181818182,21.4377777777778,152.072727272727,3.5
"33","MOOS",2019-07-29 16:30:00,564.329331307237,2019-07-30,108.477272727273,21.5033333333333,151.872727272727,5.66545454545455
"34","MOOS",2019-07-29 16:45:00,572.208366018477,2019-07-30,108.367272727273,21.5177777777778,151.818181818182,3.62090909090909
"35","MOOS",2019-07-29 17:00:00,576.147883374098,2019-07-30,107.98,21.5188888888889,151.7,4.07363636363636
"36","MOOS",2019-07-29 17:15:00,582.057159407528,2019-07-30,107.876363636364,21.5511111111111,151.654545454545,4.51181818181818
"37","MOOS",2019-07-29 17:30:00,587.966435440959,2019-07-30,107.635454545455,21.5111111111111,151.563636363636,4.63090909090909
"38","MOOS",2019-07-29 17:45:00,591.905952796579,2019-07-30,107.463636363636,21.5,151.5,3.45818181818182
"39","MOOS",2019-07-29 18:00:00,601.75474618563,2019-07-30,107.333636363636,21.4888888888889,151.427272727273,3.46
"40","MOOS",2019-07-29 18:15:00,609.633780896871,2019-07-30,107.137272727273,21.4833333333333,151.236363636364,3.62363636363636
"41","MOOS",2019-07-29 18:30:00,617.512815608112,2019-07-30,107.085454545455,21.4977777777778,151.063636363636,3.54909090909091
