"","storm.num","TOTAL.TIME","site.ID","year","response","HI","precip","precip.week","precip.month","ThreeMonth","Intensity","doy","burn","pf"
"1","storm1",41.7333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.625,"burned","medium"
"2","storm2a",25.9666666666667,"CARI",2020,"NO3",0.463414634146341,46.484,10.922,10.922,10.922,1.79014120667522,170.490277777778,"burned","medium"
"3","storm2b",23.9666666666667,"CARI",2020,"NO3",0.314814814814815,37.084,57.406,57.406,57.406,1.5473157162726,171.573611111111,"burned","medium"
"4","storm2c",38.9666666666667,"CARI",2020,"NO3",-0.432432432432432,12.954,89.029,94.49,94.49,0.332437981180496,172.573611111111,"burned","medium"
"5","storm3",69.9666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.281944444444,"burned","medium"
"6","storm4",38.9666666666667,"CARI",2020,"NO3",0.5,15.24,33.909,137.67,137.67,0.391103507271172,190.406944444444,"burned","medium"
"7","storm5",54.9666666666667,"CARI",2020,"NO3",0.375,29.972,30.48,152.91,152.91,0.545275924802911,194.198611111111,"burned","medium"
"8","storm6",45.9666666666667,"CARI",2020,"NO3",0.194444444444445,16.764,37.592,182.882,182.882,0.36469905728789,205.573611111111,"burned","medium"
"9","storm7",76.9666666666667,"CARI",2020,"NO3",0.175,32.258,34.29,194.439,199.646,0.419116500649632,208.281944444444,"burned","medium"
"10","storm8a",27.9666666666667,"CARI",2020,"NO3",0.475609756097561,23.876,32.258,145.669,231.904,0.85373063170441,214.031944444444,"burned","medium"
"11","storm8b",119.966666666667,"CARI",2020,"NO3",-0.00268817204301077,82.55,40.132,155.575,255.78,0.688107807724368,215.198611111111,"burned","medium"
"12","storm9",24.9666666666667,"CARI",2020,"NO3",0.330459770114943,21.59,41.275,185.42,338.33,0.86475300400534,250.031944444444,"burned","medium"
"13","storm1",41.7333333333333,"CARI",2020,"fDOM",-0.340978593272171,10.922,0.127,0.127,0.127,0.261709265175719,166.625,"burned","medium"
"14","storm2a",25.9666666666667,"CARI",2020,"fDOM",-0.30649101706382,46.484,10.922,10.922,10.922,1.79014120667522,170.490277777778,"burned","medium"
"15","storm2b",23.9666666666667,"CARI",2020,"fDOM",0.141986925515055,37.084,57.406,57.406,57.406,1.5473157162726,171.573611111111,"burned","medium"
"16","storm4",38.9666666666667,"CARI",2020,"fDOM",-0.176232933964892,15.24,33.909,137.67,137.67,0.391103507271172,190.406944444444,"burned","medium"
"17","storm5",54.9666666666667,"CARI",2020,"fDOM",-0.42349551856594,29.972,30.48,152.91,152.91,0.545275924802911,194.198611111111,"burned","medium"
"18","storm6",45.9666666666667,"CARI",2020,"fDOM",-0.259316267012313,16.764,37.592,182.882,182.882,0.36469905728789,205.573611111111,"burned","medium"
"19","storm7",76.9666666666667,"CARI",2020,"fDOM",0.288341119173045,32.258,34.29,194.439,199.646,0.419116500649632,208.281944444444,"burned","medium"
"20","storm8a",27.9666666666667,"CARI",2020,"fDOM",0.153255208333334,23.876,32.258,145.669,231.904,0.85373063170441,214.031944444444,"burned","medium"
"21","storm8b",119.966666666667,"CARI",2020,"fDOM",-0.505574501573977,82.55,40.132,155.575,255.78,0.688107807724368,215.198611111111,"burned","medium"
"22","storm9",24.9666666666667,"CARI",2020,"fDOM",-0.355680972463409,21.59,41.275,185.42,338.33,0.86475300400534,250.031944444444,"burned","medium"
